,Alabama
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,3.0
3/12/20,1.0
3/13/20,4.0
3/14/20,7.0
3/15/20,13.0
3/16/20,8.0
3/17/20,15.0
3/18/20,10.0
3/19/20,27.0
3/20/20,27.0
3/21/20,34.0
3/22/20,31.0
3/23/20,44.0
3/24/20,74.0
3/25/20,174.0
3/26/20,102.0
3/27/20,110.0
3/28/20,117.0
3/29/20,79.0
3/30/20,121.0
3/31/20,62.0
4/1/20,112.0
4/2/20,196.0
4/3/20,235.0
4/4/20,121.0
4/5/20,178.0
4/6/20,174.0
4/7/20,229.0
4/8/20,306.0
4/9/20,340.0
4/10/20,158.0
4/11/20,234.0
4/12/20,321.0
4/13/20,203.0
4/14/20,171.0
4/15/20,266.0
4/16/20,158.0
4/17/20,92.0
4/18/20,231.0
4/19/20,190.0
4/20/20,185.0
4/21/20,241.0
4/22/20,288.0
4/23/20,207.0
4/24/20,193.0
4/25/20,182.0
4/26/20,201.0
4/27/20,146.0
4/28/20,199.0
4/29/20,159.0
4/30/20,208.0
5/1/20,253.0
5/2/20,260.0
5/3/20,277.0
5/4/20,226.0
5/5/20,317.0
5/6/20,249.0
5/7/20,346.0
5/8/20,322.0
5/9/20,283.0
5/10/20,262.0
5/11/20,280.0
5/12/20,304.0
5/13/20,256.0
5/14/20,339.0
5/15/20,333.0
5/16/20,334.0
5/17/20,309.0
5/18/20,301.0
5/19/20,387.0
5/20/20,361.0
5/21/20,404.0
5/22/20,364.0
5/23/20,374.0
5/24/20,348.0
5/25/20,633.0
5/26/20,590.0
5/27/20,364.0
5/28/20,486.0
5/29/20,513.0
5/30/20,427.0
5/31/20,511.0
6/1/20,325.0
6/2/20,209.0
6/3/20,220.0
6/4/20,308.0
6/5/20,648.0
6/6/20,445.0
6/7/20,422.0
6/8/20,491.0
6/9/20,566.0
6/10/20,825.0
6/11/20,711.0
6/12/20,1035.0
6/13/20,959.0
6/14/20,818.0
6/15/20,303.0
6/16/20,549.0
6/17/20,907.0
6/18/20,735.0
6/19/20,549.0
6/20/20,458.0
6/21/20,439.0
6/22/20,649.0
6/23/20,1118.0
6/24/20,989.0
6/25/20,1002.0
6/26/20,1023.0
6/27/20,180.0
6/28/20,1420.0
6/29/20,1086.0
6/30/20,888.0
7/1/20,1170.0
7/2/20,1693.0
7/3/20,915.0
7/4/20,961.0
7/5/20,806.0
7/6/20,910.0
7/7/20,1416.0
7/8/20,1801.0
7/9/20,1546.0
7/10/20,1634.0
7/11/20,1473.0
7/12/20,1979.0
7/13/20,1387.0
7/14/20,2116.0
7/15/20,1910.0
7/16/20,1934.0
7/17/20,2024.0
7/18/20,2029.0
7/19/20,1552.0
7/20/20,1503.0
7/21/20,1364.0
7/22/20,1994.0
7/23/20,2091.0
7/24/20,2110.0
7/25/20,1393.0
7/26/20,1760.0
7/27/20,1308.0
7/28/20,1442.0
7/29/20,1954.0
7/30/20,2012.0
7/31/20,1602.0
8/1/20,2033.0
8/2/20,1159.0
8/3/20,1044.0
8/4/20,955.0
8/5/20,1866.0
8/6/20,1721.0
8/7/20,1851.0
8/8/20,959.0
8/9/20,1612.0
8/10/20,925.0
8/11/20,1094.0
8/12/20,734.0
8/13/20,757.0
8/14/20,1120.0
8/15/20,830.0
8/16/20,741.0
8/17/20,1425.0
8/18/20,1323.0
8/19/20,1281.0
8/20/20,1041.0
8/21/20,1475.0
8/22/20,597.0
8/23/20,676.0
8/24/20,560.0
8/25/20,2145.0
8/26/20,1714.0
8/27/20,1137.0
8/28/20,1838.0
8/29/20,1276.0
8/30/20,789.0
8/31/20,1556.0
9/1/20,734.0
9/2/20,1006.0
9/3/20,985.0
9/4/20,1148.0
9/5/20,541.0
9/6/20,776.0
9/7/20,531.0
9/8/20,784.0
9/9/20,1056.0
9/10/20,1077.0
9/11/20,969.0
9/12/20,1059.0
9/13/20,695.0
9/14/20,758.0
9/15/20,1041.0
9/16/20,763.0
9/17/20,1031.0
9/18/20,1314.0
9/19/20,810.0
9/20/20,747.0
9/21/20,877.0
9/22/20,657.0
9/23/20,1038.0
9/24/20,2366.0
9/25/20,976.0
9/26/20,726.0
9/27/20,639.0
9/28/20,746.0
9/29/20,1234.0
9/30/20,1188.0
10/1/20,955.0
10/2/20,1675.0
10/3/20,779.0
10/4/20,536.0
10/5/20,759.0
10/6/20,1009.0
10/7/20,600.0
10/8/20,1598.0
10/9/20,1214.0
10/10/20,801.0
10/11/20,716.0
10/12/20,1100.0
10/13/20,882.0
10/14/20,1224.0
10/15/20,1225.0
10/16/20,1312.0
10/17/20,980.0
10/18/20,865.0
10/19/20,1076.0
10/20/20,1132.0
10/21/20,1395.0
10/22/20,3832.0
10/23/20,2130.0
10/24/20,1264.0
10/25/20,892.0
10/26/20,1215.0
10/27/20,1329.0
10/28/20,1508.0
10/29/20,1338.0
10/30/20,1819.0
10/31/20,1681.0
11/1/20,845.0
11/2/20,1234.0
11/3/20,1812.0
11/4/20,1423.0
11/5/20,1601.0
11/6/20,1603.0
11/7/20,1387.0
11/8/20,1147.0
11/9/20,1858.0
11/10/20,39.0
11/11/20,2075.0
11/12/20,2000.0
11/13/20,2980.0
11/14/20,2226.0
11/15/20,1979.0
11/16/20,1410.0
11/17/20,1616.0
11/18/20,2638.0
11/19/20,2424.0
11/20/20,2463.0
11/21/20,2335.0
11/22/20,1798.0
11/23/20,1574.0
11/24/20,2785.0
11/25/20,2453.0
11/26/20,2639.0
11/27/20,917.0
11/28/20,2119.0
11/29/20,2236.0
11/30/20,2295.0
12/1/20,3376.0
12/2/20,3928.0
12/3/20,3531.0
12/4/20,3840.0
12/5/20,3390.0
12/6/20,2288.0
12/7/20,2352.0
12/8/20,4436.0
12/9/20,3522.0
12/10/20,4735.0
12/11/20,3853.0
12/12/20,4066.0
12/13/20,2790.0
12/14/20,2264.0
12/15/20,3638.0
12/16/20,4107.0
12/17/20,4695.0
12/18/20,5348.0
12/19/20,4221.0
12/20/20,2548.0
12/21/20,2380.0
12/22/20,4979.0
12/23/20,4758.0
12/24/20,4232.0
12/25/20,3625.0
12/26/20,1032.0
12/27/20,2170.0
12/28/20,2269.0
12/29/20,3907.0
12/30/20,5016.0
12/31/20,4406.0
1/1/21,4521.0
1/2/21,3711.0
1/3/21,2476.0
1/4/21,2161.0
1/5/21,5498.0
1/6/21,4591.0
1/7/21,5046.0
1/8/21,5057.0
1/9/21,4863.0
1/10/21,2750.0
1/11/21,2100.0
1/12/21,3848.0
1/13/21,3147.0
1/14/21,3588.0
1/15/21,2945.0
1/16/21,3153.0
1/17/21,1917.0
1/18/21,1430.0
1/19/21,2515.0
1/20/21,3112.0
1/21/21,2881.0
1/22/21,3551.0
1/23/21,3355.0
1/24/21,1728.0
1/25/21,1839.0
1/26/21,2900.0
1/27/21,3177.0
1/28/21,3648.0
1/29/21,2848.0
1/30/21,0.0
1/31/21,4057.0
2/1/21,1221.0
2/2/21,2078.0
2/3/21,2118.0
2/4/21,2767.0
2/5/21,1496.0
2/6/21,1992.0
2/7/21,1112.0
2/8/21,925.0
2/9/21,1318.0
2/10/21,1401.0
2/11/21,1503.0
2/12/21,1097.0
2/13/21,1189.0
2/14/21,1075.0
2/15/21,674.0
2/16/21,883.0
2/17/21,679.0
2/18/21,1198.0
2/19/21,847.0
2/20/21,774.0
2/21/21,857.0
2/22/21,677.0
2/23/21,1453.0
2/24/21,1247.0
2/25/21,890.0
2/26/21,739.0
2/27/21,834.0
2/28/21,569.0
3/1/21,517.0
3/2/21,652.0
3/3/21,2733.0
3/4/21,922.0
3/5/21,811.0
3/6/21,524.0
3/7/21,408.0
3/8/21,273.0
3/9/21,524.0
3/10/21,782.0
3/11/21,865.0
3/12/21,448.0
3/13/21,594.0
3/14/21,368.0
3/15/21,4556.0
3/16/21,488.0
3/17/21,759.0
3/18/21,572.0
3/19/21,531.0
3/20/21,508.0
3/21/21,373.0
3/22/21,319.0
3/23/21,10.0
3/24/21,922.0
3/25/21,427.0
3/26/21,442.0
3/27/21,492.0
3/28/21,319.0
3/29/21,228.0
3/30/21,361.0
3/31/21,408.0
4/1/21,478.0
4/2/21,400.0
4/3/21,349.0
4/4/21,194.0
4/5/21,109.0
4/6/21,196.0
4/7/21,338.0
4/8/21,464.0
4/9/21,318.0
4/10/21,354.0
4/11/21,311.0
4/12/21,172.0
4/13/21,1432.0
4/14/21,277.0
4/15/21,421.0
4/16/21,422.0
4/17/21,508.0
4/18/21,270.0
4/19/21,111.0
4/20/21,1443.0
4/21/21,412.0
4/22/21,682.0
4/23/21,428.0
4/24/21,421.0
4/25/21,233.0
4/26/21,217.0
4/27/21,359.0
4/28/21,376.0
4/29/21,430.0
4/30/21,409.0
5/1/21,387.0
5/2/21,288.0
