,Alaska
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,1
3/14/20,1
3/15/20,1
3/16/20,1
3/17/20,4
3/18/20,9
3/19/20,12
3/20/20,15
3/21/20,16
3/22/20,26
3/23/20,39
3/24/20,43
3/25/20,50
3/26/20,64
3/27/20,75
3/28/20,92
3/29/20,111
3/30/20,119
3/31/20,129
4/1/20,142
4/2/20,150
4/3/20,161
4/4/20,172
4/5/20,187
4/6/20,193
4/7/20,215
4/8/20,228
4/9/20,238
4/10/20,249
4/11/20,261
4/12/20,276
4/13/20,281
4/14/20,289
4/15/20,297
4/16/20,305
4/17/20,314
4/18/20,319
4/19/20,324
4/20/20,326
4/21/20,334
4/22/20,340
4/23/20,342
4/24/20,344
4/25/20,344
4/26/20,346
4/27/20,350
4/28/20,356
4/29/20,360
4/30/20,360
5/1/20,369
5/2/20,370
5/3/20,373
5/4/20,375
5/5/20,376
5/6/20,378
5/7/20,380
5/8/20,383
5/9/20,385
5/10/20,386
5/11/20,388
5/12/20,390
5/13/20,391
5/14/20,396
5/15/20,398
5/16/20,403
5/17/20,408
5/18/20,411
5/19/20,411
5/20/20,416
5/21/20,416
5/22/20,419
5/23/20,423
5/24/20,423
5/25/20,426
5/26/20,430
5/27/20,431
5/28/20,444
5/29/20,450
5/30/20,455
5/31/20,484
6/1/20,492
6/2/20,512
6/3/20,541
6/4/20,559
6/5/20,572
6/6/20,586
6/7/20,595
6/8/20,614
6/9/20,627
6/10/20,649
6/11/20,676
6/12/20,697
6/13/20,731
6/14/20,743
6/15/20,747
6/16/20,761
6/17/20,786
6/18/20,806
6/19/20,833
6/20/20,856
6/21/20,870
6/22/20,883
6/23/20,915
6/24/20,940
6/25/20,982
6/26/20,1012
6/27/20,1039
6/28/20,1070
6/29/20,1096
6/30/20,1142
7/1/20,1184
7/2/20,1235
7/3/20,1296
7/4/20,1350
7/5/20,1382
7/6/20,1411
7/7/20,1435
7/8/20,1485
7/9/20,1537
7/10/20,1591
7/11/20,1683
7/12/20,1784
7/13/20,1857
7/14/20,1918
7/15/20,1974
7/16/20,2053
7/17/20,2104
7/18/20,2179
7/19/20,2297
7/20/20,2436
7/21/20,2551
7/22/20,2651
7/23/20,2728
7/24/20,2795
7/25/20,2912
7/26/20,3143
7/27/20,3258
7/28/20,3391
7/29/20,3483
7/30/20,3607
7/31/20,3716
8/1/20,3868
8/2/20,4013
8/3/20,4091
8/4/20,4160
8/5/20,4220
8/6/20,4265
8/7/20,4335
8/8/20,4420
8/9/20,4523
8/10/20,4589
8/11/20,4650
8/12/20,4711
8/13/20,4812
8/14/20,4917
8/15/20,5005
