,Arizona
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,1.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,2.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,3.0
3/12/20,0.0
3/13/20,0.0
3/14/20,3.0
3/15/20,0.0
3/16/20,6.0
3/17/20,2.0
3/18/20,7.0
3/19/20,18.0
3/20/20,23.0
3/21/20,36.0
3/22/20,48.0
3/23/20,83.0
3/24/20,91.0
3/25/20,75.0
3/26/20,107.0
3/27/20,157.0
3/28/20,108.0
3/29/20,146.0
3/30/20,238.0
3/31/20,132.0
4/1/20,124.0
4/2/20,183.0
4/3/20,173.0
4/4/20,250.0
4/5/20,250.0
4/6/20,191.0
4/7/20,115.0
4/8/20,151.0
4/9/20,292.0
4/10/20,94.0
4/11/20,281.0
4/12/20,149.0
4/13/20,163.0
4/14/20,104.0
4/15/20,155.0
4/16/20,273.0
4/17/20,274.0
4/18/20,213.0
4/19/20,209.0
4/20/20,135.0
4/21/20,188.0
4/22/20,217.0
4/23/20,299.0
4/24/20,273.0
4/25/20,241.0
4/26/20,248.0
4/27/20,191.0
4/28/20,230.0
4/29/20,254.0
4/30/20,446.0
5/1/20,314.0
5/2/20,395.0
5/3/20,276.0
5/4/20,284.0
5/5/20,381.0
5/6/20,402.0
5/7/20,238.0
5/8/20,581.0
5/9/20,434.0
5/10/20,159.0
5/11/20,264.0
5/12/20,353.0
5/13/20,480.0
5/14/20,458.0
5/15/20,495.0
5/16/20,497.0
5/17/20,279.0
5/18/20,263.0
5/19/20,368.0
5/20/20,330.0
5/21/20,442.0
5/22/20,276.0
5/23/20,429.0
5/24/20,324.0
5/25/20,198.0
5/26/20,289.0
5/27/20,454.0
5/28/20,559.0
5/29/20,595.0
5/30/20,786.0
5/31/20,678.0
6/1/20,193.0
6/2/20,1135.0
6/3/20,1092.0
6/4/20,530.0
6/5/20,1553.0
6/6/20,1012.0
6/7/20,1538.0
6/8/20,689.0
6/9/20,618.0
6/10/20,1556.0
6/11/20,1415.0
6/12/20,1772.0
6/13/20,1621.0
6/14/20,1046.0
6/15/20,1138.0
6/16/20,2341.0
6/17/20,1752.0
6/18/20,2508.0
6/19/20,3465.0
6/20/20,3217.0
6/21/20,2464.0
6/22/20,2008.0
6/23/20,3779.0
6/24/20,1812.0
6/25/20,3091.0
6/26/20,3378.0
6/27/20,3465.0
6/28/20,3796.0
6/29/20,625.0
6/30/20,4683.0
7/1/20,4877.0
7/2/20,3340.0
7/3/20,4427.0
7/4/20,2695.0
7/5/20,3536.0
7/6/20,3352.0
7/7/20,3639.0
7/8/20,3520.0
7/9/20,4057.0
7/10/20,4221.0
7/11/20,3038.0
7/12/20,2537.0
7/13/20,1357.0
7/14/20,4273.0
7/15/20,3257.0
7/16/20,3259.0
7/17/20,3910.0
7/18/20,2742.0
7/19/20,2359.0
7/20/20,1559.0
7/21/20,3500.0
7/22/20,1926.0
7/23/20,2335.0
7/24/20,3357.0
7/25/20,3740.0
7/26/20,1973.0
7/27/20,1813.0
7/28/20,2107.0
7/29/20,2339.0
7/30/20,2525.0
7/31/20,3212.0
8/1/20,2992.0
8/2/20,1465.0
8/3/20,1030.0
8/4/20,1008.0
8/5/20,1698.0
8/6/20,1453.0
8/7/20,1397.0
8/8/20,1054.0
8/9/20,816.0
8/10/20,600.0
8/11/20,1214.0
8/12/20,706.0
8/13/20,1351.0
8/14/20,927.0
8/15/20,933.0
8/16/20,883.0
8/17/20,468.0
8/18/20,915.0
8/19/20,637.0
8/20/20,723.0
8/21/20,619.0
8/22/20,996.0
8/23/20,208.0
8/24/20,311.0
8/25/20,859.0
8/26/20,186.0
8/27/20,680.0
8/28/20,519.0
8/29/20,629.0
8/30/20,374.0
8/31/20,174.0
9/1/20,507.0
9/2/20,519.0
9/3/20,1092.0
9/4/20,728.0
9/5/20,836.0
9/6/20,250.0
9/7/20,197.0
9/8/20,81.0
9/9/20,496.0
9/10/20,461.0
9/11/20,521.0
9/12/20,605.0
9/13/20,384.0
9/14/20,213.0
9/15/20,484.0
9/16/20,698.0
9/17/20,1753.0
9/18/20,1282.0
9/19/20,609.0
9/20/20,470.0
9/21/20,230.0
9/22/20,595.0
9/23/20,438.0
9/24/20,568.0
9/25/20,515.0
9/26/20,459.0
9/27/20,411.0
9/28/20,273.0
9/29/20,674.0
9/30/20,323.0
10/1/20,705.0
10/2/20,551.0
10/3/20,636.0
10/4/20,355.0
10/5/20,316.0
10/6/20,864.0
10/7/20,604.0
10/8/20,863.0
10/9/20,683.0
10/10/20,894.0
10/11/20,597.0
10/12/20,475.0
10/13/20,684.0
10/14/20,901.0
10/15/20,1113.0
10/16/20,738.0
10/17/20,973.0
10/18/20,690.0
10/19/20,748.0
10/20/20,1040.0
10/21/20,975.0
10/22/20,994.0
10/23/20,976.0
10/24/20,890.0
10/25/20,1391.0
10/26/20,801.0
10/27/20,1158.0
10/28/20,1043.0
10/29/20,1315.0
10/30/20,1565.0
10/31/20,1901.0
11/1/20,1527.0
11/2/20,666.0
11/3/20,1679.0
11/4/20,815.0
11/5/20,2135.0
11/6/20,1996.0
11/7/20,2620.0
11/8/20,1880.0
11/9/20,435.0
11/10/20,3434.0
11/11/20,2030.0
11/12/20,1399.0
11/13/20,3015.0
11/14/20,3476.0
11/15/20,2383.0
11/16/20,1476.0
11/17/20,2984.0
11/18/20,3206.0
11/19/20,4123.0
11/20/20,4471.0
11/21/20,3638.0
11/22/20,4331.0
11/23/20,2659.0
11/24/20,4544.0
11/25/20,3982.0
11/26/20,3474.0
11/27/20,4314.0
11/28/20,4136.0
11/29/20,3221.0
11/30/20,822.0
12/1/20,10322.0
12/2/20,3840.0
12/3/20,5442.0
12/4/20,5680.0
12/5/20,6799.0
12/6/20,5376.0
12/7/20,1567.0
12/8/20,12314.0
12/9/20,4444.0
12/10/20,4928.0
12/11/20,6983.0
12/12/20,8077.0
12/13/20,5853.0
12/14/20,11806.0
12/15/20,4134.0
12/16/20,4837.0
12/17/20,5817.0
12/18/20,7635.0
12/19/20,5560.0
12/20/20,5366.0
12/21/20,7748.0
12/22/20,5870.0
12/23/20,6058.0
12/24/20,7046.0
12/25/20,6616.0
12/26/20,6106.0
12/27/20,1296.0
12/28/20,10086.0
12/29/20,2799.0
12/30/20,5267.0
12/31/20,7718.0
1/1/21,10060.0
1/2/21,8883.0
1/3/21,17234.0
1/4/21,5158.0
1/5/21,5932.0
1/6/21,7206.0
1/7/21,9913.0
1/8/21,11658.0
1/9/21,11094.0
1/10/21,11201.0
1/11/21,8995.0
1/12/21,8559.0
1/13/21,5629.0
1/14/21,7311.0
1/15/21,9146.0
1/16/21,8715.0
1/17/21,6981.0
1/18/21,5400.0
1/19/21,6417.0
1/20/21,4845.0
1/21/21,9398.0
1/22/21,8099.0
1/23/21,7316.0
1/24/21,7217.0
1/25/21,5321.0
1/26/21,4748.0
1/27/21,5918.0
1/28/21,4671.0
1/29/21,5028.0
1/30/21,5119.0
1/31/21,5025.0
2/1/21,3741.0
2/2/21,2938.0
2/3/21,2296.0
2/4/21,4417.0
2/5/21,3826.0
2/6/21,3471.0
2/7/21,1544.0
2/8/21,2250.0
2/9/21,4381.0
2/10/21,1977.0
2/11/21,1861.0
2/12/21,2426.0
2/13/21,1791.0
2/14/21,1947.0
2/15/21,1338.0
2/16/21,1132.0
2/17/21,1315.0
2/18/21,1143.0
2/19/21,1918.0
2/20/21,2047.0
2/21/21,1804.0
2/22/21,1507.0
2/23/21,1184.0
2/24/21,1310.0
2/25/21,939.0
2/26/21,1621.0
2/27/21,1179.0
2/28/21,1075.0
3/1/21,1039.0
3/2/21,849.0
3/3/21,1284.0
3/4/21,1154.0
3/5/21,2276.0
3/6/21,1735.0
3/7/21,1335.0
3/8/21,783.0
3/9/21,563.0
3/10/21,830.0
3/11/21,2025.0
3/12/21,1177.0
3/13/21,262.0
3/14/21,649.0
3/15/21,638.0
3/16/21,497.0
3/17/21,445.0
3/18/21,284.0
3/19/21,423.0
3/20/21,735.0
3/21/21,488.0
3/22/21,484.0
3/23/21,507.0
3/24/21,605.0
3/25/21,138.0
3/26/21,571.0
3/27/21,776.0
3/28/21,554.0
3/29/21,604.0
3/30/21,586.0
3/31/21,733.0
4/1/21,381.0
4/2/21,940.0
4/3/21,706.0
4/4/21,464.0
4/5/21,608.0
4/6/21,570.0
4/7/21,750.0
4/8/21,670.0
4/9/21,1302.0
4/10/21,819.0
4/11/21,540.0
4/12/21,675.0
4/13/21,610.0
4/14/21,419.0
4/15/21,460.0
4/16/21,845.0
4/17/21,480.0
4/18/21,711.0
4/19/21,692.0
4/20/21,702.0
4/21/21,649.0
4/22/21,647.0
4/23/21,896.0
4/24/21,729.0
4/25/21,661.0
4/26/21,750.0
4/27/21,682.0
4/28/21,603.0
4/29/21,881.0
4/30/21,844.0
5/1/21,1074.0
5/2/21,356.0
