,Arkansas
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,9.0
3/14/20,3.0
3/15/20,-9.0
3/16/20,0.0
3/17/20,0.0
3/18/20,1.0
3/19/20,58.0
3/20/20,38.0
3/21/20,22.0
3/22/20,43.0
3/23/20,27.0
3/24/20,27.0
3/25/20,61.0
3/26/20,55.0
3/27/20,46.0
3/28/20,28.0
3/29/20,17.0
3/30/20,47.0
3/31/20,50.0
4/1/20,61.0
4/2/20,59.0
4/3/20,61.0
4/4/20,39.0
4/5/20,94.0
4/6/20,38.0
4/7/20,71.0
4/8/20,54.0
4/9/20,119.0
4/10/20,52.0
4/11/20,57.0
4/12/20,52.0
4/13/20,130.0
4/14/20,88.0
4/15/20,71.0
4/16/20,51.0
4/17/20,75.0
4/18/20,49.0
4/19/20,37.0
4/20/20,192.0
4/21/20,17.0
4/22/20,286.0
4/23/20,323.0
4/24/20,211.0
4/25/20,101.0
4/26/20,90.0
4/27/20,68.0
4/28/20,58.0
4/29/20,66.0
4/30/20,88.0
5/1/20,56.0
5/2/20,35.0
5/3/20,65.0
5/4/20,54.0
5/5/20,34.0
5/6/20,86.0
5/7/20,92.0
5/8/20,44.0
5/9/20,0.0
5/10/20,265.0
5/11/20,31.0
5/12/20,121.0
5/13/20,72.0
5/14/20,130.0
5/15/20,97.0
5/16/20,115.0
5/17/20,181.0
5/18/20,54.0
5/19/20,110.0
5/20/20,80.0
5/21/20,455.0
5/22/20,154.0
5/23/20,163.0
5/24/20,147.0
5/25/20,107.0
5/26/20,151.0
5/27/20,97.0
5/28/20,261.0
5/29/20,239.0
5/30/20,236.0
5/31/20,240.0
6/1/20,190.0
6/2/20,375.0
6/3/20,249.0
6/4/20,358.0
6/5/20,226.0
6/6/20,450.0
6/7/20,325.0
6/8/20,314.0
6/9/20,340.0
6/10/20,288.0
6/11/20,448.0
6/12/20,731.0
6/13/20,548.0
6/14/20,406.0
6/15/20,416.0
6/16/20,274.0
6/17/20,415.0
6/18/20,322.0
6/19/20,703.0
6/20/20,511.0
6/21/20,419.0
6/22/20,522.0
6/23/20,595.0
6/24/20,697.0
6/25/20,687.0
6/26/20,678.0
6/27/20,570.0
6/28/20,508.0
6/29/20,439.0
6/30/20,520.0
7/1/20,420.0
7/2/20,878.0
7/3/20,547.0
7/4/20,587.0
7/5/20,605.0
7/6/20,439.0
7/7/20,259.0
7/8/20,734.0
7/9/20,806.0
7/10/20,751.0
7/11/20,1061.0
7/12/20,503.0
7/13/20,572.0
7/14/20,873.0
7/15/20,485.0
7/16/20,817.0
7/17/20,648.0
7/18/20,771.0
7/19/20,695.0
7/20/20,699.0
7/21/20,728.0
7/22/20,591.0
7/23/20,1013.0
7/24/20,990.0
7/25/20,732.0
7/26/20,642.0
7/27/20,824.0
7/28/20,734.0
7/29/20,787.0
7/30/20,791.0
7/31/20,752.0
8/1/20,662.0
8/2/20,637.0
8/3/20,787.0
8/4/20,784.0
8/5/20,912.0
8/6/20,735.0
8/7/20,1011.0
8/8/20,772.0
8/9/20,572.0
8/10/20,645.0
8/11/20,383.0
8/12/20,685.0
8/13/20,670.0
8/14/20,626.0
8/15/20,-400.0
8/16/20,673.0
8/17/20,412.0
8/18/20,410.0
8/19/20,729.0
8/20/20,549.0
8/21/20,887.0
8/22/20,547.0
8/23/20,375.0
8/24/20,320.0
8/25/20,480.0
8/26/20,649.0
8/27/20,722.0
8/28/20,838.0
8/29/20,795.0
8/30/20,478.0
8/31/20,368.0
9/1/20,273.0
9/2/20,615.0
9/3/20,969.0
9/4/20,1094.0
9/5/20,515.0
9/6/20,687.0
9/7/20,350.0
9/8/20,294.0
9/9/20,385.0
9/10/20,398.0
9/11/20,1107.0
9/12/20,1799.0
9/13/20,509.0
9/14/20,408.0
9/15/20,870.0
9/16/20,722.0
9/17/20,992.0
9/18/20,871.0
9/19/20,1078.0
9/20/20,563.0
9/21/20,641.0
9/22/20,617.0
9/23/20,982.0
9/24/20,1086.0
9/25/20,897.0
9/26/20,809.0
9/27/20,487.0
9/28/20,807.0
9/29/20,706.0
9/30/20,942.0
10/1/20,1124.0
10/2/20,958.0
10/3/20,746.0
10/4/20,488.0
10/5/20,417.0
10/6/20,641.0
10/7/20,809.0
10/8/20,1265.0
10/9/20,1167.0
10/10/20,908.0
10/11/20,613.0
10/12/20,654.0
10/13/20,680.0
10/14/20,1079.0
10/15/20,1278.0
10/16/20,1015.0
10/17/20,883.0
10/18/20,644.0
10/19/20,531.0
10/20/20,844.0
10/21/20,1155.0
10/22/20,1202.0
10/23/20,1337.0
10/24/20,1183.0
10/25/20,797.0
10/26/20,612.0
10/27/20,952.0
10/28/20,961.0
10/29/20,1072.0
10/30/20,1162.0
10/31/20,1316.0
11/1/20,867.0
11/2/20,584.0
11/3/20,878.0
11/4/20,1293.0
11/5/20,1548.0
11/6/20,1870.0
11/7/20,1598.0
11/8/20,1038.0
11/9/20,945.0
11/10/20,1424.0
11/11/20,1962.0
11/12/20,1809.0
11/13/20,2312.0
11/14/20,1848.0
11/15/20,874.0
11/16/20,1308.0
11/17/20,1554.0
11/18/20,1715.0
11/19/20,2238.0
11/20/20,2061.0
11/21/20,1905.0
11/22/20,1352.0
11/23/20,1017.0
11/24/20,2122.0
11/25/20,1965.0
11/26/20,2348.0
11/27/20,1052.0
11/28/20,1349.0
11/29/20,1221.0
11/30/20,1112.0
12/1/20,1950.0
12/2/20,2212.0
12/3/20,2789.0
12/4/20,2827.0
12/5/20,2245.0
12/6/20,1542.0
12/7/20,1118.0
12/8/20,2283.0
12/9/20,2327.0
12/10/20,2202.0
12/11/20,2770.0
12/12/20,2628.0
12/13/20,1450.0
12/14/20,1355.0
12/15/20,2141.0
12/16/20,2306.0
12/17/20,3039.0
12/18/20,2878.0
12/19/20,2693.0
12/20/20,1536.0
12/21/20,1457.0
12/22/20,1941.0
12/23/20,2893.0
12/24/20,3204.0
12/25/20,2122.0
12/26/20,702.0
12/27/20,908.0
12/28/20,1651.0
12/29/20,2718.0
12/30/20,3184.0
12/31/20,2708.0
1/1/21,4304.0
1/2/21,2000.0
1/3/21,2033.0
1/4/21,1306.0
1/5/21,4107.0
1/6/21,3705.0
1/7/21,3323.0
1/8/21,2944.0
1/9/21,2886.0
1/10/21,3330.0
1/11/21,1268.0
1/12/21,3209.0
1/13/21,2467.0
1/14/21,2491.0
1/15/21,3124.0
1/16/21,2543.0
1/17/21,976.0
1/18/21,1109.0
1/19/21,1331.0
1/20/21,2520.0
1/21/21,3106.0
1/22/21,2162.0
1/23/21,1613.0
1/24/21,1071.0
1/25/21,636.0
1/26/21,2485.0
1/27/21,1777.0
1/28/21,1892.0
1/29/21,1707.0
1/30/21,1824.0
1/31/21,881.0
2/1/21,1226.0
2/2/21,1510.0
2/3/21,2426.0
2/4/21,2469.0
2/5/21,1824.0
2/6/21,1341.0
2/7/21,672.0
2/8/21,637.0
2/9/21,1475.0
2/10/21,1092.0
2/11/21,1103.0
2/12/21,565.0
2/13/21,954.0
2/14/21,466.0
2/15/21,320.0
2/16/21,177.0
2/17/21,667.0
2/18/21,253.0
2/19/21,268.0
2/20/21,517.0
2/21/21,284.0
2/22/21,245.0
2/23/21,834.0
2/24/21,803.0
2/25/21,726.0
2/26/21,516.0
2/27/21,557.0
2/28/21,3220.0
3/1/21,94.0
3/2/21,440.0
3/3/21,404.0
3/4/21,403.0
3/5/21,570.0
3/6/21,327.0
3/7/21,165.0
3/8/21,133.0
3/9/21,432.0
3/10/21,317.0
3/11/21,340.0
3/12/21,459.0
3/13/21,314.0
3/14/21,130.0
3/15/21,117.0
3/16/21,396.0
3/17/21,325.0
3/18/21,264.0
3/19/21,228.0
3/20/21,274.0
3/21/21,108.0
3/22/21,52.0
3/23/21,239.0
3/24/21,231.0
3/25/21,334.0
3/26/21,184.0
3/27/21,165.0
3/28/21,69.0
3/29/21,79.0
3/30/21,178.0
3/31/21,212.0
4/1/21,211.0
4/2/21,144.0
4/3/21,217.0
4/4/21,84.0
4/5/21,44.0
4/6/21,163.0
4/7/21,244.0
4/8/21,199.0
4/9/21,178.0
4/10/21,171.0
4/11/21,100.0
4/12/21,69.0
4/13/21,224.0
4/14/21,220.0
4/15/21,283.0
4/16/21,237.0
4/17/21,221.0
4/18/21,45.0
4/19/21,59.0
4/20/21,198.0
4/21/21,352.0
4/22/21,161.0
4/23/21,236.0
4/24/21,184.0
4/25/21,64.0
4/26/21,63.0
4/27/21,229.0
4/28/21,291.0
4/29/21,240.0
4/30/21,196.0
5/1/21,243.0
5/2/21,137.0
