,California
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,2.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,1.0
2/1/20,0.0
2/2/20,0.0
2/3/20,3.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,1.0
2/12/20,0.0
2/13/20,1.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,2.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,1.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,9.0
3/3/20,4.0
3/4/20,10.0
3/5/20,16.0
3/6/20,8.0
3/7/20,22.0
3/8/20,14.0
3/9/20,6.0
3/10/20,43.0
3/11/20,34.0
3/12/20,43.0
3/13/20,60.0
3/14/20,91.0
3/15/20,1.0
3/16/20,184.0
3/17/20,143.0
3/18/20,131.0
3/19/20,178.0
3/20/20,234.0
3/21/20,169.0
3/22/20,239.0
3/23/20,462.0
3/24/20,429.0
3/25/20,467.0
3/26/20,901.0
3/27/20,769.0
3/28/20,431.0
3/29/20,753.0
3/30/20,1292.0
3/31/20,1078.0
4/1/20,1198.0
4/2/20,1378.0
4/3/20,1235.0
4/4/20,795.0
4/5/20,2196.0
4/6/20,1006.0
4/7/20,1328.0
4/8/20,1565.0
4/9/20,811.0
4/10/20,1375.0
4/11/20,600.0
4/12/20,1090.0
4/13/20,1149.0
4/14/20,1501.0
4/15/20,1259.0
4/16/20,968.0
4/17/20,1783.0
4/18/20,1335.0
4/19/20,855.0
4/20/20,2286.0
4/21/20,1847.0
4/22/20,1946.0
4/23/20,2207.0
4/24/20,1857.0
4/25/20,968.0
4/26/20,1117.0
4/27/20,1499.0
4/28/20,1327.0
4/29/20,2596.0
4/30/20,1402.0
5/1/20,1824.0
5/2/20,1297.0
5/3/20,1490.0
5/4/20,1096.0
5/5/20,2620.0
5/6/20,2206.0
5/7/20,1624.0
5/8/20,1695.0
5/9/20,2721.0
5/10/20,946.0
5/11/20,1808.0
5/12/20,1731.0
5/13/20,1833.0
5/14/20,1977.0
5/15/20,1847.0
5/16/20,2044.0
5/17/20,1338.0
5/18/20,1511.0
5/19/20,2315.0
5/20/20,2204.0
5/21/20,2112.0
5/22/20,2288.0
5/23/20,2165.0
5/24/20,1414.0
5/25/20,2334.0
5/26/20,3160.0
5/27/20,1723.0
5/28/20,2858.0
5/29/20,2830.0
5/30/20,3214.0
5/31/20,1982.0
6/1/20,2769.0
6/2/20,2604.0
6/3/20,2291.0
6/4/20,2933.0
6/5/20,3518.0
6/6/20,2714.0
6/7/20,2063.0
6/8/20,3303.0
6/9/20,3074.0
6/10/20,3125.0
6/11/20,3773.0
6/12/20,3348.0
6/13/20,3467.0
6/14/20,2160.0
6/15/20,3559.0
6/16/20,3529.0
6/17/20,4276.0
6/18/20,4918.0
6/19/20,4085.0
6/20/20,4448.0
6/21/20,3261.0
6/22/20,6811.0
6/23/20,7593.0
6/24/20,5322.0
6/25/20,5617.0
6/26/20,6272.0
6/27/20,3968.0
6/28/20,5101.0
6/29/20,8757.0
6/30/20,8146.0
7/1/20,7593.0
7/2/20,8177.0
7/3/20,4170.0
7/4/20,2245.0
7/5/20,11507.0
7/6/20,6475.0
7/7/20,12968.0
7/8/20,8281.0
7/9/20,9613.0
7/10/20,8523.0
7/11/20,7023.0
7/12/20,5487.0
7/13/20,9145.0
7/14/20,12679.0
7/15/20,8683.0
7/16/20,9805.0
7/17/20,8977.0
7/18/20,7375.0
7/19/20,5939.0
7/20/20,10982.0
7/21/20,11079.0
7/22/20,11791.0
7/23/20,9097.0
7/24/20,9247.0
7/25/20,6246.0
7/26/20,5457.0
7/27/20,6289.0
7/28/20,12778.0
7/29/20,14182.0
7/30/20,7982.0
7/31/20,7687.0
8/1/20,5872.0
8/2/20,5204.0
8/3/20,4565.0
8/4/20,10003.0
8/5/20,4315.0
8/6/20,10474.0
8/7/20,5913.0
8/8/20,7384.0
8/9/20,5107.0
8/10/20,13610.0
8/11/20,5662.0
8/12/20,11547.0
8/13/20,5949.0
8/14/20,14648.0
8/15/20,4972.0
8/16/20,5365.0
8/17/20,5543.0
8/18/20,8652.0
8/19/20,9043.0
8/20/20,5005.0
8/21/20,6634.0
8/22/20,5171.0
8/23/20,4764.0
8/24/20,6030.0
8/25/20,5583.0
8/26/20,5562.0
8/27/20,4834.0
8/28/20,5295.0
8/29/20,4399.0
8/30/20,3722.0
8/31/20,6539.0
9/1/20,3243.0
9/2/20,5556.0
9/3/20,4984.0
9/4/20,4679.0
9/5/20,4598.0
9/6/20,3251.0
9/7/20,2119.0
9/8/20,3373.0
9/9/20,3078.0
9/10/20,3505.0
9/11/20,4039.0
9/12/20,3941.0
9/13/20,2773.0
9/14/20,3599.0
9/15/20,3032.0
9/16/20,3524.0
9/17/20,3679.0
9/18/20,4465.0
9/19/20,3756.0
9/20/20,2786.0
9/21/20,3972.0
9/22/20,3069.0
9/23/20,3507.0
9/24/20,3338.0
9/25/20,4168.0
9/26/20,3767.0
9/27/20,2276.0
9/28/20,2927.0
9/29/20,3151.0
9/30/20,3519.0
10/1/20,3151.0
10/2/20,3931.0
10/3/20,3338.0
10/4/20,2961.0
10/5/20,2884.0
10/6/20,2861.0
10/7/20,3809.0
10/8/20,3473.0
10/9/20,3881.0
10/10/20,3252.0
10/11/20,2673.0
10/12/20,2809.0
10/13/20,3510.0
10/14/20,3948.0
10/15/20,3074.0
10/16/20,3201.0
10/17/20,2457.0
10/18/20,1996.0
10/19/20,4023.0
10/20/20,4103.0
10/21/20,3308.0
10/22/20,6448.0
10/23/20,5604.0
10/24/20,4696.0
10/25/20,2838.0
10/26/20,3946.0
10/27/20,4473.0
10/28/20,4461.0
10/29/20,4399.0
10/30/20,4479.0
10/31/20,4092.0
11/1/20,3875.0
11/2/20,5621.0
11/3/20,5123.0
11/4/20,5576.0
11/5/20,6529.0
11/6/20,6448.0
11/7/20,5038.0
11/8/20,6203.0
11/9/20,7106.0
11/10/20,8609.0
11/11/20,5427.0
11/12/20,10071.0
11/13/20,9853.0
11/14/20,8230.0
11/15/20,8742.0
11/16/20,11912.0
11/17/20,11407.0
11/18/20,12109.0
11/19/20,13997.0
11/20/20,13293.0
11/21/20,13628.0
11/22/20,8865.0
11/23/20,17943.0
11/24/20,17388.0
11/25/20,14479.0
11/26/20,7817.0
11/27/20,16795.0
11/28/20,13854.0
11/29/20,13956.0
11/30/20,18733.0
12/1/20,17975.0
12/2/20,19246.0
12/3/20,23438.0
12/4/20,25072.0
12/5/20,25580.0
12/6/20,27293.0
12/7/20,28928.0
12/8/20,28053.0
12/9/20,32909.0
12/10/20,35611.0
12/11/20,37142.0
12/12/20,29520.0
12/13/20,31609.0
12/14/20,25579.0
12/15/20,43022.0
12/16/20,62168.0
12/17/20,46762.0
12/18/20,48912.0
12/19/20,36110.0
12/20/20,39525.0
12/21/20,44941.0
12/22/20,36297.0
12/23/20,44657.0
12/24/20,33167.0
12/25/20,16763.0
12/26/20,59423.0
12/27/20,34280.0
12/28/20,43735.0
12/29/20,36090.0
12/30/20,32655.0
12/31/20,34185.0
1/1/21,39425.0
1/2/21,50222.0
1/3/21,37016.0
1/4/21,38256.0
1/5/21,38962.0
1/6/21,38363.0
1/7/21,41245.0
1/8/21,44837.0
1/9/21,50558.0
1/10/21,39525.0
1/11/21,40708.0
1/12/21,47369.0
1/13/21,38019.0
1/14/21,39940.0
1/15/21,38010.0
1/16/21,35095.0
1/17/21,31279.0
1/18/21,28577.0
1/19/21,35546.0
1/20/21,19081.0
1/21/21,25073.0
1/22/21,24502.0
1/23/21,20821.0
1/24/21,19447.0
1/25/21,25747.0
1/26/21,21823.0
1/27/21,16247.0
1/28/21,22613.0
1/29/21,19626.0
1/30/21,17418.0
1/31/21,13315.0
2/1/21,18383.0
2/2/21,13134.0
2/3/21,12500.0
2/4/21,14651.0
2/5/21,16813.0
2/6/21,8496.0
2/7/21,9741.0
2/8/21,14106.0
2/9/21,10584.0
2/10/21,8504.0
2/11/21,10577.0
2/12/21,9558.0
2/13/21,8917.0
2/14/21,5613.0
2/15/21,5551.0
2/16/21,8479.0
2/17/21,6531.0
2/18/21,5994.0
2/19/21,8829.0
2/20/21,6113.0
2/21/21,4508.0
2/22/21,5100.0
2/23/21,6394.0
2/24/21,5750.0
2/25/21,5539.0
2/26/21,5053.0
2/27/21,4412.0
2/28/21,3488.0
3/1/21,5967.0
3/2/21,4417.0
3/3/21,4354.0
3/4/21,5247.0
3/5/21,4993.0
3/6/21,4200.0
3/7/21,2551.0
3/8/21,3134.0
3/9/21,5446.0
3/10/21,3404.0
3/11/21,3557.0
3/12/21,4124.0
3/13/21,1914.0
3/14/21,2173.0
3/15/21,2964.0
3/16/21,2273.0
3/17/21,3272.0
3/18/21,3607.0
3/19/21,3033.0
3/20/21,2312.0
3/21/21,1352.0
3/22/21,3427.0
3/23/21,2505.0
3/24/21,2830.0
3/25/21,2530.0
3/26/21,3442.0
3/27/21,2104.0
3/28/21,1999.0
3/29/21,3200.0
3/30/21,2353.0
3/31/21,2479.0
4/1/21,2604.0
4/2/21,3842.0
4/3/21,992.0
4/4/21,690.0
4/5/21,5988.0
4/6/21,2184.0
4/7/21,2448.0
4/8/21,2538.0
4/9/21,3643.0
4/10/21,3306.0
4/11/21,3491.0
4/12/21,3599.0
4/13/21,2559.0
4/14/21,2087.0
4/15/21,3007.0
4/16/21,2864.0
4/17/21,1992.0
4/18/21,1631.0
4/19/21,2691.0
4/20/21,2545.0
4/21/21,1642.0
4/22/21,2825.0
4/23/21,1203.0
4/24/21,2029.0
4/25/21,625.0
4/26/21,2792.0
4/27/21,2183.0
4/28/21,1582.0
4/29/21,1711.0
4/30/21,2077.0
5/1/21,1566.0
5/2/21,1149.0
