,California
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,2
1/27/20,2
1/28/20,2
1/29/20,2
1/30/20,2
1/31/20,3
2/1/20,3
2/2/20,3
2/3/20,6
2/4/20,6
2/5/20,6
2/6/20,6
2/7/20,6
2/8/20,6
2/9/20,6
2/10/20,6
2/11/20,7
2/12/20,7
2/13/20,8
2/14/20,8
2/15/20,8
2/16/20,8
2/17/20,8
2/18/20,8
2/19/20,8
2/20/20,8
2/21/20,10
2/22/20,10
2/23/20,10
2/24/20,10
2/25/20,10
2/26/20,10
2/27/20,11
2/28/20,11
2/29/20,12
3/1/20,12
3/2/20,21
3/3/20,25
3/4/20,35
3/5/20,51
3/6/20,59
3/7/20,81
3/8/20,95
3/9/20,101
3/10/20,144
3/11/20,178
3/12/20,221
3/13/20,281
3/14/20,372
3/15/20,373
3/16/20,557
3/17/20,700
3/18/20,831
3/19/20,1009
3/20/20,1243
3/21/20,1412
3/22/20,1651
3/23/20,2113
3/24/20,2542
3/25/20,3009
3/26/20,3910
3/27/20,4679
3/28/20,5110
3/29/20,5863
3/30/20,7155
3/31/20,8233
4/1/20,9431
4/2/20,10809
4/3/20,12044
4/4/20,12839
4/5/20,15035
4/6/20,16041
4/7/20,17369
4/8/20,18934
4/9/20,19745
4/10/20,21120
4/11/20,21720
4/12/20,22810
4/13/20,23959
4/14/20,25460
4/15/20,26719
4/16/20,27687
4/17/20,29470
4/18/20,30805
4/19/20,31660
4/20/20,33946
4/21/20,35793
4/22/20,37739
4/23/20,39946
4/24/20,41803
4/25/20,42771
4/26/20,43888
4/27/20,45387
4/28/20,46714
4/29/20,49310
4/30/20,50712
5/1/20,52536
5/2/20,53833
5/3/20,55323
5/4/20,56419
5/5/20,59039
5/6/20,61245
5/7/20,62869
5/8/20,64564
5/9/20,67285
5/10/20,68231
5/11/20,70039
5/12/20,71770
5/13/20,73603
5/14/20,75580
5/15/20,77427
5/16/20,79471
5/17/20,80809
5/18/20,82320
5/19/20,84635
5/20/20,86839
5/21/20,88951
5/22/20,91239
5/23/20,93404
5/24/20,94818
5/25/20,97152
5/26/20,100312
5/27/20,102035
5/28/20,104893
5/29/20,107723
5/30/20,110937
5/31/20,112919
6/1/20,115688
6/2/20,118292
6/3/20,120583
6/4/20,123516
6/5/20,127034
6/6/20,129748
6/7/20,131811
6/8/20,135114
6/9/20,138188
6/10/20,141313
6/11/20,145086
6/12/20,148434
6/13/20,151901
6/14/20,154061
6/15/20,157620
6/16/20,161149
6/17/20,165425
6/18/20,170343
6/19/20,174428
6/20/20,178876
6/21/20,182137
6/22/20,188948
6/23/20,196541
6/24/20,201863
6/25/20,207480
6/26/20,213752
6/27/20,217720
6/28/20,222821
6/29/20,231578
6/30/20,239724
7/1/20,247317
7/2/20,255494
7/3/20,259664
7/4/20,261909
7/5/20,273416
7/6/20,279891
7/7/20,292859
7/8/20,301140
7/9/20,310753
7/10/20,319276
7/11/20,326299
7/12/20,331786
7/13/20,340931
7/14/20,353610
7/15/20,362293
7/16/20,372098
7/17/20,381075
7/18/20,388450
7/19/20,394389
7/20/20,405371
7/21/20,416450
7/22/20,428241
7/23/20,437338
7/24/20,446585
7/25/20,452831
7/26/20,458288
7/27/20,464577
7/28/20,477355
7/29/20,491537
7/30/20,499519
7/31/20,507206
8/1/20,513078
8/2/20,518282
8/3/20,522847
8/4/20,532850
