,Connecticut
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,1.0
3/11/20,2.0
3/12/20,2.0
3/13/20,6.0
3/14/20,12.0
3/15/20,1.0
3/16/20,17.0
3/17/20,27.0
3/18/20,28.0
3/19/20,63.0
3/20/20,35.0
3/21/20,0.0
3/22/20,133.0
3/23/20,88.0
3/24/20,203.0
3/25/20,257.0
3/26/20,137.0
3/27/20,279.0
3/28/20,233.0
3/29/20,469.0
3/30/20,578.0
3/31/20,557.0
4/1/20,429.0
4/2/20,267.0
4/3/20,1090.0
4/4/20,362.0
4/5/20,399.0
4/6/20,1231.0
4/7/20,875.0
4/8/20,0.0
4/9/20,2003.0
4/10/20,754.0
4/11/20,972.0
4/12/20,525.0
4/13/20,1346.0
4/14/20,608.0
4/15/20,766.0
4/16/20,1129.0
4/17/20,925.0
4/18/20,741.0
4/19/20,412.0
4/20/20,1853.0
4/21/20,545.0
4/22/20,2109.0
4/23/20,631.0
4/24/20,836.0
4/25/20,647.0
4/26/20,686.0
4/27/20,728.0
4/28/20,315.0
4/29/20,455.0
4/30/20,933.0
5/1/20,1064.0
5/2/20,523.0
5/3/20,0.0
5/4/20,686.0
5/5/20,648.0
5/6/20,374.0
5/7/20,789.0
5/8/20,627.0
5/9/20,573.0
5/10/20,570.0
5/11/20,211.0
5/12/20,568.0
5/13/20,522.0
5/14/20,609.0
5/15/20,621.0
5/16/20,618.0
5/17/20,716.0
5/18/20,697.0
5/19/20,314.0
5/20/20,587.0
5/21/20,191.0
5/22/20,432.0
5/23/20,382.0
5/24/20,446.0
5/25/20,405.0
5/26/20,430.0
5/27/20,-15.0
5/28/20,271.0
5/29/20,203.0
5/30/20,260.0
5/31/20,179.0
6/1/20,539.0
6/2/20,239.0
6/3/20,112.0
6/4/20,148.0
6/5/20,221.0
6/6/20,358.0
6/7/20,150.0
6/8/20,124.0
6/9/20,87.0
6/10/20,168.0
6/11/20,114.0
6/12/20,228.0
6/13/20,305.0
6/14/20,94.0
6/15/20,147.0
6/16/20,114.0
6/17/20,80.0
6/18/20,11.0
6/19/20,117.0
6/20/20,158.0
6/21/20,40.0
6/22/20,27.0
6/23/20,117.0
6/24/20,14.0
6/25/20,81.0
6/26/20,65.0
6/27/20,147.0
6/28/20,97.0
6/29/20,59.0
6/30/20,152.0
7/1/20,58.0
7/2/20,74.0
7/3/20,71.0
7/4/20,0.0
7/5/20,0.0
7/6/20,259.0
7/7/20,57.0
7/8/20,75.0
7/9/20,101.0
7/10/20,78.0
7/11/20,0.0
7/12/20,0.0
7/13/20,223.0
7/14/20,20.0
7/15/20,106.0
7/16/20,114.0
7/17/20,143.0
7/18/20,0.0
7/19/20,0.0
7/20/20,162.0
7/21/20,41.0
7/22/20,127.0
7/23/20,9.0
7/24/20,544.0
7/25/20,0.0
7/26/20,0.0
7/27/20,207.0
7/28/20,94.0
7/29/20,463.0
7/30/20,130.0
7/31/20,140.0
8/1/20,0.0
8/2/20,0.0
8/3/20,252.0
8/4/20,48.0
8/5/20,115.0
8/6/20,20.0
8/7/20,75.0
8/8/20,0.0
8/9/20,0.0
8/10/20,247.0
8/11/20,117.0
8/12/20,22.0
8/13/20,76.0
8/14/20,115.0
8/15/20,0.0
8/16/20,0.0
8/17/20,370.0
8/18/20,-12.0
8/19/20,59.0
8/20/20,118.0
8/21/20,87.0
8/22/20,0.0
8/23/20,0.0
8/24/20,492.0
8/25/20,29.0
8/26/20,180.0
8/27/20,130.0
8/28/20,145.0
8/29/20,0.0
8/30/20,0.0
8/31/20,384.0
9/1/20,127.0
9/2/20,102.0
9/3/20,101.0
9/4/20,156.0
9/5/20,0.0
9/6/20,0.0
9/7/20,0.0
9/8/20,417.0
9/9/20,89.0
9/10/20,222.0
9/11/20,233.0
9/12/20,0.0
9/13/20,0.0
9/14/20,569.0
9/15/20,136.0
9/16/20,135.0
9/17/20,220.0
9/18/20,141.0
9/19/20,0.0
9/20/20,0.0
9/21/20,497.0
9/22/20,136.0
9/23/20,155.0
9/24/20,157.0
9/25/20,115.0
9/26/20,0.0
9/27/20,0.0
9/28/20,560.0
9/29/20,182.0
9/30/20,221.0
10/1/20,192.0
10/2/20,555.0
10/3/20,0.0
10/4/20,0.0
10/5/20,823.0
10/6/20,121.0
10/7/20,123.0
10/8/20,384.0
10/9/20,290.0
10/10/20,0.0
10/11/20,0.0
10/12/20,1339.0
10/13/20,320.0
10/14/20,164.0
10/15/20,167.0
10/16/20,802.0
10/17/20,0.0
10/18/20,0.0
10/19/20,1191.0
10/20/20,434.0
10/21/20,416.0
10/22/20,502.0
10/23/20,679.0
10/24/20,0.0
10/25/20,0.0
10/26/20,2047.0
10/27/20,538.0
10/28/20,490.0
10/29/20,1319.0
10/30/20,761.0
10/31/20,0.0
11/1/20,0.0
11/2/20,2651.0
11/3/20,985.0
11/4/20,530.0
11/5/20,1687.0
11/6/20,1065.0
11/7/20,0.0
11/8/20,0.0
11/9/20,3307.0
11/10/20,1521.0
11/11/20,1788.0
11/12/20,1158.0
11/13/20,2746.0
11/14/20,0.0
11/15/20,0.0
11/16/20,4639.0
11/17/20,1702.0
11/18/20,2042.0
11/19/20,2353.0
11/20/20,2088.0
11/21/20,0.0
11/22/20,0.0
11/23/20,5271.0
11/24/20,540.0
11/25/20,1872.0
11/26/20,0.0
11/27/20,3429.0
11/28/20,0.0
11/29/20,0.0
11/30/20,4714.0
12/1/20,1459.0
12/2/20,2672.0
12/3/20,4751.0
12/4/20,1538.0
12/5/20,0.0
12/6/20,0.0
12/7/20,8129.0
12/8/20,2414.0
12/9/20,2290.0
12/10/20,2431.0
12/11/20,3782.0
12/12/20,0.0
12/13/20,0.0
12/14/20,7231.0
12/15/20,1470.0
12/16/20,2319.0
12/17/20,2321.0
12/18/20,2680.0
12/19/20,0.0
12/20/20,0.0
12/21/20,4595.0
12/22/20,1583.0
12/23/20,1745.0
12/24/20,2038.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,8457.0
12/29/20,767.0
12/30/20,1696.0
12/31/20,2045.0
1/1/21,0.0
1/2/21,4412.0
1/3/21,0.0
1/4/21,4516.0
1/5/21,2332.0
1/6/21,2486.0
1/7/21,3304.0
1/8/21,3236.0
1/9/21,0.0
1/10/21,0.0
1/11/21,7364.0
1/12/21,3689.0
1/13/21,3529.0
1/14/21,968.0
1/15/21,1878.0
1/16/21,0.0
1/17/21,0.0
1/18/21,6703.0
1/19/21,2094.0
1/20/21,1915.0
1/21/21,1662.0
1/22/21,2019.0
1/23/21,0.0
1/24/21,0.0
1/25/21,5817.0
1/26/21,1267.0
1/27/21,2440.0
1/28/21,1426.0
1/29/21,1258.0
1/30/21,0.0
1/31/21,0.0
2/1/21,3931.0
2/2/21,2568.0
2/3/21,482.0
2/4/21,937.0
2/5/21,1431.0
2/6/21,0.0
2/7/21,0.0
2/8/21,4367.0
2/9/21,869.0
2/10/21,888.0
2/11/21,1003.0
2/12/21,838.0
2/13/21,0.0
2/14/21,0.0
2/15/21,2905.0
2/16/21,580.0
2/17/21,534.0
2/18/21,547.0
2/19/21,1198.0
2/20/21,0.0
2/21/21,0.0
2/22/21,2233.0
2/23/21,1357.0
2/24/21,1493.0
2/25/21,975.0
2/26/21,787.0
2/27/21,0.0
2/28/21,0.0
3/1/21,2680.0
3/2/21,502.0
3/3/21,494.0
3/4/21,878.0
3/5/21,830.0
3/6/21,0.0
3/7/21,0.0
3/8/21,2066.0
3/9/21,749.0
3/10/21,512.0
3/11/21,735.0
3/12/21,1185.0
3/13/21,0.0
3/14/21,0.0
3/15/21,2525.0
3/16/21,853.0
3/17/21,373.0
3/18/21,1156.0
3/19/21,1207.0
3/20/21,0.0
3/21/21,0.0
3/22/21,2976.0
3/23/21,898.0
3/24/21,1457.0
3/25/21,1488.0
3/26/21,1700.0
3/27/21,0.0
3/28/21,0.0
3/29/21,3229.0
3/30/21,1617.0
3/31/21,568.0
4/1/21,1844.0
4/2/21,1488.0
4/3/21,0.0
4/4/21,0.0
4/5/21,2699.0
4/6/21,1074.0
4/7/21,1038.0
4/8/21,1012.0
4/9/21,1807.0
4/10/21,0.0
4/11/21,0.0
4/12/21,2985.0
4/13/21,1118.0
4/14/21,1609.0
4/15/21,702.0
4/16/21,1062.0
4/17/21,0.0
4/18/21,0.0
4/19/21,2339.0
4/20/21,738.0
4/21/21,856.0
4/22/21,737.0
4/23/21,1034.0
4/24/21,0.0
4/25/21,0.0
4/26/21,2167.0
4/27/21,407.0
4/28/21,621.0
4/29/21,486.0
4/30/21,786.0
5/1/21,0.0
5/2/21,0.0
