,Florida
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,1.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,4.0
3/8/20,3.0
3/9/20,3.0
3/10/20,2.0
3/11/20,9.0
3/12/20,6.0
3/13/20,20.0
3/14/20,26.0
3/15/20,24.0
3/16/20,1.0
3/17/20,89.0
3/18/20,116.0
3/19/20,126.0
3/20/20,132.0
3/21/20,199.0
3/22/20,241.0
3/23/20,223.0
3/24/20,185.0
3/25/20,270.0
3/26/20,675.0
3/27/20,543.0
3/28/20,863.0
3/29/20,483.0
3/30/20,1227.0
3/31/20,1268.0
4/1/20,215.0
4/2/20,2052.0
4/3/20,1260.0
4/4/20,1269.0
4/5/20,813.0
4/6/20,974.0
4/7/20,1221.0
4/8/20,911.0
4/9/20,908.0
4/10/20,1167.0
4/11/20,963.0
4/12/20,1401.0
4/13/20,1124.0
4/14/20,609.0
4/15/20,883.0
4/16/20,832.0
4/17/20,1416.0
4/18/20,733.0
4/19/20,822.0
4/20/20,745.0
4/21/20,810.0
4/22/20,440.0
4/23/20,1339.0
4/24/20,885.0
4/25/20,306.0
4/26/20,693.0
4/27/20,606.0
4/28/20,710.0
4/29/20,345.0
4/30/20,497.0
5/1/20,1038.0
5/2/20,735.0
5/3/20,615.0
5/4/20,819.0
5/5/20,542.0
5/6/20,563.0
5/7/20,826.0
5/8/20,371.0
5/9/20,802.0
5/10/20,595.0
5/11/20,386.0
5/12/20,941.0
5/13/20,479.0
5/14/20,808.0
5/15/20,928.0
5/16/20,673.0
5/17/20,777.0
5/18/20,854.0
5/19/20,502.0
5/20/20,527.0
5/21/20,1204.0
5/22/20,776.0
5/23/20,676.0
5/24/20,740.0
5/25/20,879.0
5/26/20,509.0
5/27/20,379.0
5/28/20,651.0
5/29/20,1212.0
5/30/20,927.0
5/31/20,739.0
6/1/20,667.0
6/2/20,617.0
6/3/20,1317.0
6/4/20,1419.0
6/5/20,1305.0
6/6/20,1270.0
6/7/20,1180.0
6/8/20,966.0
6/9/20,1096.0
6/10/20,1371.0
6/11/20,1698.0
6/12/20,1902.0
6/13/20,2581.0
6/14/20,2016.0
6/15/20,1758.0
6/16/20,2783.0
6/17/20,2610.0
6/18/20,3207.0
6/19/20,3822.0
6/20/20,4049.0
6/21/20,3494.0
6/22/20,2926.0
6/23/20,3286.0
6/24/20,5511.0
6/25/20,5004.0
6/26/20,8942.0
6/27/20,9585.0
6/28/20,8530.0
6/29/20,5266.0
6/30/20,6093.0
7/1/20,6563.0
7/2/20,10109.0
7/3/20,9488.0
7/4/20,11458.0
7/5/20,10059.0
7/6/20,6336.0
7/7/20,7347.0
7/8/20,9989.0
7/9/20,8935.0
7/10/20,11433.0
7/11/20,10360.0
7/12/20,15300.0
7/13/20,12624.0
7/14/20,9194.0
7/15/20,10181.0
7/16/20,13965.0
7/17/20,11466.0
7/18/20,10328.0
7/19/20,12478.0
7/20/20,10347.0
7/21/20,9440.0
7/22/20,9785.0
7/23/20,10249.0
7/24/20,12444.0
7/25/20,12199.0
7/26/20,9344.0
7/27/20,8892.0
7/28/20,9230.0
7/29/20,9446.0
7/30/20,9956.0
7/31/20,9007.0
8/1/20,9642.0
8/2/20,7104.0
8/3/20,4752.0
8/4/20,5446.0
8/5/20,5409.0
8/6/20,7650.0
8/7/20,7686.0
8/8/20,8502.0
8/9/20,6229.0
8/10/20,4155.0
8/11/20,5831.0
8/12/20,8109.0
8/13/20,6236.0
8/14/20,6148.0
8/15/20,6352.0
8/16/20,3779.0
8/17/20,2678.0
8/18/20,3838.0
8/19/20,4115.0
8/20/20,4555.0
8/21/20,4684.0
8/22/20,4311.0
8/23/20,2974.0
8/24/20,2258.0
8/25/20,2673.0
8/26/20,3220.0
8/27/20,3269.0
8/28/20,3815.0
8/29/20,3197.0
8/30/20,2583.0
8/31/20,1885.0
9/1/20,7569.0
9/2/20,2402.0
9/3/20,3571.0
9/4/20,3198.0
9/5/20,3656.0
9/6/20,2564.0
9/7/20,1838.0
9/8/20,1823.0
9/9/20,2167.0
9/10/20,2472.0
9/11/20,3650.0
9/12/20,3190.0
9/13/20,2423.0
9/14/20,1736.0
9/15/20,3116.0
9/16/20,2355.0
9/17/20,3255.0
9/18/20,3204.0
9/19/20,3573.0
9/20/20,2521.0
9/21/20,1685.0
9/22/20,2470.0
9/23/20,2590.0
9/24/20,2541.0
9/25/20,2847.0
9/26/20,2795.0
9/27/20,1882.0
9/28/20,738.0
9/29/20,3266.0
9/30/20,1948.0
10/1/20,2628.0
10/2/20,2660.0
10/3/20,2787.0
10/4/20,1868.0
10/5/20,1415.0
10/6/20,2251.0
10/7/20,2582.0
10/8/20,3306.0
10/9/20,2908.0
10/10/20,0.0
10/11/20,5570.0
10/12/20,1533.0
10/13/20,2725.0
10/14/20,2883.0
10/15/20,3356.0
10/16/20,3449.0
10/17/20,4044.0
10/18/20,2539.0
10/19/20,1707.0
10/20/20,3662.0
10/21/20,2144.0
10/22/20,5558.0
10/23/20,3689.0
10/24/20,4471.0
10/25/20,2385.0
10/26/20,3377.0
10/27/20,4298.0
10/28/20,4115.0
10/29/20,4198.0
10/30/20,5592.0
10/31/20,2331.0
11/1/20,4865.0
11/2/20,4651.0
11/3/20,4637.0
11/4/20,4423.0
11/5/20,6257.0
11/6/20,5245.0
11/7/20,4452.0
11/8/20,6820.0
11/9/20,3924.0
11/10/20,4353.0
11/11/20,5838.0
11/12/20,5607.0
11/13/20,6933.0
11/14/20,4544.0
11/15/20,10105.0
11/16/20,4663.0
11/17/20,7459.0
11/18/20,7925.0
11/19/20,9085.0
11/20/20,9085.0
11/21/20,8409.0
11/22/20,6587.0
11/23/20,6331.0
11/24/20,8555.0
11/25/20,8376.0
11/26/20,0.0
11/27/20,17344.0
11/28/20,6277.0
11/29/20,7363.0
11/30/20,6659.0
12/1/20,8847.0
12/2/20,9994.0
12/3/20,10870.0
12/4/20,10177.0
12/5/20,10431.0
12/6/20,8436.0
12/7/20,7711.0
12/8/20,7985.0
12/9/20,9592.0
12/10/20,11335.0
12/11/20,11699.0
12/12/20,10577.0
12/13/20,8958.0
12/14/20,8452.0
12/15/20,9411.0
12/16/20,11541.0
12/17/20,13148.0
12/18/20,13000.0
12/19/20,11682.0
12/20/20,8401.0
12/21/20,11015.0
12/22/20,10434.0
12/23/20,11384.0
12/24/20,13147.0
12/25/20,0.0
12/26/20,17042.0
12/27/20,7391.0
12/28/20,8198.0
12/29/20,12075.0
12/30/20,13871.0
12/31/20,17192.0
1/1/21,0.0
1/2/21,31518.0
1/3/21,10603.0
1/4/21,11256.0
1/5/21,15431.0
1/6/21,17783.0
1/7/21,19816.0
1/8/21,19530.0
1/9/21,15445.0
1/10/21,12313.0
1/11/21,11576.0
1/12/21,14896.0
1/13/21,13990.0
1/14/21,13720.0
1/15/21,16875.0
1/16/21,12119.0
1/17/21,11093.0
1/18/21,8002.0
1/19/21,9816.0
1/20/21,11914.0
1/21/21,12873.0
1/22/21,13719.0
1/23/21,12311.0
1/24/21,9535.0
1/25/21,8720.0
1/26/21,9594.0
1/27/21,8408.0
1/28/21,11423.0
1/29/21,10976.0
1/30/21,15019.0
1/31/21,7788.0
2/1/21,5730.0
2/2/21,10533.0
2/3/21,6979.0
2/4/21,7711.0
2/5/21,11543.0
2/6/21,7486.0
2/7/21,6624.0
2/8/21,5737.0
2/9/21,7023.0
2/10/21,7537.0
2/11/21,8525.0
2/12/21,7617.0
2/13/21,7515.0
2/14/21,5436.0
2/15/21,3615.0
2/16/21,6297.0
2/17/21,7342.0
2/18/21,5117.0
2/19/21,6683.0
2/20/21,7280.0
2/21/21,5065.0
2/22/21,4151.0
2/23/21,5610.0
2/24/21,7128.0
2/25/21,6640.0
2/26/21,5922.0
2/27/21,5459.0
2/28/21,5539.0
3/1/21,1700.0
3/2/21,7179.0
3/3/21,6014.0
3/4/21,6118.0
3/5/21,5975.0
3/6/21,4690.0
3/7/21,4098.0
3/8/21,3312.0
3/9/21,4426.0
3/10/21,4853.0
3/11/21,5065.0
3/12/21,5214.0
3/13/21,5244.0
3/14/21,3699.0
3/15/21,2826.0
3/16/21,4791.0
3/17/21,4599.0
3/18/21,5093.0
3/19/21,5140.0
3/20/21,5105.0
3/21/21,3987.0
3/22/21,2862.0
3/23/21,5302.0
3/24/21,5143.0
3/25/21,5773.0
3/26/21,5750.0
3/27/21,5883.0
3/28/21,4943.0
3/29/21,3374.0
3/30/21,5062.0
3/31/21,5294.0
4/1/21,6790.0
4/2/21,6490.0
4/3/21,6017.0
4/4/21,4794.0
4/5/21,3480.0
4/6/21,5556.0
4/7/21,5885.0
4/8/21,7939.0
4/9/21,7121.0
4/10/21,6906.0
4/11/21,5520.0
4/12/21,1613.0
4/13/21,9068.0
4/14/21,6772.0
4/15/21,6762.0
4/16/21,7296.0
4/17/21,6323.0
4/18/21,6834.0
4/19/21,4237.0
4/20/21,5645.0
4/21/21,5571.0
4/22/21,6684.0
4/23/21,5464.0
4/24/21,7411.0
4/25/21,4671.0
4/26/21,3513.0
4/27/21,5271.0
4/28/21,5178.0
4/29/21,5666.0
4/30/21,5306.0
5/1/21,5419.0
5/2/21,3841.0
