,Georgia
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,2.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,2.0
3/8/20,0.0
3/9/20,5.0
3/10/20,7.0
3/11/20,6.0
3/12/20,8.0
3/13/20,11.0
3/14/20,31.0
3/15/20,26.0
3/16/20,22.0
3/17/20,25.0
3/18/20,51.0
3/19/20,90.0
3/20/20,198.0
3/21/20,70.0
3/22/20,66.0
3/23/20,151.0
3/24/20,254.0
3/25/20,221.0
3/26/20,278.0
3/27/20,475.0
3/28/20,366.0
3/29/20,285.0
3/30/20,157.0
3/31/20,1121.0
4/1/20,709.0
4/2/20,710.0
4/3/20,483.0
4/4/20,329.0
4/5/20,487.0
4/6/20,667.0
4/7/20,1508.0
4/8/20,1079.0
4/9/20,665.0
4/10/20,919.0
4/11/20,674.0
4/12/20,293.0
4/13/20,863.0
4/14/20,1263.0
4/15/20,409.0
4/16/20,682.0
4/17/20,1525.0
4/18/20,475.0
4/19/20,632.0
4/20/20,1106.0
4/21/20,474.0
4/22/20,1333.0
4/23/20,669.0
4/24/20,608.0
4/25/20,731.0
4/26/20,264.0
4/27/20,816.0
4/28/20,620.0
4/29/20,853.0
4/30/20,489.0
5/1/20,1225.0
5/2/20,842.0
5/3/20,334.0
5/4/20,786.0
5/5/20,547.0
5/6/20,745.0
5/7/20,875.0
5/8/20,563.0
5/9/20,407.0
5/10/20,992.0
5/11/20,422.0
5/12/20,922.0
5/13/20,503.0
5/14/20,550.0
5/15/20,795.0
5/16/20,440.0
5/17/20,367.0
5/18/20,704.0
5/19/20,572.0
5/20/20,946.0
5/21/20,862.0
5/22/20,819.0
5/23/20,760.0
5/24/20,660.0
5/25/20,498.0
5/26/20,583.0
5/27/20,655.0
5/28/20,628.0
5/29/20,615.0
5/30/20,450.0
5/31/20,732.0
6/1/20,839.0
6/2/20,305.0
6/3/20,687.0
6/4/20,965.0
6/5/20,762.0
6/6/20,738.0
6/7/20,539.0
6/8/20,599.0
6/9/20,752.0
6/10/20,731.0
6/11/20,993.0
6/12/20,810.0
6/13/20,1021.0
6/14/20,877.0
6/15/20,733.0
6/16/20,664.0
6/17/20,952.0
6/18/20,882.0
6/19/20,1097.0
6/20/20,1800.0
6/21/20,892.0
6/22/20,1227.0
6/23/20,1882.0
6/24/20,1571.0
6/25/20,1714.0
6/26/20,1900.0
6/27/20,1990.0
6/28/20,2225.0
6/29/20,2207.0
6/30/20,1874.0
7/1/20,2951.0
7/2/20,3467.0
7/3/20,2784.0
7/4/20,2826.0
7/5/20,2197.0
7/6/20,1548.0
7/7/20,3406.0
7/8/20,3420.0
7/9/20,2837.0
7/10/20,4490.0
7/11/20,3184.0
7/12/20,2534.0
7/13/20,3637.0
7/14/20,3391.0
7/15/20,3875.0
7/16/20,3449.0
7/17/20,3905.0
7/18/20,4688.0
7/19/20,3249.0
7/20/20,2453.0
7/21/20,3406.0
7/22/20,3314.0
7/23/20,4305.0
7/24/20,4813.0
7/25/20,3768.0
7/26/20,2765.0
7/27/20,2890.0
7/28/20,4209.0
7/29/20,3271.0
7/30/20,3963.0
7/31/20,4066.0
8/1/20,3660.0
8/2/20,3165.0
8/3/20,2258.0
8/4/20,2513.0
8/5/20,3765.0
8/6/20,3182.0
8/7/20,4109.0
8/8/20,4423.0
8/9/20,3169.0
8/10/20,2429.0
8/11/20,3563.0
8/12/20,3565.0
8/13/20,2515.0
8/14/20,3227.0
8/15/20,3273.0
8/16/20,1862.0
8/17/20,1831.0
8/18/20,2816.0
8/19/20,2305.0
8/20/20,2759.0
8/21/20,2889.0
8/22/20,2592.0
8/23/20,1727.0
8/24/20,2304.0
8/25/20,2101.0
8/26/20,2236.0
8/27/20,2484.0
8/28/20,2298.0
8/29/20,2386.0
8/30/20,1215.0
8/31/20,1498.0
9/1/20,2226.0
9/2/20,1916.0
9/3/20,2675.0
9/4/20,2066.0
9/5/20,2194.0
9/6/20,1651.0
9/7/20,608.0
9/8/20,1543.0
9/9/20,1950.0
9/10/20,1823.0
9/11/20,1658.0
9/12/20,2124.0
9/13/20,1409.0
9/14/20,1023.0
9/15/20,1657.0
9/16/20,2062.0
9/17/20,1847.0
9/18/20,1951.0
9/19/20,2167.0
9/20/20,1134.0
9/21/20,1184.0
9/22/20,955.0
9/23/20,1867.0
9/24/20,1537.0
9/25/20,816.0
9/26/20,1359.0
9/27/20,812.0
9/28/20,596.0
9/29/20,1025.0
9/30/20,1720.0
10/1/20,1333.0
10/2/20,1275.0
10/3/20,1535.0
10/4/20,756.0
10/5/20,789.0
10/6/20,936.0
10/7/20,1492.0
10/8/20,1265.0
10/9/20,1625.0
10/10/20,1237.0
10/11/20,1140.0
10/12/20,902.0
10/13/20,993.0
10/14/20,1297.0
10/15/20,1640.0
10/16/20,1609.0
10/17/20,1534.0
10/18/20,1174.0
10/19/20,752.0
10/20/20,1128.0
10/21/20,1312.0
10/22/20,1785.0
10/23/20,2224.0
10/24/20,1846.0
10/25/20,1318.0
10/26/20,958.0
10/27/20,1491.0
10/28/20,1653.0
10/29/20,1823.0
10/30/20,1377.0
10/31/20,2565.0
11/1/20,1192.0
11/2/20,939.0
11/3/20,31605.0
11/4/20,2611.0
11/5/20,2488.0
11/6/20,2802.0
11/7/20,2610.0
11/8/20,1024.0
11/9/20,1272.0
11/10/20,4319.0
11/11/20,2242.0
11/12/20,2982.0
11/13/20,2994.0
11/14/20,3035.0
11/15/20,2084.0
11/16/20,1247.0
11/17/20,4335.0
11/18/20,3161.0
11/19/20,3424.0
11/20/20,3435.0
11/21/20,6213.0
11/22/20,2328.0
11/23/20,1924.0
11/24/20,3676.0
11/25/20,3177.0
11/26/20,3608.0
11/27/20,3009.0
11/28/20,3038.0
11/29/20,1952.0
11/30/20,2047.0
12/1/20,4842.0
12/2/20,5734.0
12/3/20,5839.0
12/4/20,6376.0
12/5/20,5017.0
12/6/20,2034.0
12/7/20,5285.0
12/8/20,5577.0
12/9/20,5512.0
12/10/20,7623.0
12/11/20,6191.0
12/12/20,6447.0
12/13/20,4798.0
12/14/20,3720.0
12/15/20,7437.0
12/16/20,6624.0
12/17/20,7777.0
12/18/20,8141.0
12/19/20,5763.0
12/20/20,5618.0
12/21/20,3520.0
12/22/20,9079.0
12/23/20,7773.0
12/24/20,10286.0
12/25/20,6054.0
12/26/20,4158.0
12/27/20,3511.0
12/28/20,3941.0
12/29/20,9450.0
12/30/20,9053.0
12/31/20,11709.0
1/1/21,11137.0
1/2/21,7533.0
1/3/21,5778.0
1/4/21,5163.0
1/5/21,10091.0
1/6/21,7686.0
1/7/21,9790.0
1/8/21,13296.0
1/9/21,11926.0
1/10/21,8193.0
1/11/21,7454.0
1/12/21,9193.0
1/13/21,8596.0
1/14/21,9036.0
1/15/21,9806.0
1/16/21,8533.0
1/17/21,6332.0
1/18/21,4957.0
1/19/21,7629.0
1/20/21,8068.0
1/21/21,8150.0
1/22/21,8374.0
1/23/21,8985.0
1/24/21,4753.0
1/25/21,3917.0
1/26/21,8393.0
1/27/21,6384.0
1/28/21,7352.0
1/29/21,6558.0
1/30/21,6343.0
1/31/21,3587.0
2/1/21,3034.0
2/2/21,4961.0
2/3/21,4924.0
2/4/21,5706.0
2/5/21,4842.0
2/6/21,4490.0
2/7/21,3589.0
2/8/21,2704.0
2/9/21,3721.0
2/10/21,3490.0
2/11/21,4179.0
2/12/21,3900.0
2/13/21,3823.0
2/14/21,1929.0
2/15/21,2070.0
2/16/21,2895.0
2/17/21,3545.0
2/18/21,3485.0
2/19/21,3679.0
2/20/21,3336.0
2/21/21,1758.0
2/22/21,1536.0
2/23/21,3780.0
2/24/21,3240.0
2/25/21,3327.0
2/26/21,3434.0
2/27/21,3365.0
2/28/21,2334.0
3/1/21,2139.0
3/2/21,3147.0
3/3/21,2735.0
3/4/21,2886.0
3/5/21,2081.0
3/6/21,2269.0
3/7/21,1709.0
3/8/21,1444.0
3/9/21,1761.0
3/10/21,1740.0
3/11/21,1714.0
3/12/21,1567.0
3/13/21,1254.0
3/14/21,819.0
3/15/21,977.0
3/16/21,1743.0
3/17/21,2044.0
3/18/21,2267.0
3/19/21,1600.0
3/20/21,1717.0
3/21/21,1560.0
3/22/21,688.0
3/23/21,1791.0
3/24/21,1224.0
3/25/21,1964.0
3/26/21,1659.0
3/27/21,1410.0
3/28/21,826.0
3/29/21,1165.0
3/30/21,1320.0
3/31/21,1807.0
4/1/21,1425.0
4/2/21,1582.0
4/3/21,1125.0
4/4/21,874.0
4/5/21,643.0
4/6/21,1474.0
4/7/21,1528.0
4/8/21,1490.0
4/9/21,1441.0
4/10/21,1570.0
4/11/21,1092.0
4/12/21,939.0
4/13/21,1913.0
4/14/21,1735.0
4/15/21,1600.0
4/16/21,1650.0
4/17/21,1671.0
4/18/21,972.0
4/19/21,889.0
4/20/21,1312.0
4/21/21,1318.0
4/22/21,1706.0
4/23/21,1842.0
4/24/21,1513.0
4/25/21,916.0
4/26/21,812.0
4/27/21,1299.0
4/28/21,1400.0
4/29/21,1444.0
4/30/21,1464.0
5/1/21,1300.0
5/2/21,1302.0
