,Hawaii
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,1
3/8/20,1
3/9/20,1
3/10/20,3
3/11/20,2
3/12/20,2
3/13/20,2
3/14/20,4
3/15/20,6
3/16/20,8
3/17/20,10
3/18/20,15
3/19/20,25
3/20/20,36
3/21/20,36
3/22/20,53
3/23/20,56
3/24/20,90
3/25/20,91
3/26/20,95
3/27/20,106
3/28/20,149
3/29/20,149
3/30/20,175
3/31/20,204
4/1/20,224
4/2/20,256
4/3/20,319
4/4/20,351
4/5/20,371
4/6/20,387
4/7/20,410
4/8/20,410
4/9/20,442
4/10/20,442
4/11/20,465
4/12/20,499
4/13/20,504
4/14/20,511
4/15/20,524
4/16/20,530
4/17/20,541
4/18/20,574
4/19/20,580
4/20/20,584
4/21/20,586
4/22/20,592
4/23/20,596
4/24/20,601
4/25/20,605
4/26/20,606
4/27/20,607
4/28/20,609
4/29/20,613
4/30/20,618
5/1/20,619
5/2/20,620
5/3/20,620
5/4/20,621
5/5/20,625
5/6/20,626
5/7/20,629
5/8/20,629
5/9/20,631
5/10/20,632
5/11/20,634
5/12/20,635
5/13/20,638
5/14/20,637
5/15/20,638
5/16/20,639
5/17/20,640
5/18/20,640
5/19/20,641
5/20/20,643
5/21/20,647
5/22/20,642
5/23/20,643
5/24/20,643
5/25/20,643
5/26/20,643
5/27/20,644
5/28/20,647
5/29/20,649
5/30/20,651
5/31/20,652
6/1/20,652
6/2/20,653
6/3/20,653
6/4/20,655
6/5/20,664
6/6/20,673
6/7/20,675
6/8/20,676
6/9/20,682
6/10/20,685
6/11/20,692
6/12/20,706
6/13/20,723
6/14/20,728
6/15/20,736
6/16/20,736
6/17/20,744
6/18/20,762
6/19/20,789
6/20/20,789
6/21/20,814
6/22/20,816
6/23/20,819
6/24/20,835
6/25/20,851
6/26/20,866
6/27/20,872
6/28/20,899
6/29/20,900
6/30/20,917
7/1/20,926
7/2/20,946
7/3/20,975
7/4/20,999
7/5/20,1023
7/6/20,1030
7/7/20,1071
7/8/20,1094
7/9/20,1130
7/10/20,1158
7/11/20,1200
7/12/20,1220
7/13/20,1243
7/14/20,1264
7/15/20,1292
7/16/20,1311
7/17/20,1334
7/18/20,1354
7/19/20,1381
7/20/20,1393
7/21/20,1418
7/22/20,1435
7/23/20,1490
7/24/20,1549
7/25/20,1620
7/26/20,1683
7/27/20,1711
7/28/20,1757
7/29/20,1865
7/30/20,1989
7/31/20,2111
8/1/20,2197
8/2/20,2242
8/3/20,2448
8/4/20,2591
8/5/20,2763
8/6/20,2914
8/7/20,3115
8/8/20,3346
8/9/20,3498
8/10/20,3638
8/11/20,3756
8/12/20,3958
8/13/20,4312
8/14/20,4543
8/15/20,4825
8/16/20,5042
