,Idaho
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,1.0
3/14/20,1.0
3/15/20,2.0
3/16/20,0.0
3/17/20,4.0
3/18/20,1.0
3/19/20,14.0
3/20/20,13.0
3/21/20,6.0
3/22/20,0.0
3/23/20,26.0
3/24/20,13.0
3/25/20,10.0
3/26/20,55.0
3/27/20,59.0
3/28/20,29.0
3/29/20,47.0
3/30/20,59.0
3/31/20,175.0
4/1/20,51.0
4/2/20,210.0
4/3/20,115.0
4/4/20,131.0
4/5/20,56.0
4/6/20,23.0
4/7/20,69.0
4/8/20,40.0
4/9/20,22.0
4/10/20,122.0
4/11/20,42.0
4/12/20,11.0
4/13/20,19.0
4/14/20,38.0
4/15/20,9.0
4/16/20,114.0
4/17/20,22.0
4/18/20,46.0
4/19/20,13.0
4/20/20,4.0
4/21/20,64.0
4/22/20,30.0
4/23/20,70.0
4/24/20,34.0
4/25/20,17.0
4/26/20,10.0
4/27/20,0.0
4/28/20,55.0
4/29/20,0.0
4/30/20,32.0
5/1/20,31.0
5/2/20,46.0
5/3/20,0.0
5/4/20,45.0
5/5/20,21.0
5/6/20,31.0
5/7/20,20.0
5/8/20,0.0
5/9/20,27.0
5/10/20,25.0
5/11/20,30.0
5/12/20,33.0
5/13/20,0.0
5/14/20,58.0
5/15/20,0.0
5/16/20,68.0
5/17/20,0.0
5/18/20,36.0
5/19/20,0.0
5/20/20,51.0
5/21/20,0.0
5/22/20,89.0
5/23/20,0.0
5/24/20,31.0
5/25/20,0.0
5/26/20,0.0
5/27/20,73.0
5/28/20,71.0
5/29/20,0.0
5/30/20,33.0
5/31/20,36.0
6/1/20,0.0
6/2/20,94.0
6/3/20,0.0
6/4/20,57.0
6/5/20,121.0
6/6/20,28.0
6/7/20,0.0
6/8/20,50.0
6/9/20,32.0
6/10/20,39.0
6/11/20,0.0
6/12/20,93.0
6/13/20,0.0
6/14/20,46.0
6/15/20,0.0
6/16/20,63.0
6/17/20,170.0
6/18/20,111.0
6/19/20,128.0
6/20/20,133.0
6/21/20,2.0
6/22/20,250.0
6/23/20,-2.0
6/24/20,148.0
6/25/20,463.0
6/26/20,0.0
6/27/20,457.0
6/28/20,0.0
6/29/20,430.0
6/30/20,365.0
7/1/20,253.0
7/2/20,223.0
7/3/20,401.0
7/4/20,376.0
7/5/20,363.0
7/6/20,319.0
7/7/20,487.0
7/8/20,430.0
7/9/20,460.0
7/10/20,500.0
7/11/20,577.0
7/12/20,397.0
7/13/20,501.0
7/14/20,316.0
7/15/20,729.0
7/16/20,685.0
7/17/20,619.0
7/18/20,550.0
7/19/20,571.0
7/20/20,394.0
7/21/20,555.0
7/22/20,499.0
7/23/20,415.0
7/24/20,528.0
7/25/20,561.0
7/26/20,352.0
7/27/20,514.0
7/28/20,528.0
7/29/20,454.0
7/30/20,568.0
7/31/20,474.0
8/1/20,394.0
8/2/20,0.0
8/3/20,560.0
8/4/20,566.0
8/5/20,472.0
8/6/20,693.0
8/7/20,524.0
8/8/20,572.0
8/9/20,178.0
8/10/20,429.0
8/11/20,494.0
8/12/20,536.0
8/13/20,495.0
8/14/20,542.0
8/15/20,304.0
8/16/20,181.0
8/17/20,281.0
8/18/20,384.0
8/19/20,359.0
8/20/20,430.0
8/21/20,254.0
8/22/20,295.0
8/23/20,186.0
8/24/20,212.0
8/25/20,408.0
8/26/20,306.0
8/27/20,342.0
8/28/20,263.0
8/29/20,292.0
8/30/20,190.0
8/31/20,223.0
9/1/20,272.0
9/2/20,311.0
9/3/20,263.0
9/4/20,266.0
9/5/20,281.0
9/6/20,190.0
9/7/20,74.0
9/8/20,240.0
9/9/20,322.0
9/10/20,317.0
9/11/20,333.0
9/12/20,217.0
9/13/20,112.0
9/14/20,253.0
9/15/20,278.0
9/16/20,283.0
9/17/20,396.0
9/18/20,470.0
9/19/20,288.0
9/20/20,244.0
9/21/20,410.0
9/22/20,446.0
9/23/20,396.0
9/24/20,491.0
9/25/20,523.0
9/26/20,539.0
9/27/20,205.0
9/28/20,422.0
9/29/20,511.0
9/30/20,614.0
10/1/20,513.0
10/2/20,677.0
10/3/20,464.0
10/4/20,262.0
10/5/20,458.0
10/6/20,660.0
10/7/20,671.0
10/8/20,673.0
10/9/20,662.0
10/10/20,613.0
10/11/20,365.0
10/12/20,597.0
10/13/20,584.0
10/14/20,645.0
10/15/20,718.0
10/16/20,1094.0
10/17/20,878.0
10/18/20,510.0
10/19/20,698.0
10/20/20,873.0
10/21/20,987.0
10/22/20,950.0
10/23/20,1073.0
10/24/20,1021.0
10/25/20,650.0
10/26/20,697.0
10/27/20,882.0
10/28/20,862.0
10/29/20,961.0
10/30/20,1064.0
10/31/20,798.0
11/1/20,480.0
11/2/20,757.0
11/3/20,1179.0
11/4/20,1290.0
11/5/20,1265.0
11/6/20,1330.0
11/7/20,1403.0
11/8/20,649.0
11/9/20,1266.0
11/10/20,1201.0
11/11/20,1693.0
11/12/20,1158.0
11/13/20,1519.0
11/14/20,1519.0
11/15/20,928.0
11/16/20,1099.0
11/17/20,1781.0
11/18/20,1310.0
11/19/20,1543.0
11/20/20,1786.0
11/21/20,1070.0
11/22/20,819.0
11/23/20,1437.0
11/24/20,1640.0
11/25/20,1773.0
11/26/20,0.0
11/27/20,1997.0
11/28/20,1160.0
11/29/20,824.0
11/30/20,1214.0
12/1/20,1607.0
12/2/20,1429.0
12/3/20,1721.0
12/4/20,1911.0
12/5/20,1339.0
12/6/20,805.0
12/7/20,1383.0
12/8/20,2012.0
12/9/20,2298.0
12/10/20,1825.0
12/11/20,1582.0
12/12/20,1022.0
12/13/20,547.0
12/14/20,1038.0
12/15/20,1802.0
12/16/20,1433.0
12/17/20,1426.0
12/18/20,1340.0
12/19/20,851.0
12/20/20,891.0
12/21/20,917.0
12/22/20,1717.0
12/23/20,1391.0
12/24/20,1248.0
12/25/20,0.0
12/26/20,554.0
12/27/20,428.0
12/28/20,795.0
12/29/20,1514.0
12/30/20,1340.0
12/31/20,1213.0
1/1/21,0.0
1/2/21,1122.0
1/3/21,308.0
1/4/21,798.0
1/5/21,1538.0
1/6/21,1263.0
1/7/21,1067.0
1/8/21,1085.0
1/9/21,977.0
1/10/21,432.0
1/11/21,572.0
1/12/21,1034.0
1/13/21,1091.0
1/14/21,994.0
1/15/21,1112.0
1/16/21,806.0
1/17/21,278.0
1/18/21,0.0
1/19/21,1224.0
1/20/21,810.0
1/21/21,612.0
1/22/21,598.0
1/23/21,527.0
1/24/21,181.0
1/25/21,527.0
1/26/21,559.0
1/27/21,620.0
1/28/21,508.0
1/29/21,635.0
1/30/21,328.0
1/31/21,0.0
2/1/21,482.0
2/2/21,491.0
2/3/21,507.0
2/4/21,402.0
2/5/21,404.0
2/6/21,240.0
2/7/21,0.0
2/8/21,449.0
2/9/21,437.0
2/10/21,458.0
2/11/21,323.0
2/12/21,349.0
2/13/21,258.0
2/14/21,0.0
2/15/21,0.0
2/16/21,462.0
2/17/21,408.0
2/18/21,286.0
2/19/21,314.0
2/20/21,197.0
2/21/21,0.0
2/22/21,434.0
2/23/21,282.0
2/24/21,423.0
2/25/21,306.0
2/26/21,312.0
2/27/21,233.0
2/28/21,0.0
3/1/21,322.0
3/2/21,374.0
3/3/21,452.0
3/4/21,299.0
3/5/21,240.0
3/6/21,104.0
3/7/21,0.0
3/8/21,378.0
3/9/21,481.0
3/10/21,456.0
3/11/21,364.0
3/12/21,333.0
3/13/21,293.0
3/14/21,0.0
3/15/21,421.0
3/16/21,350.0
3/17/21,454.0
3/18/21,341.0
3/19/21,383.0
3/20/21,235.0
3/21/21,0.0
3/22/21,340.0
3/23/21,359.0
3/24/21,425.0
3/25/21,343.0
3/26/21,317.0
3/27/21,224.0
3/28/21,0.0
3/29/21,335.0
3/30/21,313.0
3/31/21,460.0
4/1/21,361.0
4/2/21,284.0
4/3/21,0.0
4/4/21,0.0
4/5/21,655.0
4/6/21,346.0
4/7/21,349.0
4/8/21,310.0
4/9/21,312.0
4/10/21,0.0
4/11/21,0.0
4/12/21,538.0
4/13/21,219.0
4/14/21,437.0
4/15/21,210.0
4/16/21,212.0
4/17/21,0.0
4/18/21,0.0
4/19/21,458.0
4/20/21,238.0
4/21/21,294.0
4/22/21,234.0
4/23/21,190.0
4/24/21,0.0
4/25/21,0.0
4/26/21,542.0
4/27/21,289.0
4/28/21,255.0
4/29/21,210.0
4/30/21,177.0
5/1/21,0.0
5/2/21,0.0
