,Illinois
1/22/20,
1/23/20,0.0
1/24/20,1.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,1.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,1.0
3/8/20,1.0
3/9/20,0.0
3/10/20,5.0
3/11/20,13.0
3/12/20,7.0
3/13/20,14.0
3/14/20,18.0
3/15/20,2.0
3/16/20,17.0
3/17/20,78.0
3/18/20,111.0
3/19/20,150.0
3/20/20,163.0
3/21/20,168.0
3/22/20,296.0
3/23/20,236.0
3/24/20,252.0
3/25/20,328.0
3/26/20,673.0
3/27/20,486.0
3/28/20,467.0
3/29/20,1105.0
3/30/20,460.0
3/31/20,938.0
4/1/20,986.0
4/2/20,715.0
4/3/20,1209.0
4/4/20,1453.0
4/5/20,902.0
4/6/20,1003.0
4/7/20,1291.0
4/8/20,1525.0
4/9/20,1344.0
4/10/20,1465.0
4/11/20,1293.0
4/12/20,1672.0
4/13/20,1173.0
4/14/20,1223.0
4/15/20,1345.0
4/16/20,1141.0
4/17/20,1844.0
4/18/20,1582.0
4/19/20,1197.0
4/20/20,1156.0
4/21/20,1546.0
4/22/20,2048.0
4/23/20,1830.0
4/24/20,2721.0
4/25/20,2119.0
4/26/20,2126.0
4/27/20,1980.0
4/28/20,2219.0
4/29/20,2256.0
4/30/20,2560.0
5/1/20,3137.0
5/2/20,2450.0
5/3/20,2994.0
5/4/20,2278.0
5/5/20,2112.0
5/6/20,2343.0
5/7/20,2639.0
5/8/20,2889.0
5/9/20,2325.0
5/10/20,1656.0
5/11/20,1266.0
5/12/20,4014.0
5/13/20,1673.0
5/14/20,3243.0
5/15/20,2432.0
5/16/20,2088.0
5/17/20,1734.0
5/18/20,2294.0
5/19/20,1545.0
5/20/20,2388.0
5/21/20,2270.0
5/22/20,2756.0
5/23/20,2352.0
5/24/20,2508.0
5/25/20,1713.0
5/26/20,1178.0
5/27/20,1111.0
5/28/20,1527.0
5/29/20,1622.0
5/30/20,1462.0
5/31/20,1343.0
6/1/20,974.0
6/2/20,1614.0
6/3/20,982.0
6/4/20,929.0
6/5/20,1156.0
6/6/20,975.0
6/7/20,867.0
6/8/20,658.0
6/9/20,797.0
6/10/20,625.0
6/11/20,766.0
6/12/20,595.0
6/13/20,673.0
6/14/20,672.0
6/15/20,473.0
6/16/20,623.0
6/17/20,546.0
6/18/20,593.0
6/19/20,692.0
6/20/20,634.0
6/21/20,658.0
6/22/20,462.0
6/23/20,601.0
6/24/20,715.0
6/25/20,894.0
6/26/20,857.0
6/27/20,786.0
6/28/20,646.0
6/29/20,738.0
6/30/20,724.0
7/1/20,828.0
7/2/20,869.0
7/3/20,868.0
7/4/20,862.0
7/5/20,639.0
7/6/20,614.0
7/7/20,1709.0
7/8/20,980.0
7/9/20,1018.0
7/10/20,1327.0
7/11/20,1195.0
7/12/20,954.0
7/13/20,883.0
7/14/20,707.0
7/15/20,1187.0
7/16/20,1257.0
7/17/20,1427.0
7/18/20,1276.0
7/19/20,965.0
7/20/20,1172.0
7/21/20,942.0
7/22/20,1611.0
7/23/20,1621.0
7/24/20,1600.0
7/25/20,1426.0
7/26/20,1541.0
7/27/20,1231.0
7/28/20,1074.0
7/29/20,1395.0
7/30/20,1772.0
7/31/20,1980.0
8/1/20,1639.0
8/2/20,1470.0
8/3/20,1298.0
8/4/20,1471.0
8/5/20,1759.0
8/6/20,1953.0
8/7/20,2103.0
8/8/20,2190.0
8/9/20,1382.0
8/10/20,1319.0
8/11/20,1549.0
8/12/20,1645.0
8/13/20,1834.0
8/14/20,2296.0
8/15/20,1828.0
8/16/20,1561.0
8/17/20,1773.0
8/18/20,1739.0
8/19/20,2296.0
8/20/20,1832.0
8/21/20,2293.0
8/22/20,2356.0
8/23/20,1893.0
8/24/20,1612.0
8/25/20,1681.0
8/26/20,2156.0
8/27/20,1707.0
8/28/20,2436.0
8/29/20,1880.0
8/30/20,1992.0
8/31/20,1666.0
9/1/20,1492.0
9/2/20,2128.0
9/3/20,1360.0
9/4/20,5594.0
9/5/20,2804.0
9/6/20,1413.0
9/7/20,1369.0
9/8/20,1392.0
9/9/20,1337.0
9/10/20,1953.0
9/11/20,2313.0
9/12/20,2120.0
9/13/20,1460.0
9/14/20,1372.0
9/15/20,1464.0
9/16/20,1943.0
9/17/20,2056.0
9/18/20,2223.0
9/19/20,2524.0
9/20/20,1402.0
9/21/20,1477.0
9/22/20,1533.0
9/23/20,1850.0
9/24/20,2256.0
9/25/20,2773.0
9/26/20,2441.0
9/27/20,1600.0
9/28/20,1709.0
9/29/20,1366.0
9/30/20,2272.0
10/1/20,2164.0
10/2/20,2456.0
10/3/20,2442.0
10/4/20,1453.0
10/5/20,1853.0
10/6/20,1617.0
10/7/20,2630.0
10/8/20,3094.0
10/9/20,3117.0
10/10/20,2905.0
10/11/20,2727.0
10/12/20,2740.0
10/13/20,2853.0
10/14/20,2866.0
10/15/20,4014.0
10/16/20,5106.0
10/17/20,3629.0
10/18/20,4245.0
10/19/20,3113.0
10/20/20,3713.0
10/21/20,4342.0
10/22/20,4941.0
10/23/20,5000.0
10/24/20,6161.0
10/25/20,4057.0
10/26/20,4729.0
10/27/20,4000.0
10/28/20,6110.0
10/29/20,6362.0
10/30/20,8489.0
10/31/20,7899.0
11/1/20,6980.0
11/2/20,6222.0
11/3/20,6516.0
11/4/20,7538.0
11/5/20,9935.0
11/6/20,11802.0
11/7/20,12438.0
11/8/20,10009.0
11/9/20,10573.0
11/10/20,12623.0
11/11/20,12657.0
11/12/20,12702.0
11/13/20,15415.0
11/14/20,11028.0
11/15/20,10631.0
11/16/20,11632.0
11/17/20,12601.0
11/18/20,8922.0
11/19/20,14612.0
11/20/20,13012.0
11/21/20,11891.0
11/22/20,10012.0
11/23/20,8322.0
11/24/20,9469.0
11/25/20,11378.0
11/26/20,12022.0
11/27/20,7574.0
11/28/20,7873.0
11/29/20,7178.0
11/30/20,6190.0
12/1/20,12542.0
12/2/20,9757.0
12/3/20,10959.0
12/4/20,10526.0
12/5/20,9887.0
12/6/20,7598.0
12/7/20,8691.0
12/8/20,7910.0
12/9/20,8256.0
12/10/20,11101.0
12/11/20,9420.0
12/12/20,8737.0
12/13/20,7216.0
12/14/20,7214.0
12/15/20,7359.0
12/16/20,7123.0
12/17/20,8828.0
12/18/20,7377.0
12/19/20,7562.0
12/20/20,6003.0
12/21/20,4699.0
12/22/20,6239.0
12/23/20,6762.0
12/24/20,7037.0
12/25/20,5742.0
12/26/20,3293.0
12/27/20,3767.0
12/28/20,4453.0
12/29/20,5644.0
12/30/20,7374.0
12/31/20,8009.0
1/1/21,0.0
1/2/21,11963.0
1/3/21,4469.0
1/4/21,5059.0
1/5/21,6839.0
1/6/21,7569.0
1/7/21,8757.0
1/8/21,9277.0
1/9/21,6717.0
1/10/21,4711.0
1/11/21,4776.0
1/12/21,6642.0
1/13/21,5862.0
1/14/21,6652.0
1/15/21,6642.0
1/16/21,5343.0
1/17/21,4162.0
1/18/21,3385.0
1/19/21,4318.0
1/20/21,4822.0
1/21/21,4979.0
1/22/21,7042.0
1/23/21,5152.0
1/24/21,3292.0
1/25/21,2944.0
1/26/21,3667.0
1/27/21,3751.0
1/28/21,4191.0
1/29/21,4156.0
1/30/21,3345.0
1/31/21,2428.0
2/1/21,2312.0
2/2/21,2304.0
2/3/21,3314.0
2/4/21,3328.0
2/5/21,3660.0
2/6/21,3062.0
2/7/21,2065.0
2/8/21,1742.0
2/9/21,2082.0
2/10/21,2825.0
2/11/21,2838.0
2/12/21,2598.0
2/13/21,2092.0
2/14/21,1631.0
2/15/21,1420.0
2/16/21,1348.0
2/17/21,1795.0
2/18/21,1967.0
2/19/21,2218.0
2/20/21,1834.0
2/21/21,1594.0
2/22/21,1238.0
2/23/21,1673.0
2/24/21,2009.0
2/25/21,1894.0
2/26/21,2425.0
2/27/21,1798.0
2/28/21,1246.0
3/1/21,1144.0
3/2/21,1569.0
3/3/21,2114.0
3/4/21,1737.0
3/5/21,1452.0
3/6/21,2558.0
3/7/21,1070.0
3/8/21,1184.0
3/9/21,1497.0
3/10/21,1695.0
3/11/21,1690.0
3/12/21,1761.0
3/13/21,1673.0
3/14/21,1488.0
3/15/21,787.0
3/16/21,1982.0
3/17/21,1654.0
3/18/21,2324.0
3/19/21,2395.0
3/20/21,1939.0
3/21/21,1449.0
3/22/21,1217.0
3/23/21,1812.0
3/24/21,2809.0
3/25/21,2193.0
3/26/21,2995.0
3/27/21,2684.0
3/28/21,2247.0
3/29/21,1770.0
3/30/21,2401.0
3/31/21,2596.0
4/1/21,3522.0
4/2/21,3234.0
4/3/21,2836.0
4/4/21,2442.0
4/5/21,2097.0
4/6/21,2947.0
4/7/21,3774.0
4/8/21,3727.0
4/9/21,4007.0
4/10/21,3639.0
4/11/21,2939.0
4/12/21,2451.0
4/13/21,3184.0
4/14/21,3546.0
4/15/21,3577.0
4/16/21,3846.0
4/17/21,3208.0
4/18/21,2659.0
4/19/21,1977.0
4/20/21,2579.0
4/21/21,2769.0
4/22/21,3161.0
4/23/21,3363.0
4/24/21,2904.0
4/25/21,2047.0
4/26/21,2135.0
4/27/21,2561.0
4/28/21,2719.0
4/29/21,3398.0
4/30/21,3208.0
5/1/21,2805.0
5/2/21,1861.0
