,Indiana
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,1.0
3/9/20,1.0
3/10/20,3.0
3/11/20,5.0
3/12/20,2.0
3/13/20,0.0
3/14/20,3.0
3/15/20,4.0
3/16/20,5.0
3/17/20,5.0
3/18/20,8.0
3/19/20,22.0
3/20/20,26.0
3/21/20,42.0
3/22/20,76.0
3/23/20,66.0
3/24/20,98.0
3/25/20,109.0
3/26/20,168.0
3/27/20,334.0
3/28/20,254.0
3/29/20,280.0
3/30/20,273.0
3/31/20,372.0
4/1/20,406.0
4/2/20,474.0
4/3/20,399.0
4/4/20,516.0
4/5/20,458.0
4/6/20,545.0
4/7/20,554.0
4/8/20,433.0
4/9/20,408.0
4/10/20,556.0
4/11/20,528.0
4/12/20,493.0
4/13/20,431.0
4/14/20,168.0
4/15/20,433.0
4/16/20,582.0
4/17/20,612.0
4/18/20,487.0
4/19/20,570.0
4/20/20,477.0
4/21/20,409.0
4/22/20,341.0
4/23/20,601.0
4/24/20,642.0
4/25/20,718.0
4/26/20,613.0
4/27/20,949.0
4/28/20,627.0
4/29/20,594.0
4/30/20,653.0
5/1/20,795.0
5/2/20,665.0
5/3/20,638.0
5/4/20,574.0
5/5/20,526.0
5/6/20,837.0
5/7/20,633.0
5/8/20,643.0
5/9/20,586.0
5/10/20,394.0
5/11/20,501.0
5/12/20,500.0
5/13/20,346.0
5/14/20,580.0
5/15/20,603.0
5/16/20,624.0
5/17/20,498.0
5/18/20,477.0
5/19/20,450.0
5/20/20,569.0
5/21/20,662.0
5/22/20,473.0
5/23/20,492.0
5/24/20,475.0
5/25/20,339.0
5/26/20,363.0
5/27/20,359.0
5/28/20,631.0
5/29/20,490.0
5/30/20,653.0
5/31/20,363.0
6/1/20,256.0
6/2/20,407.0
6/3/20,475.0
6/4/20,384.0
6/5/20,482.0
6/6/20,419.0
6/7/20,400.0
6/8/20,226.0
6/9/20,410.0
6/10/20,304.0
6/11/20,411.0
6/12/20,398.0
6/13/20,397.0
6/14/20,366.0
6/15/20,521.0
6/16/20,356.0
6/17/20,227.0
6/18/20,425.0
6/19/20,308.0
6/20/20,315.0
6/21/20,362.0
6/22/20,210.0
6/23/20,238.0
6/24/20,269.0
6/25/20,515.0
6/26/20,485.0
6/27/20,435.0
6/28/20,355.0
6/29/20,298.0
6/30/20,366.0
7/1/20,358.0
7/2/20,435.0
7/3/20,528.0
7/4/20,517.0
7/5/20,769.0
7/6/20,323.0
7/7/20,102.0
7/8/20,437.0
7/9/20,512.0
7/10/20,725.0
7/11/20,779.0
7/12/20,533.0
7/13/20,425.0
7/14/20,648.0
7/15/20,685.0
7/16/20,710.0
7/17/20,733.0
7/18/20,841.0
7/19/20,917.0
7/20/20,635.0
7/21/20,710.0
7/22/20,757.0
7/23/20,929.0
7/24/20,996.0
7/25/20,922.0
7/26/20,852.0
7/27/20,535.0
7/28/20,771.0
7/29/20,621.0
7/30/20,954.0
7/31/20,901.0
8/1/20,968.0
8/2/20,735.0
8/3/20,576.0
8/4/20,822.0
8/5/20,720.0
8/6/20,1040.0
8/7/20,1239.0
8/8/20,1033.0
8/9/20,1041.0
8/10/20,664.0
8/11/20,870.0
8/12/20,660.0
8/13/20,1043.0
8/14/20,1067.0
8/15/20,1044.0
8/16/20,739.0
8/17/20,591.0
8/18/20,841.0
8/19/20,489.0
8/20/20,941.0
8/21/20,1040.0
8/22/20,1000.0
8/23/20,615.0
8/24/20,1660.0
8/25/20,829.0
8/26/20,938.0
8/27/20,1145.0
8/28/20,809.0
8/29/20,1121.0
8/30/20,879.0
8/31/20,883.0
9/1/20,695.0
9/2/20,859.0
9/3/20,1104.0
9/4/20,1030.0
9/5/20,1077.0
9/6/20,843.0
9/7/20,590.0
9/8/20,386.0
9/9/20,705.0
9/10/20,758.0
9/11/20,1262.0
9/12/20,1056.0
9/13/20,1243.0
9/14/20,736.0
9/15/20,689.0
9/16/20,580.0
9/17/20,837.0
9/18/20,1037.0
9/19/20,1076.0
9/20/20,746.0
9/21/20,522.0
9/22/20,599.0
9/23/20,711.0
9/24/20,899.0
9/25/20,1171.0
9/26/20,1142.0
9/27/20,901.0
9/28/20,872.0
9/29/20,744.0
9/30/20,953.0
10/1/20,1157.0
10/2/20,1464.0
10/3/20,1419.0
10/4/20,1087.0
10/5/20,830.0
10/6/20,970.0
10/7/20,1281.0
10/8/20,1450.0
10/9/20,1816.0
10/10/20,1918.0
10/11/20,1570.0
10/12/20,1574.0
10/13/20,1549.0
10/14/20,1165.0
10/15/20,1943.0
10/16/20,2283.0
10/17/20,2482.0
10/18/20,1605.0
10/19/20,1584.0
10/20/20,1498.0
10/21/20,1732.0
10/22/20,2850.0
10/23/20,2467.0
10/24/20,2741.0
10/25/20,2153.0
10/26/20,1974.0
10/27/20,1983.0
10/28/20,2548.0
10/29/20,3618.0
10/30/20,3163.0
10/31/20,3465.0
11/1/20,2750.0
11/2/20,3077.0
11/3/20,2881.0
11/4/20,3698.0
11/5/20,4412.0
11/6/20,4647.0
11/7/20,4899.0
11/8/20,4652.0
11/9/20,4135.0
11/10/20,4829.0
11/11/20,5036.0
11/12/20,6591.0
11/13/20,5600.0
11/14/20,8322.0
11/15/20,6710.0
11/16/20,5147.0
11/17/20,5463.0
11/18/20,6015.0
11/19/20,7281.0
11/20/20,6808.0
11/21/20,6872.0
11/22/20,6174.0
11/23/20,5556.0
11/24/20,5625.0
11/25/20,5983.0
11/26/20,6373.0
11/27/20,5643.0
11/28/20,4471.0
11/29/20,4304.0
11/30/20,5665.0
12/1/20,5396.0
12/2/20,6597.0
12/3/20,8460.0
12/4/20,7899.0
12/5/20,7690.0
12/6/20,6598.0
12/7/20,5661.0
12/8/20,5385.0
12/9/20,5754.0
12/10/20,6518.0
12/11/20,7200.0
12/12/20,7401.0
12/13/20,5898.0
12/14/20,4967.0
12/15/20,4241.0
12/16/20,6208.0
12/17/20,6340.0
12/18/20,5949.0
12/19/20,4732.0
12/20/20,6483.0
12/21/20,3865.0
12/22/20,3657.0
12/23/20,4662.0
12/24/20,6196.0
12/25/20,5446.0
12/26/20,3841.0
12/27/20,1820.0
12/28/20,2465.0
12/29/20,3976.0
12/30/20,4735.0
12/31/20,6468.0
1/1/21,6288.0
1/2/21,5317.0
1/3/21,2981.0
1/4/21,3617.0
1/5/21,3395.0
1/6/21,6146.0
1/7/21,7270.0
1/8/21,6095.0
1/9/21,5966.0
1/10/21,5093.0
1/11/21,3685.0
1/12/21,3139.0
1/13/21,3642.0
1/14/21,4375.0
1/15/21,4666.0
1/16/21,3889.0
1/17/21,3162.0
1/18/21,2498.0
1/19/21,2727.0
1/20/21,2877.0
1/21/21,3624.0
1/22/21,3489.0
1/23/21,3093.0
1/24/21,2520.0
1/25/21,2189.0
1/26/21,1718.0
1/27/21,2230.0
1/28/21,2819.0
1/29/21,2630.0
1/30/21,2334.0
1/31/21,1723.0
2/1/21,1709.0
2/2/21,1512.0
2/3/21,1428.0
2/4/21,2336.0
2/5/21,1504.0
2/6/21,2816.0
2/7/21,1724.0
2/8/21,1033.0
2/9/21,1130.0
2/10/21,1431.0
2/11/21,1701.0
2/12/21,1419.0
2/13/21,1232.0
2/14/21,1218.0
2/15/21,777.0
2/16/21,878.0
2/17/21,923.0
2/18/21,757.0
2/19/21,1035.0
2/20/21,1415.0
2/21/21,881.0
2/22/21,817.0
2/23/21,679.0
2/24/21,1006.0
2/25/21,1084.0
2/26/21,944.0
2/27/21,871.0
2/28/21,731.0
3/1/21,540.0
3/2/21,537.0
3/3/21,761.0
3/4/21,935.0
3/5/21,839.0
3/6/21,1231.0
3/7/21,746.0
3/8/21,474.0
3/9/21,572.0
3/10/21,856.0
3/11/21,910.0
3/12/21,949.0
3/13/21,836.0
3/14/21,695.0
3/15/21,413.0
3/16/21,561.0
3/17/21,902.0
3/18/21,958.0
3/19/21,859.0
3/20/21,888.0
3/21/21,770.0
3/22/21,511.0
3/23/21,663.0
3/24/21,967.0
3/25/21,952.0
3/26/21,1101.0
3/27/21,977.0
3/28/21,944.0
3/29/21,713.0
3/30/21,720.0
3/31/21,1044.0
4/1/21,1216.0
4/2/21,1203.0
4/3/21,1049.0
4/4/21,945.0
4/5/21,715.0
4/6/21,615.0
4/7/21,1212.0
4/8/21,1384.0
4/9/21,1339.0
4/10/21,1358.0
4/11/21,1159.0
4/12/21,1131.0
4/13/21,952.0
4/14/21,1196.0
4/15/21,1374.0
4/16/21,1287.0
4/17/21,2479.0
4/18/21,956.0
4/19/21,712.0
4/20/21,676.0
4/21/21,1152.0
4/22/21,1180.0
4/23/21,1071.0
4/24/21,1101.0
4/25/21,827.0
4/26/21,682.0
4/27/21,838.0
4/28/21,1258.0
4/29/21,1384.0
4/30/21,1477.0
5/1/21,1152.0
5/2/21,1069.0
