,Iowa
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,3.0
3/10/20,5.0
3/11/20,5.0
3/12/20,1.0
3/13/20,3.0
3/14/20,0.0
3/15/20,1.0
3/16/20,5.0
3/17/20,0.0
3/18/20,15.0
3/19/20,6.0
3/20/20,1.0
3/21/20,24.0
3/22/20,21.0
3/23/20,15.0
3/24/20,19.0
3/25/20,22.0
3/26/20,33.0
3/27/20,56.0
3/28/20,63.0
3/29/20,38.0
3/30/20,88.0
3/31/20,73.0
4/1/20,50.0
4/2/20,67.0
4/3/20,85.0
4/4/20,88.0
4/5/20,82.0
4/6/20,77.0
4/7/20,100.0
4/8/20,99.0
4/9/20,125.0
4/10/20,118.0
4/11/20,122.0
4/12/20,77.0
4/13/20,123.0
4/14/20,189.0
4/15/20,96.0
4/16/20,146.0
4/17/20,191.0
4/18/20,181.0
4/19/20,389.0
4/20/20,257.0
4/21/20,482.0
4/22/20,107.0
4/23/20,176.0
4/24/20,521.0
4/25/20,647.0
4/26/20,384.0
4/27/20,392.0
4/28/20,508.0
4/29/20,467.0
4/30/20,302.0
5/1/20,739.0
5/2/20,759.0
5/3/20,532.0
5/4/20,528.0
5/5/20,408.0
5/6/20,293.0
5/7/20,655.0
5/8/20,398.0
5/9/20,214.0
5/10/20,288.0
5/11/20,414.0
5/12/20,539.0
5/13/20,377.0
5/14/20,386.0
5/15/20,374.0
5/16/20,279.0
5/17/20,323.0
5/18/20,304.0
5/19/20,341.0
5/20/20,324.0
5/21/20,550.0
5/22/20,322.0
5/23/20,406.0
5/24/20,353.0
5/25/20,306.0
5/26/20,146.0
5/27/20,666.0
5/28/20,217.0
5/29/20,371.0
5/30/20,287.0
5/31/20,308.0
6/1/20,147.0
6/2/20,320.0
6/3/20,281.0
6/4/20,506.0
6/5/20,348.0
6/6/20,324.0
6/7/20,234.0
6/8/20,295.0
6/9/20,230.0
6/10/20,389.0
6/11/20,347.0
6/12/20,377.0
6/13/20,367.0
6/14/20,209.0
6/15/20,156.0
6/16/20,97.0
6/17/20,281.0
6/18/20,401.0
6/19/20,413.0
6/20/20,222.0
6/21/20,467.0
6/22/20,183.0
6/23/20,323.0
6/24/20,132.0
6/25/20,772.0
6/26/20,344.0
6/27/20,356.0
6/28/20,447.0
6/29/20,325.0
6/30/20,229.0
7/1/20,440.0
7/2/20,745.0
7/3/20,204.0
7/4/20,598.0
7/5/20,456.0
7/6/20,241.0
7/7/20,395.0
7/8/20,471.0
7/9/20,630.0
7/10/20,918.0
7/11/20,486.0
7/12/20,752.0
7/13/20,221.0
7/14/20,235.0
7/15/20,670.0
7/16/20,814.0
7/17/20,553.0
7/18/20,410.0
7/19/20,500.0
7/20/20,530.0
7/21/20,378.0
7/22/20,487.0
7/23/20,588.0
7/24/20,638.0
7/25/20,452.0
7/26/20,471.0
7/27/20,339.0
7/28/20,232.0
7/29/20,695.0
7/30/20,662.0
7/31/20,468.0
8/1/20,540.0
8/2/20,430.0
8/3/20,182.0
8/4/20,326.0
8/5/20,605.0
8/6/20,723.0
8/7/20,481.0
8/8/20,495.0
8/9/20,384.0
8/10/20,246.0
8/11/20,356.0
8/12/20,452.0
8/13/20,400.0
8/14/20,874.0
8/15/20,818.0
8/16/20,382.0
8/17/20,382.0
8/18/20,372.0
8/19/20,322.0
8/20/20,1010.0
8/21/20,798.0
8/22/20,665.0
8/23/20,450.0
8/24/20,463.0
8/25/20,697.0
8/26/20,1201.0
8/27/20,2681.0
8/28/20,1340.0
8/29/20,784.0
8/30/20,987.0
8/31/20,540.0
9/1/20,708.0
9/2/20,616.0
9/3/20,1228.0
9/4/20,1053.0
9/5/20,946.0
9/6/20,525.0
9/7/20,322.0
9/8/20,482.0
9/9/20,576.0
9/10/20,863.0
9/11/20,941.0
9/12/20,806.0
9/13/20,471.0
9/14/20,388.0
9/15/20,657.0
9/16/20,931.0
9/17/20,552.0
9/18/20,1635.0
9/19/20,965.0
9/20/20,606.0
9/21/20,597.0
9/22/20,611.0
9/23/20,1253.0
9/24/20,1120.0
9/25/20,1040.0
9/26/20,877.0
9/27/20,716.0
9/28/20,633.0
9/29/20,978.0
9/30/20,1012.0
10/1/20,1181.0
10/2/20,1054.0
10/3/20,819.0
10/4/20,443.0
10/5/20,516.0
10/6/20,545.0
10/7/20,1288.0
10/8/20,1564.0
10/9/20,1224.0
10/10/20,1161.0
10/11/20,901.0
10/12/20,510.0
10/13/20,969.0
10/14/20,1482.0
10/15/20,1152.0
10/16/20,1690.0
10/17/20,952.0
10/18/20,636.0
10/19/20,726.0
10/20/20,1142.0
10/21/20,1048.0
10/22/20,1483.0
10/23/20,1643.0
10/24/20,1460.0
10/25/20,1402.0
10/26/20,960.0
10/27/20,1365.0
10/28/20,2072.0
10/29/20,2315.0
10/30/20,2772.0
10/31/20,2788.0
11/1/20,2464.0
11/2/20,1542.0
11/3/20,1810.0
11/4/20,2888.0
11/5/20,5277.0
11/6/20,3375.0
11/7/20,4388.0
11/8/20,4524.0
11/9/20,5132.0
11/10/20,3917.0
11/11/20,4626.0
11/12/20,4951.0
11/13/20,5484.0
11/14/20,4667.0
11/15/20,2759.0
11/16/20,3283.0
11/17/20,3601.0
11/18/20,4320.0
11/19/20,4054.0
11/20/20,4345.0
11/21/20,3286.0
11/22/20,2461.0
11/23/20,3128.0
11/24/20,2992.0
11/25/20,3502.0
11/26/20,2037.0
11/27/20,1733.0
11/28/20,2123.0
11/29/20,1511.0
11/30/20,1941.0
12/1/20,2431.0
12/2/20,3097.0
12/3/20,2565.0
12/4/20,2807.0
12/5/20,1854.0
12/6/20,1306.0
12/7/20,1293.0
12/8/20,1970.0
12/9/20,2326.0
12/10/20,2273.0
12/11/20,1059.0
12/12/20,1397.0
12/13/20,1240.0
12/14/20,1062.0
12/15/20,942.0
12/16/20,2521.0
12/17/20,1436.0
12/18/20,2497.0
12/19/20,2252.0
12/20/20,370.0
12/21/20,1407.0
12/22/20,1558.0
12/23/20,1818.0
12/24/20,1549.0
12/25/20,605.0
12/26/20,527.0
12/27/20,506.0
12/28/20,1350.0
12/29/20,1661.0
12/30/20,1754.0
12/31/20,1648.0
1/1/21,1268.0
1/2/21,915.0
1/3/21,820.0
1/4/21,1641.0
1/5/21,1942.0
1/6/21,2478.0
1/7/21,2413.0
1/8/21,1573.0
1/9/21,1409.0
1/10/21,511.0
1/11/21,1092.0
1/12/21,1481.0
1/13/21,1906.0
1/14/21,1399.0
1/15/21,1366.0
1/16/21,822.0
1/17/21,403.0
1/18/21,932.0
1/19/21,1219.0
1/20/21,1485.0
1/21/21,1653.0
1/22/21,1255.0
1/23/21,927.0
1/24/21,515.0
1/25/21,772.0
1/26/21,1093.0
1/27/21,1112.0
1/28/21,1010.0
1/29/21,1195.0
1/30/21,791.0
1/31/21,298.0
2/1/21,779.0
2/2/21,1087.0
2/3/21,1034.0
2/4/21,908.0
2/5/21,581.0
2/6/21,509.0
2/7/21,284.0
2/8/21,629.0
2/9/21,931.0
2/10/21,911.0
2/11/21,371.0
2/12/21,1133.0
2/13/21,474.0
2/14/21,219.0
2/15/21,468.0
2/16/21,592.0
2/17/21,588.0
2/18/21,599.0
2/19/21,242.0
2/20/21,435.0
2/21/21,578.0
2/22/21,320.0
2/23/21,884.0
2/24/21,701.0
2/25/21,579.0
2/26/21,611.0
2/27/21,427.0
2/28/21,183.0
3/1/21,425.0
3/2/21,630.0
3/3/21,521.0
3/4/21,572.0
3/5/21,535.0
3/6/21,381.0
3/7/21,143.0
3/8/21,456.0
3/9/21,763.0
3/10/21,487.0
3/11/21,460.0
3/12/21,505.0
3/13/21,362.0
3/14/21,181.0
3/15/21,417.0
3/16/21,548.0
3/17/21,416.0
3/18/21,593.0
3/19/21,444.0
3/20/21,338.0
3/21/21,143.0
3/22/21,432.0
3/23/21,767.0
3/24/21,608.0
3/25/21,906.0
3/26/21,559.0
3/27/21,497.0
3/28/21,160.0
3/29/21,505.0
3/30/21,537.0
3/31/21,646.0
4/1/21,735.0
4/2/21,577.0
4/3/21,493.0
4/4/21,155.0
4/5/21,467.0
4/6/21,728.0
4/7/21,272.0
4/8/21,625.0
4/9/21,619.0
4/10/21,750.0
4/11/21,196.0
4/12/21,178.0
4/13/21,542.0
4/14/21,656.0
4/15/21,478.0
4/16/21,387.0
4/17/21,505.0
4/18/21,289.0
4/19/21,291.0
4/20/21,439.0
4/21/21,639.0
4/22/21,477.0
4/23/21,434.0
4/24/21,395.0
4/25/21,195.0
4/26/21,238.0
4/27/21,368.0
4/28/21,506.0
4/29/21,450.0
4/30/21,358.0
5/1/21,385.0
5/2/21,295.0
