,Kentucky
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,3.0
3/10/20,1.0
3/11/20,3.0
3/12/20,2.0
3/13/20,4.0
3/14/20,2.0
3/15/20,2.0
3/16/20,3.0
3/17/20,5.0
3/18/20,2.0
3/19/20,22.0
3/20/20,14.0
3/21/20,23.0
3/22/20,16.0
3/23/20,20.0
3/24/20,39.0
3/25/20,35.0
3/26/20,50.0
3/27/20,54.0
3/28/20,79.0
3/29/20,58.0
3/30/20,41.0
3/31/20,149.0
4/1/20,4.0
4/2/20,138.0
4/3/20,0.0
4/4/20,147.0
4/5/20,38.0
4/6/20,0.0
4/7/20,194.0
4/8/20,0.0
4/9/20,192.0
4/10/20,352.0
4/11/20,0.0
4/12/20,270.0
4/13/20,55.0
4/14/20,30.0
4/15/20,162.0
4/16/20,225.0
4/17/20,87.0
4/18/20,185.0
4/19/20,253.0
4/20/20,90.0
4/21/20,154.0
4/22/20,174.0
4/23/20,101.0
4/24/20,300.0
4/25/20,136.0
4/26/20,170.0
4/27/20,71.0
4/28/20,219.0
4/29/20,162.0
4/30/20,171.0
5/1/20,174.0
5/2/20,-3.0
5/3/20,251.0
5/4/20,115.0
5/5/20,577.0
5/6/20,112.0
5/7/20,195.0
5/8/20,159.0
5/9/20,152.0
5/10/20,0.0
5/11/20,237.0
5/12/20,176.0
5/13/20,0.0
5/14/20,372.0
5/15/20,219.0
5/16/20,244.0
5/17/20,0.0
5/18/20,247.0
5/19/20,134.0
5/20/20,98.0
5/21/20,119.0
5/22/20,140.0
5/23/20,145.0
5/24/20,0.0
5/25/20,0.0
5/26/20,380.0
5/27/20,126.0
5/28/20,108.0
5/29/20,279.0
5/30/20,240.0
5/31/20,0.0
6/1/20,342.0
6/2/20,139.0
6/3/20,225.0
6/4/20,295.0
6/5/20,272.0
6/6/20,310.0
6/7/20,0.0
6/8/20,189.0
6/9/20,231.0
6/10/20,176.0
6/11/20,62.0
6/12/20,221.0
6/13/20,279.0
6/14/20,0.0
6/15/20,202.0
6/16/20,0.0
6/17/20,348.0
6/18/20,202.0
6/19/20,257.0
6/20/20,176.0
6/21/20,120.0
6/22/20,89.0
6/23/20,302.0
6/24/20,222.0
6/25/20,254.0
6/26/20,242.0
6/27/20,308.0
6/28/20,65.0
6/29/20,115.0
6/30/20,277.0
7/1/20,218.0
7/2/20,237.0
7/3/20,297.0
7/4/20,0.0
7/5/20,0.0
7/6/20,776.0
7/7/20,367.0
7/8/20,400.0
7/9/20,326.0
7/10/20,427.0
7/11/20,449.0
7/12/20,268.0
7/13/20,264.0
7/14/20,570.0
7/15/20,454.0
7/16/20,406.0
7/17/20,522.0
7/18/20,579.0
7/19/20,977.0
7/20/20,253.0
7/21/20,646.0
7/22/20,480.0
7/23/20,607.0
7/24/20,785.0
7/25/20,832.0
7/26/20,318.0
7/27/20,504.0
7/28/20,525.0
7/29/20,616.0
7/30/20,659.0
7/31/20,765.0
8/1/20,572.0
8/2/20,462.0
8/3/20,323.0
8/4/20,689.0
8/5/20,544.0
8/6/20,513.0
8/7/20,542.0
8/8/20,782.0
8/9/20,404.0
8/10/20,272.0
8/11/20,539.0
8/12/20,1152.0
8/13/20,741.0
8/14/20,612.0
8/15/20,632.0
8/16/20,0.0
8/17/20,761.0
8/18/20,608.0
8/19/20,627.0
8/20/20,700.0
8/21/20,639.0
8/22/20,801.0
8/23/20,0.0
8/24/20,832.0
8/25/20,670.0
8/26/20,662.0
8/27/20,748.0
8/28/20,779.0
8/29/20,820.0
8/30/20,454.0
8/31/20,365.0
9/1/20,789.0
9/2/20,806.0
9/3/20,894.0
9/4/20,792.0
9/5/20,787.0
9/6/20,310.0
9/7/20,290.0
9/8/20,255.0
9/9/20,658.0
9/10/20,795.0
9/11/20,932.0
9/12/20,711.0
9/13/20,530.0
9/14/20,337.0
9/15/20,718.0
9/16/20,764.0
9/17/20,606.0
9/18/20,758.0
9/19/20,978.0
9/20/20,436.0
9/21/20,375.0
9/22/20,814.0
9/23/20,784.0
9/24/20,643.0
9/25/20,908.0
9/26/20,970.0
9/27/20,455.0
9/28/20,448.0
9/29/20,917.0
9/30/20,984.0
10/1/20,888.0
10/2/20,999.0
10/3/20,1274.0
10/4/20,616.0
10/5/20,541.0
10/6/20,1036.0
10/7/20,2393.0
10/8/20,868.0
10/9/20,1001.0
10/10/20,989.0
10/11/20,847.0
10/12/20,638.0
10/13/20,761.0
10/14/20,1322.0
10/15/20,1182.0
10/16/20,1311.0
10/17/20,1291.0
10/18/20,810.0
10/19/20,640.0
10/20/20,1297.0
10/21/20,1452.0
10/22/20,1303.0
10/23/20,1449.0
10/24/20,1732.0
10/25/20,1462.0
10/26/20,924.0
10/27/20,1771.0
10/28/20,1857.0
10/29/20,1811.0
10/30/20,1937.0
10/31/20,1977.0
11/1/20,1423.0
11/2/20,1028.0
11/3/20,1709.0
11/4/20,1630.0
11/5/20,2268.0
11/6/20,2228.0
11/7/20,2156.0
11/8/20,1177.0
11/9/20,1729.0
11/10/20,2079.0
11/11/20,2698.0
11/12/20,2336.0
11/13/20,3164.0
11/14/20,3293.0
11/15/20,1449.0
11/16/20,1511.0
11/17/20,2911.0
11/18/20,2745.0
11/19/20,3637.0
11/20/20,3816.0
11/21/20,3702.0
11/22/20,2192.0
11/23/20,2132.0
11/24/20,2606.0
11/25/20,3301.0
11/26/20,0.0
11/27/20,5616.0
11/28/20,2427.0
11/29/20,2743.0
11/30/20,2116.0
12/1/20,4123.0
12/2/20,3601.0
12/3/20,3835.0
12/4/20,3592.0
12/5/20,3872.0
12/6/20,2567.0
12/7/20,1960.0
12/8/20,3076.0
12/9/20,3468.0
12/10/20,4314.0
12/11/20,3670.0
12/12/20,3540.0
12/13/20,2444.0
12/14/20,1786.0
12/15/20,2928.0
12/16/20,2875.0
12/17/20,3328.0
12/18/20,3169.0
12/19/20,3374.0
12/20/20,1757.0
12/21/20,1976.0
12/22/20,3047.0
12/23/20,2936.0
12/24/20,0.0
12/25/20,0.0
12/26/20,5283.0
12/27/20,1500.0
12/28/20,1454.0
12/29/20,2975.0
12/30/20,3770.0
12/31/20,0.0
1/1/21,0.0
1/2/21,8709.0
1/3/21,2855.0
1/4/21,2317.0
1/5/21,1693.0
1/6/21,5705.0
1/7/21,4889.0
1/8/21,4737.0
1/9/21,4231.0
1/10/21,3227.0
1/11/21,2082.0
1/12/21,3022.0
1/13/21,4553.0
1/14/21,4063.0
1/15/21,3925.0
1/16/21,3055.0
1/17/21,2350.0
1/18/21,1993.0
1/19/21,2239.0
1/20/21,3414.0
1/21/21,3713.0
1/22/21,2745.0
1/23/21,3789.0
1/24/21,1571.0
1/25/21,1689.0
1/26/21,2692.0
1/27/21,2415.0
1/28/21,2934.0
1/29/21,2601.0
1/30/21,2646.0
1/31/21,1766.0
2/1/21,1617.0
2/2/21,2431.0
2/3/21,2581.0
2/4/21,2493.0
2/5/21,2256.0
2/6/21,1994.0
2/7/21,1537.0
2/8/21,1003.0
2/9/21,2328.0
2/10/21,1911.0
2/11/21,1871.0
2/12/21,1423.0
2/13/21,764.0
2/14/21,1708.0
2/15/21,723.0
2/16/21,1241.0
2/17/21,1010.0
2/18/21,957.0
2/19/21,1958.0
2/20/21,1331.0
2/21/21,979.0
2/22/21,529.0
2/23/21,1487.0
2/24/21,1294.0
2/25/21,1443.0
2/26/21,1176.0
2/27/21,1021.0
2/28/21,675.0
3/1/21,504.0
3/2/21,1075.0
3/3/21,1172.0
3/4/21,1067.0
3/5/21,905.0
3/6/21,839.0
3/7/21,525.0
3/8/21,331.0
3/9/21,877.0
3/10/21,1007.0
3/11/21,1207.0
3/12/21,960.0
3/13/21,679.0
3/14/21,445.0
3/15/21,395.0
3/16/21,802.0
3/17/21,960.0
3/18/21,777.0
3/19/21,723.0
3/20/21,640.0
3/21/21,316.0
3/22/21,293.0
3/23/21,878.0
3/24/21,695.0
3/25/21,720.0
3/26/21,641.0
3/27/21,611.0
3/28/21,358.0
3/29/21,309.0
3/30/21,740.0
3/31/21,803.0
4/1/21,966.0
4/2/21,685.0
4/3/21,579.0
4/4/21,0.0
4/5/21,405.0
4/6/21,330.0
4/7/21,1019.0
4/8/21,627.0
4/9/21,733.0
4/10/21,500.0
4/11/21,365.0
4/12/21,267.0
4/13/21,796.0
4/14/21,774.0
4/15/21,821.0
4/16/21,702.0
4/17/21,592.0
4/18/21,275.0
4/19/21,231.0
4/20/21,604.0
4/21/21,780.0
4/22/21,624.0
4/23/21,598.0
4/24/21,482.0
4/25/21,324.0
4/26/21,211.0
4/27/21,714.0
4/28/21,738.0
4/29/21,790.0
4/30/21,719.0
5/1/21,644.0
5/2/21,368.0
