,Louisiana
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,5.0
3/12/20,14.0
3/13/20,10.0
3/14/20,48.0
3/15/20,10.0
3/16/20,28.0
3/17/20,81.0
3/18/20,61.0
3/19/20,135.0
3/20/20,145.0
3/21/20,226.0
3/22/20,74.0
3/23/20,335.0
3/24/20,216.0
3/25/20,407.0
3/26/20,509.0
3/27/20,440.0
3/28/20,571.0
3/29/20,225.0
3/30/20,485.0
3/31/20,1212.0
4/1/20,1187.0
4/2/20,2725.0
4/3/20,1148.0
4/4/20,2199.0
4/5/20,514.0
4/6/20,1857.0
4/7/20,1417.0
4/8/20,746.0
4/9/20,1253.0
4/10/20,970.0
4/11/20,761.0
4/12/20,581.0
4/13/20,421.0
4/14/20,502.0
4/15/20,433.0
4/16/20,581.0
4/17/20,586.0
4/18/20,462.0
4/19/20,348.0
4/20/20,595.0
4/21/20,331.0
4/22/20,404.0
4/23/20,481.0
4/24/20,401.0
4/25/20,372.0
4/26/20,261.0
4/27/20,295.0
4/28/20,218.0
4/29/20,374.0
4/30/20,341.0
5/1/20,710.0
5/2/20,429.0
5/3/20,200.0
5/4/20,333.0
5/5/20,323.0
5/6/20,403.0
5/7/20,253.0
5/8/20,203.0
5/9/20,562.0
5/10/20,183.0
5/11/20,215.0
5/12/20,235.0
5/13/20,612.0
5/14/20,827.0
5/15/20,348.0
5/16/20,280.0
5/17/20,315.0
5/18/20,277.0
5/19/20,329.0
5/20/20,278.0
5/21/20,1188.0
5/22/20,421.0
5/23/20,0.0
5/24/20,244.0
5/25/20,640.0
5/26/20,245.0
5/27/20,443.0
5/28/20,305.0
5/29/20,0.0
5/30/20,775.0
5/31/20,339.0
6/1/20,425.0
6/2/20,405.0
6/3/20,387.0
6/4/20,429.0
6/5/20,427.0
6/6/20,497.0
6/7/20,330.0
6/8/20,234.0
6/9/20,562.0
6/10/20,418.0
6/11/20,442.0
6/12/20,523.0
6/13/20,1288.0
6/14/20,336.0
6/15/20,553.0
6/16/20,534.0
6/17/20,928.0
6/18/20,0.0
6/19/20,-119.0
6/20/20,870.0
6/21/20,393.0
6/22/20,461.0
6/23/20,1356.0
6/24/20,882.0
6/25/20,938.0
6/26/20,1354.0
6/27/20,0.0
6/28/20,1467.0
6/29/20,845.0
6/30/20,1014.0
7/1/20,2083.0
7/2/20,1383.0
7/3/20,1728.0
7/4/20,0.0
7/5/20,1937.0
7/6/20,1101.0
7/7/20,1936.0
7/8/20,1888.0
7/9/20,1843.0
7/10/20,2642.0
7/11/20,2167.0
7/12/20,1319.0
7/13/20,1705.0
7/14/20,2215.0
7/15/20,2089.0
7/16/20,2280.0
7/17/20,2179.0
7/18/20,0.0
7/19/20,3116.0
7/20/20,3186.0
7/21/20,1691.0
7/22/20,2771.0
7/23/20,2296.0
7/24/20,2084.0
7/25/20,0.0
7/26/20,3840.0
7/27/20,2343.0
7/28/20,1121.0
7/29/20,1735.0
7/30/20,1708.0
7/31/20,1799.0
8/1/20,0.0
8/2/20,3467.0
8/3/20,1099.0
8/4/20,3615.0
8/5/20,1482.0
8/6/20,1303.0
8/7/20,1500.0
8/8/20,0.0
8/9/20,2653.0
8/10/20,562.0
8/11/20,1164.0
8/12/20,1179.0
8/13/20,1135.0
8/14/20,1298.0
8/15/20,0.0
8/16/20,1181.0
8/17/20,567.0
8/18/20,640.0
8/19/20,778.0
8/20/20,918.0
8/21/20,899.0
8/22/20,0.0
8/23/20,1223.0
8/24/20,623.0
8/25/20,550.0
8/26/20,1545.0
8/27/20,677.0
8/28/20,606.0
8/29/20,0.0
8/30/20,1624.0
8/31/20,326.0
9/1/20,689.0
9/2/20,1141.0
9/3/20,813.0
9/4/20,822.0
9/5/20,0.0
9/6/20,1395.0
9/7/20,309.0
9/8/20,256.0
9/9/20,1571.0
9/10/20,464.0
9/11/20,755.0
9/12/20,0.0
9/13/20,1281.0
9/14/20,492.0
9/15/20,371.0
9/16/20,612.0
9/17/20,478.0
9/18/20,979.0
9/19/20,0.0
9/20/20,936.0
9/21/20,243.0
9/22/20,752.0
9/23/20,616.0
9/24/20,577.0
9/25/20,706.0
9/26/20,0.0
9/27/20,923.0
9/28/20,240.0
9/29/20,533.0
9/30/20,610.0
10/1/20,551.0
10/2/20,817.0
10/3/20,0.0
10/4/20,893.0
10/5/20,218.0
10/6/20,532.0
10/7/20,2156.0
10/8/20,524.0
10/9/20,257.0
10/10/20,0.0
10/11/20,1181.0
10/12/20,60.0
10/13/20,682.0
10/14/20,880.0
10/15/20,743.0
10/16/20,774.0
10/17/20,0.0
10/18/20,1143.0
10/19/20,201.0
10/20/20,699.0
10/21/20,1363.0
10/22/20,772.0
10/23/20,699.0
10/24/20,0.0
10/25/20,972.0
10/26/20,227.0
10/27/20,922.0
10/28/20,1098.0
10/29/20,394.0
10/30/20,433.0
10/31/20,0.0
11/1/20,1071.0
11/2/20,275.0
11/3/20,1153.0
11/4/20,1016.0
11/5/20,681.0
11/6/20,870.0
11/7/20,0.0
11/8/20,1266.0
11/9/20,391.0
11/10/20,1330.0
11/11/20,0.0
11/12/20,3829.0
11/13/20,3450.0
11/14/20,0.0
11/15/20,2532.0
11/16/20,544.0
11/17/20,2628.0
11/18/20,2229.0
11/19/20,2052.0
11/20/20,4743.0
11/21/20,0.0
11/22/20,3483.0
11/23/20,968.0
11/24/20,3243.0
11/25/20,1235.0
11/26/20,0.0
11/27/20,4964.0
11/28/20,0.0
11/29/20,1643.0
11/30/20,169.0
12/1/20,5326.0
12/2/20,3595.0
12/3/20,2743.0
12/4/20,3099.0
12/5/20,0.0
12/6/20,3946.0
12/7/20,1013.0
12/8/20,2426.0
12/9/20,4352.0
12/10/20,2415.0
12/11/20,2862.0
12/12/20,0.0
12/13/20,4422.0
12/14/20,1030.0
12/15/20,2633.0
12/16/20,3269.0
12/17/20,3776.0
12/18/20,3113.0
12/19/20,0.0
12/20/20,3711.0
12/21/20,1116.0
12/22/20,3699.0
12/23/20,2974.0
12/24/20,2565.0
12/25/20,0.0
12/26/20,0.0
12/27/20,3223.0
12/28/20,817.0
12/29/20,3946.0
12/30/20,6744.0
12/31/20,4046.0
1/1/21,0.0
1/2/21,0.0
1/3/21,5783.0
1/4/21,1123.0
1/5/21,4467.0
1/6/21,6876.0
1/7/21,4530.0
1/8/21,3377.0
1/9/21,0.0
1/10/21,5398.0
1/11/21,1405.0
1/12/21,4705.0
1/13/21,2896.0
1/14/21,5313.0
1/15/21,3705.0
1/16/21,0.0
1/17/21,4127.0
1/18/21,971.0
1/19/21,2138.0
1/20/21,2493.0
1/21/21,3736.0
1/22/21,1937.0
1/23/21,0.0
1/24/21,3607.0
1/25/21,2080.0
1/26/21,2620.0
1/27/21,3854.0
1/28/21,2493.0
1/29/21,2367.0
1/30/21,0.0
1/31/21,3350.0
2/1/21,965.0
2/2/21,2603.0
2/3/21,2041.0
2/4/21,2760.0
2/5/21,866.0
2/6/21,0.0
2/7/21,1951.0
2/8/21,1177.0
2/9/21,1365.0
2/10/21,333.0
2/11/21,2728.0
2/12/21,1170.0
2/13/21,0.0
2/14/21,1306.0
2/15/21,503.0
2/16/21,0.0
2/17/21,624.0
2/18/21,828.0
2/19/21,441.0
2/20/21,0.0
2/21/21,1889.0
2/22/21,468.0
2/23/21,1404.0
2/24/21,877.0
2/25/21,764.0
2/26/21,903.0
2/27/21,0.0
2/28/21,1508.0
3/1/21,404.0
3/2/21,767.0
3/3/21,500.0
3/4/21,756.0
3/5/21,518.0
3/6/21,0.0
3/7/21,740.0
3/8/21,504.0
3/9/21,637.0
3/10/21,588.0
3/11/21,421.0
3/12/21,547.0
3/13/21,0.0
3/14/21,911.0
3/15/21,172.0
3/16/21,992.0
3/17/21,445.0
3/18/21,541.0
3/19/21,194.0
3/20/21,0.0
3/21/21,0.0
3/22/21,1329.0
3/23/21,705.0
3/24/21,450.0
3/25/21,399.0
3/26/21,449.0
3/27/21,0.0
3/28/21,0.0
3/29/21,836.0
3/30/21,509.0
3/31/21,519.0
4/1/21,536.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,1268.0
4/6/21,218.0
4/7/21,700.0
4/8/21,449.0
4/9/21,734.0
4/10/21,0.0
4/11/21,0.0
4/12/21,989.0
4/13/21,452.0
4/14/21,394.0
4/15/21,803.0
4/16/21,479.0
4/17/21,0.0
4/18/21,0.0
4/19/21,1396.0
4/20/21,360.0
4/21/21,666.0
4/22/21,623.0
4/23/21,541.0
4/24/21,0.0
4/25/21,0.0
4/26/21,891.0
4/27/21,452.0
4/28/21,442.0
4/29/21,570.0
4/30/21,685.0
5/1/21,0.0
5/2/21,0.0
