,Maryland
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,3.0
3/7/20,0.0
3/8/20,2.0
3/9/20,0.0
3/10/20,3.0
3/11/20,1.0
3/12/20,3.0
3/13/20,6.0
3/14/20,9.0
3/15/20,-3.0
3/16/20,18.0
3/17/20,18.0
3/18/20,25.0
3/19/20,22.0
3/20/20,42.0
3/21/20,44.0
3/22/20,51.0
3/23/20,46.0
3/24/20,59.0
3/25/20,76.0
3/26/20,158.0
3/27/20,192.0
3/28/20,220.0
3/29/20,244.0
3/30/20,174.0
3/31/20,247.0
4/1/20,326.0
4/2/20,345.0
4/3/20,427.0
4/4/20,367.0
4/5/20,492.0
4/6/20,428.0
4/7/20,326.0
4/8/20,1158.0
4/9/20,656.0
4/10/20,783.0
4/11/20,726.0
4/12/20,531.0
4/13/20,711.0
4/14/20,536.0
4/15/20,560.0
4/16/20,752.0
4/17/20,788.0
4/18/20,754.0
4/19/20,521.0
4/20/20,837.0
4/21/20,509.0
4/22/20,582.0
4/23/20,962.0
4/24/20,879.0
4/25/20,1150.0
4/26/20,815.0
4/27/20,906.0
4/28/20,626.0
4/29/20,736.0
4/30/20,893.0
5/1/20,1730.0
5/2/20,1001.0
5/3/20,989.0
5/4/20,946.0
5/5/20,709.0
5/6/20,1046.0
5/7/20,1211.0
5/8/20,1111.0
5/9/20,1049.0
5/10/20,1053.0
5/11/20,786.0
5/12/20,688.0
5/13/20,751.0
5/14/20,1091.0
5/15/20,1083.0
5/16/20,982.0
5/17/20,836.0
5/18/20,958.0
5/19/20,1784.0
5/20/20,777.0
5/21/20,1208.0
5/22/20,893.0
5/23/20,1071.0
5/24/20,818.0
5/25/20,839.0
5/26/20,535.0
5/27/20,736.0
5/28/20,1286.0
5/29/20,1279.0
5/30/20,1027.0
5/31/20,763.0
6/1/20,549.0
6/2/20,848.0
6/3/20,807.0
6/4/20,876.0
6/5/20,912.0
6/6/20,712.0
6/7/20,491.0
6/8/20,431.0
6/9/20,500.0
6/10/20,561.0
6/11/20,732.0
6/12/20,416.0
6/13/20,692.0
6/14/20,396.0
6/15/20,331.0
6/16/20,377.0
6/17/20,560.0
6/18/20,260.0
6/19/20,319.0
6/20/20,408.0
6/21/20,350.0
6/22/20,297.0
6/23/20,404.0
6/24/20,330.0
6/25/20,440.0
6/26/20,338.0
6/27/20,335.0
6/28/20,327.0
6/29/20,477.0
6/30/20,305.0
7/1/20,359.0
7/2/20,505.0
7/3/20,538.0
7/4/20,380.0
7/5/20,291.0
7/6/20,272.0
7/7/20,492.0
7/8/20,465.0
7/9/20,586.0
7/10/20,463.0
7/11/20,557.0
7/12/20,642.0
7/13/20,418.0
7/14/20,733.0
7/15/20,756.0
7/16/20,648.0
7/17/20,707.0
7/18/20,835.0
7/19/20,925.0
7/20/20,554.0
7/21/20,860.0
7/22/20,627.0
7/23/20,664.0
7/24/20,930.0
7/25/20,1288.0
7/26/20,694.0
7/27/20,1128.0
7/28/20,648.0
7/29/20,761.0
7/30/20,892.0
7/31/20,1169.0
8/1/20,1019.0
8/2/20,909.0
8/3/20,870.0
8/4/20,710.0
8/5/20,572.0
8/6/20,579.0
8/7/20,801.0
8/8/20,775.0
8/9/20,922.0
8/10/20,755.0
8/11/20,585.0
8/12/20,541.0
8/13/20,776.0
8/14/20,715.0
8/15/20,818.0
8/16/20,519.0
8/17/20,503.0
8/18/20,520.0
8/19/20,414.0
8/20/20,580.0
8/21/20,670.0
8/22/20,624.0
8/23/20,579.0
8/24/20,567.0
8/25/20,377.0
8/26/20,440.0
8/27/20,577.0
8/28/20,601.0
8/29/20,630.0
8/30/20,497.0
8/31/20,458.0
9/1/20,614.0
9/2/20,456.0
9/3/20,693.0
9/4/20,819.0
9/5/20,776.0
9/6/20,512.0
9/7/20,764.0
9/8/20,356.0
9/9/20,336.0
9/10/20,503.0
9/11/20,646.0
9/12/20,809.0
9/13/20,577.0
9/14/20,536.0
9/15/20,599.0
9/16/20,643.0
9/17/20,631.0
9/18/20,543.0
9/19/20,682.0
9/20/20,412.0
9/21/20,412.0
9/22/20,344.0
9/23/20,385.0
9/24/20,503.0
9/25/20,559.0
9/26/20,613.0
9/27/20,431.0
9/28/20,477.0
9/29/20,431.0
9/30/20,414.0
10/1/20,785.0
10/2/20,712.0
10/3/20,597.0
10/4/20,471.0
10/5/20,501.0
10/6/20,413.0
10/7/20,460.0
10/8/20,761.0
10/9/20,734.0
10/10/20,636.0
10/11/20,562.0
10/12/20,504.0
10/13/20,482.0
10/14/20,575.0
10/15/20,630.0
10/16/20,781.0
10/17/20,798.0
10/18/20,530.0
10/19/20,497.0
10/20/20,590.0
10/21/20,492.0
10/22/20,743.0
10/23/20,712.0
10/24/20,796.0
10/25/20,792.0
10/26/20,565.0
10/27/20,897.0
10/28/20,684.0
10/29/20,962.0
10/30/20,927.0
10/31/20,967.0
11/1/20,864.0
11/2/20,850.0
11/3/20,771.0
11/4/20,1000.0
11/5/20,1198.0
11/6/20,1541.0
11/7/20,1410.0
11/8/20,1081.0
11/9/20,1375.0
11/10/20,1338.0
11/11/20,1714.0
11/12/20,1477.0
11/13/20,1869.0
11/14/20,2321.0
11/15/20,1840.0
11/16/20,1726.0
11/17/20,2149.0
11/18/20,2018.0
11/19/20,2910.0
11/20/20,2353.0
11/21/20,2885.0
11/22/20,2168.0
11/23/20,1658.0
11/24/20,1667.0
11/25/20,2697.0
11/26/20,2319.0
11/27/20,2378.0
11/28/20,1590.0
11/29/20,1999.0
11/30/20,1923.0
12/1/20,2765.0
12/2/20,2220.0
12/3/20,2044.0
12/4/20,3792.0
12/5/20,3193.0
12/6/20,2643.0
12/7/20,2302.0
12/8/20,2632.0
12/9/20,2692.0
12/10/20,3202.0
12/11/20,2616.0
12/12/20,3538.0
12/13/20,2638.0
12/14/20,2314.0
12/15/20,2401.0
12/16/20,2405.0
12/17/20,2217.0
12/18/20,2569.0
12/19/20,2201.0
12/20/20,2054.0
12/21/20,2265.0
12/22/20,2324.0
12/23/20,2465.0
12/24/20,2866.0
12/25/20,2432.0
12/26/20,2280.0
12/27/20,1758.0
12/28/20,1985.0
12/29/20,1878.0
12/30/20,2628.0
12/31/20,2973.0
1/1/21,3557.0
1/2/21,2952.0
1/3/21,2148.0
1/4/21,2483.0
1/5/21,1956.0
1/6/21,3146.0
1/7/21,2970.0
1/8/21,3732.0
1/9/21,3758.0
1/10/21,3310.0
1/11/21,3012.0
1/12/21,2665.0
1/13/21,2516.0
1/14/21,2948.0
1/15/21,2924.0
1/16/21,3292.0
1/17/21,2414.0
1/18/21,1769.0
1/19/21,1972.0
1/20/21,2167.0
1/21/21,2166.0
1/22/21,2396.0
1/23/21,2392.0
1/24/21,2145.0
1/25/21,1686.0
1/26/21,1482.0
1/27/21,1939.0
1/28/21,2190.0
1/29/21,1880.0
1/30/21,2097.0
1/31/21,1747.0
2/1/21,1163.0
2/2/21,905.0
2/3/21,942.0
2/4/21,1554.0
2/5/21,1547.0
2/6/21,1500.0
2/7/21,1566.0
2/8/21,903.0
2/9/21,976.0
2/10/21,1137.0
2/11/21,1199.0
2/12/21,1112.0
2/13/21,1159.0
2/14/21,847.0
2/15/21,722.0
2/16/21,516.0
2/17/21,759.0
2/18/21,986.0
2/19/21,1008.0
2/20/21,763.0
2/21/21,618.0
2/22/21,611.0
2/23/21,662.0
2/24/21,862.0
2/25/21,976.0
2/26/21,970.0
2/27/21,836.0
2/28/21,827.0
3/1/21,603.0
3/2/21,468.0
3/3/21,786.0
3/4/21,809.0
3/5/21,913.0
3/6/21,932.0
3/7/21,709.0
3/8/21,716.0
3/9/21,631.0
3/10/21,900.0
3/11/21,924.0
3/12/21,990.0
3/13/21,1101.0
3/14/21,860.0
3/15/21,617.0
3/16/21,658.0
3/17/21,917.0
3/18/21,1113.0
3/19/21,1152.0
3/20/21,1118.0
3/21/21,1007.0
3/22/21,682.0
3/23/21,722.0
3/24/21,1173.0
3/25/21,1382.0
3/26/21,1361.0
3/27/21,1366.0
3/28/21,1335.0
3/29/21,1031.0
3/30/21,903.0
3/31/21,1366.0
4/1/21,1584.0
4/2/21,1457.0
4/3/21,1275.0
4/4/21,1669.0
4/5/21,859.0
4/6/21,867.0
4/7/21,1471.0
4/8/21,1297.0
4/9/21,1840.0
4/10/21,1584.0
4/11/21,1483.0
4/12/21,985.0
4/13/21,1084.0
4/14/21,1552.0
4/15/21,1444.0
4/16/21,1564.0
4/17/21,1500.0
4/18/21,1169.0
4/19/21,631.0
4/20/21,925.0
4/21/21,1205.0
4/22/21,1203.0
4/23/21,1163.0
4/24/21,1196.0
4/25/21,906.0
4/26/21,557.0
4/27/21,677.0
4/28/21,1002.0
4/29/21,966.0
4/30/21,942.0
5/1/21,939.0
5/2/21,649.0
