,Minnesota
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,1.0
3/10/20,0.0
3/11/20,3.0
3/12/20,4.0
3/13/20,5.0
3/14/20,7.0
3/15/20,0.0
3/16/20,32.0
3/17/20,6.0
3/18/20,18.0
3/19/20,12.0
3/20/20,24.0
3/21/20,21.0
3/22/20,33.0
3/23/20,67.0
3/24/20,27.0
3/25/20,25.0
3/26/20,58.0
3/27/20,52.0
3/28/20,45.0
3/29/20,62.0
3/30/20,73.0
3/31/20,53.0
4/1/20,60.0
4/2/20,53.0
4/3/20,46.0
4/4/20,77.0
4/5/20,70.0
4/6/20,51.0
4/7/20,83.0
4/8/20,85.0
4/9/20,86.0
4/10/20,96.0
4/11/20,91.0
4/12/20,194.0
4/13/20,0.0
4/14/20,74.0
4/15/20,114.0
4/16/20,0.0
4/17/20,261.0
4/18/20,139.0
4/19/20,147.0
4/20/20,114.0
4/21/20,97.0
4/22/20,155.0
4/23/20,220.0
4/24/20,243.0
4/25/20,261.0
4/26/20,156.0
4/27/20,209.0
4/28/20,370.0
4/29/20,463.0
4/30/20,492.0
5/1/20,594.0
5/2/20,502.0
5/3/20,431.0
5/4/20,571.0
5/5/20,617.0
5/6/20,728.0
5/7/20,786.0
5/8/20,723.0
5/9/20,702.0
5/10/20,481.0
5/11/20,528.0
5/12/20,695.0
5/13/20,423.0
5/14/20,518.0
5/15/20,805.0
5/16/20,729.0
5/17/20,699.0
5/18/20,704.0
5/19/20,657.0
5/20/20,641.0
5/21/20,530.0
5/22/20,805.0
5/23/20,840.0
5/24/20,728.0
5/25/20,742.0
5/26/20,645.0
5/27/20,504.0
5/28/20,483.0
5/29/20,584.0
5/30/20,659.0
5/31/20,660.0
6/1/20,358.0
6/2/20,300.0
6/3/20,362.0
6/4/20,403.0
6/5/20,707.0
6/6/20,521.0
6/7/20,385.0
6/8/20,338.0
6/9/20,299.0
6/10/20,346.0
6/11/20,447.0
6/12/20,479.0
6/13/20,377.0
6/14/20,299.0
6/15/20,222.0
6/16/20,189.0
6/17/20,414.0
6/18/20,379.0
6/19/20,356.0
6/20/20,436.0
6/21/20,453.0
6/22/20,307.0
6/23/20,242.0
6/24/20,294.0
6/25/20,360.0
6/26/20,493.0
6/27/20,417.0
6/28/20,516.0
6/29/20,312.0
6/30/20,442.0
7/1/20,413.0
7/2/20,494.0
7/3/20,414.0
7/4/20,0.0
7/5/20,512.0
7/6/20,433.0
7/7/20,564.0
7/8/20,456.0
7/9/20,574.0
7/10/20,604.0
7/11/20,804.0
7/12/20,710.0
7/13/20,491.0
7/14/20,398.0
7/15/20,572.0
7/16/20,605.0
7/17/20,666.0
7/18/20,457.0
7/19/20,734.0
7/20/20,903.0
7/21/20,350.0
7/22/20,504.0
7/23/20,760.0
7/24/20,767.0
7/25/20,803.0
7/26/20,862.0
7/27/20,650.0
7/28/20,478.0
7/29/20,666.0
7/30/20,745.0
7/31/20,771.0
8/1/20,725.0
8/2/20,759.0
8/3/20,613.0
8/4/20,602.0
8/5/20,617.0
8/6/20,861.0
8/7/20,545.0
8/8/20,916.0
8/9/20,797.0
8/10/20,618.0
8/11/20,323.0
8/12/20,464.0
8/13/20,690.0
8/14/20,730.0
8/15/20,690.0
8/16/20,739.0
8/17/20,564.0
8/18/20,376.0
8/19/20,526.0
8/20/20,690.0
8/21/20,825.0
8/22/20,734.0
8/23/20,717.0
8/24/20,714.0
8/25/20,409.0
8/26/20,529.0
8/27/20,1154.0
8/28/20,850.0
8/29/20,1017.0
8/30/20,932.0
8/31/20,675.0
9/1/20,491.0
9/2/20,730.0
9/3/20,1038.0
9/4/20,843.0
9/5/20,914.0
9/6/20,707.0
9/7/20,638.0
9/8/20,383.0
9/9/20,260.0
9/10/20,381.0
9/11/20,467.0
9/12/20,872.0
9/13/20,723.0
9/14/20,638.0
9/15/20,402.0
9/16/20,462.0
9/17/20,909.0
9/18/20,1085.0
9/19/20,914.0
9/20/20,1296.0
9/21/20,925.0
9/22/20,480.0
9/23/20,678.0
9/24/20,912.0
9/25/20,1177.0
9/26/20,1470.0
9/27/20,1075.0
9/28/20,904.0
9/29/20,809.0
9/30/20,687.0
10/1/20,1066.0
10/2/20,1166.0
10/3/20,1421.0
10/4/20,1039.0
10/5/20,973.0
10/6/20,941.0
10/7/20,911.0
10/8/20,1271.0
10/9/20,1390.0
10/10/20,1516.0
10/11/20,1440.0
10/12/20,1171.0
10/13/20,1135.0
10/14/20,1369.0
10/15/20,1163.0
10/16/20,2290.0
10/17/20,1694.0
10/18/20,1722.0
10/19/20,1627.0
10/20/20,1092.0
10/21/20,1060.0
10/22/20,1561.0
10/23/20,1711.0
10/24/20,2259.0
10/25/20,1680.0
10/26/20,1570.0
10/27/20,2164.0
10/28/20,1908.0
10/29/20,2867.0
10/30/20,3154.0
10/31/20,3007.0
11/1/20,2200.0
11/2/20,2948.0
11/3/20,3476.0
11/4/20,3827.0
11/5/20,3942.0
11/6/20,5442.0
11/7/20,4647.0
11/8/20,5908.0
11/9/20,3926.0
11/10/20,4893.0
11/11/20,4889.0
11/12/20,7225.0
11/13/20,5544.0
11/14/20,8689.0
11/15/20,7553.0
11/16/20,7437.0
11/17/20,5931.0
11/18/20,5094.0
11/19/20,7863.0
11/20/20,6794.0
11/21/20,6252.0
11/22/20,7205.0
11/23/20,6343.0
11/24/20,6416.0
11/25/20,6387.0
11/26/20,0.0
11/27/20,5698.0
11/28/20,9022.0
11/29/20,8946.0
11/30/20,5794.0
12/1/20,3549.0
12/2/20,5165.0
12/3/20,6149.0
12/4/20,5347.0
12/5/20,6308.0
12/6/20,5581.0
12/7/20,5290.0
12/8/20,3051.0
12/9/20,4516.0
12/10/20,3499.0
12/11/20,3750.0
12/12/20,4430.0
12/13/20,3425.0
12/14/20,3018.0
12/15/20,2323.0
12/16/20,2248.0
12/17/20,2759.0
12/18/20,2718.0
12/19/20,2746.0
12/20/20,2684.0
12/21/20,1992.0
12/22/20,1700.0
12/23/20,1508.0
12/24/20,1884.0
12/25/20,0.0
12/26/20,2142.0
12/27/20,2516.0
12/28/20,1077.0
12/29/20,972.0
12/30/20,1997.0
12/31/20,2195.0
1/1/21,0.0
1/2/21,2530.0
1/3/21,2712.0
1/4/21,3144.0
1/5/21,1573.0
1/6/21,2326.0
1/7/21,1983.0
1/8/21,2374.0
1/9/21,2469.0
1/10/21,2159.0
1/11/21,980.0
1/12/21,1315.0
1/13/21,1487.0
1/14/21,1581.0
1/15/21,1627.0
1/16/21,1485.0
1/17/21,1333.0
1/18/21,969.0
1/19/21,919.0
1/20/21,1224.0
1/21/21,1270.0
1/22/21,1506.0
1/23/21,1540.0
1/24/21,1181.0
1/25/21,794.0
1/26/21,707.0
1/27/21,827.0
1/28/21,1316.0
1/29/21,1114.0
1/30/21,1072.0
1/31/21,988.0
2/1/21,721.0
2/2/21,604.0
2/3/21,634.0
2/4/21,1410.0
2/5/21,1048.0
2/6/21,993.0
2/7/21,901.0
2/8/21,564.0
2/9/21,572.0
2/10/21,651.0
2/11/21,898.0
2/12/21,1048.0
2/13/21,940.0
2/14/21,776.0
2/15/21,602.0
2/16/21,452.0
2/17/21,758.0
2/18/21,913.0
2/19/21,995.0
2/20/21,870.0
2/21/21,879.0
2/22/21,555.0
2/23/21,500.0
2/24/21,754.0
2/25/21,986.0
2/26/21,1147.0
2/27/21,812.0
2/28/21,804.0
3/1/21,636.0
3/2/21,425.0
3/3/21,779.0
3/4/21,940.0
3/5/21,796.0
3/6/21,946.0
3/7/21,895.0
3/8/21,472.0
3/9/21,1625.0
3/10/21,905.0
3/11/21,1093.0
3/12/21,1102.0
3/13/21,1187.0
3/14/21,997.0
3/15/21,826.0
3/16/21,708.0
3/17/21,1036.0
3/18/21,1496.0
3/19/21,1435.0
3/20/21,1380.0
3/21/21,951.0
3/22/21,1152.0
3/23/21,855.0
3/24/21,1310.0
3/25/21,1857.0
3/26/21,1699.0
3/27/21,1736.0
3/28/21,1225.0
3/29/21,1550.0
3/30/21,1273.0
3/31/21,1648.0
4/1/21,2138.0
4/2/21,2536.0
4/3/21,2064.0
4/4/21,0.0
4/5/21,1383.0
4/6/21,3012.0
4/7/21,1996.0
4/8/21,2524.0
4/9/21,2646.0
4/10/21,2449.0
4/11/21,1776.0
4/12/21,1993.0
4/13/21,1358.0
4/14/21,1697.0
4/15/21,2729.0
4/16/21,2287.0
4/17/21,2419.0
4/18/21,1845.0
4/19/21,1284.0
4/20/21,1185.0
4/21/21,1600.0
4/22/21,1970.0
4/23/21,2164.0
4/24/21,2103.0
4/25/21,1556.0
4/26/21,1197.0
4/27/21,1078.0
4/28/21,1507.0
4/29/21,1913.0
4/30/21,1874.0
5/1/21,1712.0
5/2/21,1711.0
