,Missouri
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,4.0
3/14/20,1.0
3/15/20,1.0
3/16/20,5.0
3/17/20,9.0
3/18/20,13.0
3/19/20,23.0
3/20/20,45.0
3/21/20,15.0
3/22/20,47.0
3/23/20,110.0
3/24/20,73.0
3/25/20,98.0
3/26/20,211.0
3/27/20,177.0
3/28/20,143.0
3/29/20,90.0
3/30/20,348.0
3/31/20,259.0
4/1/20,250.0
4/2/20,216.0
4/3/20,137.0
4/4/20,352.0
4/5/20,89.0
4/6/20,429.0
4/7/20,296.0
4/8/20,182.0
4/9/20,227.0
4/10/20,397.0
4/11/20,207.0
4/12/20,108.0
4/13/20,195.0
4/14/20,173.0
4/15/20,138.0
4/16/20,306.0
4/17/20,220.0
4/18/20,188.0
4/19/20,136.0
4/20/20,163.0
4/21/20,229.0
4/22/20,204.0
4/23/20,271.0
4/24/20,235.0
4/25/20,164.0
4/26/20,162.0
4/27/20,168.0
4/28/20,141.0
4/29/20,205.0
4/30/20,229.0
5/1/20,316.0
5/2/20,213.0
5/3/20,170.0
5/4/20,280.0
5/5/20,208.0
5/6/20,255.0
5/7/20,191.0
5/8/20,136.0
5/9/20,156.0
5/10/20,99.0
5/11/20,114.0
5/12/20,128.0
5/13/20,195.0
5/14/20,165.0
5/15/20,211.0
5/16/20,162.0
5/17/20,107.0
5/18/20,145.0
5/19/20,131.0
5/20/20,189.0
5/21/20,152.0
5/22/20,214.0
5/23/20,145.0
5/24/20,227.0
5/25/20,129.0
5/26/20,178.0
5/27/20,162.0
5/28/20,208.0
5/29/20,159.0
5/30/20,164.0
5/31/20,160.0
6/1/20,225.0
6/2/20,275.0
6/3/20,254.0
6/4/20,277.0
6/5/20,163.0
6/6/20,285.0
6/7/20,93.0
6/8/20,200.0
6/9/20,207.0
6/10/20,196.0
6/11/20,205.0
6/12/20,51.0
6/13/20,227.0
6/14/20,39.0
6/15/20,350.0
6/16/20,265.0
6/17/20,220.0
6/18/20,313.0
6/19/20,306.0
6/20/20,411.0
6/21/20,431.0
6/22/20,192.0
6/23/20,464.0
6/24/20,348.0
6/25/20,490.0
6/26/20,529.0
6/27/20,359.0
6/28/20,206.0
6/29/20,555.0
6/30/20,518.0
7/1/20,362.0
7/2/20,557.0
7/3/20,558.0
7/4/20,456.0
7/5/20,263.0
7/6/20,460.0
7/7/20,773.0
7/8/20,759.0
7/9/20,793.0
7/10/20,690.0
7/11/20,549.0
7/12/20,292.0
7/13/20,466.0
7/14/20,981.0
7/15/20,822.0
7/16/20,836.0
7/17/20,903.0
7/18/20,934.0
7/19/20,794.0
7/20/20,642.0
7/21/20,1118.0
7/22/20,1288.0
7/23/20,1547.0
7/24/20,1605.0
7/25/20,1372.0
7/26/20,1173.0
7/27/20,1299.0
7/28/20,1708.0
7/29/20,1772.0
7/30/20,2117.0
7/31/20,1477.0
8/1/20,1018.0
8/2/20,559.0
8/3/20,1069.0
8/4/20,1242.0
8/5/20,1150.0
8/6/20,1091.0
8/7/20,1105.0
8/8/20,150.0
8/9/20,1343.0
8/10/20,1018.0
8/11/20,1120.0
8/12/20,1574.0
8/13/20,1498.0
8/14/20,1385.0
8/15/20,1186.0
8/16/20,1173.0
8/17/20,1076.0
8/18/20,872.0
8/19/20,1267.0
8/20/20,1121.0
8/21/20,1299.0
8/22/20,1328.0
8/23/20,811.0
8/24/20,856.0
8/25/20,847.0
8/26/20,1421.0
8/27/20,1537.0
8/28/20,1498.0
8/29/20,1512.0
8/30/20,1265.0
8/31/20,1205.0
9/1/20,1155.0
9/2/20,1530.0
9/3/20,1530.0
9/4/20,1632.0
9/5/20,1943.0
9/6/20,1321.0
9/7/20,946.0
9/8/20,830.0
9/9/20,1483.0
9/10/20,1317.0
9/11/20,1617.0
9/12/20,2051.0
9/13/20,1713.0
9/14/20,1357.0
9/15/20,1504.0
9/16/20,1331.0
9/17/20,1743.0
9/18/20,1932.0
9/19/20,1476.0
9/20/20,1397.0
9/21/20,1507.0
9/22/20,1285.0
9/23/20,1642.0
9/24/20,1423.0
9/25/20,1995.0
9/26/20,2074.0
9/27/20,1530.0
9/28/20,1293.0
9/29/20,461.0
9/30/20,291.0
10/1/20,244.0
10/2/20,4158.0
10/3/20,1653.0
10/4/20,1465.0
10/5/20,1349.0
10/6/20,1123.0
10/7/20,1252.0
10/8/20,1675.0
10/9/20,2109.0
10/10/20,4700.0
10/11/20,280.0
10/12/20,266.0
10/13/20,344.0
10/14/20,4575.0
10/15/20,1959.0
10/16/20,2390.0
10/17/20,2239.0
10/18/20,1885.0
10/19/20,1529.0
10/20/20,1577.0
10/21/20,1534.0
10/22/20,2082.0
10/23/20,2161.0
10/24/20,2698.0
10/25/20,2020.0
10/26/20,1869.0
10/27/20,1873.0
10/28/20,2461.0
10/29/20,720.0
10/30/20,5574.0
10/31/20,2903.0
11/1/20,2583.0
11/2/20,3067.0
11/3/20,2494.0
11/4/20,3057.0
11/5/20,4105.0
11/6/20,4603.0
11/7/20,4665.0
11/8/20,4019.0
11/9/20,3570.0
11/10/20,4824.0
11/11/20,4380.0
11/12/20,5511.0
11/13/20,4847.0
11/14/20,9534.0
11/15/20,849.0
11/16/20,4689.0
11/17/20,5955.0
11/18/20,4964.0
11/19/20,4938.0
11/20/20,5051.0
11/21/20,5005.0
11/22/20,4335.0
11/23/20,3997.0
11/24/20,4412.0
11/25/20,4990.0
11/26/20,4485.0
11/27/20,3439.0
11/28/20,2664.0
11/29/20,3383.0
11/30/20,4391.0
12/1/20,3801.0
12/2/20,3508.0
12/3/20,4957.0
12/4/20,4825.0
12/5/20,5318.0
12/6/20,3950.0
12/7/20,3435.0
12/8/20,3961.0
12/9/20,3684.0
12/10/20,4977.0
12/11/20,2459.0
12/12/20,7800.0
12/13/20,3187.0
12/14/20,3650.0
12/15/20,3770.0
12/16/20,3878.0
12/17/20,4418.0
12/18/20,4464.0
12/19/20,3345.0
12/20/20,2669.0
12/21/20,3862.0
12/22/20,3084.0
12/23/20,3809.0
12/24/20,3614.0
12/25/20,1880.0
12/26/20,2160.0
12/27/20,1795.0
12/28/20,2421.0
12/29/20,4498.0
12/30/20,4283.0
12/31/20,5336.0
1/1/21,4263.0
1/2/21,3368.0
1/3/21,3218.0
1/4/21,2410.0
1/5/21,4215.0
1/6/21,3833.0
1/7/21,5873.0
1/8/21,5346.0
1/9/21,4335.0
1/10/21,2941.0
1/11/21,2653.0
1/12/21,3245.0
1/13/21,2863.0
1/14/21,3580.0
1/15/21,4138.0
1/16/21,2829.0
1/17/21,2197.0
1/18/21,1677.0
1/19/21,2364.0
1/20/21,2528.0
1/21/21,2999.0
1/22/21,2585.0
1/23/21,2258.0
1/24/21,2268.0
1/25/21,1737.0
1/26/21,2198.0
1/27/21,2180.0
1/28/21,2666.0
1/29/21,2479.0
1/30/21,1548.0
1/31/21,1197.0
2/1/21,1647.0
2/2/21,1782.0
2/3/21,1628.0
2/4/21,2203.0
2/5/21,2191.0
2/6/21,1194.0
2/7/21,805.0
2/8/21,953.0
2/9/21,1103.0
2/10/21,1439.0
2/11/21,1384.0
2/12/21,1082.0
2/13/21,814.0
2/14/21,554.0
2/15/21,654.0
2/16/21,780.0
2/17/21,955.0
2/18/21,1071.0
2/19/21,923.0
2/20/21,791.0
2/21/21,578.0
2/22/21,940.0
2/23/21,1220.0
2/24/21,889.0
2/25/21,954.0
2/26/21,706.0
2/27/21,637.0
2/28/21,296.0
3/1/21,569.0
3/2/21,650.0
3/3/21,695.0
3/4/21,754.0
3/5/21,625.0
3/6/21,628.0
3/7/21,376.0
3/8/21,517.0
3/9/21,672.0
3/10/21,35.0
3/11/21,477.0
3/12/21,840.0
3/13/21,750.0
3/14/21,497.0
3/15/21,400.0
3/16/21,669.0
3/17/21,770.0
3/18/21,715.0
3/19/21,642.0
3/20/21,646.0
3/21/21,406.0
3/22/21,309.0
3/23/21,509.0
3/24/21,843.0
3/25/21,1234.0
3/26/21,910.0
3/27/21,596.0
3/28/21,426.0
3/29/21,337.0
3/30/21,563.0
3/31/21,700.0
4/1/21,700.0
4/2/21,751.0
4/3/21,560.0
4/4/21,537.0
4/5/21,327.0
4/6/21,576.0
4/7/21,775.0
4/8/21,792.0
4/9/21,778.0
4/10/21,670.0
4/11/21,480.0
4/12/21,336.0
4/13/21,664.0
4/14/21,826.0
4/15/21,755.0
4/16/21,847.0
4/17/21,-8492.0
4/18/21,379.0
4/19/21,385.0
4/20/21,657.0
4/21/21,718.0
4/22/21,809.0
4/23/21,838.0
4/24/21,785.0
4/25/21,384.0
4/26/21,284.0
4/27/21,571.0
4/28/21,803.0
4/29/21,798.0
4/30/21,664.0
5/1/21,1050.0
5/2/21,787.0
