,Nebraska
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,2.0
3/10/20,0.0
3/11/20,2.0
3/12/20,5.0
3/13/20,4.0
3/14/20,4.0
3/15/20,-1.0
3/16/20,1.0
3/17/20,5.0
3/18/20,1.0
3/19/20,5.0
3/20/20,8.0
3/21/20,1.0
3/22/20,13.0
3/23/20,0.0
3/24/20,15.0
3/25/20,5.0
3/26/20,3.0
3/27/20,8.0
3/28/20,14.0
3/29/20,12.0
3/30/20,37.0
3/31/20,27.0
4/1/20,38.0
4/2/20,36.0
4/3/20,33.0
4/4/20,42.0
4/5/20,43.0
4/6/20,53.0
4/7/20,30.0
4/8/20,72.0
4/9/20,49.0
4/10/20,67.0
4/11/20,64.0
4/12/20,92.0
4/13/20,23.0
4/14/20,83.0
4/15/20,4.0
4/16/20,51.0
4/17/20,114.0
4/18/20,183.0
4/19/20,225.0
4/20/20,174.0
4/21/20,37.0
4/22/20,128.0
4/23/20,389.0
4/24/20,222.0
4/25/20,295.0
4/26/20,311.0
4/27/20,328.0
4/28/20,159.0
4/29/20,334.0
4/30/20,430.0
5/1/20,727.0
5/2/20,309.0
5/3/20,344.0
5/4/20,376.0
5/5/20,336.0
5/6/20,316.0
5/7/20,645.0
5/8/20,484.0
5/9/20,275.0
5/10/20,78.0
5/11/20,236.0
5/12/20,125.0
5/13/20,380.0
5/14/20,348.0
5/15/20,350.0
5/16/20,610.0
5/17/20,-43.0
5/18/20,448.0
5/19/20,229.0
5/20/20,268.0
5/21/20,305.0
5/22/20,235.0
5/23/20,301.0
5/24/20,171.0
5/25/20,228.0
5/26/20,257.0
5/27/20,365.0
5/28/20,265.0
5/29/20,399.0
5/30/20,257.0
5/31/20,196.0
6/1/20,244.0
6/2/20,271.0
6/3/20,269.0
6/4/20,254.0
6/5/20,267.0
6/6/20,166.0
6/7/20,92.0
6/8/20,122.0
6/9/20,132.0
6/10/20,140.0
6/11/20,257.0
6/12/20,207.0
6/13/20,118.0
6/14/20,90.0
6/15/20,121.0
6/16/20,187.0
6/17/20,193.0
6/18/20,183.0
6/19/20,174.0
6/20/20,119.0
6/21/20,105.0
6/22/20,151.0
6/23/20,136.0
6/24/20,122.0
6/25/20,125.0
6/26/20,178.0
6/27/20,251.0
6/28/20,124.0
6/29/20,143.0
6/30/20,135.0
7/1/20,133.0
7/2/20,142.0
7/3/20,208.0
7/4/20,167.0
7/5/20,102.0
7/6/20,117.0
7/7/20,155.0
7/8/20,224.0
7/9/20,198.0
7/10/20,154.0
7/11/20,221.0
7/12/20,174.0
7/13/20,227.0
7/14/20,318.0
7/15/20,262.0
7/16/20,155.0
7/17/20,227.0
7/18/20,120.0
7/19/20,102.0
7/20/20,264.0
7/21/20,343.0
7/22/20,296.0
7/23/20,332.0
7/24/20,356.0
7/25/20,221.0
7/26/20,223.0
7/27/20,281.0
7/28/20,258.0
7/29/20,265.0
7/30/20,344.0
7/31/20,445.0
8/1/20,180.0
8/2/20,311.0
8/3/20,254.0
8/4/20,222.0
8/5/20,311.0
8/6/20,332.0
8/7/20,283.0
8/8/20,141.0
8/9/20,187.0
8/10/20,264.0
8/11/20,334.0
8/12/20,214.0
8/13/20,416.0
8/14/20,328.0
8/15/20,253.0
8/16/20,131.0
8/17/20,191.0
8/18/20,262.0
8/19/20,215.0
8/20/20,308.0
8/21/20,278.0
8/22/20,154.0
8/23/20,109.0
8/24/20,158.0
8/25/20,301.0
8/26/20,379.0
8/27/20,374.0
8/28/20,335.0
8/29/20,317.0
8/30/20,293.0
8/31/20,241.0
9/1/20,287.0
9/2/20,421.0
9/3/20,474.0
9/4/20,192.0
9/5/20,144.0
9/6/20,81.0
9/7/20,89.0
9/8/20,494.0
9/9/20,448.0
9/10/20,456.0
9/11/20,478.0
9/12/20,269.0
9/13/20,68.0
9/14/20,454.0
9/15/20,328.0
9/16/20,449.0
9/17/20,502.0
9/18/20,466.0
9/19/20,410.0
9/20/20,286.0
9/21/20,305.0
9/22/20,397.0
9/23/20,493.0
9/24/20,453.0
9/25/20,431.0
9/26/20,434.0
9/27/20,467.0
9/28/20,515.0
9/29/20,466.0
9/30/20,520.0
10/1/20,621.0
10/2/20,792.0
10/3/20,426.0
10/4/20,404.0
10/5/20,452.0
10/6/20,498.0
10/7/20,639.0
10/8/20,663.0
10/9/20,0.0
10/10/20,1828.0
10/11/20,495.0
10/12/20,457.0
10/13/20,704.0
10/14/20,924.0
10/15/20,961.0
10/16/20,1286.0
10/17/20,618.0
10/18/20,736.0
10/19/20,749.0
10/20/20,592.0
10/21/20,899.0
10/22/20,977.0
10/23/20,1225.0
10/24/20,705.0
10/25/20,582.0
10/26/20,702.0
10/27/20,877.0
10/28/20,1169.0
10/29/20,1605.0
10/30/20,1495.0
10/31/20,1087.0
11/1/20,934.0
11/2/20,954.0
11/3/20,1440.0
11/4/20,1828.0
11/5/20,2124.0
11/6/20,2681.0
11/7/20,1702.0
11/8/20,1574.0
11/9/20,1582.0
11/10/20,2182.0
11/11/20,2209.0
11/12/20,2611.0
11/13/20,2369.0
11/14/20,1912.0
11/15/20,1327.0
11/16/20,3440.0
11/17/20,2204.0
11/18/20,2812.0
11/19/20,2663.0
11/20/20,2381.0
11/21/20,1368.0
11/22/20,1032.0
11/23/20,1860.0
11/24/20,0.0
11/25/20,1761.0
11/26/20,5270.0
11/27/20,1114.0
11/28/20,1257.0
11/29/20,1143.0
11/30/20,1941.0
12/1/20,1787.0
12/2/20,2336.0
12/3/20,2180.0
12/4/20,1615.0
12/5/20,2243.0
12/6/20,1266.0
12/7/20,1293.0
12/8/20,1468.0
12/9/20,1329.0
12/10/20,1850.0
12/11/20,1103.0
12/12/20,811.0
12/13/20,1173.0
12/14/20,483.0
12/15/20,1517.0
12/16/20,1242.0
12/17/20,1297.0
12/18/20,1345.0
12/19/20,670.0
12/20/20,967.0
12/21/20,721.0
12/22/20,1221.0
12/23/20,1338.0
12/24/20,695.0
12/25/20,805.0
12/26/20,175.0
12/27/20,637.0
12/28/20,875.0
12/29/20,932.0
12/30/20,1516.0
12/31/20,1501.0
1/1/21,918.0
1/2/21,546.0
1/3/21,738.0
1/4/21,585.0
1/5/21,1448.0
1/6/21,1436.0
1/7/21,1122.0
1/8/21,1023.0
1/9/21,1006.0
1/10/21,406.0
1/11/21,644.0
1/12/21,1000.0
1/13/21,1529.0
1/14/21,932.0
1/15/21,779.0
1/16/21,0.0
1/17/21,1068.0
1/18/21,198.0
1/19/21,0.0
1/20/21,2306.0
1/21/21,864.0
1/22/21,909.0
1/23/21,599.0
1/24/21,293.0
1/25/21,646.0
1/26/21,329.0
1/27/21,662.0
1/28/21,813.0
1/29/21,0.0
1/30/21,973.0
1/31/21,143.0
2/1/21,237.0
2/2/21,487.0
2/3/21,605.0
2/4/21,507.0
2/5/21,520.0
2/6/21,352.0
2/7/21,301.0
2/8/21,104.0
2/9/21,344.0
2/10/21,462.0
2/11/21,374.0
2/12/21,479.0
2/13/21,1542.0
2/14/21,209.0
2/15/21,92.0
2/16/21,119.0
2/17/21,299.0
2/18/21,296.0
2/19/21,400.0
2/20/21,309.0
2/21/21,198.0
2/22/21,96.0
2/23/21,357.0
2/24/21,380.0
2/25/21,381.0
2/26/21,284.0
2/27/21,273.0
2/28/21,162.0
3/1/21,64.0
3/2/21,400.0
3/3/21,262.0
3/4/21,365.0
3/5/21,337.0
3/6/21,343.0
3/7/21,373.0
3/8/21,1.0
3/9/21,252.0
3/10/21,308.0
3/11/21,303.0
3/12/21,272.0
3/13/21,302.0
3/14/21,174.0
3/15/21,115.0
3/16/21,350.0
3/17/21,111.0
3/18/21,325.0
3/19/21,275.0
3/20/21,432.0
3/21/21,142.0
3/22/21,183.0
3/23/21,136.0
3/24/21,232.0
3/25/21,288.0
3/26/21,440.0
3/27/21,451.0
3/28/21,306.0
3/29/21,129.0
3/30/21,359.0
3/31/21,434.0
4/1/21,550.0
4/2/21,1343.0
4/3/21,331.0
4/4/21,242.0
4/5/21,146.0
4/6/21,299.0
4/7/21,528.0
4/8/21,403.0
4/9/21,386.0
4/10/21,436.0
4/11/21,197.0
4/12/21,144.0
4/13/21,331.0
4/14/21,392.0
4/15/21,309.0
4/16/21,409.0
4/17/21,505.0
4/18/21,176.0
4/19/21,140.0
4/20/21,495.0
4/21/21,488.0
4/22/21,309.0
4/23/21,292.0
4/24/21,383.0
4/25/21,152.0
4/26/21,100.0
4/27/21,258.0
4/28/21,251.0
4/29/21,218.0
4/30/21,267.0
5/1/21,206.0
5/2/21,95.0
