,North Carolina
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,1.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,0.0
3/9/20,5.0
3/10/20,0.0
3/11/20,2.0
3/12/20,8.0
3/13/20,5.0
3/14/20,10.0
3/15/20,1.0
3/16/20,6.0
3/17/20,23.0
3/18/20,42.0
3/19/20,48.0
3/20/20,56.0
3/21/20,79.0
3/22/20,38.0
3/23/20,98.0
3/24/20,121.0
3/25/20,117.0
3/26/20,130.0
3/27/20,172.0
3/28/20,142.0
3/29/20,129.0
3/30/20,192.0
3/31/20,152.0
4/1/20,277.0
4/2/20,238.0
4/3/20,287.0
4/4/20,255.0
4/5/20,256.0
4/6/20,262.0
4/7/20,300.0
4/8/20,247.0
4/9/20,293.0
4/10/20,237.0
4/11/20,305.0
4/12/20,304.0
4/13/20,185.0
4/14/20,171.0
4/15/20,289.0
4/16/20,393.0
4/17/20,294.0
4/18/20,353.0
4/19/20,294.0
4/20/20,215.0
4/21/20,298.0
4/22/20,397.0
4/23/20,472.0
4/24/20,434.0
4/25/20,295.0
4/26/20,410.0
4/27/20,443.0
4/28/20,362.0
4/29/20,567.0
4/30/20,409.0
5/1/20,465.0
5/2/20,344.0
5/3/20,238.0
5/4/20,316.0
5/5/20,445.0
5/6/20,613.0
5/7/20,510.0
5/8/20,465.0
5/9/20,486.0
5/10/20,272.0
5/11/20,327.0
5/12/20,424.0
5/13/20,708.0
5/14/20,794.0
5/15/20,742.0
5/16/20,485.0
5/17/20,407.0
5/18/20,523.0
5/19/20,505.0
5/20/20,825.0
5/21/20,788.0
5/22/20,948.0
5/23/20,573.0
5/24/20,553.0
5/25/20,461.0
5/26/20,615.0
5/27/20,661.0
5/28/20,1136.0
5/29/20,1077.0
5/30/20,910.0
5/31/20,778.0
6/1/20,639.0
6/2/20,813.0
6/3/20,1232.0
6/4/20,1256.0
6/5/20,1317.0
6/6/20,950.0
6/7/20,1113.0
6/8/20,830.0
6/9/20,864.0
6/10/20,1277.0
6/11/20,1630.0
6/12/20,1497.0
6/13/20,1363.0
6/14/20,1091.0
6/15/20,962.0
6/16/20,868.0
6/17/20,1379.0
6/18/20,1619.0
6/19/20,1496.0
6/20/20,1299.0
6/21/20,1120.0
6/22/20,1028.0
6/23/20,1285.0
6/24/20,1375.0
6/25/20,1620.0
6/26/20,1770.0
6/27/20,1529.0
6/28/20,1333.0
6/29/20,1262.0
6/30/20,1895.0
7/1/20,1604.0
7/2/20,2075.0
7/3/20,1463.0
7/4/20,1411.0
7/5/20,1437.0
7/6/20,1393.0
7/7/20,1598.0
7/8/20,2002.0
7/9/20,2013.0
7/10/20,2271.0
7/11/20,1999.0
7/12/20,1824.0
7/13/20,2081.0
7/14/20,1937.0
7/15/20,2031.0
7/16/20,1966.0
7/17/20,2367.0
7/18/20,1796.0
7/19/20,1321.0
7/20/20,1915.0
7/21/20,1835.0
7/22/20,2452.0
7/23/20,2252.0
7/24/20,2051.0
7/25/20,1807.0
7/26/20,1591.0
7/27/20,2049.0
7/28/20,1608.0
7/29/20,2364.0
7/30/20,1951.0
7/31/20,1988.0
8/1/20,1402.0
8/2/20,1370.0
8/3/20,1580.0
8/4/20,1227.0
8/5/20,1953.0
8/6/20,1866.0
8/7/20,1786.0
8/8/20,1365.0
8/9/20,813.0
8/10/20,1335.0
8/11/20,1361.0
8/12/20,1777.0
8/13/20,1569.0
8/14/20,1597.0
8/15/20,1341.0
8/16/20,886.0
8/17/20,1257.0
8/18/20,1379.0
8/19/20,2049.0
8/20/20,1989.0
8/21/20,1790.0
8/22/20,1519.0
8/23/20,1217.0
8/24/20,1495.0
8/25/20,1394.0
8/26/20,2161.0
8/27/20,1987.0
8/28/20,1539.0
8/29/20,1695.0
8/30/20,1110.0
8/31/20,1392.0
9/1/20,1342.0
9/2/20,1952.0
9/3/20,1704.0
9/4/20,1657.0
9/5/20,1161.0
9/6/20,822.0
9/7/20,817.0
9/8/20,1065.0
9/9/20,1250.0
9/10/20,1690.0
9/11/20,1502.0
9/12/20,1104.0
9/13/20,823.0
9/14/20,1260.0
9/15/20,1366.0
9/16/20,1668.0
9/17/20,1548.0
9/18/20,1518.0
9/19/20,1138.0
9/20/20,819.0
9/21/20,1202.0
9/22/20,1124.0
9/23/20,1755.0
9/24/20,1709.0
9/25/20,1674.0
9/26/20,1225.0
9/27/20,792.0
9/28/20,1152.0
9/29/20,825.0
9/30/20,89.0
10/1/20,2266.0
10/2/20,1786.0
10/3/20,2202.0
10/4/20,610.0
10/5/20,2258.0
10/6/20,1504.0
10/7/20,1711.0
10/8/20,2428.0
10/9/20,2034.0
10/10/20,2321.0
10/11/20,1719.0
10/12/20,1276.0
10/13/20,1734.0
10/14/20,1926.0
10/15/20,2532.0
10/16/20,2684.0
10/17/20,2102.0
10/18/20,2303.0
10/19/20,1144.0
10/20/20,1578.0
10/21/20,1842.0
10/22/20,2400.0
10/23/20,2716.0
10/24/20,2584.0
10/25/20,1807.0
10/26/20,1643.0
10/27/20,2141.0
10/28/20,2253.0
10/29/20,2885.0
10/30/20,2809.0
10/31/20,2805.0
11/1/20,2057.0
11/2/20,1336.0
11/3/20,2349.0
11/4/20,2425.0
11/5/20,2859.0
11/6/20,2908.0
11/7/20,2676.0
11/8/20,2094.0
11/9/20,1521.0
11/10/20,2582.0
11/11/20,3119.0
11/12/20,2893.0
11/13/20,1779.0
11/14/20,3885.0
11/15/20,3117.0
11/16/20,1972.0
11/17/20,3288.0
11/18/20,3367.0
11/19/20,4296.0
11/20/20,3688.0
11/21/20,3415.0
11/22/20,4514.0
11/23/20,2419.0
11/24/20,3100.0
11/25/20,4212.0
11/26/20,0.0
11/27/20,8008.0
11/28/20,3444.0
11/29/20,3820.0
11/30/20,2734.0
12/1/20,2883.0
12/2/20,4199.0
12/3/20,5637.0
12/4/20,5303.0
12/5/20,6018.0
12/6/20,6438.0
12/7/20,4372.0
12/8/20,4670.0
12/9/20,6495.0
12/10/20,5556.0
12/11/20,7540.0
12/12/20,6153.0
12/13/20,6819.0
12/14/20,4770.0
12/15/20,5236.0
12/16/20,5273.0
12/17/20,5786.0
12/18/20,8444.0
12/19/20,6164.0
12/20/20,6900.0
12/21/20,4479.0
12/22/20,5255.0
12/23/20,5609.0
12/24/20,0.0
12/25/20,0.0
12/26/20,19419.0
12/27/20,2898.0
12/28/20,3888.0
12/29/20,3563.0
12/30/20,8551.0
12/31/20,6715.0
1/1/21,0.0
1/2/21,18892.0
1/3/21,6487.0
1/4/21,5187.0
1/5/21,5285.0
1/6/21,6952.0
1/7/21,10398.0
1/8/21,10028.0
1/9/21,11581.0
1/10/21,8833.0
1/11/21,5936.0
1/12/21,6851.0
1/13/21,5098.0
1/14/21,9853.0
1/15/21,8914.0
1/16/21,7986.0
1/17/21,6811.0
1/18/21,0.0
1/19/21,9860.0
1/20/21,6415.0
1/21/21,7187.0
1/22/21,7436.0
1/23/21,7181.0
1/24/21,6096.0
1/25/21,4633.0
1/26/21,3978.0
1/27/21,5587.0
1/28/21,6490.0
1/29/21,6959.0
1/30/21,6168.0
1/31/21,4899.0
2/1/21,3776.0
2/2/21,2926.0
2/3/21,12079.0
2/4/21,5495.0
2/5/21,5547.0
2/6/21,4172.0
2/7/21,4674.0
2/8/21,3084.0
2/9/21,2786.0
2/10/21,3833.0
2/11/21,4568.0
2/12/21,4128.0
2/13/21,4130.0
2/14/21,3170.0
2/15/21,2458.0
2/16/21,1988.0
2/17/21,3167.0
2/18/21,3916.0
2/19/21,3227.0
2/20/21,3446.0
2/21/21,2541.0
2/22/21,2133.0
2/23/21,1514.0
2/24/21,3346.0
2/25/21,3351.0
2/26/21,2924.0
2/27/21,2643.0
2/28/21,0.0
3/1/21,3622.0
3/2/21,1239.0
3/3/21,2145.0
3/4/21,2502.0
3/5/21,2093.0
3/6/21,2027.0
3/7/21,0.0
3/8/21,2730.0
3/9/21,997.0
3/10/21,1861.0
3/11/21,2061.0
3/12/21,1998.0
3/13/21,892.0
3/14/21,0.0
3/15/21,3503.0
3/16/21,1093.0
3/17/21,1999.0
3/18/21,2004.0
3/19/21,1915.0
3/20/21,2034.0
3/21/21,0.0
3/22/21,2839.0
3/23/21,1062.0
3/24/21,2098.0
3/25/21,2112.0
3/26/21,2154.0
3/27/21,0.0
3/28/21,0.0
3/29/21,5305.0
3/30/21,1370.0
3/31/21,1929.0
4/1/21,2027.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,6401.0
4/6/21,870.0
4/7/21,1380.0
4/8/21,2087.0
4/9/21,2509.0
4/10/21,0.0
4/11/21,0.0
4/12/21,5655.0
4/13/21,1364.0
4/14/21,2359.0
4/15/21,2434.0
4/16/21,2475.0
4/17/21,0.0
4/18/21,0.0
4/19/21,5673.0
4/20/21,1200.0
4/21/21,1963.0
4/22/21,2236.0
4/23/21,2167.0
4/24/21,0.0
4/25/21,0.0
4/26/21,5691.0
4/27/21,1148.0
4/28/21,1765.0
4/29/21,1985.0
4/30/21,2231.0
5/1/21,0.0
5/2/21,0.0
