,Ohio
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,3.0
3/11/20,1.0
3/12/20,1.0
3/13/20,7.0
3/14/20,14.0
3/15/20,4.0
3/16/20,20.0
3/17/20,17.0
3/18/20,22.0
3/19/20,30.0
3/20/20,54.0
3/21/20,74.0
3/22/20,109.0
3/23/20,87.0
3/24/20,124.0
3/25/20,137.0
3/26/20,164.0
3/27/20,269.0
3/28/20,269.0
3/29/20,247.0
3/30/20,280.0
3/31/20,266.0
4/1/20,348.0
4/2/20,354.0
4/3/20,411.0
4/4/20,427.0
4/5/20,304.0
4/6/20,410.0
4/7/20,329.0
4/8/20,366.0
4/9/20,364.0
4/10/20,366.0
4/11/20,372.0
4/12/20,354.0
4/13/20,371.0
4/14/20,310.0
4/15/20,509.0
4/16/20,620.0
4/17/20,693.0
4/18/20,1115.0
4/19/20,1380.0
4/20/20,1317.0
4/21/20,806.0
4/22/20,392.0
4/23/20,577.0
4/24/20,475.0
4/25/20,418.0
4/26/20,385.0
4/27/20,353.0
4/28/20,444.0
4/29/20,534.0
4/30/20,724.0
5/1/20,716.0
5/2/20,592.0
5/3/20,579.0
5/4/20,560.0
5/5/20,495.0
5/6/20,607.0
5/7/20,555.0
5/8/20,885.0
5/9/20,681.0
5/10/20,384.0
5/11/20,696.0
5/12/20,473.0
5/13/20,471.0
5/14/20,636.0
5/15/20,597.0
5/16/20,520.0
5/17/20,449.0
5/18/20,531.0
5/19/20,498.0
5/20/20,484.0
5/21/20,731.0
5/22/20,627.0
5/23/20,614.0
5/24/20,503.0
5/25/20,566.0
5/26/20,529.0
5/27/20,433.0
5/28/20,476.0
5/29/20,651.0
5/30/20,467.0
5/31/20,480.0
6/1/20,471.0
6/2/20,366.0
6/3/20,442.0
6/4/20,490.0
6/5/20,476.0
6/6/20,353.0
6/7/20,365.0
6/8/20,361.0
6/9/20,325.0
6/10/20,413.0
6/11/20,429.0
6/12/20,420.0
6/13/20,427.0
6/14/20,297.0
6/15/20,428.0
6/16/20,434.0
6/17/20,412.0
6/18/20,700.0
6/19/20,609.0
6/20/20,530.0
6/21/20,547.0
6/22/20,729.0
6/23/20,590.0
6/24/20,632.0
6/25/20,892.0
6/26/20,987.0
6/27/20,817.0
6/28/20,854.0
6/29/20,737.0
6/30/20,743.0
7/1/20,1076.0
7/2/20,1301.0
7/3/20,1091.0
7/4/20,926.0
7/5/20,967.0
7/6/20,806.0
7/7/20,948.0
7/8/20,1277.0
7/9/20,1150.0
7/10/20,1525.0
7/11/20,1358.0
7/12/20,1378.0
7/13/20,1261.0
7/14/20,1142.0
7/15/20,1316.0
7/16/20,1290.0
7/17/20,1679.0
7/18/20,1541.0
7/19/20,1111.0
7/20/20,1236.0
7/21/20,1047.0
7/22/20,1527.0
7/23/20,1444.0
7/24/20,1560.0
7/25/20,1438.0
7/26/20,889.0
7/27/20,1104.0
7/28/20,1320.0
7/29/20,1396.0
7/30/20,1733.0
7/31/20,1533.0
8/1/20,928.0
8/2/20,944.0
8/3/20,932.0
8/4/20,1143.0
8/5/20,1199.0
8/6/20,1166.0
8/7/20,1204.0
8/8/20,1294.0
8/9/20,879.0
8/10/20,883.0
8/11/20,1095.0
8/12/20,1422.0
8/13/20,1178.0
8/14/20,1131.0
8/15/20,1117.0
8/16/20,613.0
8/17/20,775.0
8/18/20,848.0
8/19/20,971.0
8/20/20,1122.0
8/21/20,1043.0
8/22/20,1119.0
8/23/20,637.0
8/24/20,849.0
8/25/20,844.0
8/26/20,1089.0
8/27/20,1244.0
8/28/20,1296.0
8/29/20,1196.0
8/30/20,940.0
8/31/20,895.0
9/1/20,1451.0
9/2/20,1161.0
9/3/20,1345.0
9/4/20,1332.0
9/5/20,1341.0
9/6/20,773.0
9/7/20,778.0
9/8/20,656.0
9/9/20,973.0
9/10/20,1121.0
9/11/20,1240.0
9/12/20,1242.0
9/13/20,837.0
9/14/20,1079.0
9/15/20,1001.0
9/16/20,1033.0
9/17/20,1067.0
9/18/20,1011.0
9/19/20,951.0
9/20/20,762.0
9/21/20,856.0
9/22/20,685.0
9/23/20,903.0
9/24/20,991.0
9/25/20,1150.0
9/26/20,1115.0
9/27/20,800.0
9/28/20,993.0
9/29/20,1105.0
9/30/20,1080.0
10/1/20,1327.0
10/2/20,1495.0
10/3/20,1157.0
10/4/20,941.0
10/5/20,1057.0
10/6/20,1335.0
10/7/20,1424.0
10/8/20,1539.0
10/9/20,1840.0
10/10/20,1356.0
10/11/20,1291.0
10/12/20,1430.0
10/13/20,1447.0
10/14/20,2039.0
10/15/20,2178.0
10/16/20,2148.0
10/17/20,2234.0
10/18/20,1562.0
10/19/20,1837.0
10/20/20,2015.0
10/21/20,2366.0
10/22/20,2425.0
10/23/20,2518.0
10/24/20,2858.0
10/25/20,2309.0
10/26/20,2116.0
10/27/20,2509.0
10/28/20,2607.0
10/29/20,3590.0
10/30/20,3845.0
10/31/20,2915.0
11/1/20,3303.0
11/2/20,2909.0
11/3/20,4229.0
11/4/20,4071.0
11/5/20,4961.0
11/6/20,5008.0
11/7/20,5549.0
11/8/20,4541.0
11/9/20,4706.0
11/10/20,6508.0
11/11/20,5874.0
11/12/20,7101.0
11/13/20,8071.0
11/14/20,7715.0
11/15/20,7853.0
11/16/20,7268.0
11/17/20,7079.0
11/18/20,6385.0
11/19/20,7787.0
11/20/20,8808.0
11/21/20,7863.0
11/22/20,8133.0
11/23/20,11885.0
11/24/20,8536.0
11/25/20,10903.0
11/26/20,0.0
11/27/20,17065.0
11/28/20,6895.0
11/29/20,7729.0
11/30/20,6631.0
12/1/20,9030.0
12/2/20,7835.0
12/3/20,8921.0
12/4/20,10114.0
12/5/20,10469.0
12/6/20,7592.0
12/7/20,9273.0
12/8/20,25721.0
12/9/20,10094.0
12/10/20,11738.0
12/11/20,10359.0
12/12/20,11252.0
12/13/20,9266.0
12/14/20,7875.0
12/15/20,8755.0
12/16/20,5409.0
12/17/20,11412.0
12/18/20,9684.0
12/19/20,8567.0
12/20/20,8377.0
12/21/20,6548.0
12/22/20,7678.0
12/23/20,7790.0
12/24/20,8828.0
12/25/20,0.0
12/26/20,11018.0
12/27/20,5857.0
12/28/20,4519.0
12/29/20,7526.0
12/30/20,8178.0
12/31/20,9632.0
1/1/21,0.0
1/2/21,14293.0
1/3/21,6808.0
1/4/21,5942.0
1/5/21,7580.0
1/6/21,7814.0
1/7/21,10251.0
1/8/21,9535.0
1/9/21,8374.0
1/10/21,6088.0
1/11/21,7892.0
1/12/21,7981.0
1/13/21,6701.0
1/14/21,7654.0
1/15/21,7149.0
1/16/21,7065.0
1/17/21,5247.0
1/18/21,4312.0
1/19/21,4983.0
1/20/21,6384.0
1/21/21,7271.0
1/22/21,4278.0
1/23/21,5859.0
1/24/21,4481.0
1/25/21,4334.0
1/26/21,4262.0
1/27/21,5366.0
1/28/21,5432.0
1/29/21,4874.0
1/30/21,4191.0
1/31/21,3011.0
2/1/21,3287.0
2/2/21,3657.0
2/3/21,3991.0
2/4/21,4120.0
2/5/21,3683.0
2/6/21,3549.0
2/7/21,2138.0
2/8/21,1926.0
2/9/21,3207.0
2/10/21,3281.0
2/11/21,2806.0
2/12/21,3305.0
2/13/21,2799.0
2/14/21,1809.0
2/15/21,1915.0
2/16/21,2026.0
2/17/21,1816.0
2/18/21,2282.0
2/19/21,2306.0
2/20/21,2611.0
2/21/21,1461.0
2/22/21,1611.0
2/23/21,2775.0
2/24/21,1842.0
2/25/21,2409.0
2/26/21,1976.0
2/27/21,1774.0
2/28/21,1268.0
3/1/21,1452.0
3/2/21,1709.0
3/3/21,2022.0
3/4/21,1875.0
3/5/21,1750.0
3/6/21,1506.0
3/7/21,735.0
3/8/21,1254.0
3/9/21,1893.0
3/10/21,1868.0
3/11/21,1448.0
3/12/21,1806.0
3/13/21,1558.0
3/14/21,893.0
3/15/21,1149.0
3/16/21,1883.0
3/17/21,1458.0
3/18/21,2104.0
3/19/21,1551.0
3/20/21,1483.0
3/21/21,931.0
3/22/21,1444.0
3/23/21,1628.0
3/24/21,1848.0
3/25/21,1501.0
3/26/21,2742.0
3/27/21,1690.0
3/28/21,1019.0
3/29/21,1497.0
3/30/21,2458.0
3/31/21,1989.0
4/1/21,2475.0
4/2/21,1677.0
4/3/21,2293.0
4/4/21,0.0
4/5/21,2918.0
4/6/21,1871.0
4/7/21,2064.0
4/8/21,2742.0
4/9/21,1946.0
4/10/21,2048.0
4/11/21,1855.0
4/12/21,1934.0
4/13/21,2340.0
4/14/21,2216.0
4/15/21,2164.0
4/16/21,2003.0
4/17/21,1987.0
4/18/21,1076.0
4/19/21,1632.0
4/20/21,1799.0
4/21/21,1789.0
4/22/21,1724.0
4/23/21,1788.0
4/24/21,1526.0
4/25/21,873.0
4/26/21,1396.0
4/27/21,1560.0
4/28/21,1723.0
4/29/21,1786.0
4/30/21,1541.0
5/1/21,1707.0
5/2/21,985.0
