,Oklahoma
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,1.0
3/8/20,0.0
3/9/20,0.0
3/10/20,1.0
3/11/20,0.0
3/12/20,1.0
3/13/20,0.0
3/14/20,1.0
3/15/20,0.0
3/16/20,6.0
3/17/20,7.0
3/18/20,0.0
3/19/20,27.0
3/20/20,5.0
3/21/20,4.0
3/22/20,14.0
3/23/20,14.0
3/24/20,25.0
3/25/20,58.0
3/26/20,84.0
3/27/20,74.0
3/28/20,55.0
3/29/20,52.0
3/30/20,52.0
3/31/20,87.0
4/1/20,153.0
4/2/20,160.0
4/3/20,109.0
4/4/20,171.0
4/5/20,93.0
4/6/20,75.0
4/7/20,145.0
4/8/20,52.0
4/9/20,160.0
4/10/20,108.0
4/11/20,74.0
4/12/20,102.0
4/13/20,99.0
4/14/20,115.0
4/15/20,79.0
4/16/20,94.0
4/17/20,108.0
4/18/20,0.0
4/19/20,102.0
4/20/20,113.0
4/21/20,127.0
4/22/20,87.0
4/23/20,123.0
4/24/20,104.0
4/25/20,73.0
4/26/20,60.0
4/27/20,27.0
4/28/20,129.0
4/29/20,63.0
4/30/20,145.0
5/1/20,130.0
5/2/20,103.0
5/3/20,121.0
5/4/20,72.0
5/5/20,83.0
5/6/20,75.0
5/7/20,128.0
5/8/20,94.0
5/9/20,66.0
5/10/20,99.0
5/11/20,24.0
5/12/20,119.0
5/13/20,126.0
5/14/20,105.0
5/15/20,124.0
5/16/20,150.0
5/17/20,73.0
5/18/20,88.0
5/19/20,91.0
5/20/20,43.0
5/21/20,148.0
5/22/20,169.0
5/23/20,111.0
5/24/20,77.0
5/25/20,53.0
5/26/20,48.0
5/27/20,91.0
5/28/20,44.0
5/29/20,65.0
5/30/20,80.0
5/31/20,0.0
6/1/20,155.0
6/2/20,119.0
6/3/20,113.0
6/4/20,102.0
6/5/20,100.0
6/6/20,52.0
6/7/20,91.0
6/8/20,55.0
6/9/20,158.0
6/10/20,120.0
6/11/20,143.0
6/12/20,223.0
6/13/20,224.0
6/14/20,158.0
6/15/20,186.0
6/16/20,228.0
6/17/20,259.0
6/18/20,451.0
6/19/20,352.0
6/20/20,331.0
6/21/20,478.0
6/22/20,218.0
6/23/20,297.0
6/24/20,479.0
6/25/20,438.0
6/26/20,399.0
6/27/20,299.0
6/28/20,301.0
6/29/20,228.0
6/30/20,582.0
7/1/20,362.0
7/2/20,412.0
7/3/20,538.0
7/4/20,579.0
7/5/20,283.0
7/6/20,431.0
7/7/20,858.0
7/8/20,674.0
7/9/20,603.0
7/10/20,595.0
7/11/20,687.0
7/12/20,456.0
7/13/20,511.0
7/14/20,994.0
7/15/20,1074.0
7/16/20,626.0
7/17/20,700.0
7/18/20,917.0
7/19/20,209.0
7/20/20,170.0
7/21/20,890.0
7/22/20,972.0
7/23/20,671.0
7/24/20,1147.0
7/25/20,965.0
7/26/20,1204.0
7/27/20,1400.0
7/28/20,1090.0
7/29/20,848.0
7/30/20,1117.0
7/31/20,747.0
8/1/20,1244.0
8/2/20,494.0
8/3/20,377.0
8/4/20,861.0
8/5/20,1101.0
8/6/20,837.0
8/7/20,854.0
8/8/20,825.0
8/9/20,486.0
8/10/20,397.0
8/11/20,765.0
8/12/20,670.0
8/13/20,705.0
8/14/20,794.0
8/15/20,901.0
8/16/20,544.0
8/17/20,369.0
8/18/20,601.0
8/19/20,611.0
8/20/20,746.0
8/21/20,1077.0
8/22/20,853.0
8/23/20,566.0
8/24/20,357.0
8/25/20,650.0
8/26/20,666.0
8/27/20,712.0
8/28/20,710.0
8/29/20,1093.0
8/30/20,766.0
8/31/20,614.0
9/1/20,665.0
9/2/20,720.0
9/3/20,909.0
9/4/20,1013.0
9/5/20,1147.0
9/6/20,420.0
9/7/20,613.0
9/8/20,833.0
9/9/20,876.0
9/10/20,771.0
9/11/20,942.0
9/12/20,1017.0
9/13/20,695.0
9/14/20,869.0
9/15/20,1091.0
9/16/20,970.0
9/17/20,1034.0
9/18/20,1249.0
9/19/20,1237.0
9/20/20,1003.0
9/21/20,1101.0
9/22/20,1164.0
9/23/20,1089.0
9/24/20,1083.0
9/25/20,1276.0
9/26/20,990.0
9/27/20,823.0
9/28/20,861.0
9/29/20,1025.0
9/30/20,980.0
10/1/20,1170.0
10/2/20,1190.0
10/3/20,1189.0
10/4/20,0.0
10/5/20,1234.0
10/6/20,1364.0
10/7/20,1006.0
10/8/20,1212.0
10/9/20,1524.0
10/10/20,1533.0
10/11/20,766.0
10/12/20,797.0
10/13/20,1309.0
10/14/20,1122.0
10/15/20,1221.0
10/16/20,1472.0
10/17/20,1160.0
10/18/20,831.0
10/19/20,774.0
10/20/20,1475.0
10/21/20,1307.0
10/22/20,1628.0
10/23/20,1373.0
10/24/20,1829.0
10/25/20,1051.0
10/26/20,663.0
10/27/20,1010.0
10/28/20,743.0
10/29/20,1041.0
10/30/20,1302.0
10/31/20,1267.0
11/1/20,1349.0
11/2/20,1084.0
11/3/20,1331.0
11/4/20,1246.0
11/5/20,2101.0
11/6/20,1878.0
11/7/20,0.0
11/8/20,4507.0
11/9/20,2197.0
11/10/20,1702.0
11/11/20,2177.0
11/12/20,2357.0
11/13/20,2667.0
11/14/20,2847.0
11/15/20,3923.0
11/16/20,2729.0
11/17/20,1551.0
11/18/20,3017.0
11/19/20,2915.0
11/20/20,2921.0
11/21/20,3663.0
11/22/20,3406.0
11/23/20,3544.0
11/24/20,2736.0
11/25/20,3732.0
11/26/20,0.0
11/27/20,3225.0
11/28/20,6257.0
11/29/20,1721.0
11/30/20,2200.0
12/1/20,1737.0
12/2/20,2859.0
12/3/20,1707.0
12/4/20,4827.0
12/5/20,4370.0
12/6/20,3241.0
12/7/20,1903.0
12/8/20,2297.0
12/9/20,2307.0
12/10/20,2460.0
12/11/20,3904.0
12/12/20,3986.0
12/13/20,4339.0
12/14/20,2108.0
12/15/20,2238.0
12/16/20,3244.0
12/17/20,2983.0
12/18/20,3566.0
12/19/20,4120.0
12/20/20,4993.0
12/21/20,2612.0
12/22/20,2201.0
12/23/20,3670.0
12/24/20,3288.0
12/25/20,0.0
12/26/20,3975.0
12/27/20,2645.0
12/28/20,3478.0
12/29/20,1215.0
12/30/20,3274.0
12/31/20,3917.0
1/1/21,0.0
1/2/21,5134.0
1/3/21,8032.0
1/4/21,2716.0
1/5/21,1509.0
1/6/21,3324.0
1/7/21,3806.0
1/8/21,5244.0
1/9/21,4303.0
1/10/21,6498.0
1/11/21,3904.0
1/12/21,2221.0
1/13/21,3920.0
1/14/21,3149.0
1/15/21,3544.0
1/16/21,3632.0
1/17/21,3333.0
1/18/21,1855.0
1/19/21,1576.0
1/20/21,2004.0
1/21/21,2701.0
1/22/21,2962.0
1/23/21,4175.0
1/24/21,2952.0
1/25/21,1784.0
1/26/21,1592.0
1/27/21,2710.0
1/28/21,2331.0
1/29/21,2801.0
1/30/21,2386.0
1/31/21,2890.0
2/1/21,1414.0
2/2/21,1312.0
2/3/21,2139.0
2/4/21,2796.0
2/5/21,2669.0
2/6/21,2063.0
2/7/21,2192.0
2/8/21,1057.0
2/9/21,1081.0
2/10/21,1672.0
2/11/21,1696.0
2/12/21,1439.0
2/13/21,1474.0
2/14/21,1277.0
2/15/21,732.0
2/16/21,516.0
2/17/21,1079.0
2/18/21,637.0
2/19/21,877.0
2/20/21,979.0
2/21/21,1047.0
2/22/21,511.0
2/23/21,367.0
2/24/21,815.0
2/25/21,1153.0
2/26/21,871.0
2/27/21,781.0
2/28/21,714.0
3/1/21,389.0
3/2/21,119.0
3/3/21,756.0
3/4/21,901.0
3/5/21,923.0
3/6/21,990.0
3/7/21,468.0
3/8/21,183.0
3/9/21,279.0
3/10/21,832.0
3/11/21,706.0
3/12/21,429.0
3/13/21,636.0
3/14/21,501.0
3/15/21,327.0
3/16/21,243.0
3/17/21,506.0
3/18/21,572.0
3/19/21,425.0
3/20/21,5.0
3/21/21,8.0
3/22/21,975.0
3/23/21,199.0
3/24/21,510.0
3/25/21,382.0
3/26/21,474.0
3/27/21,11.0
3/28/21,13.0
3/29/21,891.0
3/30/21,130.0
3/31/21,400.0
4/1/21,424.0
4/2/21,381.0
4/3/21,2.0
4/4/21,0.0
4/5/21,889.0
4/6/21,-1294.0
4/7/21,1764.0
4/8/21,483.0
4/9/21,416.0
4/10/21,0.0
4/11/21,0.0
4/12/21,968.0
4/13/21,109.0
4/14/21,346.0
4/15/21,362.0
4/16/21,273.0
4/17/21,0.0
4/18/21,0.0
4/19/21,787.0
4/20/21,75.0
4/21/21,238.0
4/22/21,283.0
4/23/21,304.0
4/24/21,0.0
4/25/21,0.0
4/26/21,728.0
4/27/21,115.0
4/28/21,249.0
4/29/21,289.0
4/30/21,374.0
5/1/21,0.0
5/2/21,0.0
