,Oklahoma
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,1
3/8/20,1
3/9/20,1
3/10/20,2
3/11/20,2
3/12/20,3
3/13/20,3
3/14/20,4
3/15/20,4
3/16/20,10
3/17/20,17
3/18/20,17
3/19/20,44
3/20/20,49
3/21/20,53
3/22/20,67
3/23/20,81
3/24/20,106
3/25/20,164
3/26/20,248
3/27/20,322
3/28/20,377
3/29/20,429
3/30/20,481
3/31/20,568
4/1/20,721
4/2/20,881
4/3/20,990
4/4/20,1161
4/5/20,1254
4/6/20,1329
4/7/20,1474
4/8/20,1526
4/9/20,1686
4/10/20,1794
4/11/20,1868
4/12/20,1970
4/13/20,2069
4/14/20,2184
4/15/20,2263
4/16/20,2357
4/17/20,2465
4/18/20,2465
4/19/20,2567
4/20/20,2680
4/21/20,2807
4/22/20,2894
4/23/20,3017
4/24/20,3121
4/25/20,3194
4/26/20,3254
4/27/20,3281
4/28/20,3410
4/29/20,3473
4/30/20,3618
5/1/20,3748
5/2/20,3851
5/3/20,3972
5/4/20,4044
5/5/20,4127
5/6/20,4202
5/7/20,4330
5/8/20,4424
5/9/20,4490
5/10/20,4589
5/11/20,4613
5/12/20,4732
5/13/20,4858
5/14/20,4963
5/15/20,5087
5/16/20,5237
5/17/20,5310
5/18/20,5398
5/19/20,5489
5/20/20,5532
5/21/20,5680
5/22/20,5849
5/23/20,5960
5/24/20,6037
5/25/20,6090
5/26/20,6138
5/27/20,6229
5/28/20,6273
5/29/20,6338
5/30/20,6418
5/31/20,6418
6/1/20,6573
6/2/20,6692
6/3/20,6805
6/4/20,6907
6/5/20,7007
6/6/20,7059
6/7/20,7150
6/8/20,7205
6/9/20,7363
6/10/20,7483
6/11/20,7626
6/12/20,7849
6/13/20,8073
6/14/20,8231
6/15/20,8417
6/16/20,8645
6/17/20,8904
6/18/20,9355
6/19/20,9707
6/20/20,10038
6/21/20,10516
6/22/20,10734
6/23/20,11031
6/24/20,11510
6/25/20,11948
6/26/20,12347
6/27/20,12646
6/28/20,12947
6/29/20,13175
6/30/20,13757
7/1/20,14119
7/2/20,14531
7/3/20,15069
7/4/20,15648
7/5/20,15931
7/6/20,16362
7/7/20,17220
7/8/20,17894
7/9/20,18497
7/10/20,19092
7/11/20,19779
7/12/20,20235
7/13/20,20746
7/14/20,21740
7/15/20,22814
7/16/20,23440
7/17/20,24140
7/18/20,25057
7/19/20,25266
7/20/20,25436
7/21/20,26326
7/22/20,27298
7/23/20,27969
7/24/20,29116
7/25/20,30081
7/26/20,31285
7/27/20,32685
7/28/20,33775
7/29/20,34623
7/30/20,35740
7/31/20,36487
8/1/20,37731
8/2/20,38225
8/3/20,38602
8/4/20,39463
8/5/20,40564
