,Oregon
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,2.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,3.0
3/8/20,8.0
3/9/20,0.0
3/10/20,0.0
3/11/20,5.0
3/12/20,5.0
3/13/20,6.0
3/14/20,6.0
3/15/20,0.0
3/16/20,3.0
3/17/20,27.0
3/18/20,9.0
3/19/20,13.0
3/20/20,26.0
3/21/20,23.0
3/22/20,24.0
3/23/20,30.0
3/24/20,19.0
3/25/20,56.0
3/26/20,50.0
3/27/20,100.0
3/28/20,63.0
3/29/20,69.0
3/30/20,58.0
3/31/20,84.0
4/1/20,46.0
4/2/20,90.0
4/3/20,73.0
4/4/20,0.0
4/5/20,169.0
4/6/20,0.0
4/7/20,64.0
4/8/20,49.0
4/9/20,140.0
4/10/20,1.0
4/11/20,49.0
4/12/20,156.0
4/13/20,57.0
4/14/20,49.0
4/15/20,30.0
4/16/20,73.0
4/17/20,49.0
4/18/20,59.0
4/19/20,66.0
4/20/20,47.0
4/21/20,47.0
4/22/20,55.0
4/23/20,68.0
4/24/20,50.0
4/25/20,76.0
4/26/20,58.0
4/27/20,43.0
4/28/20,31.0
4/29/20,61.0
4/30/20,64.0
5/1/20,69.0
5/2/20,56.0
5/3/20,45.0
5/4/20,79.0
5/5/20,80.0
5/6/20,77.0
5/7/20,73.0
5/8/20,79.0
5/9/20,92.0
5/10/20,68.0
5/11/20,58.0
5/12/20,72.0
5/13/20,58.0
5/14/20,63.0
5/15/20,62.0
5/16/20,71.0
5/17/20,11.0
5/18/20,64.0
5/19/20,39.0
5/20/20,75.0
5/21/20,16.0
5/22/20,47.0
5/23/20,24.0
5/24/20,39.0
5/25/20,22.0
5/26/20,18.0
5/27/20,71.0
5/28/20,48.0
5/29/20,45.0
5/30/20,54.0
5/31/20,58.0
6/1/20,59.0
6/2/20,33.0
6/3/20,64.0
6/4/20,75.0
6/5/20,96.0
6/6/20,0.0
6/7/20,92.0
6/8/20,260.0
6/9/20,66.0
6/10/20,72.0
6/11/20,177.0
6/12/20,140.0
6/13/20,0.0
6/14/20,259.0
6/15/20,184.0
6/16/20,278.0
6/17/20,120.0
6/18/20,148.0
6/19/20,206.0
6/20/20,178.0
6/21/20,187.0
6/22/20,146.0
6/23/20,191.0
6/24/20,170.0
6/25/20,124.0
6/26/20,250.0
6/27/20,276.0
6/28/20,247.0
6/29/20,144.0
6/30/20,171.0
7/1/20,275.0
7/2/20,363.0
7/3/20,342.0
7/4/20,294.0
7/5/20,300.0
7/6/20,165.0
7/7/20,210.0
7/8/20,212.0
7/9/20,371.0
7/10/20,266.0
7/11/20,397.0
7/12/20,319.0
7/13/20,268.0
7/14/20,367.0
7/15/20,276.0
7/16/20,428.0
7/17/20,293.0
7/18/20,347.0
7/19/20,430.0
7/20/20,268.0
7/21/20,292.0
7/22/20,254.0
7/23/20,320.0
7/24/20,391.0
7/25/20,388.0
7/26/20,266.0
7/27/20,330.0
7/28/20,320.0
7/29/20,313.0
7/30/20,410.0
7/31/20,361.0
8/1/20,325.0
8/2/20,280.0
8/3/20,269.0
8/4/20,333.0
8/5/20,279.0
8/6/20,246.0
8/7/20,411.0
8/8/20,375.0
8/9/20,262.0
8/10/20,216.0
8/11/20,286.0
8/12/20,248.0
8/13/20,278.0
8/14/20,313.0
8/15/20,405.0
8/16/20,244.0
8/17/20,189.0
8/18/20,225.0
8/19/20,194.0
8/20/20,295.0
8/21/20,256.0
8/22/20,289.0
8/23/20,227.0
8/24/20,218.0
8/25/20,236.0
8/26/20,180.0
8/27/20,190.0
8/28/20,293.0
8/29/20,239.0
8/30/20,261.0
8/31/20,159.0
9/1/20,233.0
9/2/20,129.0
9/3/20,261.0
9/4/20,265.0
9/5/20,255.0
9/6/20,188.0
9/7/20,146.0
9/8/20,166.0
9/9/20,115.0
9/10/20,183.0
9/11/20,211.0
9/12/20,291.0
9/13/20,181.0
9/14/20,0.0
9/15/20,325.0
9/16/20,188.0
9/17/20,210.0
9/18/20,282.0
9/19/20,257.0
9/20/20,202.0
9/21/20,194.0
9/22/20,318.0
9/23/20,190.0
9/24/20,362.0
9/25/20,449.0
9/26/20,267.0
9/27/20,239.0
9/28/20,174.0
9/29/20,297.0
9/30/20,218.0
10/1/20,353.0
10/2/20,301.0
10/3/20,348.0
10/4/20,259.0
10/5/20,279.0
10/6/20,290.0
10/7/20,295.0
10/8/20,482.0
10/9/20,410.0
10/10/20,398.0
10/11/20,331.0
10/12/20,212.0
10/13/20,313.0
10/14/20,380.0
10/15/20,365.0
10/16/20,410.0
10/17/20,380.0
10/18/20,217.0
10/19/20,262.0
10/20/20,342.0
10/21/20,307.0
10/22/20,0.0
10/23/20,905.0
10/24/20,391.0
10/25/20,362.0
10/26/20,335.0
10/27/20,372.0
10/28/20,420.0
10/29/20,565.0
10/30/20,595.0
10/31/20,533.0
11/1/20,508.0
11/2/20,549.0
11/3/20,482.0
11/4/20,589.0
11/5/20,790.0
11/6/20,769.0
11/7/20,979.0
11/8/20,861.0
11/9/20,707.0
11/10/20,754.0
11/11/20,861.0
11/12/20,1109.0
11/13/20,1058.0
11/14/20,1081.0
11/15/20,862.0
11/16/20,766.0
11/17/20,924.0
11/18/20,1099.0
11/19/20,1204.0
11/20/20,1302.0
11/21/20,1493.0
11/22/20,1502.0
11/23/20,1163.0
11/24/20,1000.0
11/25/20,1170.0
11/26/20,0.0
11/27/20,2329.0
11/28/20,1674.0
11/29/20,1613.0
11/30/20,1312.0
12/1/20,1223.0
12/2/20,1506.0
12/3/20,1133.0
12/4/20,2144.0
12/5/20,1806.0
12/6/20,1253.0
12/7/20,1292.0
12/8/20,1294.0
12/9/20,1205.0
12/10/20,1551.0
12/11/20,1582.0
12/12/20,1419.0
12/13/20,1014.0
12/14/20,1157.0
12/15/20,1082.0
12/16/20,1530.0
12/17/20,1314.0
12/18/20,1372.0
12/19/20,1506.0
12/20/20,1116.0
12/21/20,825.0
12/22/20,1318.0
12/23/20,897.0
12/24/20,851.0
12/25/20,0.0
12/26/20,1505.0
12/27/20,1399.0
12/28/20,820.0
12/29/20,682.0
12/30/20,1033.0
12/31/20,1649.0
1/1/21,0.0
1/2/21,2439.0
1/3/21,1397.0
1/4/21,708.0
1/5/21,1035.0
1/6/21,735.0
1/7/21,862.0
1/8/21,1762.0
1/9/21,1629.0
1/10/21,1207.0
1/11/21,924.0
1/12/21,1173.0
1/13/21,1329.0
1/14/21,1137.0
1/15/21,1012.0
1/16/21,1154.0
1/17/21,793.0
1/18/21,646.0
1/19/21,617.0
1/20/21,674.0
1/21/21,831.0
1/22/21,866.0
1/23/21,761.0
1/24/21,568.0
1/25/21,419.0
1/26/21,768.0
1/27/21,708.0
1/28/21,720.0
1/29/21,946.0
1/30/21,687.0
1/31/21,0.0
2/1/21,957.0
2/2/21,605.0
2/3/21,627.0
2/4/21,715.0
2/5/21,817.0
2/6/21,604.0
2/7/21,381.0
2/8/21,297.0
2/9/21,513.0
2/10/21,543.0
2/11/21,607.0
2/12/21,494.0
2/13/21,458.0
2/14/21,247.0
2/15/21,183.0
2/16/21,411.0
2/17/21,382.0
2/18/21,456.0
2/19/21,477.0
2/20/21,521.0
2/21/21,107.0
2/22/21,317.0
2/23/21,510.0
2/24/21,417.0
2/25/21,492.0
2/26/21,324.0
2/27/21,437.0
2/28/21,282.0
3/1/21,190.0
3/2/21,250.0
3/3/21,250.0
3/4/21,386.0
3/5/21,211.0
3/6/21,195.0
3/7/21,206.0
3/8/21,230.0
3/9/21,492.0
3/10/21,284.0
3/11/21,353.0
3/12/21,393.0
3/13/21,365.0
3/14/21,215.0
3/15/21,173.0
3/16/21,261.0
3/17/21,237.0
3/18/21,334.0
3/19/21,372.0
3/20/21,326.0
3/21/21,211.0
3/22/21,175.0
3/23/21,310.0
3/24/21,367.0
3/25/21,421.0
3/26/21,490.0
3/27/21,408.0
3/28/21,250.0
3/29/21,212.0
3/30/21,406.0
3/31/21,442.0
4/1/21,512.0
4/2/21,489.0
4/3/21,467.0
4/4/21,402.0
4/5/21,246.0
4/6/21,530.0
4/7/21,470.0
4/8/21,667.0
4/9/21,543.0
4/10/21,747.0
4/11/21,483.0
4/12/21,282.0
4/13/21,548.0
4/14/21,808.0
4/15/21,725.0
4/16/21,695.0
4/17/21,875.0
4/18/21,620.0
4/19/21,471.0
4/20/21,565.0
4/21/21,977.0
4/22/21,976.0
4/23/21,1010.0
4/24/21,810.0
4/25/21,770.0
4/26/21,621.0
4/27/21,719.0
4/28/21,876.0
4/29/21,914.0
4/30/21,982.0
5/1/21,785.0
5/2/21,747.0
