,Pennsylvania
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,2.0
3/7/20,0.0
3/8/20,4.0
3/9/20,1.0
3/10/20,5.0
3/11/20,4.0
3/12/20,6.0
3/13/20,19.0
3/14/20,6.0
3/15/20,0.0
3/16/20,32.0
3/17/20,33.0
3/18/20,43.0
3/19/20,51.0
3/20/20,105.0
3/21/20,88.0
3/22/20,110.0
3/23/20,189.0
3/24/20,248.0
3/25/20,314.0
3/26/20,535.0
3/27/20,550.0
3/28/20,500.0
3/29/20,587.0
3/30/20,723.0
3/31/20,808.0
4/1/20,1046.0
4/2/20,1259.0
4/3/20,1302.0
4/4/20,1874.0
4/5/20,1145.0
4/6/20,1538.0
4/7/20,1726.0
4/8/20,1778.0
4/9/20,1669.0
4/10/20,1751.0
4/11/20,1668.0
4/12/20,1219.0
4/13/20,1354.0
4/14/20,1173.0
4/15/20,1288.0
4/16/20,1505.0
4/17/20,1630.0
4/18/20,1764.0
4/19/20,1250.0
4/20/20,1012.0
4/21/20,1335.0
4/22/20,833.0
4/23/20,2297.0
4/24/20,1829.0
4/25/20,945.0
4/26/20,1463.0
4/27/20,942.0
4/28/20,1579.0
4/29/20,1190.0
4/30/20,1644.0
5/1/20,1608.0
5/2/20,915.0
5/3/20,731.0
5/4/20,1591.0
5/5/20,1048.0
5/6/20,936.0
5/7/20,1156.0
5/8/20,1415.0
5/9/20,1189.0
5/10/20,1379.0
5/11/20,520.0
5/12/20,851.0
5/13/20,791.0
5/14/20,1004.0
5/15/20,1031.0
5/16/20,1049.0
5/17/20,515.0
5/18/20,969.0
5/19/20,642.0
5/20/20,815.0
5/21/20,1126.0
5/22/20,959.0
5/23/20,798.0
5/24/20,554.0
5/25/20,362.0
5/26/20,853.0
5/27/20,779.0
5/28/20,663.0
5/29/20,764.0
5/30/20,713.0
5/31/20,432.0
6/1/20,517.0
6/2/20,579.0
6/3/20,555.0
6/4/20,555.0
6/5/20,480.0
6/6/20,690.0
6/7/20,403.0
6/8/20,431.0
6/9/20,531.0
6/10/20,446.0
6/11/20,532.0
6/12/20,633.0
6/13/20,463.0
6/14/20,259.0
6/15/20,386.0
6/16/20,389.0
6/17/20,311.0
6/18/20,394.0
6/19/20,516.0
6/20/20,391.0
6/21/20,345.0
6/22/20,641.0
6/23/20,632.0
6/24/20,477.0
6/25/20,456.0
6/26/20,719.0
6/27/20,586.0
6/28/20,417.0
6/29/20,604.0
6/30/20,672.0
7/1/20,636.0
7/2/20,837.0
7/3/20,780.0
7/4/20,530.0
7/5/20,481.0
7/6/20,697.0
7/7/20,798.0
7/8/20,827.0
7/9/20,817.0
7/10/20,940.0
7/11/20,734.0
7/12/20,578.0
7/13/20,536.0
7/14/20,936.0
7/15/20,1003.0
7/16/20,806.0
7/17/20,1004.0
7/18/20,701.0
7/19/20,604.0
7/20/20,1021.0
7/21/20,1055.0
7/22/20,763.0
7/23/20,882.0
7/24/20,1187.0
7/25/20,823.0
7/26/20,630.0
7/27/20,1250.0
7/28/20,1088.0
7/29/20,856.0
7/30/20,868.0
7/31/20,980.0
8/1/20,681.0
8/2/20,565.0
8/3/20,861.0
8/4/20,830.0
8/5/20,722.0
8/6/20,801.0
8/7/20,781.0
8/8/20,637.0
8/9/20,647.0
8/10/20,909.0
8/11/20,795.0
8/12/20,902.0
8/13/20,987.0
8/14/20,827.0
8/15/20,799.0
8/16/20,539.0
8/17/20,577.0
8/18/20,600.0
8/19/20,658.0
8/20/20,787.0
8/21/20,725.0
8/22/20,743.0
8/23/20,519.0
8/24/20,525.0
8/25/20,556.0
8/26/20,519.0
8/27/20,633.0
8/28/20,869.0
8/29/20,795.0
8/30/20,558.0
8/31/20,661.0
9/1/20,753.0
9/2/20,984.0
9/3/20,1038.0
9/4/20,925.0
9/5/20,785.0
9/6/20,544.0
9/7/20,716.0
9/8/20,616.0
9/9/20,873.0
9/10/20,667.0
9/11/20,1007.0
9/12/20,932.0
9/13/20,549.0
9/14/20,816.0
9/15/20,1044.0
9/16/20,806.0
9/17/20,925.0
9/18/20,747.0
9/19/20,714.0
9/20/20,631.0
9/21/20,826.0
9/22/20,784.0
9/23/20,859.0
9/24/20,845.0
9/25/20,833.0
9/26/20,919.0
9/27/20,811.0
9/28/20,850.0
9/29/20,1586.0
9/30/20,919.0
10/1/20,945.0
10/2/20,1194.0
10/3/20,0.0
10/4/20,1888.0
10/5/20,975.0
10/6/20,1123.0
10/7/20,1303.0
10/8/20,1421.0
10/9/20,1381.0
10/10/20,1468.0
10/11/20,984.0
10/12/20,1038.0
10/13/20,1832.0
10/14/20,1284.0
10/15/20,1551.0
10/16/20,1679.0
10/17/20,1503.0
10/18/20,1086.0
10/19/20,1627.0
10/20/20,1589.0
10/21/20,1363.0
10/22/20,2068.0
10/23/20,2254.0
10/24/20,1715.0
10/25/20,1343.0
10/26/20,2535.0
10/27/20,2272.0
10/28/20,2332.0
10/29/20,2235.0
10/30/20,2499.0
10/31/20,2205.0
11/1/20,1625.0
11/2/20,2827.0
11/3/20,2831.0
11/4/20,2809.0
11/5/20,2815.0
11/6/20,3648.0
11/7/20,3147.0
11/8/20,2521.0
11/9/20,4710.0
11/10/20,4322.0
11/11/20,3969.0
11/12/20,6140.0
11/13/20,5833.0
11/14/20,4234.0
11/15/20,4474.0
11/16/20,6539.0
11/17/20,5722.0
11/18/20,6468.0
11/19/20,6869.0
11/20/20,7010.0
11/21/20,5684.0
11/22/20,6370.0
11/23/20,6800.0
11/24/20,6355.0
11/25/20,6952.0
11/26/20,7177.0
11/27/20,8596.0
11/28/20,6707.0
11/29/20,4999.0
11/30/20,5891.0
12/1/20,5695.0
12/2/20,8421.0
12/3/20,11483.0
12/4/20,12087.0
12/5/20,11114.0
12/6/20,7465.0
12/7/20,9107.0
12/8/20,10104.0
12/9/20,8613.0
12/10/20,12030.0
12/11/20,13295.0
12/12/20,9081.0
12/13/20,9769.0
12/14/20,10075.0
12/15/20,9575.0
12/16/20,10191.0
12/17/20,10008.0
12/18/20,9168.0
12/19/20,8779.0
12/20/20,6361.0
12/21/20,9843.0
12/22/20,7688.0
12/23/20,9687.0
12/24/20,9334.0
12/25/20,6132.0
12/26/20,6827.0
12/27/20,4505.0
12/28/20,5630.0
12/29/20,8624.0
12/30/20,8535.0
12/31/20,9329.0
1/1/21,6701.0
1/2/21,8489.0
1/3/21,4333.0
1/4/21,5126.0
1/5/21,8959.0
1/6/21,9400.0
1/7/21,9607.0
1/8/21,10216.0
1/9/21,9056.0
1/10/21,6588.0
1/11/21,6908.0
1/12/21,7221.0
1/13/21,8008.0
1/14/21,7162.0
1/15/21,6079.0
1/16/21,6246.0
1/17/21,5496.0
1/18/21,3581.0
1/19/21,7381.0
1/20/21,5637.0
1/21/21,5554.0
1/22/21,5300.0
1/23/21,5147.0
1/24/21,3517.0
1/25/21,4996.0
1/26/21,4663.0
1/27/21,5821.0
1/28/21,6050.0
1/29/21,9384.0
1/30/21,4459.0
1/31/21,3571.0
2/1/21,3920.0
2/2/21,4231.0
2/3/21,3135.0
2/4/21,3389.0
2/5/21,4727.0
2/6/21,3774.0
2/7/21,3924.0
2/8/21,3019.0
2/9/21,4673.0
2/10/21,3090.0
2/11/21,3935.0
2/12/21,3272.0
2/13/21,3525.0
2/14/21,2336.0
2/15/21,1658.0
2/16/21,3222.0
2/17/21,3494.0
2/18/21,3267.0
2/19/21,2784.0
2/20/21,2491.0
2/21/21,1727.0
2/22/21,1926.0
2/23/21,2820.0
2/24/21,2789.0
2/25/21,2389.0
2/26/21,3070.0
2/27/21,2898.0
2/28/21,1730.0
3/1/21,2561.0
3/2/21,2474.0
3/3/21,2627.0
3/4/21,3010.0
3/5/21,2801.0
3/6/21,2393.0
3/7/21,1646.0
3/8/21,2045.0
3/9/21,2925.0
3/10/21,2606.0
3/11/21,2743.0
3/12/21,3055.0
3/13/21,2391.0
3/14/21,1721.0
3/15/21,2022.0
3/16/21,3089.0
3/17/21,3072.0
3/18/21,3196.0
3/19/21,3471.0
3/20/21,3603.0
3/21/21,1944.0
3/22/21,2433.0
3/23/21,3605.0
3/24/21,4617.0
3/25/21,3598.0
3/26/21,4983.0
3/27/21,5596.0
3/28/21,243.0
3/29/21,4150.0
3/30/21,5111.0
3/31/21,4686.0
4/1/21,3864.0
4/2/21,4017.0
4/3/21,5133.0
4/4/21,2832.0
4/5/21,4204.0
4/6/21,4722.0
4/7/21,4676.0
4/8/21,4440.0
4/9/21,5141.0
4/10/21,4023.0
4/11/21,3194.0
4/12/21,4012.0
4/13/21,6017.0
4/14/21,6275.0
4/15/21,5093.0
4/16/21,5536.0
4/17/21,4204.0
4/18/21,2612.0
4/19/21,3002.0
4/20/21,5369.0
4/21/21,4537.0
4/22/21,4078.0
4/23/21,4029.0
4/24/21,3560.0
4/25/21,2494.0
4/26/21,2860.0
4/27/21,3638.0
4/28/21,3537.0
4/29/21,3344.0
4/30/21,4415.0
5/1/21,2604.0
5/2/21,2145.0
