,South Carolina
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,2.0
3/8/20,0.0
3/9/20,1.0
3/10/20,4.0
3/11/20,3.0
3/12/20,-3.0
3/13/20,1.0
3/14/20,11.0
3/15/20,0.0
3/16/20,11.0
3/17/20,17.0
3/18/20,13.0
3/19/20,20.0
3/20/20,46.0
3/21/20,48.0
3/22/20,22.0
3/23/20,102.0
3/24/20,44.0
3/25/20,82.0
3/26/20,0.0
3/27/20,118.0
3/28/20,118.0
3/29/20,114.0
3/30/20,151.0
3/31/20,158.0
4/1/20,210.0
4/2/20,261.0
4/3/20,146.0
4/4/20,217.0
4/5/20,132.0
4/6/20,183.0
4/7/20,185.0
4/8/20,0.0
4/9/20,376.0
4/10/20,274.0
4/11/20,144.0
4/12/20,109.0
4/13/20,71.0
4/14/20,162.0
4/15/20,103.0
4/16/20,275.0
4/17/20,168.0
4/18/20,149.0
4/19/20,129.0
4/20/20,69.0
4/21/20,-7.0
4/22/20,322.0
4/23/20,156.0
4/24/20,153.0
4/25/20,183.0
4/26/20,245.0
4/27/20,115.0
4/28/20,122.0
4/29/20,147.0
4/30/20,213.0
5/1/20,163.0
5/2/20,231.0
5/3/20,137.0
5/4/20,131.0
5/5/20,84.0
5/6/20,95.0
5/7/20,206.0
5/8/20,225.0
5/9/20,164.0
5/10/20,122.0
5/11/20,139.0
5/12/20,135.0
5/13/20,103.0
5/14/20,159.0
5/15/20,218.0
5/16/20,254.0
5/17/20,155.0
5/18/20,126.0
5/19/20,114.0
5/20/20,119.0
5/21/20,206.0
5/22/20,257.0
5/23/20,257.0
5/24/20,201.0
5/25/20,82.0
5/26/20,238.0
5/27/20,207.0
5/28/20,165.0
5/29/20,343.0
5/30/20,263.0
5/31/20,467.0
6/1/20,287.0
6/2/20,271.0
6/3/20,51.0
6/4/20,56.0
6/5/20,932.0
6/6/20,80.0
6/7/20,764.0
6/8/20,498.0
6/9/20,428.0
6/10/20,531.0
6/11/20,682.0
6/12/20,729.0
6/13/20,785.0
6/14/20,840.0
6/15/20,583.0
6/16/20,612.0
6/17/20,566.0
6/18/20,977.0
6/19/20,1075.0
6/20/20,1148.0
6/21/20,905.0
6/22/20,1005.0
6/23/20,906.0
6/24/20,1325.0
6/25/20,1125.0
6/26/20,1313.0
6/27/20,1604.0
6/28/20,1381.0
6/29/20,1324.0
6/30/20,1755.0
7/1/20,1520.0
7/2/20,1782.0
7/3/20,1831.0
7/4/20,1854.0
7/5/20,1461.0
7/6/20,1533.0
7/7/20,972.0
7/8/20,1557.0
7/9/20,1782.0
7/10/20,1728.0
7/11/20,2280.0
7/12/20,1949.0
7/13/20,1520.0
7/14/20,2221.0
7/15/20,1856.0
7/16/20,1838.0
7/17/20,1977.0
7/18/20,1552.0
7/19/20,2374.0
7/20/20,1459.0
7/21/20,1892.0
7/22/20,1705.0
7/23/20,1564.0
7/24/20,2001.0
7/25/20,1401.0
7/26/20,1191.0
7/27/20,1218.0
7/28/20,1692.0
7/29/20,1737.0
7/30/20,1726.0
7/31/20,1444.0
8/1/20,1583.0
8/2/20,1189.0
8/3/20,1163.0
8/4/20,1239.0
8/5/20,1282.0
8/6/20,1325.0
8/7/20,1422.0
8/8/20,1241.0
8/9/20,975.0
8/10/20,724.0
8/11/20,971.0
8/12/20,844.0
8/13/20,935.0
8/14/20,932.0
8/15/20,1041.0
8/16/20,615.0
8/17/20,456.0
8/18/20,719.0
8/19/20,739.0
8/20/20,909.0
8/21/20,1058.0
8/22/20,917.0
8/23/20,693.0
8/24/20,563.0
8/25/20,937.0
8/26/20,605.0
8/27/20,505.0
8/28/20,1353.0
8/29/20,1298.0
8/30/20,1075.0
8/31/20,668.0
9/1/20,854.0
9/2/20,657.0
9/3/20,1193.0
9/4/20,1629.0
9/5/20,964.0
9/6/20,663.0
9/7/20,655.0
9/8/20,301.0
9/9/20,305.0
9/10/20,379.0
9/11/20,2454.0
9/12/20,932.0
9/13/20,1886.0
9/14/20,816.0
9/15/20,790.0
9/16/20,652.0
9/17/20,1324.0
9/18/20,872.0
9/19/20,922.0
9/20/20,468.0
9/21/20,416.0
9/22/20,2665.0
9/23/20,897.0
9/24/20,1021.0
9/25/20,1195.0
9/26/20,1371.0
9/27/20,614.0
9/28/20,568.0
9/29/20,1179.0
9/30/20,308.0
10/1/20,381.0
10/2/20,862.0
10/3/20,1706.0
10/4/20,691.0
10/5/20,577.0
10/6/20,811.0
10/7/20,735.0
10/8/20,1050.0
10/9/20,921.0
10/10/20,945.0
10/11/20,785.0
10/12/20,649.0
10/13/20,828.0
10/14/20,926.0
10/15/20,1297.0
10/16/20,1147.0
10/17/20,961.0
10/18/20,776.0
10/19/20,619.0
10/20/20,884.0
10/21/20,864.0
10/22/20,1128.0
10/23/20,1064.0
10/24/20,792.0
10/25/20,1337.0
10/26/20,823.0
10/27/20,1078.0
10/28/20,912.0
10/29/20,1100.0
10/30/20,1003.0
10/31/20,1018.0
11/1/20,1411.0
11/2/20,894.0
11/3/20,1035.0
11/4/20,918.0
11/5/20,769.0
11/6/20,1233.0
11/7/20,1870.0
11/8/20,946.0
11/9/20,703.0
11/10/20,1347.0
11/11/20,1257.0
11/12/20,1495.0
11/13/20,1611.0
11/14/20,1913.0
11/15/20,1493.0
11/16/20,1110.0
11/17/20,1283.0
11/18/20,1547.0
11/19/20,1713.0
11/20/20,2001.0
11/21/20,1857.0
11/22/20,1277.0
11/23/20,1257.0
11/24/20,1678.0
11/25/20,1675.0
11/26/20,0.0
11/27/20,2215.0
11/28/20,1791.0
11/29/20,1218.0
11/30/20,1358.0
12/1/20,1425.0
12/2/20,1923.0
12/3/20,2228.0
12/4/20,2950.0
12/5/20,3222.0
12/6/20,2864.0
12/7/20,2553.0
12/8/20,2302.0
12/9/20,2490.0
12/10/20,2242.0
12/11/20,3540.0
12/12/20,3572.0
12/13/20,3408.0
12/14/20,2570.0
12/15/20,2544.0
12/16/20,2799.0
12/17/20,2655.0
12/18/20,4302.0
12/19/20,3461.0
12/20/20,2869.0
12/21/20,2327.0
12/22/20,2322.0
12/23/20,4175.0
12/24/20,2798.0
12/25/20,0.0
12/26/20,3864.0
12/27/20,7287.0
12/28/20,1871.0
12/29/20,2552.0
12/30/20,2873.0
12/31/20,4032.0
1/1/21,0.0
1/2/21,5211.0
1/3/21,8951.0
1/4/21,3803.0
1/5/21,2601.0
1/6/21,5162.0
1/7/21,4877.0
1/8/21,6064.0
1/9/21,5908.0
1/10/21,4441.0
1/11/21,3129.0
1/12/21,1703.0
1/13/21,6021.0
1/14/21,5802.0
1/15/21,4787.0
1/16/21,6455.0
1/17/21,5762.0
1/18/21,3280.0
1/19/21,2854.0
1/20/21,5525.0
1/21/21,4649.0
1/22/21,4696.0
1/23/21,4601.0
1/24/21,4536.0
1/25/21,3092.0
1/26/21,2250.0
1/27/21,3564.0
1/28/21,3938.0
1/29/21,4464.0
1/30/21,4152.0
1/31/21,3601.0
2/1/21,2530.0
2/2/21,1988.0
2/3/21,2890.0
2/4/21,3084.0
2/5/21,6096.0
2/6/21,3007.0
2/7/21,3392.0
2/8/21,2030.0
2/9/21,1908.0
2/10/21,2829.0
2/11/21,3147.0
2/12/21,3870.0
2/13/21,2983.0
2/14/21,4153.0
2/15/21,1725.0
2/16/21,1435.0
2/17/21,1916.0
2/18/21,2675.0
2/19/21,2893.0
2/20/21,3340.0
2/21/21,2872.0
2/22/21,1440.0
2/23/21,1323.0
2/24/21,2132.0
2/25/21,2502.0
2/26/21,1749.0
2/27/21,1777.0
2/28/21,1751.0
3/1/21,1153.0
3/2/21,847.0
3/3/21,1173.0
3/4/21,1567.0
3/5/21,1695.0
3/6/21,1199.0
3/7/21,1408.0
3/8/21,851.0
3/9/21,632.0
3/10/21,1125.0
3/11/21,919.0
3/12/21,1488.0
3/13/21,1669.0
3/14/21,872.0
3/15/21,767.0
3/16/21,681.0
3/17/21,1231.0
3/18/21,1398.0
3/19/21,1303.0
3/20/21,1589.0
3/21/21,1192.0
3/22/21,621.0
3/23/21,709.0
3/24/21,1013.0
3/25/21,1329.0
3/26/21,1416.0
3/27/21,1444.0
3/28/21,1085.0
3/29/21,869.0
3/30/21,601.0
3/31/21,961.0
4/1/21,1051.0
4/2/21,1350.0
4/3/21,1243.0
4/4/21,0.0
4/5/21,1195.0
4/6/21,1334.0
4/7/21,828.0
4/8/21,966.0
4/9/21,1165.0
4/10/21,1011.0
4/11/21,918.0
4/12/21,736.0
4/13/21,701.0
4/14/21,803.0
4/15/21,1087.0
4/16/21,1259.0
4/17/21,981.0
4/18/21,1021.0
4/19/21,753.0
4/20/21,574.0
4/21/21,763.0
4/22/21,879.0
4/23/21,977.0
4/24/21,1001.0
4/25/21,759.0
4/26/21,530.0
4/27/21,441.0
4/28/21,683.0
4/29/21,911.0
4/30/21,1109.0
5/1/21,897.0
5/2/21,717.0
