,Tennessee
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,0.0
3/8/20,2.0
3/9/20,0.0
3/10/20,0.0
3/11/20,6.0
3/12/20,9.0
3/13/20,8.0
3/14/20,6.0
3/15/20,0.0
3/16/20,20.0
3/17/20,22.0
3/18/20,26.0
3/19/20,54.0
3/20/20,69.0
3/21/20,81.0
3/22/20,89.0
3/23/20,221.0
3/24/20,158.0
3/25/20,144.0
3/26/20,181.0
3/27/20,221.0
3/28/20,193.0
3/29/20,209.0
3/30/20,197.0
3/31/20,474.0
4/1/20,542.0
4/2/20,80.0
4/3/20,54.0
4/4/20,255.0
4/5/20,311.0
4/6/20,169.0
4/7/20,337.0
4/8/20,224.0
4/9/20,271.0
4/10/20,257.0
4/11/20,241.0
4/12/20,376.0
4/13/20,102.0
4/14/20,217.0
4/15/20,0.0
4/16/20,339.0
4/17/20,97.0
4/18/20,326.0
4/19/20,481.0
4/20/20,168.0
4/21/20,156.0
4/22/20,0.0
4/23/20,872.0
4/24/20,462.0
4/25/20,461.0
4/26/20,478.0
4/27/20,251.0
4/28/20,134.0
4/29/20,314.0
4/30/20,369.0
5/1/20,1156.0
5/2/20,770.0
5/3/20,516.0
5/4/20,394.0
5/5/20,119.0
5/6/20,248.0
5/7/20,158.0
5/8/20,345.0
5/9/20,327.0
5/10/20,217.0
5/11/20,559.0
5/12/20,567.0
5/13/20,259.0
5/14/20,329.0
5/15/20,261.0
5/16/20,303.0
5/17/20,96.0
5/18/20,652.0
5/19/20,401.0
5/20/20,0.0
5/21/20,549.0
5/22/20,433.0
5/23/20,391.0
5/24/20,326.0
5/25/20,424.0
5/26/20,360.0
5/27/20,390.0
5/28/20,394.0
5/29/20,384.0
5/30/20,503.0
5/31/20,0.0
6/1/20,0.0
6/2/20,1776.0
6/3/20,491.0
6/4/20,357.0
6/5/20,474.0
6/6/20,513.0
6/7/20,316.0
6/8/20,512.0
6/9/20,570.0
6/10/20,355.0
6/11/20,410.0
6/12/20,778.0
6/13/20,431.0
6/14/20,794.0
6/15/20,661.0
6/16/20,747.0
6/17/20,363.0
6/18/20,656.0
6/19/20,1247.0
6/20/20,429.0
6/21/20,656.0
6/22/20,451.0
6/23/20,750.0
6/24/20,932.0
6/25/20,799.0
6/26/20,1410.0
6/27/20,728.0
6/28/20,0.0
6/29/20,2125.0
6/30/20,1212.0
7/1/20,1806.0
7/2/20,1575.0
7/3/20,1822.0
7/4/20,1428.0
7/5/20,1176.0
7/6/20,723.0
7/7/20,1475.0
7/8/20,2472.0
7/9/20,1605.0
7/10/20,1955.0
7/11/20,1460.0
7/12/20,954.0
7/13/20,3314.0
7/14/20,1514.0
7/15/20,2273.0
7/16/20,2479.0
7/17/20,2279.0
7/18/20,2517.0
7/19/20,1779.0
7/20/20,1639.0
7/21/20,2190.0
7/22/20,2473.0
7/23/20,2570.0
7/24/20,2091.0
7/25/20,1718.0
7/26/20,3140.0
7/27/20,2553.0
7/28/20,2555.0
7/29/20,1778.0
7/30/20,2049.0
7/31/20,3088.0
8/1/20,2225.0
8/2/20,1443.0
8/3/20,1009.0
8/4/20,1805.0
8/5/20,1657.0
8/6/20,2252.0
8/7/20,2432.0
8/8/20,1803.0
8/9/20,2127.0
8/10/20,1202.0
8/11/20,1001.0
8/12/20,1478.0
8/13/20,2118.0
8/14/20,1947.0
8/15/20,1289.0
8/16/20,1961.0
8/17/20,1036.0
8/18/20,1026.0
8/19/20,2030.0
8/20/20,1375.0
8/21/20,1669.0
8/22/20,1239.0
8/23/20,1854.0
8/24/20,667.0
8/25/20,813.0
8/26/20,1936.0
8/27/20,1826.0
8/28/20,1636.0
8/29/20,1465.0
8/30/20,835.0
8/31/20,1818.0
9/1/20,1396.0
9/2/20,1502.0
9/3/20,1715.0
9/4/20,1051.0
9/5/20,1765.0
9/6/20,1764.0
9/7/20,983.0
9/8/20,645.0
9/9/20,852.0
9/10/20,1631.0
9/11/20,1622.0
9/12/20,1032.0
9/13/20,933.0
9/14/20,2450.0
9/15/20,957.0
9/16/20,1856.0
9/17/20,1053.0
9/18/20,2357.0
9/19/20,942.0
9/20/20,2075.0
9/21/20,895.0
9/22/20,739.0
9/23/20,1650.0
9/24/20,892.0
9/25/20,1764.0
9/26/20,1437.0
9/27/20,2104.0
9/28/20,737.0
9/29/20,879.0
9/30/20,1528.0
10/1/20,1293.0
10/2/20,971.0
10/3/20,1192.0
10/4/20,1615.0
10/5/20,2489.0
10/6/20,1676.0
10/7/20,2080.0
10/8/20,1992.0
10/9/20,1556.0
10/10/20,1646.0
10/11/20,2068.0
10/12/20,2965.0
10/13/20,1147.0
10/14/20,1709.0
10/15/20,2289.0
10/16/20,666.0
10/17/20,2646.0
10/18/20,2605.0
10/19/20,3317.0
10/20/20,1508.0
10/21/20,2292.0
10/22/20,2046.0
10/23/20,3606.0
10/24/20,2574.0
10/25/20,3500.0
10/26/20,2279.0
10/27/20,1908.0
10/28/20,2446.0
10/29/20,2660.0
10/30/20,2608.0
10/31/20,1184.0
11/1/20,754.0
11/2/20,3161.0
11/3/20,1770.0
11/4/20,3445.0
11/5/20,1969.0
11/6/20,1373.0
11/7/20,5071.0
11/8/20,3636.0
11/9/20,5919.0
11/10/20,1979.0
11/11/20,3632.0
11/12/20,3344.0
11/13/20,3733.0
11/14/20,4662.0
11/15/20,5817.0
11/16/20,7951.0
11/17/20,1841.0
11/18/20,4472.0
11/19/20,2887.0
11/20/20,3444.0
11/21/20,4355.0
11/22/20,4589.0
11/23/20,4074.0
11/24/20,1366.0
11/25/20,2056.0
11/26/20,4404.0
11/27/20,4340.0
11/28/20,6750.0
11/29/20,3052.0
11/30/20,7975.0
12/1/20,5693.0
12/2/20,4099.0
12/3/20,3967.0
12/4/20,4356.0
12/5/20,4914.0
12/6/20,3072.0
12/7/20,8136.0
12/8/20,6019.0
12/9/20,8213.0
12/10/20,6011.0
12/11/20,7289.0
12/12/20,6691.0
12/13/20,11352.0
12/14/20,10319.0
12/15/20,8251.0
12/16/20,11410.0
12/17/20,8945.0
12/18/20,10421.0
12/19/20,0.0
12/20/20,16036.0
12/21/20,9891.0
12/22/20,4441.0
12/23/20,7221.0
12/24/20,5257.0
12/25/20,0.0
12/26/20,14395.0
12/27/20,3188.0
12/28/20,3712.0
12/29/20,4797.0
12/30/20,8220.0
12/31/20,5993.0
1/1/21,0.0
1/2/21,17330.0
1/3/21,4165.0
1/4/21,3953.0
1/5/21,5399.0
1/6/21,7731.0
1/7/21,8857.0
1/8/21,6369.0
1/9/21,5844.0
1/10/21,7419.0
1/11/21,3527.0
1/12/21,3478.0
1/13/21,4625.0
1/14/21,4983.0
1/15/21,5557.0
1/16/21,4808.0
1/17/21,4474.0
1/18/21,2430.0
1/19/21,2314.0
1/20/21,4226.0
1/21/21,3492.0
1/22/21,4064.0
1/23/21,4029.0
1/24/21,2841.0
1/25/21,1710.0
1/26/21,1979.0
1/27/21,3400.0
1/28/21,1777.0
1/29/21,4908.0
1/30/21,2251.0
1/31/21,3119.0
2/1/21,1326.0
2/2/21,2173.0
2/3/21,1856.0
2/4/21,3154.0
2/5/21,2661.0
2/6/21,3182.0
2/7/21,2387.0
2/8/21,1226.0
2/9/21,1636.0
2/10/21,2947.0
2/11/21,1624.0
2/12/21,2246.0
2/13/21,1792.0
2/14/21,1347.0
2/15/21,1143.0
2/16/21,962.0
2/17/21,780.0
2/18/21,1057.0
2/19/21,1313.0
2/20/21,1335.0
2/21/21,1129.0
2/22/21,952.0
2/23/21,1226.0
2/24/21,1631.0
2/25/21,1994.0
2/26/21,1573.0
2/27/21,1374.0
2/28/21,1117.0
3/1/21,689.0
3/2/21,644.0
3/3/21,1598.0
3/4/21,1514.0
3/5/21,1445.0
3/6/21,1312.0
3/7/21,1278.0
3/8/21,420.0
3/9/21,1338.0
3/10/21,1355.0
3/11/21,1512.0
3/12/21,1543.0
3/13/21,0.0
3/14/21,0.0
3/15/21,3143.0
3/16/21,1342.0
3/17/21,1826.0
3/18/21,661.0
3/19/21,1997.0
3/20/21,0.0
3/21/21,0.0
3/22/21,3024.0
3/23/21,1459.0
3/24/21,1388.0
3/25/21,1519.0
3/26/21,781.0
3/27/21,0.0
3/28/21,0.0
3/29/21,2900.0
3/30/21,837.0
3/31/21,1313.0
4/1/21,1772.0
4/2/21,0.0
4/3/21,0.0
4/4/21,0.0
4/5/21,3408.0
4/6/21,986.0
4/7/21,1497.0
4/8/21,1460.0
4/9/21,1120.0
4/10/21,0.0
4/11/21,0.0
4/12/21,2829.0
4/13/21,1457.0
4/14/21,1208.0
4/15/21,1535.0
4/16/21,1370.0
4/17/21,0.0
4/18/21,0.0
4/19/21,5358.0
4/20/21,721.0
4/21/21,1270.0
4/22/21,2008.0
4/23/21,1208.0
4/24/21,0.0
4/25/21,0.0
4/26/21,2010.0
4/27/21,1187.0
4/28/21,1134.0
4/29/21,1092.0
4/30/21,958.0
5/1/21,0.0
5/2/21,0.0
