,Texas
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,3.0
3/6/20,1.0
3/7/20,4.0
3/8/20,3.0
3/9/20,2.0
3/10/20,3.0
3/11/20,5.0
3/12/20,6.0
3/13/20,17.0
3/14/20,16.0
3/15/20,4.0
3/16/20,21.0
3/17/20,26.0
3/18/20,86.0
3/19/20,109.0
3/20/20,123.0
3/21/20,153.0
3/22/20,61.0
3/23/20,121.0
3/24/20,204.0
3/25/20,280.0
3/26/20,315.0
3/27/20,374.0
3/28/20,518.0
3/29/20,337.0
3/30/20,381.0
3/31/20,636.0
4/1/20,500.0
4/2/20,675.0
4/3/20,771.0
4/4/20,841.0
4/5/20,647.0
4/6/20,865.0
4/7/20,888.0
4/8/20,862.0
4/9/20,1418.0
4/10/20,951.0
4/11/20,918.0
4/12/20,635.0
4/13/20,548.0
4/14/20,760.0
4/15/20,956.0
4/16/20,941.0
4/17/20,940.0
4/18/20,799.0
4/19/20,558.0
4/20/20,565.0
4/21/20,938.0
4/22/20,792.0
4/23/20,1220.0
4/24/20,975.0
4/25/20,515.0
4/26/20,764.0
4/27/20,514.0
4/28/20,941.0
4/29/20,1036.0
4/30/20,1348.0
5/1/20,1080.0
5/2/20,1156.0
5/3/20,997.0
5/4/20,766.0
5/5/20,1248.0
5/6/20,1088.0
5/7/20,1019.0
5/8/20,1286.0
5/9/20,1453.0
5/10/20,824.0
5/11/20,894.0
5/12/20,1329.0
5/13/20,1426.0
5/14/20,1245.0
5/15/20,1190.0
5/16/20,1759.0
5/17/20,980.0
5/18/20,770.0
5/19/20,1340.0
5/20/20,1245.0
5/21/20,1294.0
5/22/20,538.0
5/23/20,1115.0
5/24/20,1029.0
5/25/20,473.0
5/26/20,1034.0
5/27/20,1370.0
5/28/20,1787.0
5/29/20,629.0
5/30/20,1791.0
5/31/20,1699.0
6/1/20,988.0
6/2/20,1837.0
6/3/20,1553.0
6/4/20,1680.0
6/5/20,1808.0
6/6/20,2042.0
6/7/20,1045.0
6/8/20,992.0
6/9/20,1738.0
6/10/20,2559.0
6/11/20,1954.0
6/12/20,2111.0
6/13/20,2141.0
6/14/20,1587.0
6/15/20,1709.0
6/16/20,3276.0
6/17/20,4355.0
6/18/20,3447.0
6/19/20,4069.0
6/20/20,4615.0
6/21/20,2862.0
6/22/20,5110.0
6/23/20,5218.0
6/24/20,5770.0
6/25/20,5787.0
6/26/20,5674.0
6/27/20,5583.0
6/28/20,4791.0
6/29/20,6389.0
6/30/20,6303.0
7/1/20,9122.0
7/2/20,7310.0
7/3/20,7358.0
7/4/20,7074.0
7/5/20,4265.0
7/6/20,7544.0
7/7/20,10359.0
7/8/20,9364.0
7/9/20,11659.0
7/10/20,9282.0
7/11/20,8246.0
7/12/20,8231.0
7/13/20,7156.0
7/14/20,10398.0
7/15/20,11372.0
7/16/20,13947.0
7/17/20,11751.0
7/18/20,9436.0
7/19/20,8043.0
7/20/20,8830.0
7/21/20,8283.0
7/22/20,11525.0
7/23/20,9511.0
7/24/20,7359.0
7/25/20,9641.0
7/26/20,3866.0
7/27/20,6450.0
7/28/20,8766.0
7/29/20,10671.0
7/30/20,9023.0
7/31/20,11102.0
8/1/20,6108.0
8/2/20,3188.0
8/3/20,9279.0
8/4/20,10904.0
8/5/20,10544.0
8/6/20,7337.0
8/7/20,7919.0
8/8/20,6603.0
8/9/20,5366.0
8/10/20,6010.0
8/11/20,8276.0
8/12/20,6528.0
8/13/20,7000.0
8/14/20,9957.0
8/15/20,7114.0
8/16/20,7670.0
8/17/20,5495.0
8/18/20,7819.0
8/19/20,5608.0
8/20/20,5222.0
8/21/20,5711.0
8/22/20,3779.0
8/23/20,4654.0
8/24/20,4421.0
8/25/20,6341.0
8/26/20,6238.0
8/27/20,4042.0
8/28/20,5239.0
8/29/20,5039.0
8/30/20,2773.0
8/31/20,3336.0
9/1/20,5030.0
9/2/20,4175.0
9/3/20,3558.0
9/4/20,5988.0
9/5/20,4459.0
9/6/20,2500.0
9/7/20,867.0
9/8/20,3631.0
9/9/20,4870.0
9/10/20,1732.0
9/11/20,5930.0
9/12/20,2867.0
9/13/20,4358.0
9/14/20,4050.0
9/15/20,7025.0
9/16/20,3946.0
9/17/20,4562.0
9/18/20,3449.0
9/19/20,2853.0
9/20/20,5676.0
9/21/20,21760.0
9/22/20,6684.0
9/23/20,1774.0
9/24/20,4866.0
9/25/20,3991.0
9/26/20,3479.0
9/27/20,4722.0
9/28/20,2987.0
9/29/20,6448.0
9/30/20,3619.0
10/1/20,3786.0
10/2/20,5855.0
10/3/20,5366.0
10/4/20,2456.0
10/5/20,4273.0
10/6/20,6432.0
10/7/20,5166.0
10/8/20,3936.0
10/9/20,4585.0
10/10/20,4207.0
10/11/20,2077.0
10/12/20,2619.0
10/13/20,5946.0
10/14/20,6068.0
10/15/20,4888.0
10/16/20,6113.0
10/17/20,4854.0
10/18/20,5507.0
10/19/20,3254.0
10/20/20,5535.0
10/21/20,6948.0
10/22/20,2826.0
10/23/20,7207.0
10/24/20,9669.0
10/25/20,3501.0
10/26/20,6575.0
10/27/20,6878.0
10/28/20,7304.0
10/29/20,6921.0
10/30/20,5951.0
10/31/20,8090.0
11/1/20,32867.0
11/2/20,6812.0
11/3/20,9721.0
11/4/20,11092.0
11/5/20,10749.0
11/6/20,9672.0
11/7/20,7690.0
11/8/20,7596.0
11/9/20,7192.0
11/10/20,12633.0
11/11/20,13283.0
11/12/20,11283.0
11/13/20,13029.0
11/14/20,10987.0
11/15/20,7922.0
11/16/20,8738.0
11/17/20,13379.0
11/18/20,13822.0
11/19/20,14292.0
11/20/20,14098.0
11/21/20,13266.0
11/22/20,8957.0
11/23/20,8529.0
11/24/20,20860.0
11/25/20,17381.0
11/26/20,7427.0
11/27/20,4873.0
11/28/20,6016.0
11/29/20,14321.0
11/30/20,10121.0
12/1/20,15277.0
12/2/20,20528.0
12/3/20,18953.0
12/4/20,14602.0
12/5/20,14071.0
12/6/20,12274.0
12/7/20,7493.0
12/8/20,19469.0
12/9/20,14531.0
12/10/20,16152.0
12/11/20,15883.0
12/12/20,13585.0
12/13/20,8892.0
12/14/20,10318.0
12/15/20,21022.0
12/16/20,21767.0
12/17/20,17490.0
12/18/20,17143.0
12/19/20,14259.0
12/20/20,9798.0
12/21/20,13020.0
12/22/20,21831.0
12/23/20,22672.0
12/24/20,9138.0
12/25/20,3315.0
12/26/20,5414.0
12/27/20,28839.0
12/28/20,8624.0
12/29/20,25153.0
12/30/20,22004.0
12/31/20,17809.0
1/1/21,10172.0
1/2/21,18225.0
1/3/21,15705.0
1/4/21,14260.0
1/5/21,33027.0
1/6/21,20626.0
1/7/21,25292.0
1/8/21,22463.0
1/9/21,19361.0
1/10/21,16274.0
1/11/21,22015.0
1/12/21,24441.0
1/13/21,26106.0
1/14/21,27886.0
1/15/21,26284.0
1/16/21,17741.0
1/17/21,14449.0
1/18/21,11079.0
1/19/21,19269.0
1/20/21,28095.0
1/21/21,23317.0
1/22/21,18918.0
1/23/21,14684.0
1/24/21,7948.0
1/25/21,19003.0
1/26/21,21197.0
1/27/21,18599.0
1/28/21,21052.0
1/29/21,17916.0
1/30/21,15078.0
1/31/21,13078.0
2/1/21,36283.0
2/2/21,19060.0
2/3/21,17848.0
2/4/21,13889.0
2/5/21,14579.0
2/6/21,8502.0
2/7/21,8356.0
2/8/21,9717.0
2/9/21,13755.0
2/10/21,12727.0
2/11/21,12176.0
2/12/21,11606.0
2/13/21,9213.0
2/14/21,4875.0
2/15/21,2793.0
2/16/21,2925.0
2/17/21,5154.0
2/18/21,2309.0
2/19/21,5601.0
2/20/21,6104.0
2/21/21,6844.0
2/22/21,5853.0
2/23/21,10583.0
2/24/21,7756.0
2/25/21,7814.0
2/26/21,10797.0
2/27/21,5900.0
2/28/21,3650.0
3/1/21,7778.0
3/2/21,7300.0
3/3/21,7621.0
3/4/21,7674.0
3/5/21,5589.0
3/6/21,3716.0
3/7/21,2867.0
3/8/21,3525.0
3/9/21,5629.0
3/10/21,5566.0
3/11/21,5715.0
3/12/21,5518.0
3/13/21,3096.0
3/14/21,2855.0
3/15/21,4352.0
3/16/21,5949.0
3/17/21,4511.0
3/18/21,3420.0
3/19/21,3930.0
3/20/21,2655.0
3/21/21,2337.0
3/22/21,2936.0
3/23/21,4718.0
3/24/21,3989.0
3/25/21,3192.0
3/26/21,6919.0
3/27/21,3094.0
3/28/21,3271.0
3/29/21,3484.0
3/30/21,3209.0
3/31/21,2482.0
4/1/21,5100.0
4/2/21,2365.0
4/3/21,1843.0
4/4/21,1007.0
4/5/21,4683.0
4/6/21,4362.0
4/7/21,3840.0
4/8/21,4490.0
4/9/21,3289.0
4/10/21,2662.0
4/11/21,1426.0
4/12/21,4995.0
4/13/21,5188.0
4/14/21,3709.0
4/15/21,3060.0
4/16/21,3172.0
4/17/21,1971.0
4/18/21,1503.0
4/19/21,4477.0
4/20/21,4840.0
4/21/21,4427.0
4/22/21,3429.0
4/23/21,2659.0
4/24/21,2349.0
4/25/21,1239.0
4/26/21,4443.0
4/27/21,3985.0
4/28/21,4215.0
4/29/21,3619.0
4/30/21,3671.0
5/1/21,1882.0
5/2/21,1300.0
