,Utah
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,1.0
3/8/20,0.0
3/9/20,0.0
3/10/20,1.0
3/11/20,1.0
3/12/20,0.0
3/13/20,6.0
3/14/20,1.0
3/15/20,8.0
3/16/20,10.0
3/17/20,11.0
3/18/20,8.0
3/19/20,15.0
3/20/20,33.0
3/21/20,23.0
3/22/20,44.0
3/23/20,95.0
3/24/20,41.0
3/25/20,42.0
3/26/20,56.0
3/27/20,76.0
3/28/20,130.0
3/29/20,118.0
3/30/20,78.0
3/31/20,90.0
4/1/20,0.0
4/2/20,198.0
4/3/20,162.0
4/4/20,180.0
4/5/20,173.0
4/6/20,77.0
4/7/20,61.0
4/8/20,109.0
4/9/20,8.0
4/10/20,247.0
4/11/20,104.0
4/12/20,96.0
4/13/20,60.0
4/14/20,54.0
4/15/20,131.0
4/16/20,135.0
4/17/20,110.0
4/18/20,124.0
4/19/20,152.0
4/20/20,144.0
4/21/20,84.0
4/22/20,148.0
4/23/20,167.0
4/24/20,170.0
4/25/20,166.0
4/26/20,175.0
4/27/20,113.0
4/28/20,109.0
4/29/20,152.0
4/30/20,175.0
5/1/20,156.0
5/2/20,157.0
5/3/20,190.0
5/4/20,142.0
5/5/20,132.0
5/6/20,146.0
5/7/20,129.0
5/8/20,195.0
5/9/20,184.0
5/10/20,148.0
5/11/20,111.0
5/12/20,70.0
5/13/20,188.0
5/14/20,129.0
5/15/20,164.0
5/16/20,155.0
5/17/20,170.0
5/18/20,146.0
5/19/20,134.0
5/20/20,192.0
5/21/20,164.0
5/22/20,183.0
5/23/20,203.0
5/24/20,132.0
5/25/20,129.0
5/26/20,99.0
5/27/20,86.0
5/28/20,215.0
5/29/20,343.0
5/30/20,269.0
5/31/20,264.0
6/1/20,202.0
6/2/20,203.0
6/3/20,295.0
6/4/20,316.0
6/5/20,439.0
6/6/20,546.0
6/7/20,268.0
6/8/20,256.0
6/9/20,237.0
6/10/20,305.0
6/11/20,388.0
6/12/20,325.0
6/13/20,404.0
6/14/20,332.0
6/15/20,295.0
6/16/20,329.0
6/17/20,407.0
6/18/20,495.0
6/19/20,586.0
6/20/20,643.0
6/21/20,394.0
6/22/20,444.0
6/23/20,394.0
6/24/20,484.0
6/25/20,590.0
6/26/20,676.0
6/27/20,578.0
6/28/20,472.0
6/29/20,564.0
6/30/20,553.0
7/1/20,499.0
7/2/20,554.0
7/3/20,596.0
7/4/20,676.0
7/5/20,410.0
7/6/20,517.0
7/7/20,564.0
7/8/20,722.0
7/9/20,601.0
7/10/20,867.0
7/11/20,632.0
7/12/20,629.0
7/13/20,546.0
7/14/20,448.0
7/15/20,413.0
7/16/20,954.0
7/17/20,727.0
7/18/20,760.0
7/19/20,785.0
7/20/20,409.0
7/21/20,486.0
7/22/20,566.0
7/23/20,521.0
7/24/20,863.0
7/25/20,661.0
7/26/20,350.0
7/27/20,436.0
7/28/20,446.0
7/29/20,339.0
7/30/20,502.0
7/31/20,500.0
8/1/20,506.0
8/2/20,473.0
8/3/20,354.0
8/4/20,378.0
8/5/20,421.0
8/6/20,587.0
8/7/20,460.0
8/8/20,376.0
8/9/20,376.0
8/10/20,263.0
8/11/20,362.0
8/12/20,338.0
8/13/20,334.0
8/14/20,552.0
8/15/20,345.0
8/16/20,331.0
8/17/20,242.0
8/18/20,263.0
8/19/20,364.0
8/20/20,461.0
8/21/20,463.0
8/22/20,369.0
8/23/20,301.0
8/24/20,249.0
8/25/20,403.0
8/26/20,407.0
8/27/20,383.0
8/28/20,391.0
8/29/20,458.0
8/30/20,448.0
8/31/20,253.0
9/1/20,296.0
9/2/20,419.0
9/3/20,504.0
9/4/20,513.0
9/5/20,433.0
9/6/20,388.0
9/7/20,373.0
9/8/20,326.0
9/9/20,314.0
9/10/20,346.0
9/11/20,656.0
9/12/20,572.0
9/13/20,628.0
9/14/20,563.0
9/15/20,562.0
9/16/20,747.0
9/17/20,911.0
9/18/20,1117.0
9/19/20,1077.0
9/20/20,920.0
9/21/20,622.0
9/22/20,650.0
9/23/20,877.0
9/24/20,1198.0
9/25/20,1411.0
9/26/20,1017.0
9/27/20,1068.0
9/28/20,827.0
9/29/20,694.0
9/30/20,906.0
10/1/20,1008.0
10/2/20,1107.0
10/3/20,1068.0
10/4/20,1393.0
10/5/20,1105.0
10/6/20,716.0
10/7/20,1007.0
10/8/20,1501.0
10/9/20,1343.0
10/10/20,1354.0
10/11/20,1200.0
10/12/20,988.0
10/13/20,987.0
10/14/20,1144.0
10/15/20,1498.0
10/16/20,1496.0
10/17/20,1340.0
10/18/20,1097.0
10/19/20,1168.0
10/20/20,1081.0
10/21/20,1363.0
10/22/20,1543.0
10/23/20,1960.0
10/24/20,1608.0
10/25/20,1765.0
10/26/20,1201.0
10/27/20,1145.0
10/28/20,1575.0
10/29/20,1837.0
10/30/20,2292.0
10/31/20,1724.0
11/1/20,1854.0
11/2/20,1196.0
11/3/20,1669.0
11/4/20,2110.0
11/5/20,2807.0
11/6/20,2987.0
11/7/20,2956.0
11/8/20,2386.0
11/9/20,2247.0
11/10/20,2517.0
11/11/20,2335.0
11/12/20,3919.0
11/13/20,2150.0
11/14/20,5352.0
11/15/20,2667.0
11/16/20,1971.0
11/17/20,3178.0
11/18/20,3071.0
11/19/20,3968.0
11/20/20,4588.0
11/21/20,3395.0
11/22/20,3197.0
11/23/20,2244.0
11/24/20,2701.0
11/25/20,1781.0
11/26/20,0.0
11/27/20,6142.0
11/28/20,2043.0
11/29/20,1722.0
11/30/20,1897.0
12/1/20,2510.0
12/2/20,4004.0
12/3/20,3945.0
12/4/20,3005.0
12/5/20,3674.0
12/6/20,2563.0
12/7/20,2231.0
12/8/20,2333.0
12/9/20,2574.0
12/10/20,3401.0
12/11/20,2183.0
12/12/20,3692.0
12/13/20,2083.0
12/14/20,1968.0
12/15/20,1915.0
12/16/20,2928.0
12/17/20,3203.0
12/18/20,2644.0
12/19/20,2408.0
12/20/20,1994.0
12/21/20,1819.0
12/22/20,2302.0
12/23/20,2612.0
12/24/20,2892.0
12/25/20,0.0
12/26/20,3489.0
12/27/20,796.0
12/28/20,1716.0
12/29/20,2736.0
12/30/20,2614.0
12/31/20,4672.0
1/1/21,0.0
1/2/21,5042.0
1/3/21,1819.0
1/4/21,2160.0
1/5/21,3318.0
1/6/21,3769.0
1/7/21,4597.0
1/8/21,3793.0
1/9/21,2613.0
1/10/21,2276.0
1/11/21,1484.0
1/12/21,2146.0
1/13/21,5188.0
1/14/21,2742.0
1/15/21,2543.0
1/16/21,2150.0
1/17/21,1585.0
1/18/21,1082.0
1/19/21,1302.0
1/20/21,2159.0
1/21/21,2089.0
1/22/21,2649.0
1/23/21,1771.0
1/24/21,1516.0
1/25/21,859.0
1/26/21,1411.0
1/27/21,2009.0
1/28/21,1761.0
1/29/21,1517.0
1/30/21,1468.0
1/31/21,1194.0
2/1/21,584.0
2/2/21,1201.0
2/3/21,1591.0
2/4/21,1273.0
2/5/21,1216.0
2/6/21,1211.0
2/7/21,908.0
2/8/21,514.0
2/9/21,918.0
2/10/21,1299.0
2/11/21,1242.0
2/12/21,1060.0
2/13/21,943.0
2/14/21,710.0
2/15/21,462.0
2/16/21,591.0
2/17/21,901.0
2/18/21,1151.0
2/19/21,857.0
2/20/21,778.0
2/21/21,701.0
2/22/21,338.0
2/23/21,716.0
2/24/21,812.0
2/25/21,832.0
2/26/21,651.0
2/27/21,686.0
2/28/21,465.0
3/1/21,257.0
3/2/21,487.0
3/3/21,729.0
3/4/21,611.0
3/5/21,549.0
3/6/21,570.0
3/7/21,412.0
3/8/21,260.0
3/9/21,559.0
3/10/21,658.0
3/11/21,646.0
3/12/21,519.0
3/13/21,491.0
3/14/21,396.0
3/15/21,221.0
3/16/21,481.0
3/17/21,699.0
3/18/21,560.0
3/19/21,447.0
3/20/21,467.0
3/21/21,375.0
3/22/21,159.0
3/23/21,383.0
3/24/21,562.0
3/25/21,527.0
3/26/21,453.0
3/27/21,460.0
3/28/21,389.0
3/29/21,194.0
3/30/21,371.0
3/31/21,514.0
4/1/21,487.0
4/2/21,422.0
4/3/21,447.0
4/4/21,344.0
4/5/21,173.0
4/6/21,300.0
4/7/21,612.0
4/8/21,483.0
4/9/21,444.0
4/10/21,407.0
4/11/21,344.0
4/12/21,185.0
4/13/21,358.0
4/14/21,530.0
4/15/21,456.0
4/16/21,463.0
4/17/21,413.0
4/18/21,248.0
4/19/21,200.0
4/20/21,315.0
4/21/21,590.0
4/22/21,472.0
4/23/21,344.0
4/24/21,472.0
4/25/21,281.0
4/26/21,246.0
4/27/21,327.0
4/28/21,518.0
4/29/21,463.0
4/30/21,338.0
5/1/21,410.0
5/2/21,279.0
