,Virginia
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,2.0
3/9/20,0.0
3/10/20,6.0
3/11/20,1.0
3/12/20,3.0
3/13/20,15.0
3/14/20,10.0
3/15/20,0.0
3/16/20,12.0
3/17/20,18.0
3/18/20,12.0
3/19/20,24.0
3/20/20,20.0
3/21/20,34.0
3/22/20,63.0
3/23/20,34.0
3/24/20,39.0
3/25/20,103.0
3/26/20,70.0
3/27/20,141.0
3/28/20,133.0
3/29/20,150.0
3/30/20,130.0
3/31/20,229.0
4/1/20,234.0
4/2/20,223.0
4/3/20,306.0
4/4/20,395.0
4/5/20,233.0
4/6/20,238.0
4/7/20,457.0
4/8/20,310.0
4/9/20,397.0
4/10/20,467.0
4/11/20,568.0
4/12/20,197.0
4/13/20,473.0
4/14/20,435.0
4/15/20,318.0
4/16/20,389.0
4/17/20,602.0
4/18/20,562.0
4/19/20,489.0
4/20/20,448.0
4/21/20,640.0
4/22/20,636.0
4/23/20,732.0
4/24/20,596.0
4/25/20,772.0
4/26/20,604.0
4/27/20,568.0
4/28/20,801.0
4/29/20,623.0
4/30/20,885.0
5/1/20,1055.0
5/2/20,836.0
5/3/20,934.0
5/4/20,821.0
5/5/20,764.0
5/6/20,728.0
5/7/20,585.0
5/8/20,772.0
5/9/20,854.0
5/10/20,885.0
5/11/20,989.0
5/12/20,730.0
5/13/20,946.0
5/14/20,1067.0
5/15/20,859.0
5/16/20,1011.0
5/17/20,705.0
5/18/20,752.0
5/19/20,1005.0
5/20/20,763.0
5/21/20,1229.0
5/22/20,813.0
5/23/20,799.0
5/24/20,495.0
5/25/20,1483.0
5/26/20,1615.0
5/27/20,907.0
5/28/20,1152.0
5/29/20,1132.0
5/30/20,1078.0
5/31/20,996.0
6/1/20,791.0
6/2/20,841.0
6/3/20,666.0
6/4/20,951.0
6/5/20,676.0
6/6/20,865.0
6/7/20,1284.0
6/8/20,570.0
6/9/20,487.0
6/10/20,439.0
6/11/20,470.0
6/12/20,564.0
6/13/20,658.0
6/14/20,637.0
6/15/20,380.0
6/16/20,445.0
6/17/20,444.0
6/18/20,463.0
6/19/20,555.0
6/20/20,650.0
6/21/20,551.0
6/22/20,471.0
6/23/20,529.0
6/24/20,520.0
6/25/20,432.0
6/26/20,624.0
6/27/20,677.0
6/28/20,489.0
6/29/20,453.0
6/30/20,598.0
7/1/20,416.0
7/2/20,532.0
7/3/20,658.0
7/4/20,716.0
7/5/20,639.0
7/6/20,354.0
7/7/20,638.0
7/8/20,635.0
7/9/20,613.0
7/10/20,943.0
7/11/20,851.0
7/12/20,888.0
7/13/20,972.0
7/14/20,801.0
7/15/20,1084.0
7/16/20,904.0
7/17/20,1002.0
7/18/20,940.0
7/19/20,1057.0
7/20/20,945.0
7/21/20,996.0
7/22/20,1022.0
7/23/20,844.0
7/24/20,1127.0
7/25/20,1245.0
7/26/20,958.0
7/27/20,1505.0
7/28/20,922.0
7/29/20,999.0
7/30/20,911.0
7/31/20,984.0
8/1/20,913.0
8/2/20,981.0
8/3/20,1324.0
8/4/20,1145.0
8/5/20,798.0
8/6/20,818.0
8/7/20,2015.0
8/8/20,1307.0
8/9/20,897.0
8/10/20,663.0
8/11/20,996.0
8/12/20,776.0
8/13/20,1101.0
8/14/20,1216.0
8/15/20,912.0
8/16/20,937.0
8/17/20,734.0
8/18/20,861.0
8/19/20,737.0
8/20/20,860.0
8/21/20,978.0
8/22/20,1215.0
8/23/20,888.0
8/24/20,663.0
8/25/20,1003.0
8/26/20,822.0
8/27/20,1121.0
8/28/20,1023.0
8/29/20,1217.0
8/30/20,938.0
8/31/20,847.0
9/1/20,1021.0
9/2/20,903.0
9/3/20,1119.0
9/4/20,1101.0
9/5/20,989.0
9/6/20,1199.0
9/7/20,645.0
9/8/20,836.0
9/9/20,882.0
9/10/20,1236.0
9/11/20,1115.0
9/12/20,1228.0
9/13/20,946.0
9/14/20,757.0
9/15/20,943.0
9/16/20,845.0
9/17/20,1101.0
9/18/20,1242.0
9/19/20,953.0
9/20/20,856.0
9/21/20,627.0
9/22/20,872.0
9/23/20,580.0
9/24/20,902.0
9/25/20,941.0
9/26/20,975.0
9/27/20,736.0
9/28/20,449.0
9/29/20,923.0
9/30/20,755.0
10/1/20,450.0
10/2/20,966.0
10/3/20,1116.0
10/4/20,1067.0
10/5/20,687.0
10/6/20,625.0
10/7/20,509.0
10/8/20,1844.0
10/9/20,1114.0
10/10/20,1256.0
10/11/20,811.0
10/12/20,854.0
10/13/20,1235.0
10/14/20,805.0
10/15/20,1331.0
10/16/20,1183.0
10/17/20,1114.0
10/18/20,900.0
10/19/20,690.0
10/20/20,926.0
10/21/20,1018.0
10/22/20,1332.0
10/23/20,1180.0
10/24/20,1088.0
10/25/20,999.0
10/26/20,904.0
10/27/20,1134.0
10/28/20,1345.0
10/29/20,1429.0
10/30/20,1456.0
10/31/20,1551.0
11/1/20,1202.0
11/2/20,1026.0
11/3/20,1261.0
11/4/20,1157.0
11/5/20,1366.0
11/6/20,1568.0
11/7/20,2103.0
11/8/20,1302.0
11/9/20,1302.0
11/10/20,1435.0
11/11/20,1594.0
11/12/20,1521.0
11/13/20,1235.0
11/14/20,1537.0
11/15/20,1161.0
11/16/20,2677.0
11/17/20,2125.0
11/18/20,2071.0
11/19/20,1954.0
11/20/20,2544.0
11/21/20,2348.0
11/22/20,2117.0
11/23/20,3242.0
11/24/20,2544.0
11/25/20,2718.0
11/26/20,2600.0
11/27/20,1544.0
11/28/20,3173.0
11/29/20,2325.0
11/30/20,1893.0
12/1/20,2228.0
12/2/20,2417.0
12/3/20,2023.0
12/4/20,2877.0
12/5/20,3793.0
12/6/20,3880.0
12/7/20,3817.0
12/8/20,3860.0
12/9/20,4398.0
12/10/20,3915.0
12/11/20,3395.0
12/12/20,4177.0
12/13/20,3294.0
12/14/20,3240.0
12/15/20,3160.0
12/16/20,3931.0
12/17/20,3853.0
12/18/20,3295.0
12/19/20,3584.0
12/20/20,3876.0
12/21/20,4042.0
12/22/20,3591.0
12/23/20,4652.0
12/24/20,4782.0
12/25/20,4078.0
12/26/20,1584.0
12/27/20,3999.0
12/28/20,2599.0
12/29/20,4122.0
12/30/20,4048.0
12/31/20,5239.0
1/1/21,5182.0
1/2/21,3989.0
1/3/21,5010.0
1/4/21,3771.0
1/5/21,4377.0
1/6/21,5387.0
1/7/21,5379.0
1/8/21,5238.0
1/9/21,5798.0
1/10/21,5141.0
1/11/21,4530.0
1/12/21,4561.0
1/13/21,4598.0
1/14/21,5294.0
1/15/21,4795.0
1/16/21,6757.0
1/17/21,9914.0
1/18/21,7245.0
1/19/21,4526.0
1/20/21,4515.0
1/21/21,4013.0
1/22/21,4147.0
1/23/21,4904.0
1/24/21,3792.0
1/25/21,6172.0
1/26/21,4707.0
1/27/21,5227.0
1/28/21,5121.0
1/29/21,4238.0
1/30/21,4309.0
1/31/21,2558.0
2/1/21,2861.0
2/2/21,2740.0
2/3/21,2959.0
2/4/21,3059.0
2/5/21,5069.0
2/6/21,4709.0
2/7/21,2949.0
2/8/21,1700.0
2/9/21,3291.0
2/10/21,3203.0
2/11/21,3699.0
2/12/21,3191.0
2/13/21,3215.0
2/14/21,2575.0
2/15/21,1539.0
2/16/21,1770.0
2/17/21,2284.0
2/18/21,2304.0
2/19/21,2034.0
2/20/21,1882.0
2/21/21,2303.0
2/22/21,1155.0
2/23/21,1769.0
2/24/21,1907.0
2/25/21,2036.0
2/26/21,1657.0
2/27/21,1675.0
2/28/21,1736.0
3/1/21,1124.0
3/2/21,1385.0
3/3/21,1549.0
3/4/21,1300.0
3/5/21,1652.0
3/6/21,1477.0
3/7/21,1163.0
3/8/21,892.0
3/9/21,1537.0
3/10/21,1246.0
3/11/21,1250.0
3/12/21,1589.0
3/13/21,1348.0
3/14/21,1173.0
3/15/21,1130.0
3/16/21,1276.0
3/17/21,1327.0
3/18/21,2082.0
3/19/21,1632.0
3/20/21,1563.0
3/21/21,1159.0
3/22/21,1063.0
3/23/21,1267.0
3/24/21,1470.0
3/25/21,1559.0
3/26/21,1799.0
3/27/21,1912.0
3/28/21,1392.0
3/29/21,1143.0
3/30/21,1432.0
3/31/21,1035.0
4/1/21,1825.0
4/2/21,1538.0
4/3/21,1542.0
4/4/21,1267.0
4/5/21,1023.0
4/6/21,1434.0
4/7/21,1550.0
4/8/21,1928.0
4/9/21,1542.0
4/10/21,1700.0
4/11/21,1227.0
4/12/21,1310.0
4/13/21,2048.0
4/14/21,1301.0
4/15/21,1415.0
4/16/21,1594.0
4/17/21,1608.0
4/18/21,1305.0
4/19/21,978.0
4/20/21,1236.0
4/21/21,1261.0
4/22/21,1373.0
4/23/21,1340.0
4/24/21,1005.0
4/25/21,884.0
4/26/21,719.0
4/27/21,1091.0
4/28/21,1134.0
4/29/21,1187.0
4/30/21,1249.0
5/1/21,963.0
5/2/21,761.0
