,Virginia
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,2
3/9/20,2
3/10/20,8
3/11/20,9
3/12/20,12
3/13/20,27
3/14/20,37
3/15/20,37
3/16/20,49
3/17/20,67
3/18/20,79
3/19/20,103
3/20/20,123
3/21/20,157
3/22/20,220
3/23/20,254
3/24/20,293
3/25/20,396
3/26/20,466
3/27/20,607
3/28/20,740
3/29/20,890
3/30/20,1020
3/31/20,1249
4/1/20,1483
4/2/20,1706
4/3/20,2012
4/4/20,2407
4/5/20,2640
4/6/20,2878
4/7/20,3335
4/8/20,3645
4/9/20,4042
4/10/20,4509
4/11/20,5077
4/12/20,5274
4/13/20,5747
4/14/20,6182
4/15/20,6500
4/16/20,6889
4/17/20,7491
4/18/20,8053
4/19/20,8542
4/20/20,8990
4/21/20,9630
4/22/20,10266
4/23/20,10998
4/24/20,11594
4/25/20,12366
4/26/20,12970
4/27/20,13538
4/28/20,14339
4/29/20,14962
4/30/20,15847
5/1/20,16902
5/2/20,17738
5/3/20,18672
5/4/20,19493
5/5/20,20257
5/6/20,20985
5/7/20,21570
5/8/20,22342
5/9/20,23196
5/10/20,24081
5/11/20,25070
5/12/20,25800
5/13/20,26746
5/14/20,27813
5/15/20,28672
5/16/20,29683
5/17/20,30388
5/18/20,31140
5/19/20,32145
5/20/20,32908
5/21/20,34137
5/22/20,34950
5/23/20,35749
5/24/20,36244
5/25/20,37727
5/26/20,39342
5/27/20,40249
5/28/20,41401
5/29/20,42533
5/30/20,43611
5/31/20,44607
6/1/20,45398
6/2/20,46239
6/3/20,46905
6/4/20,47856
6/5/20,48532
6/6/20,49397
6/7/20,50681
6/8/20,51251
6/9/20,51738
6/10/20,52177
6/11/20,52647
6/12/20,53211
6/13/20,53869
6/14/20,54506
6/15/20,54886
6/16/20,55331
6/17/20,55775
6/18/20,56238
6/19/20,56793
6/20/20,57443
6/21/20,57994
6/22/20,58465
6/23/20,58994
6/24/20,59514
6/25/20,59946
6/26/20,60570
6/27/20,61247
6/28/20,61736
6/29/20,62189
6/30/20,62787
7/1/20,63203
7/2/20,63735
7/3/20,64393
7/4/20,65109
7/5/20,65748
7/6/20,66102
7/7/20,66740
7/8/20,67375
7/9/20,67988
7/10/20,68931
7/11/20,69782
7/12/20,70670
7/13/20,71642
7/14/20,72443
7/15/20,73527
7/16/20,74431
7/17/20,75433
7/18/20,76373
7/19/20,77430
7/20/20,78375
7/21/20,79371
7/22/20,80393
7/23/20,81237
7/24/20,82364
7/25/20,83609
7/26/20,84567
7/27/20,86072
7/28/20,86994
7/29/20,87993
7/30/20,88904
7/31/20,89888
8/1/20,90801
8/2/20,91782
8/3/20,93106
8/4/20,94251
8/5/20,95049
