,Washington
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,6.0
3/1/20,4.0
3/2/20,7.0
3/3/20,9.0
3/4/20,12.0
3/5/20,31.0
3/6/20,8.0
3/7/20,24.0
3/8/20,20.0
3/9/20,0.0
3/10/20,45.0
3/11/20,115.0
3/12/20,160.0
3/13/20,126.0
3/14/20,74.0
3/15/20,-39.0
3/16/20,176.0
3/17/20,176.0
3/18/20,67.0
3/19/20,352.0
3/20/20,150.0
3/21/20,269.0
3/22/20,204.0
3/23/20,224.0
3/24/20,107.0
3/25/20,263.0
3/26/20,616.0
3/27/20,270.0
3/28/20,553.0
3/29/20,435.0
3/30/20,458.0
3/31/20,509.0
4/1/20,176.0
4/2/20,781.0
4/3/20,457.0
4/4/20,401.0
4/5/20,578.0
4/6/20,486.0
4/7/20,381.0
4/8/20,584.0
4/9/20,363.0
4/10/20,480.0
4/11/20,315.0
4/12/20,175.0
4/13/20,26.0
4/14/20,164.0
4/15/20,143.0
4/16/20,115.0
4/17/20,460.0
4/18/20,259.0
4/19/20,202.0
4/20/20,136.0
4/21/20,278.0
4/22/20,204.0
4/23/20,157.0
4/24/20,224.0
4/25/20,342.0
4/26/20,202.0
4/27/20,165.0
4/28/20,156.0
4/29/20,228.0
4/30/20,257.0
5/1/20,310.0
5/2/20,366.0
5/3/20,182.0
5/4/20,277.0
5/5/20,132.0
5/6/20,311.0
5/7/20,326.0
5/8/20,157.0
5/9/20,286.0
5/10/20,217.0
5/11/20,231.0
5/12/20,208.0
5/13/20,182.0
5/14/20,261.0
5/15/20,178.0
5/16/20,337.0
5/17/20,145.0
5/18/20,178.0
5/19/20,200.0
5/20/20,160.0
5/21/20,146.0
5/22/20,148.0
5/23/20,0.0
5/24/20,563.0
5/25/20,237.0
5/26/20,116.0
5/27/20,225.0
5/28/20,358.0
5/29/20,307.0
5/30/20,278.0
5/31/20,353.0
6/1/20,537.0
6/2/20,277.0
6/3/20,248.0
6/4/20,260.0
6/5/20,459.0
6/6/20,284.0
6/7/20,311.0
6/8/20,300.0
6/9/20,252.0
6/10/20,262.0
6/11/20,284.0
6/12/20,366.0
6/13/20,283.0
6/14/20,333.0
6/15/20,372.0
6/16/20,257.0
6/17/20,406.0
6/18/20,415.0
6/19/20,617.0
6/20/20,451.0
6/21/20,198.0
6/22/20,520.0
6/23/20,480.0
6/24/20,498.0
6/25/20,494.0
6/26/20,556.0
6/27/20,344.0
6/28/20,501.0
6/29/20,564.0
6/30/20,608.0
7/1/20,713.0
7/2/20,757.0
7/3/20,351.0
7/4/20,642.0
7/5/20,1057.0
7/6/20,434.0
7/7/20,523.0
7/8/20,647.0
7/9/20,639.0
7/10/20,604.0
7/11/20,866.0
7/12/20,1077.0
7/13/20,546.0
7/14/20,742.0
7/15/20,1262.0
7/16/20,753.0
7/17/20,970.0
7/18/20,934.0
7/19/20,795.0
7/20/20,839.0
7/21/20,660.0
7/22/20,732.0
7/23/20,850.0
7/24/20,1038.0
7/25/20,799.0
7/26/20,670.0
7/27/20,862.0
7/28/20,778.0
7/29/20,772.0
7/30/20,985.0
7/31/20,850.0
8/1/20,630.0
8/2/20,551.0
8/3/20,680.0
8/4/20,685.0
8/5/20,831.0
8/6/20,723.0
8/7/20,897.0
8/8/20,606.0
8/9/20,580.0
8/10/20,491.0
8/11/20,540.0
8/12/20,639.0
8/13/20,815.0
8/14/20,735.0
8/15/20,592.0
8/16/20,273.0
8/17/20,532.0
8/18/20,536.0
8/19/20,740.0
8/20/20,518.0
8/21/20,827.0
8/22/20,464.0
8/23/20,343.0
8/24/20,347.0
8/25/20,473.0
8/26/20,583.0
8/27/20,584.0
8/28/20,619.0
8/29/20,465.0
8/30/20,310.0
8/31/20,307.0
9/1/20,475.0
9/2/20,560.0
9/3/20,497.0
9/4/20,525.0
9/5/20,420.0
9/6/20,316.0
9/7/20,197.0
9/8/20,289.0
9/9/20,499.0
9/10/20,600.0
9/11/20,494.0
9/12/20,364.0
9/13/20,318.0
9/14/20,336.0
9/15/20,384.0
9/16/20,417.0
9/17/20,417.0
9/18/20,629.0
9/19/20,383.0
9/20/20,303.0
9/21/20,345.0
9/22/20,544.0
9/23/20,583.0
9/24/20,1025.0
9/25/20,640.0
9/26/20,457.0
9/27/20,378.0
9/28/20,394.0
9/29/20,532.0
9/30/20,640.0
10/1/20,716.0
10/2/20,642.0
10/3/20,469.0
10/4/20,419.0
10/5/20,427.0
10/6/20,556.0
10/7/20,758.0
10/8/20,693.0
10/9/20,548.0
10/10/20,848.0
10/11/20,375.0
10/12/20,607.0
10/13/20,719.0
10/14/20,698.0
10/15/20,775.0
10/16/20,826.0
10/17/20,566.0
10/18/20,467.0
10/19/20,492.0
10/20/20,800.0
10/21/20,703.0
10/22/20,812.0
10/23/20,949.0
10/24/20,741.0
10/25/20,596.0
10/26/20,547.0
10/27/20,751.0
10/28/20,880.0
10/29/20,1111.0
10/30/20,978.0
10/31/20,876.0
11/1/20,1040.0
11/2/20,745.0
11/3/20,1534.0
11/4/20,1124.0
11/5/20,1772.0
11/6/20,1748.0
11/7/20,1450.0
11/8/20,1246.0
11/9/20,1420.0
11/10/20,1662.0
11/11/20,2025.0
11/12/20,2247.0
11/13/20,2320.0
11/14/20,2250.0
11/15/20,1578.0
11/16/20,2592.0
11/17/20,1559.0
11/18/20,2111.0
11/19/20,2174.0
11/20/20,1876.0
11/21/20,2648.0
11/22/20,3559.0
11/23/20,3282.0
11/24/20,3020.0
11/25/20,2873.0
11/26/20,2067.0
11/27/20,2394.0
11/28/20,2107.0
11/29/20,2269.0
11/30/20,2462.0
12/1/20,3071.0
12/2/20,2325.0
12/3/20,2085.0
12/4/20,1886.0
12/5/20,1752.0
12/6/20,6071.0
12/7/20,3795.0
12/8/20,3085.0
12/9/20,2996.0
12/10/20,3149.0
12/11/20,4111.0
12/12/20,2429.0
12/13/20,2092.0
12/14/20,1775.0
12/15/20,1681.0
12/16/20,0.0
12/17/20,2940.0
12/18/20,3063.0
12/19/20,2332.0
12/20/20,0.0
12/21/20,4035.0
12/22/20,1252.0
12/23/20,2315.0
12/24/20,2891.0
12/25/20,0.0
12/26/20,3626.0
12/27/20,0.0
12/28/20,1953.0
12/29/20,2174.0
12/30/20,1484.0
12/31/20,4422.0
1/1/21,0.0
1/2/21,0.0
1/3/21,8644.0
1/4/21,1039.0
1/5/21,2332.0
1/6/21,1985.0
1/7/21,3260.0
1/8/21,4595.0
1/9/21,2988.0
1/10/21,0.0
1/11/21,5091.0
1/12/21,1858.0
1/13/21,2658.0
1/14/21,2575.0
1/15/21,2193.0
1/16/21,0.0
1/17/21,3969.0
1/18/21,0.0
1/19/21,2050.0
1/20/21,2028.0
1/21/21,2070.0
1/22/21,2162.0
1/23/21,1949.0
1/24/21,0.0
1/25/21,1943.0
1/26/21,1341.0
1/27/21,1807.0
1/28/21,2520.0
1/29/21,1992.0
1/30/21,1796.0
1/31/21,0.0
2/1/21,1738.0
2/2/21,1357.0
2/3/21,1602.0
2/4/21,1584.0
2/5/21,1493.0
2/6/21,775.0
2/7/21,0.0
2/8/21,3068.0
2/9/21,811.0
2/10/21,681.0
2/11/21,1453.0
2/12/21,1008.0
2/13/21,880.0
2/14/21,0.0
2/15/21,0.0
2/16/21,1699.0
2/17/21,1061.0
2/18/21,1200.0
2/19/21,897.0
2/20/21,890.0
2/21/21,0.0
2/22/21,1168.0
2/23/21,731.0
2/24/21,872.0
2/25/21,1088.0
2/26/21,1169.0
2/27/21,951.0
2/28/21,0.0
3/1/21,935.0
3/2/21,733.0
3/3/21,795.0
3/4/21,854.0
3/5/21,778.0
3/6/21,664.0
3/7/21,0.0
3/8/21,1199.0
3/9/21,672.0
3/10/21,728.0
3/11/21,753.0
3/12/21,632.0
3/13/21,909.0
3/14/21,0.0
3/15/21,1081.0
3/16/21,603.0
3/17/21,903.0
3/18/21,895.0
3/19/21,885.0
3/20/21,990.0
3/21/21,0.0
3/22/21,1204.0
3/23/21,550.0
3/24/21,963.0
3/25/21,1107.0
3/26/21,1060.0
3/27/21,1449.0
3/28/21,0.0
3/29/21,1270.0
3/30/21,850.0
3/31/21,1251.0
4/1/21,1276.0
4/2/21,1353.0
4/3/21,1288.0
4/4/21,0.0
4/5/21,1614.0
4/6/21,635.0
4/7/21,1518.0
4/8/21,1042.0
4/9/21,1582.0
4/10/21,1436.0
4/11/21,0.0
4/12/21,1722.0
4/13/21,1104.0
4/14/21,1283.0
4/15/21,1386.0
4/16/21,2169.0
4/17/21,1655.0
4/18/21,0.0
4/19/21,1371.0
4/20/21,1798.0
4/21/21,1496.0
4/22/21,1625.0
4/23/21,1755.0
4/24/21,1718.0
4/25/21,0.0
4/26/21,2105.0
4/27/21,1092.0
4/28/21,1640.0
4/29/21,1569.0
4/30/21,1322.0
5/1/21,1669.0
5/2/21,0.0
