,West Virginia
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,0.0
3/17/20,0.0
3/18/20,1.0
3/19/20,1.0
3/20/20,6.0
3/21/20,4.0
3/22/20,4.0
3/23/20,0.0
3/24/20,6.0
3/25/20,17.0
3/26/20,13.0
3/27/20,24.0
3/28/20,20.0
3/29/20,17.0
3/30/20,32.0
3/31/20,17.0
4/1/20,29.0
4/2/20,25.0
4/3/20,21.0
4/4/20,45.0
4/5/20,42.0
4/6/20,21.0
4/7/20,67.0
4/8/20,71.0
4/9/20,31.0
4/10/20,60.0
4/11/20,3.0
4/12/20,16.0
4/13/20,18.0
4/14/20,29.0
4/15/20,62.0
4/16/20,26.0
4/17/20,47.0
4/18/20,10.0
4/19/20,105.0
4/20/20,12.0
4/21/20,6.0
4/22/20,31.0
4/23/20,42.0
4/24/20,29.0
4/25/20,0.0
4/26/20,45.0
4/27/20,8.0
4/28/20,32.0
4/29/20,15.0
4/30/20,15.0
5/1/20,27.0
5/2/20,33.0
5/3/20,10.0
5/4/20,29.0
5/5/20,22.0
5/6/20,-4.0
5/7/20,45.0
5/8/20,36.0
5/9/20,0.0
5/10/20,37.0
5/11/20,6.0
5/12/20,12.0
5/13/20,20.0
5/14/20,29.0
5/15/20,20.0
5/16/20,23.0
5/17/20,22.0
5/18/20,10.0
5/19/20,0.0
5/20/20,65.0
5/21/20,26.0
5/22/20,112.0
5/23/20,0.0
5/24/20,54.0
5/25/20,15.0
5/26/20,0.0
5/27/20,125.0
5/28/20,36.0
5/29/20,16.0
5/30/20,38.0
5/31/20,21.0
6/1/20,18.0
6/2/20,28.0
6/3/20,21.0
6/4/20,25.0
6/5/20,17.0
6/6/20,17.0
6/7/20,8.0
6/8/20,17.0
6/9/20,8.0
6/10/20,25.0
6/11/20,23.0
6/12/20,32.0
6/13/20,25.0
6/14/20,16.0
6/15/20,32.0
6/16/20,19.0
6/17/20,35.0
6/18/20,42.0
6/19/20,50.0
6/20/20,32.0
6/21/20,33.0
6/22/20,19.0
6/23/20,41.0
6/24/20,38.0
6/25/20,63.0
6/26/20,36.0
6/27/20,52.0
6/28/20,50.0
6/29/20,38.0
6/30/20,35.0
7/1/20,74.0
7/2/20,74.0
7/3/20,73.0
7/4/20,79.0
7/5/20,57.0
7/6/20,180.0
7/7/20,63.0
7/8/20,202.0
7/9/20,119.0
7/10/20,157.0
7/11/20,163.0
7/12/20,98.0
7/13/20,69.0
7/14/20,94.0
7/15/20,150.0
7/16/20,100.0
7/17/20,126.0
7/18/20,111.0
7/19/20,96.0
7/20/20,94.0
7/21/20,88.0
7/22/20,40.0
7/23/20,240.0
7/24/20,201.0
7/25/20,122.0
7/26/20,114.0
7/27/20,110.0
7/28/20,121.0
7/29/20,157.0
7/30/20,98.0
7/31/20,204.0
8/1/20,159.0
8/2/20,120.0
8/3/20,120.0
8/4/20,81.0
8/5/20,103.0
8/6/20,116.0
8/7/20,174.0
8/8/20,111.0
8/9/20,132.0
8/10/20,62.0
8/11/20,122.0
8/12/20,139.0
8/13/20,145.0
8/14/20,114.0
8/15/20,185.0
8/16/20,105.0
8/17/20,74.0
8/18/20,97.0
8/19/20,69.0
8/20/20,180.0
8/21/20,90.0
8/22/20,108.0
8/23/20,88.0
8/24/20,42.0
8/25/20,84.0
8/26/20,145.0
8/27/20,89.0
8/28/20,193.0
8/29/20,144.0
8/30/20,139.0
8/31/20,140.0
9/1/20,264.0
9/2/20,145.0
9/3/20,197.0
9/4/20,187.0
9/5/20,251.0
9/6/20,125.0
9/7/20,157.0
9/8/20,87.0
9/9/20,152.0
9/10/20,202.0
9/11/20,161.0
9/12/20,351.0
9/13/20,177.0
9/14/20,125.0
9/15/20,156.0
9/16/20,216.0
9/17/20,232.0
9/18/20,251.0
9/19/20,204.0
9/20/20,173.0
9/21/20,119.0
9/22/20,213.0
9/23/20,121.0
9/24/20,204.0
9/25/20,243.0
9/26/20,205.0
9/27/20,184.0
9/28/20,165.0
9/29/20,177.0
9/30/20,157.0
10/1/20,176.0
10/2/20,281.0
10/3/20,174.0
10/4/20,154.0
10/5/20,114.0
10/6/20,193.0
10/7/20,208.0
10/8/20,183.0
10/9/20,374.0
10/10/20,220.0
10/11/20,205.0
10/12/20,149.0
10/13/20,276.0
10/14/20,266.0
10/15/20,261.0
10/16/20,502.0
10/17/20,219.0
10/18/20,276.0
10/19/20,212.0
10/20/20,227.0
10/21/20,215.0
10/22/20,322.0
10/23/20,336.0
10/24/20,323.0
10/25/20,191.0
10/26/20,317.0
10/27/20,486.0
10/28/20,357.0
10/29/20,399.0
10/30/20,526.0
10/31/20,468.0
11/1/20,423.0
11/2/20,355.0
11/3/20,358.0
11/4/20,392.0
11/5/20,559.0
11/6/20,540.0
11/7/20,522.0
11/8/20,795.0
11/9/20,401.0
11/10/20,511.0
11/11/20,885.0
11/12/20,696.0
11/13/20,742.0
11/14/20,1153.0
11/15/20,867.0
11/16/20,801.0
11/17/20,864.0
11/18/20,942.0
11/19/20,1133.0
11/20/20,1081.0
11/21/20,1118.0
11/22/20,880.0
11/23/20,636.0
11/24/20,969.0
11/25/20,967.0
11/26/20,1130.0
11/27/20,866.0
11/28/20,799.0
11/29/20,1152.0
11/30/20,845.0
12/1/20,976.0
12/2/20,1087.0
12/3/20,1120.0
12/4/20,1147.0
12/5/20,1400.0
12/6/20,1425.0
12/7/20,1131.0
12/8/20,932.0
12/9/20,1402.0
12/10/20,1233.0
12/11/20,942.0
12/12/20,1514.0
12/13/20,1066.0
12/14/20,1177.0
12/15/20,1314.0
12/16/20,1141.0
12/17/20,1636.0
12/18/20,1266.0
12/19/20,1464.0
12/20/20,1127.0
12/21/20,995.0
12/22/20,1400.0
12/23/20,1199.0
12/24/20,1303.0
12/25/20,1597.0
12/26/20,1341.0
12/27/20,533.0
12/28/20,726.0
12/29/20,1337.0
12/30/20,1452.0
12/31/20,1109.0
1/1/21,2486.0
1/2/21,1507.0
1/3/21,1731.0
1/4/21,828.0
1/5/21,1276.0
1/6/21,1516.0
1/7/21,1324.0
1/8/21,1896.0
1/9/21,1880.0
1/10/21,1434.0
1/11/21,1070.0
1/12/21,921.0
1/13/21,1189.0
1/14/21,827.0
1/15/21,1430.0
1/16/21,1475.0
1/17/21,697.0
1/18/21,988.0
1/19/21,1011.0
1/20/21,857.0
1/21/21,940.0
1/22/21,998.0
1/23/21,1137.0
1/24/21,555.0
1/25/21,532.0
1/26/21,1139.0
1/27/21,797.0
1/28/21,787.0
1/29/21,905.0
1/30/21,873.0
1/31/21,661.0
2/1/21,424.0
2/2/21,510.0
2/3/21,535.0
2/4/21,574.0
2/5/21,597.0
2/6/21,549.0
2/7/21,518.0
2/8/21,398.0
2/9/21,416.0
2/10/21,429.0
2/11/21,469.0
2/12/21,467.0
2/13/21,395.0
2/14/21,306.0
2/15/21,301.0
2/16/21,228.0
2/17/21,288.0
2/18/21,355.0
2/19/21,295.0
2/20/21,309.0
2/21/21,252.0
2/22/21,238.0
2/23/21,285.0
2/24/21,243.0
2/25/21,431.0
2/26/21,421.0
2/27/21,346.0
2/28/21,275.0
3/1/21,193.0
3/2/21,136.0
3/3/21,232.0
3/4/21,261.0
3/5/21,287.0
3/6/21,326.0
3/7/21,155.0
3/8/21,182.0
3/9/21,229.0
3/10/21,302.0
3/11/21,338.0
3/12/21,346.0
3/13/21,307.0
3/14/21,319.0
3/15/21,210.0
3/16/21,341.0
3/17/21,315.0
3/18/21,382.0
3/19/21,376.0
3/20/21,386.0
3/21/21,348.0
3/22/21,276.0
3/23/21,327.0
3/24/21,389.0
3/25/21,433.0
3/26/21,499.0
3/27/21,566.0
3/28/21,297.0
3/29/21,378.0
3/30/21,331.0
3/31/21,416.0
4/1/21,495.0
4/2/21,420.0
4/3/21,453.0
4/4/21,350.0
4/5/21,277.0
4/6/21,277.0
4/7/21,364.0
4/8/21,446.0
4/9/21,479.0
4/10/21,455.0
4/11/21,415.0
4/12/21,293.0
4/13/21,328.0
4/14/21,413.0
4/15/21,393.0
4/16/21,475.0
4/17/21,446.0
4/18/21,370.0
4/19/21,260.0
4/20/21,315.0
4/21/21,426.0
4/22/21,400.0
4/23/21,405.0
4/24/21,375.0
4/25/21,314.0
4/26/21,289.0
4/27/21,177.0
4/28/21,453.0
4/29/21,432.0
4/30/21,395.0
5/1/21,370.0
5/2/21,420.0
