,Wisconsin
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,3.0
3/11/20,1.0
3/12/20,4.0
3/13/20,11.0
3/14/20,8.0
3/15/20,1.0
3/16/20,20.0
3/17/20,25.0
3/18/20,38.0
3/19/20,48.0
3/20/20,60.0
3/21/20,63.0
3/22/20,99.0
3/23/20,44.0
3/24/20,56.0
3/25/20,140.0
3/26/20,107.0
3/27/20,198.0
3/28/20,129.0
3/29/20,109.0
3/30/20,66.0
3/31/20,182.0
4/1/20,144.0
4/2/20,192.0
4/3/20,264.0
4/4/20,18.0
4/5/20,290.0
4/6/20,129.0
4/7/20,129.0
4/8/20,132.0
4/9/20,176.0
4/10/20,182.0
4/11/20,145.0
4/12/20,128.0
4/13/20,87.0
4/14/20,127.0
4/15/20,166.0
4/16/20,154.0
4/17/20,178.0
4/18/20,146.0
4/19/20,147.0
4/20/20,153.0
4/21/20,126.0
4/22/20,220.0
4/23/20,207.0
4/24/20,304.0
4/25/20,331.0
4/26/20,225.0
4/27/20,169.0
4/28/20,208.0
4/29/20,231.0
4/30/20,334.0
5/1/20,460.0
5/2/20,346.0
5/3/20,304.0
5/4/20,272.0
5/5/20,330.0
5/6/20,335.0
5/7/20,314.0
5/8/20,375.0
5/9/20,349.0
5/10/20,280.0
5/11/20,199.0
5/12/20,193.0
5/13/20,291.0
5/14/20,373.0
5/15/20,410.0
5/16/20,502.0
5/17/20,356.0
5/18/20,144.0
5/19/20,198.0
5/20/20,528.0
5/21/20,472.0
5/22/20,511.0
5/23/20,481.0
5/24/20,400.0
5/25/20,307.0
5/26/20,279.0
5/27/20,599.0
5/28/20,512.0
5/29/20,733.0
5/30/20,523.0
5/31/20,173.0
6/1/20,140.0
6/2/20,374.0
6/3/20,483.0
6/4/20,492.0
6/5/20,357.0
6/6/20,322.0
6/7/20,264.0
6/8/20,203.0
6/9/20,270.0
6/10/20,285.0
6/11/20,333.0
6/12/20,320.0
6/13/20,272.0
6/14/20,240.0
6/15/20,174.0
6/16/20,266.0
6/17/20,258.0
6/18/20,420.0
6/19/20,278.0
6/20/20,385.0
6/21/20,280.0
6/22/20,249.0
6/23/20,263.0
6/24/20,432.0
6/25/20,464.0
6/26/20,520.0
6/27/20,539.0
6/28/20,457.0
6/29/20,315.0
6/30/20,601.0
7/1/20,540.0
7/2/20,539.0
7/3/20,579.0
7/4/20,738.0
7/5/20,522.0
7/6/20,484.0
7/7/20,495.0
7/8/20,598.0
7/9/20,754.0
7/10/20,845.0
7/11/20,926.0
7/12/20,769.0
7/13/20,494.0
7/14/20,964.0
7/15/20,821.0
7/16/20,900.0
7/17/20,880.0
7/18/20,978.0
7/19/20,830.0
7/20/20,703.0
7/21/20,1117.0
7/22/20,712.0
7/23/20,1052.0
7/24/20,1018.0
7/25/20,953.0
7/26/20,957.0
7/27/20,590.0
7/28/20,762.0
7/29/20,870.0
7/30/20,1059.0
7/31/20,832.0
8/1/20,1062.0
8/2/20,922.0
8/3/20,404.0
8/4/20,728.0
8/5/20,884.0
8/6/20,839.0
8/7/20,989.0
8/8/20,1165.0
8/9/20,621.0
8/10/20,507.0
8/11/20,724.0
8/12/20,478.0
8/13/20,943.0
8/14/20,1021.0
8/15/20,829.0
8/16/20,685.0
8/17/20,455.0
8/18/20,0.0
8/19/20,1297.0
8/20/20,740.0
8/21/20,826.0
8/22/20,950.0
8/23/20,453.0
8/24/20,392.0
8/25/20,638.0
8/26/20,768.0
8/27/20,878.0
8/28/20,843.0
8/29/20,819.0
8/30/20,537.0
8/31/20,266.0
9/1/20,981.0
9/2/20,545.0
9/3/20,727.0
9/4/20,1498.0
9/5/20,946.0
9/6/20,893.0
9/7/20,567.0
9/8/20,717.0
9/9/20,857.0
9/10/20,1547.0
9/11/20,1369.0
9/12/20,1353.0
9/13/20,1582.0
9/14/20,771.0
9/15/20,1348.0
9/16/20,1408.0
9/17/20,2034.0
9/18/20,2533.0
9/19/20,2283.0
9/20/20,1665.0
9/21/20,1271.0
9/22/20,1672.0
9/23/20,1762.0
9/24/20,2392.0
9/25/20,2504.0
9/26/20,2817.0
9/27/20,2217.0
9/28/20,1726.0
9/29/20,2367.0
9/30/20,2319.0
10/1/20,2887.0
10/2/20,2745.0
10/3/20,2892.0
10/4/20,1865.0
10/5/20,1696.0
10/6/20,2020.0
10/7/20,2319.0
10/8/20,3132.0
10/9/20,2988.0
10/10/20,2742.0
10/11/20,2676.0
10/12/20,1956.0
10/13/20,3279.0
10/14/20,3107.0
10/15/20,3747.0
10/16/20,3861.0
10/17/20,0.0
10/18/20,0.0
10/19/20,16956.0
10/20/20,4686.0
10/21/20,4363.0
10/22/20,3632.0
10/23/20,4643.0
10/24/20,4673.0
10/25/20,3778.0
10/26/20,3011.0
10/27/20,5501.0
10/28/20,4130.0
10/29/20,5145.0
10/30/20,5357.0
10/31/20,5808.0
11/1/20,3553.0
11/2/20,3505.0
11/3/20,6104.0
11/4/20,6256.0
11/5/20,6284.0
11/6/20,6411.0
11/7/20,7521.0
11/8/20,4407.0
11/9/20,4470.0
11/10/20,7432.0
11/11/20,7537.0
11/12/20,8223.0
11/13/20,8451.0
11/14/20,5581.0
11/15/20,6320.0
11/16/20,4638.0
11/17/20,7593.0
11/18/20,8510.0
11/19/20,7448.0
11/20/20,7077.0
11/21/20,7029.0
11/22/20,4019.0
11/23/20,3455.0
11/24/20,6748.0
11/25/20,5997.0
11/26/20,5666.0
11/27/20,1422.0
11/28/20,5473.0
11/29/20,4055.0
11/30/20,2676.0
12/1/20,4635.0
12/2/20,4565.0
12/3/20,5604.0
12/4/20,5673.0
12/5/20,5711.0
12/6/20,3149.0
12/7/20,2322.0
12/8/20,4620.0
12/9/20,4171.0
12/10/20,4709.0
12/11/20,4478.0
12/12/20,4624.0
12/13/20,2965.0
12/14/20,2329.0
12/15/20,4055.0
12/16/20,2822.0
12/17/20,4281.0
12/18/20,3921.0
12/19/20,4315.0
12/20/20,2045.0
12/21/20,1629.0
12/22/20,3027.0
12/23/20,3063.0
12/24/20,3263.0
12/25/20,1639.0
12/26/20,677.0
12/27/20,2558.0
12/28/20,1557.0
12/29/20,2919.0
12/30/20,3170.0
12/31/20,4212.0
1/1/21,2085.0
1/2/21,1129.0
1/3/21,2593.0
1/4/21,1626.0
1/5/21,4019.0
1/6/21,4109.0
1/7/21,4509.0
1/8/21,4110.0
1/9/21,3516.0
1/10/21,2126.0
1/11/21,1682.0
1/12/21,3307.0
1/13/21,2771.0
1/14/21,3140.0
1/15/21,2706.0
1/16/21,2409.0
1/17/21,1891.0
1/18/21,1169.0
1/19/21,1933.0
1/20/21,1851.0
1/21/21,2569.0
1/22/21,2303.0
1/23/21,2012.0
1/24/21,1374.0
1/25/21,1100.0
1/26/21,1564.0
1/27/21,1559.0
1/28/21,1980.0
1/29/21,1804.0
1/30/21,1613.0
1/31/21,1143.0
2/1/21,781.0
2/2/21,1296.0
2/3/21,1539.0
2/4/21,1719.0
2/5/21,1427.0
2/6/21,1114.0
2/7/21,766.0
2/8/21,609.0
2/9/21,865.0
2/10/21,999.0
2/11/21,1428.0
2/12/21,1102.0
2/13/21,866.0
2/14/21,562.0
2/15/21,426.0
2/16/21,779.0
2/17/21,771.0
2/18/21,866.0
2/19/21,919.0
2/20/21,815.0
2/21/21,451.0
2/22/21,472.0
2/23/21,707.0
2/24/21,841.0
2/25/21,965.0
2/26/21,793.0
2/27/21,868.0
2/28/21,481.0
3/1/21,333.0
3/2/21,607.0
3/3/21,780.0
3/4/21,855.0
3/5/21,721.0
3/6/21,612.0
3/7/21,379.0
3/8/21,188.0
3/9/21,602.0
3/10/21,706.0
3/11/21,651.0
3/12/21,707.0
3/13/21,537.0
3/14/21,314.0
3/15/21,331.0
3/16/21,674.0
3/17/21,696.0
3/18/21,683.0
3/19/21,685.0
3/20/21,541.0
3/21/21,438.0
3/22/21,380.0
3/23/21,0.0
3/24/21,1514.0
3/25/21,822.0
3/26/21,822.0
3/27/21,718.0
3/28/21,470.0
3/29/21,320.0
3/30/21,861.0
3/31/21,727.0
4/1/21,867.0
4/2/21,893.0
4/3/21,789.0
4/4/21,637.0
4/5/21,326.0
4/6/21,1151.0
4/7/21,938.0
4/8/21,1115.0
4/9/21,1194.0
4/10/21,950.0
4/11/21,613.0
4/12/21,450.0
4/13/21,1127.0
4/14/21,1003.0
4/15/21,1084.0
4/16/21,903.0
4/17/21,868.0
4/18/21,596.0
4/19/21,403.0
4/20/21,931.0
4/21/21,791.0
4/22/21,840.0
4/23/21,900.0
4/24/21,651.0
4/25/21,465.0
4/26/21,406.0
4/27/21,940.0
4/28/21,824.0
4/29/21,904.0
4/30/21,850.0
5/1/21,759.0
5/2/21,476.0
