,Bans per county,State,Abbr,Max_new_cases,Total_cases,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Max_new_deaths,Total_deaths,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
0,7,Alaska,AK,942,68148,791763,0.520278164,0.479721836,0.664542294,0.04945293,0.18720501,0.079879964,0.018919803,0.925106377,0.074893623,0.179249346,0.083322914,0.095889805,0.160166616,0.128486681,0.112303808,0.121867276,0.079576843,0.039136711,23,347,1.011,1.25,731545,58.301598,-134.420212,1382.006575,1708.712383,0.024194989,0.045779361
1,3,Alabama,AL,5498,528597,4995720,0.483384177,0.516615823,0.694114362,0.271610298,0.013868471,0.01863315,0.001773718,0.953486585,0.046513415,0.149677324,0.076814954,0.092347049,0.131685323,0.120322396,0.124702746,0.132905767,0.101239061,0.070305381,309,10913,2.12,1.901,4903185,32.377716,-86.300568,432.3720194,387.707174,0.050735288,0.069621253
2,7,Arkansas,AR,4304,336105,3088059,0.491049232,0.508950768,0.792539909,0.162222613,0.020020343,0.020514504,0.00470263,0.920872302,0.079127698,0.156751863,0.080618926,0.093116744,0.131297362,0.121731806,0.1185285,0.1264652,0.099161965,0.072327634,158,5743,1.573,1.25,3017804,34.746613,-92.288986,521.239948,414.2084774,0.037644626,0.045779361
3,17,California,CA,62168,3744830,41244250,0.497131285,0.502868715,0.722793432,0.073436855,0.026409766,0.168510156,0.008849791,0.609797317,0.390202683,0.153936682,0.078597598,0.094608921,0.153348721,0.132699564,0.124053995,0.11877903,0.0836271,0.060348388,1086,61939,27.017,15.321,39512223,38.576668,-121.493629,683.7630978,387.7534301,0.646563809,0.561108476
4,42,Colorado,CO,6439,513765,5955994,0.503644228,0.496355772,0.86851565,0.055838203,0.026722995,0.045096419,0.003826733,0.780281511,0.219718489,0.147532721,0.077786176,0.093088912,0.158655298,0.137659138,0.120937832,0.121510532,0.08861426,0.054215132,267,6304,3.828,2.233,5758736,39.739227,-104.984856,664.7292045,387.7587026,0.091610699,0.081780251
5,17,Connecticut,CT,8457,339233,3661327,0.487938116,0.512061884,0.79735544,0.133588997,0.011797635,0.05502677,0.002231158,0.828396644,0.171603356,0.133246771,0.076977828,0.097298329,0.1258571,0.119264409,0.132224464,0.141745329,0.097172692,0.076213078,204,8097,2.812,1.382,3565287,41.764046,-72.682198,788.7163081,387.6265782,0.067296052,0.050613662
6,11,District of Columbia,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Delaware,DE,1220,104909,1002649,0.483456324,0.516543676,0.6950548,0.243036197,0.013480291,0.046365179,0.002063534,0.902527205,0.097472795,0.142867544,0.073834413,0.086233567,0.132416229,0.115431223,0.12045691,0.138863152,0.113488369,0.076408594,23,1626,0.924,1.25,973764,39.157307,-75.519722,948.8952149,1283.678592,0.022112927,0.045779361
8,3,Florida,FL,31518,2242778,21995082,0.488782629,0.511217371,0.773444491,0.177775605,0.009997462,0.036142761,0.002639681,0.736677044,0.263322956,0.133587727,0.068855392,0.082138907,0.130479213,0.120618191,0.125014947,0.13330821,0.113062957,0.092934457,276,35268,8.816,8.328,21477737,30.438118,-84.281296,410.4715501,387.7503482,0.210982216,0.305000417
9,20,Georgia,GA,31605,1102789,10874206,0.485922742,0.514077258,0.606324636,0.331225103,0.0112239,0.049058203,0.002168158,0.899890438,0.100109562,0.157720665,0.08369172,0.096356368,0.140428276,0.129230033,0.130424327,0.12145696,0.085911468,0.054780183,480,20212,4.853,4.117,10617423,33.749027,-84.388229,457.0788976,387.7588752,0.116140732,0.150778904
10,19,Hawaii,HI,483,34082,1898150,0.501375023,0.498624977,0.324560757,0.026904618,0.019888312,0.427415642,0.201230672,0.867968285,0.132031715,0.176820062,0.07957801,0.090763111,0.141979296,0.125073361,0.111396886,0.11365066,0.092418407,0.068320207,59,483,1.641,1.25,1415872,21.307442,-157.857376,1159.003074,882.8481671,0.039271985,0.045779361
11,14,Iowa,IA,5484,365524,3221007,0.498064115,0.501935885,0.905858323,0.050367168,0.010479021,0.031035636,0.002259852,0.935964746,0.064035254,0.156080692,0.080298491,0.100605804,0.126146575,0.121125785,0.113552377,0.129803816,0.097139187,0.075247275,469,5959,1.48,1.25,3155070,41.591087,-93.603729,469.0862643,396.1877233,0.035418975,0.045779361
12,7,Idaho,ID,2298,187656,1835705,0.501513587,0.498486413,0.929288203,0.014275714,0.02803664,0.024081756,0.004317687,0.869913194,0.130086806,0.166852517,0.088790955,0.093075957,0.132576313,0.126311145,0.111808815,0.120554228,0.096899556,0.063130514,35,2046,1.094,1.25,1787065,43.617775,-116.199722,612.1769494,699.4709202,0.026181323,0.045779361
13,17,Illinois,IL,15415,1339621,12951672,0.491483571,0.508516429,0.769345147,0.153350316,0.010923146,0.06492876,0.001452631,0.824339668,0.175660332,0.148327413,0.079055739,0.092331554,0.138756911,0.128443262,0.12503459,0.12918502,0.091483246,0.067382265,266,24358,8.127,4.914,12671821,39.798363,-89.654961,641.3442867,387.7895687,0.194493248,0.179967825
14,20,Indiana,IN,8460,722646,6887333,0.493206732,0.506793268,0.848892452,0.109857038,0.009672394,0.030160586,0.00141753,0.926241987,0.073758013,0.156956837,0.08197324,0.099114708,0.132215039,0.122130003,0.120891207,0.12806365,0.093067665,0.065587652,189,13349,3.071,2.61,6732219,39.768623,-86.162643,456.1646019,387.6879228,0.073494372,0.095587306
15,8,Kansas,KS,7677,310600,3009064,0.498251948,0.501748052,0.862941765,0.073935948,0.023145071,0.037684476,0.00229274,0.876907238,0.123092762,0.163669832,0.084325558,0.102593697,0.131476765,0.12269297,0.110784284,0.12504852,0.091320092,0.068088283,203,4945,1.583,1.25,2913314,39.048191,-95.677956,543.3674503,429.0646322,0.037883944,0.045779361
16,5,Kentucky,KY,8709,445139,4563577,0.492739139,0.507260861,0.875471149,0.094798006,0.008451265,0.019634598,0.001644982,0.959986213,0.040013787,0.152376962,0.077963405,0.093666438,0.131288461,0.122287407,0.124642139,0.132142177,0.098805608,0.066827403,448,6517,2.183,1.732,4467673,38.186722,-84.875374,488.6212576,387.6738517,0.052242988,0.063431883
17,23,Louisiana,LA,6876,458581,4737288,0.487713012,0.512286988,0.6311341,0.331705609,0.013818244,0.021961722,0.001380326,0.945464578,0.054535422,0.159823089,0.078857566,0.090586851,0.141170856,0.126104852,0.116924494,0.128784444,0.094206854,0.063540996,129,10382,3.011,1.803,4648794,30.457069,-91.187393,647.6948645,387.8425243,0.072058468,0.066032151
18,26,Massachusetts,MA,9003,691172,7084750,0.485673877,0.514326123,0.806622675,0.102102121,0.010589929,0.078398109,0.002287166,0.871606196,0.128393804,0.131550019,0.070663467,0.101620523,0.144684428,0.122429444,0.128110096,0.134619147,0.095870426,0.070452451,302,17621,5.286,2.673,6892503,42.358162,-71.063698,766.920232,387.8126712,0.126503176,0.097894586
19,9,Maryland,MD,3792,448989,6242265,0.484380109,0.515619891,0.591310366,0.318109532,0.013012584,0.075248327,0.00231919,0.891544656,0.108455344,0.15144615,0.076812824,0.088275009,0.137010684,0.128459942,0.129774369,0.132945654,0.090955607,0.064319762,171,8776,3.717,2.344,6045680,38.978764,-76.490936,614.8191767,387.7148642,0.088954276,0.085845458
20,13,Maine,ME,824,61847,1370308,0.489716181,0.510283819,0.943760819,0.02259711,0.015226504,0.017461038,0.00095453,0.981292527,0.018707473,0.121766785,0.067864305,0.080465122,0.121249383,0.114204252,0.128974654,0.155814605,0.124320956,0.085339938,41,789,0.997,1.25,1344212,44.307167,-69.781693,741.6984821,929.9128411,0.023859944,0.045779361
21,41,Michigan,MI,17368,940175,10259753,0.492478815,0.507521185,0.793870476,0.150387928,0.015438091,0.039084859,0.001218645,0.945593719,0.054406281,0.143780849,0.077208291,0.096115667,0.13152841,0.115894311,0.124056885,0.137904587,0.10202653,0.071484469,288,18893,6.54,3.873,9986857,42.733635,-84.555328,654.8606834,387.8096983,0.156513577,0.141842773
22,10,Minnesota,MN,9022,579235,5797857,0.498203733,0.501796267,0.838139333,0.080984578,0.021446717,0.057798769,0.001630602,0.942454773,0.057545227,0.157918176,0.080598228,0.089779034,0.135360876,0.12756127,0.117652091,0.131561713,0.092132317,0.067436296,140,7253,2.833,2.187,5639632,44.955097,-93.102211,502.3377412,387.7912601,0.067798618,0.080095571
23,3,Missouri,MO,9534,593474,6294363,0.491033485,0.508966515,0.82969619,0.127056384,0.013942634,0.026694997,0.002609795,0.954915215,0.045084785,0.151450909,0.078044752,0.092544392,0.134451572,0.121881912,0.117980326,0.133422715,0.097838177,0.072385244,266,9148,2.685,2.38,6137428,38.579201,-92.172935,437.4796739,387.7845899,0.064256721,0.087163904
24,46,Mississippi,MS,5430,311900,3019168,0.484704064,0.515295936,0.593718203,0.380433616,0.010489314,0.014093287,0.00126558,0.965212933,0.034787067,0.155534571,0.082843684,0.095700206,0.131941316,0.12228402,0.120796193,0.128686446,0.096282155,0.065931409,98,7199,1.806,1.25,2976149,32.303848,-90.182106,606.8244567,420.0058532,0.043220722,0.045779361
25,5,Montana,MT,1642,109030,1100962,0.503491492,0.496508508,0.88946485,0.011216554,0.082175407,0.014916046,0.002227143,0.95714566,0.04285434,0.145518192,0.074122449,0.092813376,0.129723823,0.120748037,0.109039186,0.138349916,0.114567079,0.075117942,54,1574,0.906,1.25,1068778,46.585709,-112.018417,847.6970896,1169.560002,0.021682156,0.045779361
26,24,North Carolina,NC,19419,969752,10755786,0.48626172,0.51373828,0.707799225,0.230286936,0.02284575,0.03686388,0.002204209,0.900616747,0.099383253,0.148005548,0.077821835,0.095532488,0.134884703,0.123424453,0.128461091,0.12792166,0.098028912,0.065919311,169,12651,5.439,4.067,10488084,35.78043,-78.639099,518.5885239,387.7734007,0.130164732,0.14894773
27,16,Nebraska,NE,5270,220127,1982467,0.499473636,0.500526364,0.880463584,0.062298641,0.022073507,0.032937749,0.002226519,0.885250549,0.114749451,0.16852336,0.084063947,0.098912113,0.132067268,0.124665883,0.11021621,0.123196502,0.090717777,0.067636939,62,2245,1.04,1.25,1934408,40.808075,-96.699654,537.6321851,646.1925302,0.024889009,0.045779361
28,4,New Hampshire,NH,1143,95377,1385406,0.495760809,0.504239191,0.930634052,0.024340157,0.009047167,0.034827336,0.001151287,0.958443229,0.041556771,0.12142289,0.070591581,0.091996859,0.127159114,0.114674687,0.133794714,0.155986043,0.110910448,0.073463663,24,1305,0.994,1.25,1359711,43.206898,-71.537994,731.0376985,919.3130011,0.023788149,0.045779361
29,23,New Jersey,NJ,7880,1000010,9103833,0.488731614,0.511268386,0.720940839,0.160085318,0.011252513,0.105510393,0.002210937,0.788104088,0.211895912,0.146250047,0.0772211,0.085685667,0.129704378,0.127538148,0.133964672,0.136078287,0.092407231,0.07115047,483,25600,6.244,3.444,8882190,40.220596,-74.769913,702.9797831,387.7422122,0.149429782,0.126131296
30,27,New Mexico,NM,3665,197733,2155807,0.494969169,0.505030831,0.819383182,0.033506246,0.119610893,0.024459982,0.003039697,0.509603132,0.490396868,0.1509945,0.080622245,0.094387392,0.135719942,0.120997844,0.11132119,0.128669218,0.105482541,0.071805129,67,4067,1.751,1.25,2096829,35.68224,-105.939728,835.0704802,596.138264,0.041904476,0.045779361
31,10,Nevada,NV,3403,315438,3239670,0.501118015,0.498881985,0.74058685,0.113983832,0.026531406,0.104198884,0.014699028,0.710162146,0.289837854,0.156850852,0.078689805,0.083051978,0.147549596,0.132059129,0.125268623,0.120971272,0.095309399,0.060249346,71,5464,2.738,1.25,3080156,39.163914,-119.766121,888.9160159,405.8236011,0.065525103,0.045779361
32,40,New York,NY,27644,2054848,20016024,0.485617873,0.514382127,0.698031487,0.187017961,0.015930137,0.096378332,0.002642083,0.803435138,0.196564862,0.142039148,0.070429922,0.091447832,0.147535994,0.124356915,0.125868154,0.131766329,0.094074527,0.072481178,1273,52358,12.744,7.543,19453561,42.652843,-73.757874,655.0985704,387.74392,0.30498609,0.276250978
33,8,Ohio,OH,25721,1075004,11989540,0.490319145,0.509680855,0.818330395,0.142156663,0.008999428,0.029266427,0.001247087,0.958333514,0.041666486,0.149186875,0.078025679,0.092046817,0.133017614,0.118619397,0.122216032,0.135061979,0.099921765,0.071903843,210,19284,5.368,4.533,11689100,39.961346,-82.999069,459.2312496,387.7971786,0.128465578,0.166014276
34,9,Oklahoma,OK,8032,448305,4219622,0.495211182,0.504788818,0.747711999,0.088958442,0.13117502,0.028884815,0.003269724,0.88984345,0.11015655,0.167970259,0.08429428,0.098254536,0.137242625,0.124225819,0.112078286,0.12121299,0.089791692,0.064929513,1716,6788,1.87,1.534,3956971,35.492207,-97.503342,472.583701,387.670266,0.044752353,0.056180432
35,40,Oregon,OR,2439,186344,4401916,0.49575503,0.50424497,0.86616487,0.031214135,0.0333607,0.061108844,0.00815145,0.863976505,0.136023495,0.140666928,0.072509789,0.088406276,0.143959358,0.133910097,0.119073376,0.125002385,0.107178102,0.069293689,54,2501,2.648,1.635,4217737,44.938461,-123.030403,627.8248264,387.6486372,0.063371246,0.059879405
36,12,Pennsylvania,PA,13295,1157285,13098517,0.490096398,0.509903602,0.816293936,0.131242033,0.008937882,0.041994143,0.001532005,0.918949527,0.081050473,0.13876403,0.073035367,0.090316102,0.133643679,0.117586441,0.123978844,0.138935576,0.104029792,0.079710169,388,26237,7.291,4.964,12801989,40.264378,-76.883598,569.5208768,387.7522469,0.174486313,0.181799
37,28,Rhode Island,RI,4759,148186,1092875,0.487022761,0.512977239,0.834650806,0.100345419,0.018474208,0.043227268,0.003302299,0.833904152,0.166095848,0.129328606,0.070782111,0.104964429,0.140220062,0.117631019,0.125868924,0.138623356,0.098043235,0.074538259,30,2671,1.131,1.25,1059361,41.830914,-71.414963,1067.624728,1179.956596,0.027066797,0.045779361
38,13,South Carolina,SC,8951,580273,5257910,0.484343589,0.515656411,0.688828831,0.275612743,0.011063521,0.022671366,0.001823538,0.939197704,0.060802296,0.145856814,0.075742072,0.091737972,0.132408695,0.119673216,0.123078562,0.132178565,0.109228762,0.070095342,241,9520,2.499,1.996,5148714,34.000343,-81.033211,485.3639181,387.66962,0.059805417,0.073100484
