,Bans per county,Abbr,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
0,7.0,AK,791763.0,0.5202781640465645,0.4797218359534355,0.66454229359038,0.0494529297277089,0.1872050095798869,0.0798799640801603,0.0189198030218638,0.9251063765293402,0.0748936234706597,0.1792493460795718,0.083322913548625,0.0958898054089418,0.1601666155149962,0.1284866809891343,0.1123038080839847,0.1218672759398961,0.0795768430704642,0.0391367113643855,1.011,1.25,731545.0,58.301598,-134.420212,1382.0065751252484,1708.712382696895,0.0241949887439982,0.0457793613138278
1,3.0,AL,4995720.0,0.4833841768553882,0.5166158231446117,0.6941143618937811,0.2716102984154436,0.0138684714115282,0.0186331499763797,0.0017737183028672,0.953486584516346,0.046513415483654,0.1496773237891635,0.0768149536002818,0.0923470490740073,0.1316853226361765,0.1203223959709511,0.1247027455501909,0.1329057673368403,0.1012390606359043,0.0703053814064839,2.12,1.901,4903185.0,32.377716,-86.300568,432.3720194118721,387.7071740103627,0.0507352879696106,0.0696212526860694
2,7.0,AR,3088059.0,0.4910492318961522,0.5089507681038478,0.7925399093734932,0.1622226129746873,0.0200203428755732,0.0205145044184712,0.0047026303577749,0.9208723019864582,0.0791276980135418,0.1567518625777551,0.0806189259984993,0.0931167442072836,0.1312973618703528,0.1217318062899704,0.1185284996173972,0.1264652003086728,0.0991619654935349,0.0723276336365335,1.573,1.25,3017804.0,34.746613,-92.288986,521.2399479886699,414.2084774226557,0.0376446264038667,0.0457793613138278
3,17.0,CA,41244250.0,0.4971312849669954,0.5028687150330046,0.7227934318117071,0.0734368548343102,0.0264097662098353,0.1685101559611339,0.0088497911830133,0.6097973172017918,0.3902026827982082,0.153936682082957,0.0785975984531177,0.0946089212435672,0.1533487213369136,0.1326995641816738,0.1240539954054201,0.1187790298041545,0.0836270995350867,0.0603483879571091,27.017,15.321,39512223.0,38.576668,-121.493629,683.7630978140612,387.75343012211687,0.6465638089976282,0.5611084757513254
4,42.0,CO,5955994.0,0.5036442279827683,0.4963557720172317,0.8685156499486064,0.0558382026576924,0.0267229953556031,0.0450964188345387,0.0038267332035593,0.7802815113648536,0.2197184886351463,0.1475327208187248,0.0777861764132065,0.0930889117752637,0.1586552975036576,0.1376591380045043,0.1209378317036585,0.1215105320791122,0.0886142598531831,0.0542151318486889,3.828,2.233,5758736.0,39.739227,-104.984856,664.729204464313,387.7587026041826,0.0916106992205989,0.0817802510510221
5,17.0,CT,3661327.0,0.4879381164260936,0.5120618835739064,0.7973554397080621,0.1335889965578054,0.0117976351197257,0.0550267703485648,0.0022311582658418,0.8283966441675381,0.1716033558324618,0.1332467709112024,0.0769778279842254,0.097298329266957,0.1258571004447294,0.1192644087785658,0.1322244639716693,0.1417453289476739,0.0971726917590261,0.0762130779359505,2.812,1.382,3565287.0,41.764046,-72.682198,788.7163081120818,387.6265781688824,0.067296051778559,0.050613661868568
6,11.0,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,DE,1002649.0,0.4834563241972016,0.5165436758027984,0.6950547998352364,0.2430361971138454,0.0134802907099094,0.0463651786417779,0.0020635336992307,0.9025272054328084,0.0974727945671915,0.1428675438762717,0.0738344126409142,0.0862335672802745,0.1324162294082974,0.1154312226910913,0.1204569096463468,0.1388631515116456,0.1134883693096986,0.0764085936354596,0.924,1.25,973764.0,39.157307,-75.519722,948.895214856988,1283.6785915273106,0.0221129273980756,0.0457793613138278
8,3.0,FL,21995082.0,0.4887826287712862,0.5112173712287138,0.773444490909377,0.1777756045646931,0.0099974621599501,0.0361427613682004,0.0026396809977794,0.7366770444411165,0.2633229555588836,0.1335877265654204,0.0688553923099718,0.0821389072338989,0.1304792134896337,0.1206181909210431,0.1250149465230454,0.1333082095352042,0.1130629565281911,0.092934456893591,8.816,8.328,21477737.0,30.438118,-84.281296,410.47155014515727,387.750348186124,0.2109822163868338,0.3050004168172467
9,20.0,GA,10874206.0,0.4859227423133238,0.5140772576866761,0.606324636483804,0.3312251027799179,0.0112238999334756,0.0490582025023252,0.0021681583004772,0.8998904379777245,0.1001095620222754,0.1577206648467023,0.0836917196529107,0.096356368455775,0.1404282758667621,0.1292300329789595,0.1304243270727076,0.1214569597081386,0.0859114679269456,0.0547801834910981,4.853,4.117,10617423.0,33.749027,-84.388229,457.0788975818332,387.75887519975424,0.1161407323191135,0.1507789044232234
