,State,Max_new_cases,Total_cases
0,Alabama,5498.0,528597
1,Alaska,942.0,68148
3,Arizona,17234.0,863927
4,Arkansas,4304.0,336105
5,California,62168.0,3744830
6,Colorado,6439.0,513765
7,Connecticut,8457.0,339233
8,Delaware,1220.0,104909
11,Florida,31518.0,2242778
12,Georgia,31605.0,1102789
15,Hawaii,483.0,34082
16,Idaho,2298.0,187656
17,Illinois,15415.0,1339621
18,Indiana,8460.0,722646
19,Iowa,5484.0,365524
20,Kansas,7677.0,310600
21,Kentucky,8709.0,445139
22,Louisiana,6876.0,458581
23,Maine,824.0,61847
24,Maryland,3792.0,448989
25,Massachusetts,9003.0,691172
26,Michigan,17368.0,940175
27,Minnesota,9022.0,579235
28,Mississippi,5430.0,311900
29,Missouri,9534.0,593474
30,Montana,1642.0,109030
31,Nebraska,5270.0,220127
32,Nevada,3403.0,315438
33,New Hampshire,1143.0,95377
34,New Jersey,7880.0,1000010
35,New Mexico,3665.0,197733
36,New York,27644.0,2054848
37,North Carolina,19419.0,969752
38,North Dakota,2807.0,107708
40,Ohio,25721.0,1075004
41,Oklahoma,8032.0,448305
42,Oregon,2439.0,186344
43,Pennsylvania,13295.0,1157285
45,Rhode Island,4759.0,148186
46,South Carolina,8951.0,580273
47,South Dakota,2138.0,122660
48,Tennessee,17330.0,847430
49,Texas,36283.0,2897110
50,Utah,6142.0,398012
51,Vermont,283.0,23126
53,Virginia,9914.0,661314
54,Washington,8644.0,404709
55,West Virginia,2486.0,153918
56,Wisconsin,16956.0,661685
57,Wyoming,1262.0,58142
