,State,Max_new_deaths,Total_deaths
0,Alabama,309.0,10913
1,Alaska,23.0,347
3,Arizona,335.0,17344
4,Arkansas,158.0,5743
5,California,1086.0,61939
6,Colorado,267.0,6304
7,Connecticut,204.0,8097
8,Delaware,23.0,1626
11,Florida,276.0,35268
12,Georgia,480.0,20212
15,Hawaii,59.0,483
16,Idaho,35.0,2046
17,Illinois,266.0,24358
18,Indiana,189.0,13349
19,Iowa,469.0,5959
20,Kansas,203.0,4945
21,Kentucky,448.0,6517
22,Louisiana,129.0,10382
23,Maine,41.0,789
24,Maryland,171.0,8776
25,Massachusetts,302.0,17621
26,Michigan,288.0,18893
27,Minnesota,140.0,7253
28,Mississippi,98.0,7199
29,Missouri,266.0,9148
30,Montana,54.0,1574
31,Nebraska,62.0,2245
32,Nevada,71.0,5464
33,New Hampshire,24.0,1305
34,New Jersey,483.0,25600
35,New Mexico,67.0,4067
36,New York,1273.0,52358
37,North Carolina,169.0,12651
38,North Dakota,58.0,1525
40,Ohio,210.0,19284
41,Oklahoma,1716.0,6788
42,Oregon,54.0,2501
43,Pennsylvania,388.0,26237
45,Rhode Island,30.0,2671
46,South Carolina,241.0,9520
47,South Dakota,54.0,1967
48,Tennessee,203.0,12197
49,Texas,700.0,50290
50,Utah,35.0,2204
51,Vermont,6.0,247
53,Virginia,383.0,10791
54,Washington,174.0,5499
55,West Virginia,173.0,2686
56,Wisconsin,135.0,7567
57,Wyoming,33.0,707
