,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,2020-01,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2020-02,0,0,1,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
2,2020-03,1063,129,1289,523,8233,2966,3128,319,6741,3929,204,515,5994,2158,497,434,628,5237,303,1660,9924,7951,629,937,1674,198,172,1114,357,18696,315,75853,1578,122,2199,568,690,4963,488,1083,108,2391,3809,888,293,1249,5432,162,1412,109
3,2020-04,7187,360,7655,3281,50712,15284,27700,4734,33690,26264,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,66867,43478,5136,6815,8091,453,4281,5053,2146,118652,3411,308309,11120,1067,18027,3618,2510,47971,8621,6095,2449,10735,28890,4672,866,15847,14327,1125,6854,559
4,2020-05,18200,484,19936,7253,112919,26378,42201,9498,56163,47063,652,2839,120260,34574,19552,9700,9704,39916,2325,52778,97260,62711,24850,15523,13560,515,14101,8628,4651,160760,7689,373682,29514,2577,35513,6418,4243,76129,14928,11861,4993,22566,64744,9797,981,44607,21702,2010,18403,903
5,2020-06,38477,1142,79228,20777,239724,32715,46514,11474,152434,81291,917,6117,143185,45594,29074,14370,15624,58095,3253,67559,104440,70728,36303,27247,22214,967,19177,18456,5782,172633,12147,395909,67226,3576,51789,13757,8656,91139,16813,36399,6764,43509,163737,22217,1208,62787,33439,2905,28659,1487
6,2020-07,88266,3716,174010,42511,507206,46809,49810,14788,470386,186352,2111,20716,180115,66154,44753,27362,30151,116280,3912,88346,111836,90574,54463,58747,51580,3965,26211,48088,6583,183953,20600,418144,125678,6469,91159,36487,18492,116787,19022,89016,8764,105959,440681,40196,1414,89888,57586,6579,52940,2726
7,2020-08,126500,6172,201835,61224,714572,57424,52879,17429,623471,270471,8472,32081,236724,94196,65139,42579,48396,148894,4529,108249,121018,113025,75864,82950,87176,7421,34287,69228,7275,195500,25352,437154,172879,11816,123155,58733,26713,138795,21949,118992,13509,154933,636201,52107,1624,120594,75502,10249,75603,3850
8,2020-09,154772,8846,218507,83697,822246,70536,57550,20613,706516,318026,12597,42048,295720,120019,89247,61122,68840,167458,5389,124725,132116,138014,99134,98190,130485,13071,45564,79980,8266,210661,29435,461537,210632,21846,153987,87199,33509,164099,24748,147942,22389,196139,778057,73042,1752,148271,89463,15850,122274,5948
9,2020-10,193613,16365,245946,112190,936325,107350,71207,24951,802547,360790,15284,64608,416547,179358,128510,86845,107219,186649,6662,145281,158576,197406,148472,120160,193152,32801,70732,100761,11084,250090,46490,511761,274635,43916,215697,122762,44921,212791,32874,176612,45992,260672,942850,114656,2179,181190,110808,24460,237869,13298
10,2020-11,249524,32598,326817,157359,1244952,232905,117295,35654,999319,471563,18223,101698,726304,338977,230631,159697,179041,232414,11757,198370,226132,388942,318763,153270,321958,62198,128407,152171,21033,368086,97095,656413,364512,79252,421063,197745,75431,366835,56723,217487,80464,374493,1291458,195706,4172,237835,171962,47842,411730,33305
11,2020-12,361226,47014,520207,225138,2325599,334097,185708,57456,1323315,666452,22007,141077,963389,511485,281712,225212,265261,315275,24201,276662,375178,528621,415302,215811,440756,81555,166798,224731,44882,529027,142864,978783,539545,92495,700380,291209,113909,645390,87949,307507,99164,586802,1772784,276612,7412,349584,246752,85334,520438,44409
12,2021-01,459639,54350,758404,295268,3324264,396185,250023,78071,1721377,909445,26596,162683,1126301,626682,319408,276956,362881,400626,39324,354473,524025,610138,461807,275001,532747,93949,190713,278308,65949,696829,174064,1419907,757526,97629,895792,390197,142416,846046,114438,443386,108250,727861,2376344,346624,11965,504779,311597,121001,592140,51912
13,2021-02,493252,58296,816782,322415,3567582,428303,279946,86799,1909221,1006521,28380,171140,1186613,661673,336465,295997,404622,430100,44635,382099,581148,645550,484594,294795,562920,99954,200882,293754,75424,789356,185132,1643867,858548,99809,967422,425557,155597,933261,125622,516823,112427,775004,2653013,371235,15198,576050,339773,131855,617367,54394
14,2021-03,515388,62901,841811,330398,3668745,462081,310624,94802,2057735,1059548,30754,180536,1244499,686497,351402,303940,426876,444933,50504,411344,635580,746351,519529,305146,581680,104552,209346,303762,84176,908816,191652,1873138,914132,103091,1017566,439740,165012,1027678,137329,551630,117759,811842,2791910,385641,19275,618976,364486,141738,636041,56310
15,2021-04,527922,68148,862497,335725,3742115,510966,339233,104405,2233518,1100187,33851,187656,1334955,720425,364844,310600,444127,458581,61213,447401,688973,936467,575812,311900,591637,108817,219826,315438,94886,997223,197733,2048150,969752,107473,1072312,448305,184812,1152536,148186,578659,122660,847430,2893928,397323,22952,659590,403040,153128,660450,58142
16,2021-05,528597,68148,863927,336105,3744830,513765,339233,104909,2242778,1102789,34082,187656,1339621,722646,365524,310600,445139,458581,61847,448989,691172,940175,579235,311900,593474,109030,220127,315438,95377,1000010,197733,2054848,969752,107708,1075004,448305,186344,1157285,148186,580273,122660,847430,2897110,398012,23126,661314,404709,153918,661685,58142
