,Month,State,Total Cases
0,2020-01,Alabama,0
1,2020-02,Alabama,0
2,2020-03,Alabama,1063
3,2020-04,Alabama,7187
4,2020-05,Alabama,18200
5,2020-06,Alabama,38477
6,2020-07,Alabama,88266
7,2020-08,Alabama,126500
8,2020-09,Alabama,154772
9,2020-10,Alabama,193613
10,2020-11,Alabama,249524
11,2020-12,Alabama,361226
12,2021-01,Alabama,459639
13,2021-02,Alabama,493252
14,2021-03,Alabama,515388
15,2021-04,Alabama,527922
16,2021-05,Alabama,528597
17,2020-01,Alaska,0
18,2020-02,Alaska,0
19,2020-03,Alaska,129
20,2020-04,Alaska,360
21,2020-05,Alaska,484
22,2020-06,Alaska,1142
23,2020-07,Alaska,3716
24,2020-08,Alaska,6172
25,2020-09,Alaska,8846
26,2020-10,Alaska,16365
27,2020-11,Alaska,32598
28,2020-12,Alaska,47014
29,2021-01,Alaska,54350
30,2021-02,Alaska,58296
31,2021-03,Alaska,62901
32,2021-04,Alaska,68148
33,2021-05,Alaska,68148
34,2020-01,Arizona,1
35,2020-02,Arizona,1
36,2020-03,Arizona,1289
37,2020-04,Arizona,7655
38,2020-05,Arizona,19936
39,2020-06,Arizona,79228
40,2020-07,Arizona,174010
41,2020-08,Arizona,201835
42,2020-09,Arizona,218507
43,2020-10,Arizona,245946
44,2020-11,Arizona,326817
45,2020-12,Arizona,520207
46,2021-01,Arizona,758404
47,2021-02,Arizona,816782
48,2021-03,Arizona,841811
49,2021-04,Arizona,862497
50,2021-05,Arizona,863927
51,2020-01,Arkansas,0
52,2020-02,Arkansas,0
53,2020-03,Arkansas,523
54,2020-04,Arkansas,3281
55,2020-05,Arkansas,7253
56,2020-06,Arkansas,20777
57,2020-07,Arkansas,42511
58,2020-08,Arkansas,61224
59,2020-09,Arkansas,83697
60,2020-10,Arkansas,112190
61,2020-11,Arkansas,157359
62,2020-12,Arkansas,225138
63,2021-01,Arkansas,295268
64,2021-02,Arkansas,322415
65,2021-03,Arkansas,330398
66,2021-04,Arkansas,335725
67,2021-05,Arkansas,336105
68,2020-01,California,3
69,2020-02,California,12
70,2020-03,California,8233
71,2020-04,California,50712
72,2020-05,California,112919
73,2020-06,California,239724
74,2020-07,California,507206
75,2020-08,California,714572
76,2020-09,California,822246
77,2020-10,California,936325
78,2020-11,California,1244952
79,2020-12,California,2325599
80,2021-01,California,3324264
