,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,2020-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2020-03,23,3,25,8,173,69,69,3,85,111,0,8,99,112,7,9,11,239,5,18,89,292,12,20,19,5,3,26,3,366,4,2775,12,3,90,23,18,63,11,22,1,23,76,5,13,27,225,1,43,0
3,2020-04,272,9,320,61,2029,777,2257,212,1268,1132,16,60,2355,1161,162,134,240,1905,53,1140,3562,3991,343,261,444,16,70,243,72,8737,123,24542,406,19,1073,222,103,2475,364,244,17,199,924,46,49,552,836,41,357,7
4,2020-05,630,10,907,133,4166,1445,3944,497,2451,2053,17,82,5390,2113,535,215,431,2791,89,2532,6846,5731,1050,734,822,17,170,417,245,13518,356,30699,937,61,2119,334,153,5555,827,494,62,364,1866,113,55,1375,1123,75,650,16
5,2020-06,950,14,1645,270,6074,1690,4322,566,3505,2805,18,92,6923,2569,716,273,565,3221,105,3190,8054,6193,1476,1073,1029,22,274,507,371,15035,497,32070,1380,79,2585,387,207,6649,977,739,91,604,2846,172,56,1763,1303,93,815,20
6,2020-07,1580,23,3694,453,9232,1838,4432,598,6843,3752,26,188,7692,2886,872,358,735,3949,123,3493,8609,6450,1640,1663,1278,60,332,830,415,15819,642,32675,1942,103,3187,541,322,7207,1026,1712,130,1060,7657,304,57,2174,1603,116,978,26
7,2020-08,2182,37,5029,797,13061,1945,4465,617,11187,5633,70,361,8235,3263,1120,451,933,4950,132,3755,9060,6753,1866,2473,1570,104,397,1305,432,15945,779,32957,2702,143,3886,800,459,7659,1078,2720,167,1754,13105,407,58,2580,1912,215,1186,37
8,2020-09,2540,56,5650,1369,15943,2051,4508,652,14317,7021,136,469,8916,3645,1358,678,1174,5511,141,3949,9456,7083,2089,2969,2098,180,478,1600,439,16122,877,33324,3532,246,4442,1031,559,8130,1125,3378,223,2454,16288,459,58,3208,2100,355,1402,50
9,2020-10,2967,82,5979,1925,17738,2285,4616,735,16761,7979,219,629,10040,4504,1716,1029,1485,5919,147,4147,9991,7699,2511,3334,3055,375,652,1777,483,16350,1018,33730,4378,524,5292,1337,689,8800,1216,3935,425,3353,18788,604,58,3654,2345,459,2339,87
10,2020-11,3578,122,6639,2502,19308,3037,5020,820,18597,9452,244,929,12985,6432,2426,1560,1908,6420,194,4641,10748,9564,3652,3807,3890,681,1018,2144,526,16993,1568,34625,5261,933,8033,1743,912,10335,1415,4381,946,4602,22271,871,69,4062,2762,735,3494,215
11,2020-12,4827,206,8864,3676,26132,4814,5995,1061,21673,10934,288,1436,17978,9390,3891,2736,2623,7488,347,5895,12423,13018,5382,4787,5724,961,1651,3122,759,19042,2477,37983,6748,1299,13509,2489,1477,15947,1930,5296,1488,6907,28066,1269,136,5032,3461,1338,5242,438
12,2021-01,7688,262,13120,4868,41211,5640,7046,1305,26479,14198,410,1725,21253,11296,4901,3767,3745,8859,590,7127,14577,15525,6268,6045,7071,1233,1920,4270,1057,21484,3283,43634,9335,1447,17154,3547,1957,21617,2341,7042,1778,9650,37074,1665,174,6464,4285,2024,6434,596
13,2021-02,9929,290,15980,5243,52835,5951,7622,1422,30852,17295,439,1860,22735,12573,5471,4692,4637,9608,703,7869,16118,16508,6551,6681,8281,1357,2082,4957,1170,23252,3716,47615,11212,1475,18490,4428,2208,23967,2502,8546,1888,11411,43697,1935,204,8552,4956,2300,7014,671
14,2021-03,10554,313,16967,5626,59274,6107,7889,1559,33425,19055,463,1962,23579,13039,5743,4870,6090,10141,743,8286,17185,17119,6926,7032,8853,1437,2180,5249,1238,24561,3937,50299,12112,1498,19032,4953,2383,25074,2619,9146,1935,11904,48252,2122,227,10252,5247,2676,7315,700
15,2021-04,10896,347,17324,5739,62078,6295,8097,1625,35161,20190,483,2046,24291,13332,5950,4945,6501,10382,784,8744,17610,18753,7237,7199,9138,1571,2244,5464,1303,25554,4067,52258,12651,1523,19188,6788,2495,26192,2671,9497,1967,12197,50219,2202,246,10770,5499,2679,7550,707
16,2021-05,10913,347,17344,5743,61939,6304,8097,1626,35268,20212,483,2046,24358,13349,5959,4945,6517,10382,789,8776,17621,18893,7253,7199,9148,1574,2245,5464,1305,25600,4067,52358,12651,1525,19284,6788,2501,26237,2671,9520,1967,12197,50290,2204,247,10791,5499,2686,7567,707
