,Month,State,Total Deaths
0,2020-01,Alabama,0
1,2020-02,Alabama,0
2,2020-03,Alabama,23
3,2020-04,Alabama,272
4,2020-05,Alabama,630
5,2020-06,Alabama,950
6,2020-07,Alabama,1580
7,2020-08,Alabama,2182
8,2020-09,Alabama,2540
9,2020-10,Alabama,2967
10,2020-11,Alabama,3578
11,2020-12,Alabama,4827
12,2021-01,Alabama,7688
13,2021-02,Alabama,9929
14,2021-03,Alabama,10554
15,2021-04,Alabama,10896
16,2021-05,Alabama,10913
17,2020-01,Alaska,0
18,2020-02,Alaska,0
19,2020-03,Alaska,3
20,2020-04,Alaska,9
21,2020-05,Alaska,10
22,2020-06,Alaska,14
23,2020-07,Alaska,23
24,2020-08,Alaska,37
25,2020-09,Alaska,56
26,2020-10,Alaska,82
27,2020-11,Alaska,122
28,2020-12,Alaska,206
29,2021-01,Alaska,262
30,2021-02,Alaska,290
31,2021-03,Alaska,313
32,2021-04,Alaska,347
33,2021-05,Alaska,347
34,2020-01,Arizona,0
35,2020-02,Arizona,0
36,2020-03,Arizona,25
37,2020-04,Arizona,320
38,2020-05,Arizona,907
39,2020-06,Arizona,1645
40,2020-07,Arizona,3694
41,2020-08,Arizona,5029
42,2020-09,Arizona,5650
43,2020-10,Arizona,5979
44,2020-11,Arizona,6639
45,2020-12,Arizona,8864
46,2021-01,Arizona,13120
47,2021-02,Arizona,15980
48,2021-03,Arizona,16967
49,2021-04,Arizona,17324
50,2021-05,Arizona,17344
51,2020-01,Arkansas,0
52,2020-02,Arkansas,0
53,2020-03,Arkansas,8
54,2020-04,Arkansas,61
55,2020-05,Arkansas,133
56,2020-06,Arkansas,270
57,2020-07,Arkansas,453
58,2020-08,Arkansas,797
59,2020-09,Arkansas,1369
60,2020-10,Arkansas,1925
61,2020-11,Arkansas,2502
62,2020-12,Arkansas,3676
63,2021-01,Arkansas,4868
64,2021-02,Arkansas,5243
65,2021-03,Arkansas,5626
66,2021-04,Arkansas,5739
67,2021-05,Arkansas,5743
68,2020-01,California,0
69,2020-02,California,0
70,2020-03,California,173
71,2020-04,California,2029
72,2020-05,California,4166
73,2020-06,California,6074
74,2020-07,California,9232
75,2020-08,California,13061
76,2020-09,California,15943
77,2020-10,California,17738
78,2020-11,California,19308
79,2020-12,California,26132
80,2021-01,California,41211
81,2021-02,California,52835
82,2021-03,California,59274
83,2021-04,California,62078
