,Month,State,New Cases
1,2020-02,Alabama,0.0
2,2020-03,Alabama,1063.0
3,2020-04,Alabama,6124.0
4,2020-05,Alabama,11013.0
5,2020-06,Alabama,20277.0
6,2020-07,Alabama,49789.0
7,2020-08,Alabama,38234.0
8,2020-09,Alabama,28272.0
9,2020-10,Alabama,38841.0
10,2020-11,Alabama,55911.0
11,2020-12,Alabama,111702.0
12,2021-01,Alabama,98413.0
13,2021-02,Alabama,33613.0
14,2021-03,Alabama,22136.0
15,2021-04,Alabama,12534.0
16,2021-05,Alabama,675.0
18,2020-02,Alaska,0.0
19,2020-03,Alaska,129.0
20,2020-04,Alaska,231.0
21,2020-05,Alaska,124.0
22,2020-06,Alaska,658.0
23,2020-07,Alaska,2574.0
24,2020-08,Alaska,2456.0
25,2020-09,Alaska,2674.0
26,2020-10,Alaska,7519.0
27,2020-11,Alaska,16233.0
28,2020-12,Alaska,14416.0
29,2021-01,Alaska,7336.0
30,2021-02,Alaska,3946.0
31,2021-03,Alaska,4605.0
32,2021-04,Alaska,5247.0
33,2021-05,Alaska,0.0
35,2020-02,Arizona,0.0
36,2020-03,Arizona,1288.0
37,2020-04,Arizona,6366.0
38,2020-05,Arizona,12281.0
39,2020-06,Arizona,59292.0
40,2020-07,Arizona,94782.0
41,2020-08,Arizona,27825.0
42,2020-09,Arizona,16672.0
43,2020-10,Arizona,27439.0
44,2020-11,Arizona,80871.0
45,2020-12,Arizona,193390.0
46,2021-01,Arizona,238197.0
47,2021-02,Arizona,58378.0
48,2021-03,Arizona,25029.0
49,2021-04,Arizona,20686.0
50,2021-05,Arizona,1430.0
52,2020-02,Arkansas,0.0
53,2020-03,Arkansas,523.0
54,2020-04,Arkansas,2758.0
55,2020-05,Arkansas,3972.0
56,2020-06,Arkansas,13524.0
57,2020-07,Arkansas,21734.0
58,2020-08,Arkansas,18713.0
59,2020-09,Arkansas,22473.0
60,2020-10,Arkansas,28493.0
61,2020-11,Arkansas,45169.0
62,2020-12,Arkansas,67779.0
63,2021-01,Arkansas,70130.0
64,2021-02,Arkansas,27147.0
65,2021-03,Arkansas,7983.0
66,2021-04,Arkansas,5327.0
67,2021-05,Arkansas,380.0
69,2020-02,California,9.0
70,2020-03,California,8221.0
71,2020-04,California,42479.0
72,2020-05,California,62207.0
73,2020-06,California,126805.0
74,2020-07,California,267482.0
75,2020-08,California,207366.0
76,2020-09,California,107674.0
77,2020-10,California,114079.0
78,2020-11,California,308627.0
79,2020-12,California,1080647.0
80,2021-01,California,998665.0
81,2021-02,California,243318.0
82,2021-03,California,101163.0
83,2021-04,California,73370.0
84,2021-05,California,2715.0
86,2020-02,Colorado,0.0
87,2020-03,Colorado,2966.0
88,2020-04,Colorado,12318.0
89,2020-05,Colorado,11094.0
90,2020-06,Colorado,6337.0
91,2020-07,Colorado,14094.0
92,2020-08,Colorado,10615.0
93,2020-09,Colorado,13112.0
94,2020-10,Colorado,36814.0
95,2020-11,Colorado,125555.0
96,2020-12,Colorado,101192.0
97,2021-01,Colorado,62088.0
98,2021-02,Colorado,32118.0
99,2021-03,Colorado,33778.0
100,2021-04,Colorado,48885.0
101,2021-05,Colorado,2799.0
103,2020-02,Connecticut,0.0
104,2020-03,Connecticut,3128.0
105,2020-04,Connecticut,24572.0
106,2020-05,Connecticut,14501.0
107,2020-06,Connecticut,4313.0
108,2020-07,Connecticut,3296.0
109,2020-08,Connecticut,3069.0
110,2020-09,Connecticut,4671.0
111,2020-10,Connecticut,13657.0
112,2020-11,Connecticut,46088.0
113,2020-12,Connecticut,68413.0
114,2021-01,Connecticut,64315.0
115,2021-02,Connecticut,29923.0
116,2021-03,Connecticut,30678.0
117,2021-04,Connecticut,28609.0
118,2021-05,Connecticut,0.0
120,2020-02,Delaware,0.0
121,2020-03,Delaware,319.0
122,2020-04,Delaware,4415.0
123,2020-05,Delaware,4764.0
124,2020-06,Delaware,1976.0
125,2020-07,Delaware,3314.0
126,2020-08,Delaware,2641.0
127,2020-09,Delaware,3184.0
128,2020-10,Delaware,4338.0
129,2020-11,Delaware,10703.0
130,2020-12,Delaware,21802.0
131,2021-01,Delaware,20615.0
132,2021-02,Delaware,8728.0
133,2021-03,Delaware,8003.0
134,2021-04,Delaware,9603.0
135,2021-05,Delaware,504.0
137,2020-02,Florida,0.0
138,2020-03,Florida,6741.0
139,2020-04,Florida,26949.0
140,2020-05,Florida,22473.0
141,2020-06,Florida,96271.0
142,2020-07,Florida,317952.0
143,2020-08,Florida,153085.0
144,2020-09,Florida,83045.0
145,2020-10,Florida,96031.0
146,2020-11,Florida,196772.0
147,2020-12,Florida,323996.0
148,2021-01,Florida,398062.0
149,2021-02,Florida,187844.0
150,2021-03,Florida,148514.0
151,2021-04,Florida,175783.0
152,2021-05,Florida,9260.0
154,2020-02,Georgia,0.0
155,2020-03,Georgia,3929.0
156,2020-04,Georgia,22335.0
157,2020-05,Georgia,20799.0
158,2020-06,Georgia,34228.0
159,2020-07,Georgia,105061.0
160,2020-08,Georgia,84119.0
161,2020-09,Georgia,47555.0
162,2020-10,Georgia,42764.0
163,2020-11,Georgia,110773.0
164,2020-12,Georgia,194889.0
165,2021-01,Georgia,242993.0
166,2021-02,Georgia,97076.0
167,2021-03,Georgia,53027.0
168,2021-04,Georgia,40639.0
169,2021-05,Georgia,2602.0
171,2020-02,Hawaii,0.0
172,2020-03,Hawaii,204.0
173,2020-04,Hawaii,414.0
174,2020-05,Hawaii,34.0
175,2020-06,Hawaii,265.0
176,2020-07,Hawaii,1194.0
177,2020-08,Hawaii,6361.0
178,2020-09,Hawaii,4125.0
179,2020-10,Hawaii,2687.0
180,2020-11,Hawaii,2939.0
181,2020-12,Hawaii,3784.0
182,2021-01,Hawaii,4589.0
183,2021-02,Hawaii,1784.0
184,2021-03,Hawaii,2374.0
185,2021-04,Hawaii,3097.0
186,2021-05,Hawaii,231.0
188,2020-02,Idaho,0.0
189,2020-03,Idaho,515.0
190,2020-04,Idaho,1469.0
191,2020-05,Idaho,855.0
192,2020-06,Idaho,3278.0
193,2020-07,Idaho,14599.0
194,2020-08,Idaho,11365.0
195,2020-09,Idaho,9967.0
196,2020-10,Idaho,22560.0
197,2020-11,Idaho,37090.0
198,2020-12,Idaho,39379.0
199,2021-01,Idaho,21606.0
200,2021-02,Idaho,8457.0
201,2021-03,Idaho,9396.0
202,2021-04,Idaho,7120.0
203,2021-05,Idaho,0.0
205,2020-02,Illinois,0.0
206,2020-03,Illinois,5992.0
207,2020-04,Illinois,46924.0
208,2020-05,Illinois,67342.0
209,2020-06,Illinois,22925.0
210,2020-07,Illinois,36930.0
211,2020-08,Illinois,56609.0
212,2020-09,Illinois,58996.0
213,2020-10,Illinois,120827.0
214,2020-11,Illinois,309757.0
215,2020-12,Illinois,237085.0
216,2021-01,Illinois,162912.0
217,2021-02,Illinois,60312.0
218,2021-03,Illinois,57886.0
219,2021-04,Illinois,90456.0
220,2021-05,Illinois,4666.0
222,2020-02,Indiana,0.0
223,2020-03,Indiana,2158.0
224,2020-04,Indiana,15677.0
225,2020-05,Indiana,16739.0
226,2020-06,Indiana,11020.0
227,2020-07,Indiana,20560.0
228,2020-08,Indiana,28042.0
229,2020-09,Indiana,25823.0
230,2020-10,Indiana,59339.0
231,2020-11,Indiana,159619.0
232,2020-12,Indiana,172508.0
233,2021-01,Indiana,115197.0
234,2021-02,Indiana,34991.0
235,2021-03,Indiana,24824.0
236,2021-04,Indiana,33928.0
237,2021-05,Indiana,2221.0
239,2020-02,Iowa,0.0
240,2020-03,Iowa,497.0
241,2020-04,Iowa,6648.0
242,2020-05,Iowa,12407.0
243,2020-06,Iowa,9522.0
244,2020-07,Iowa,15679.0
245,2020-08,Iowa,20386.0
246,2020-09,Iowa,24108.0
247,2020-10,Iowa,39263.0
248,2020-11,Iowa,102121.0
249,2020-12,Iowa,51081.0
250,2021-01,Iowa,37696.0
251,2021-02,Iowa,17057.0
252,2021-03,Iowa,14937.0
253,2021-04,Iowa,13442.0
254,2021-05,Iowa,680.0
256,2020-02,Kansas,0.0
257,2020-03,Kansas,434.0
258,2020-04,Kansas,3979.0
259,2020-05,Kansas,5287.0
260,2020-06,Kansas,4670.0
261,2020-07,Kansas,12992.0
262,2020-08,Kansas,15217.0
263,2020-09,Kansas,18543.0
264,2020-10,Kansas,25723.0
265,2020-11,Kansas,72852.0
266,2020-12,Kansas,65515.0
267,2021-01,Kansas,51744.0
268,2021-02,Kansas,19041.0
269,2021-03,Kansas,7943.0
270,2021-04,Kansas,6660.0
271,2021-05,Kansas,0.0
273,2020-02,Kentucky,0.0
274,2020-03,Kentucky,628.0
275,2020-04,Kentucky,4080.0
276,2020-05,Kentucky,4996.0
277,2020-06,Kentucky,5920.0
278,2020-07,Kentucky,14527.0
279,2020-08,Kentucky,18245.0
280,2020-09,Kentucky,20444.0
281,2020-10,Kentucky,38379.0
282,2020-11,Kentucky,71822.0
283,2020-12,Kentucky,86220.0
284,2021-01,Kentucky,97620.0
285,2021-02,Kentucky,41741.0
286,2021-03,Kentucky,22254.0
287,2021-04,Kentucky,17251.0
288,2021-05,Kentucky,1012.0
290,2020-02,Louisiana,0.0
291,2020-03,Louisiana,5237.0
292,2020-04,Louisiana,22764.0
293,2020-05,Louisiana,11915.0
294,2020-06,Louisiana,18179.0
295,2020-07,Louisiana,58185.0
296,2020-08,Louisiana,32614.0
297,2020-09,Louisiana,18564.0
298,2020-10,Louisiana,19191.0
299,2020-11,Louisiana,45765.0
300,2020-12,Louisiana,82861.0
301,2021-01,Louisiana,85351.0
302,2021-02,Louisiana,29474.0
303,2021-03,Louisiana,14833.0
304,2021-04,Louisiana,13648.0
305,2021-05,Louisiana,0.0
307,2020-02,Maine,0.0
308,2020-03,Maine,303.0
309,2020-04,Maine,792.0
310,2020-05,Maine,1230.0
311,2020-06,Maine,928.0
312,2020-07,Maine,659.0
313,2020-08,Maine,617.0
314,2020-09,Maine,860.0
315,2020-10,Maine,1273.0
316,2020-11,Maine,5095.0
317,2020-12,Maine,12444.0
318,2021-01,Maine,15123.0
319,2021-02,Maine,5311.0
320,2021-03,Maine,5869.0
321,2021-04,Maine,10709.0
322,2021-05,Maine,634.0
324,2020-02,Maryland,0.0
325,2020-03,Maryland,1660.0
326,2020-04,Maryland,20082.0
327,2020-05,Maryland,31036.0
328,2020-06,Maryland,14781.0
329,2020-07,Maryland,20787.0
330,2020-08,Maryland,19903.0
331,2020-09,Maryland,16476.0
332,2020-10,Maryland,20556.0
333,2020-11,Maryland,53089.0
334,2020-12,Maryland,78292.0
335,2021-01,Maryland,77811.0
336,2021-02,Maryland,27626.0
337,2021-03,Maryland,29245.0
338,2021-04,Maryland,36057.0
339,2021-05,Maryland,1588.0
