,Month,State,New Deaths
1,2020-02,Alabama,0.0
2,2020-03,Alabama,23.0
3,2020-04,Alabama,249.0
4,2020-05,Alabama,358.0
5,2020-06,Alabama,320.0
6,2020-07,Alabama,630.0
7,2020-08,Alabama,602.0
8,2020-09,Alabama,358.0
9,2020-10,Alabama,427.0
10,2020-11,Alabama,611.0
11,2020-12,Alabama,1249.0
12,2021-01,Alabama,2861.0
13,2021-02,Alabama,2241.0
14,2021-03,Alabama,625.0
15,2021-04,Alabama,342.0
16,2021-05,Alabama,17.0
18,2020-02,Alaska,0.0
19,2020-03,Alaska,3.0
20,2020-04,Alaska,6.0
21,2020-05,Alaska,1.0
22,2020-06,Alaska,4.0
23,2020-07,Alaska,9.0
24,2020-08,Alaska,14.0
25,2020-09,Alaska,19.0
26,2020-10,Alaska,26.0
27,2020-11,Alaska,40.0
28,2020-12,Alaska,84.0
29,2021-01,Alaska,56.0
30,2021-02,Alaska,28.0
31,2021-03,Alaska,23.0
32,2021-04,Alaska,34.0
33,2021-05,Alaska,0.0
35,2020-02,Arizona,0.0
36,2020-03,Arizona,25.0
37,2020-04,Arizona,295.0
38,2020-05,Arizona,587.0
39,2020-06,Arizona,738.0
40,2020-07,Arizona,2049.0
41,2020-08,Arizona,1335.0
42,2020-09,Arizona,621.0
43,2020-10,Arizona,329.0
44,2020-11,Arizona,660.0
45,2020-12,Arizona,2225.0
46,2021-01,Arizona,4256.0
47,2021-02,Arizona,2860.0
48,2021-03,Arizona,987.0
49,2021-04,Arizona,357.0
50,2021-05,Arizona,20.0
52,2020-02,Arkansas,0.0
53,2020-03,Arkansas,8.0
54,2020-04,Arkansas,53.0
55,2020-05,Arkansas,72.0
56,2020-06,Arkansas,137.0
57,2020-07,Arkansas,183.0
58,2020-08,Arkansas,344.0
59,2020-09,Arkansas,572.0
60,2020-10,Arkansas,556.0
61,2020-11,Arkansas,577.0
62,2020-12,Arkansas,1174.0
63,2021-01,Arkansas,1192.0
64,2021-02,Arkansas,375.0
65,2021-03,Arkansas,383.0
66,2021-04,Arkansas,113.0
67,2021-05,Arkansas,4.0
69,2020-02,California,0.0
70,2020-03,California,173.0
71,2020-04,California,1856.0
72,2020-05,California,2137.0
73,2020-06,California,1908.0
74,2020-07,California,3158.0
75,2020-08,California,3829.0
76,2020-09,California,2882.0
77,2020-10,California,1795.0
78,2020-11,California,1570.0
79,2020-12,California,6824.0
80,2021-01,California,15079.0
81,2021-02,California,11624.0
82,2021-03,California,6439.0
83,2021-04,California,2804.0
84,2021-05,California,-139.0
86,2020-02,Colorado,0.0
87,2020-03,Colorado,69.0
88,2020-04,Colorado,708.0
89,2020-05,Colorado,668.0
90,2020-06,Colorado,245.0
91,2020-07,Colorado,148.0
92,2020-08,Colorado,107.0
93,2020-09,Colorado,106.0
94,2020-10,Colorado,234.0
95,2020-11,Colorado,752.0
96,2020-12,Colorado,1777.0
97,2021-01,Colorado,826.0
98,2021-02,Colorado,311.0
99,2021-03,Colorado,156.0
100,2021-04,Colorado,188.0
101,2021-05,Colorado,9.0
103,2020-02,Connecticut,0.0
104,2020-03,Connecticut,69.0
105,2020-04,Connecticut,2188.0
106,2020-05,Connecticut,1687.0
107,2020-06,Connecticut,378.0
108,2020-07,Connecticut,110.0
109,2020-08,Connecticut,33.0
110,2020-09,Connecticut,43.0
111,2020-10,Connecticut,108.0
112,2020-11,Connecticut,404.0
113,2020-12,Connecticut,975.0
114,2021-01,Connecticut,1051.0
115,2021-02,Connecticut,576.0
116,2021-03,Connecticut,267.0
117,2021-04,Connecticut,208.0
118,2021-05,Connecticut,0.0
120,2020-02,Delaware,0.0
121,2020-03,Delaware,3.0
122,2020-04,Delaware,209.0
123,2020-05,Delaware,285.0
124,2020-06,Delaware,69.0
125,2020-07,Delaware,32.0
126,2020-08,Delaware,19.0
127,2020-09,Delaware,35.0
128,2020-10,Delaware,83.0
129,2020-11,Delaware,85.0
130,2020-12,Delaware,241.0
131,2021-01,Delaware,244.0
132,2021-02,Delaware,117.0
133,2021-03,Delaware,137.0
134,2021-04,Delaware,66.0
135,2021-05,Delaware,1.0
137,2020-02,Florida,0.0
138,2020-03,Florida,85.0
139,2020-04,Florida,1183.0
140,2020-05,Florida,1183.0
141,2020-06,Florida,1054.0
142,2020-07,Florida,3338.0
143,2020-08,Florida,4344.0
144,2020-09,Florida,3130.0
145,2020-10,Florida,2444.0
146,2020-11,Florida,1836.0
147,2020-12,Florida,3076.0
148,2021-01,Florida,4806.0
149,2021-02,Florida,4373.0
150,2021-03,Florida,2573.0
151,2021-04,Florida,1736.0
152,2021-05,Florida,107.0
154,2020-02,Georgia,0.0
155,2020-03,Georgia,111.0
156,2020-04,Georgia,1021.0
157,2020-05,Georgia,921.0
158,2020-06,Georgia,752.0
159,2020-07,Georgia,947.0
160,2020-08,Georgia,1881.0
161,2020-09,Georgia,1388.0
162,2020-10,Georgia,958.0
163,2020-11,Georgia,1473.0
164,2020-12,Georgia,1482.0
165,2021-01,Georgia,3264.0
166,2021-02,Georgia,3097.0
167,2021-03,Georgia,1760.0
168,2021-04,Georgia,1135.0
169,2021-05,Georgia,22.0
171,2020-02,Hawaii,0.0
172,2020-03,Hawaii,0.0
173,2020-04,Hawaii,16.0
174,2020-05,Hawaii,1.0
175,2020-06,Hawaii,1.0
176,2020-07,Hawaii,8.0
177,2020-08,Hawaii,44.0
178,2020-09,Hawaii,66.0
179,2020-10,Hawaii,83.0
180,2020-11,Hawaii,25.0
181,2020-12,Hawaii,44.0
182,2021-01,Hawaii,122.0
183,2021-02,Hawaii,29.0
184,2021-03,Hawaii,24.0
185,2021-04,Hawaii,20.0
186,2021-05,Hawaii,0.0
188,2020-02,Idaho,0.0
189,2020-03,Idaho,8.0
190,2020-04,Idaho,52.0
191,2020-05,Idaho,22.0
192,2020-06,Idaho,10.0
193,2020-07,Idaho,96.0
194,2020-08,Idaho,173.0
195,2020-09,Idaho,108.0
196,2020-10,Idaho,160.0
197,2020-11,Idaho,300.0
198,2020-12,Idaho,507.0
199,2021-01,Idaho,289.0
200,2021-02,Idaho,135.0
201,2021-03,Idaho,102.0
202,2021-04,Idaho,84.0
203,2021-05,Idaho,0.0
205,2020-02,Illinois,0.0
206,2020-03,Illinois,99.0
207,2020-04,Illinois,2256.0
208,2020-05,Illinois,3035.0
209,2020-06,Illinois,1533.0
210,2020-07,Illinois,769.0
211,2020-08,Illinois,543.0
212,2020-09,Illinois,681.0
213,2020-10,Illinois,1124.0
214,2020-11,Illinois,2945.0
215,2020-12,Illinois,4993.0
216,2021-01,Illinois,3275.0
217,2021-02,Illinois,1482.0
218,2021-03,Illinois,844.0
219,2021-04,Illinois,712.0
220,2021-05,Illinois,67.0
222,2020-02,Indiana,0.0
