,Puerto Rico
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,0.0
3/16/20,5.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,9.0
3/21/20,7.0
3/22/20,2.0
3/23/20,8.0
3/24/20,8.0
3/25/20,12.0
3/26/20,13.0
3/27/20,15.0
3/28/20,21.0
3/29/20,27.0
3/30/20,47.0
3/31/20,65.0
4/1/20,47.0
4/2/20,30.0
4/3/20,0.0
4/4/20,136.0
4/5/20,23.0
4/6/20,38.0
4/7/20,60.0
4/8/20,47.0
4/9/20,63.0
4/10/20,42.0
4/11/20,63.0
4/12/20,109.0
4/13/20,6.0
4/14/20,20.0
4/15/20,51.0
4/16/20,69.0
4/17/20,25.0
4/18/20,50.0
4/19/20,95.0
4/20/20,39.0
4/21/20,46.0
4/22/20,-46.0
4/23/20,-22.0
4/24/20,46.0
4/25/20,-403.0
4/26/20,13.0
4/27/20,4.0
4/28/20,3.0
4/29/20,6.0
4/30/20,50.0
5/1/20,9.0
5/2/20,9.0
5/3/20,15.0
5/4/20,13.0
5/5/20,4.0
5/6/20,0.0
5/7/20,7.0
5/8/20,16.0
5/9/20,5.0
5/10/20,6.0
5/11/20,14.0
5/12/20,8.0
5/13/20,2.0
5/14/20,9.0
5/15/20,14.0
5/16/20,26.0
5/17/20,33.0
5/18/20,48.0
5/19/20,12.0
5/20/20,-1.0
5/21/20,7.0
5/22/20,8.0
5/23/20,8.0
5/24/20,0.0
5/25/20,10.0
5/26/20,1.0
5/27/20,18.0
5/28/20,20.0
5/29/20,13.0
5/30/20,7.0
5/31/20,-2.0
6/1/20,6.0
6/2/20,1.0
6/3/20,8.0
6/4/20,9.0
6/5/20,8.0
6/6/20,30.0
6/7/20,3.0
6/8/20,9.0
6/9/20,13.0
6/10/20,15.0
6/11/20,1.0
6/12/20,52.0
6/13/20,17.0
6/14/20,11.0
6/15/20,6.0
6/16/20,2.0
6/17/20,7.0
6/18/20,10.0
6/19/20,3.0
6/20/20,32.0
6/21/20,2.0
6/22/20,7.0
6/23/20,10.0
6/24/20,27.0
6/25/20,2.0
6/26/20,4.0
6/27/20,19.0
6/28/20,22.0
6/29/20,14.0
6/30/20,55.0
7/1/20,36.0
7/2/20,38.0
7/3/20,24.0
7/4/20,26.0
7/5/20,29.0
7/6/20,225.0
7/7/20,76.0
7/8/20,24.0
7/9/20,64.0
7/10/20,116.0
7/11/20,84.0
7/12/20,148.0
7/13/20,228.0
7/14/20,93.0
7/15/20,139.0
7/16/20,76.0
7/17/20,153.0
7/18/20,189.0
7/19/20,330.0
7/20/20,220.0
7/21/20,244.0
7/22/20,75.0
7/23/20,244.0
7/24/20,220.0
7/25/20,248.0
7/26/20,194.0
7/27/20,180.0
7/28/20,169.0
7/29/20,115.0
7/30/20,220.0
7/31/20,77.0
8/1/20,546.0
8/2/20,292.0
8/3/20,278.0
8/4/20,300.0
8/5/20,271.0
8/6/20,140.0
8/7/20,406.0
8/8/20,343.0
8/9/20,361.0
8/10/20,385.0
8/11/20,286.0
8/12/20,564.0
8/13/20,110.0
8/14/20,451.0
8/15/20,339.0
8/16/20,182.0
8/17/20,472.0
8/18/20,648.0
8/19/20,81.0
8/20/20,124.0
8/21/20,438.0
8/22/20,268.0
8/23/20,195.0
8/24/20,445.0
8/25/20,70.0
8/26/20,18.0
8/27/20,459.0
8/28/20,257.0
8/29/20,260.0
8/30/20,243.0
8/31/20,247.0
9/1/20,108.0
9/2/20,358.0
9/3/20,127.0
9/4/20,32.0
9/5/20,142.0
9/6/20,26.0
9/7/20,423.0
9/8/20,96.0
9/9/20,1.0
9/10/20,459.0
9/11/20,109.0
9/12/20,241.0
9/13/20,171.0
9/14/20,208.0
9/15/20,229.0
9/16/20,46.0
9/17/20,382.0
9/18/20,479.0
9/19/20,694.0
9/20/20,262.0
9/21/20,242.0
9/22/20,88.0
9/23/20,40.0
9/24/20,717.0
9/25/20,712.0
9/26/20,296.0
9/27/20,533.0
9/28/20,660.0
9/29/20,444.0
9/30/20,199.0
10/1/20,176.0
10/2/20,329.0
10/3/20,299.0
10/4/20,230.0
10/5/20,363.0
10/6/20,238.0
10/7/20,23.0
10/8/20,352.0
10/9/20,316.0
10/10/20,232.0
10/11/20,218.0
10/12/20,228.0
10/13/20,135.0
10/14/20,490.0
10/15/20,318.0
10/16/20,227.0
10/17/20,119.0
10/18/20,418.0
10/19/20,427.0
10/20/20,447.0
10/21/20,132.0
10/22/20,87.0
10/23/20,1152.0
10/24/20,116.0
10/25/20,665.0
10/26/20,461.0
10/27/20,263.0
10/28/20,66.0
10/29/20,752.0
10/30/20,574.0
10/31/20,285.0
11/1/20,403.0
11/2/20,864.0
11/3/20,345.0
11/4/20,57.0
11/5/20,294.0
11/6/20,803.0
11/7/20,586.0
11/8/20,610.0
11/9/20,481.0
11/10/20,275.0
11/11/20,264.0
11/12/20,1332.0
11/13/20,667.0
11/14/20,653.0
11/15/20,707.0
11/16/20,537.0
11/17/20,569.0
11/18/20,325.0
11/19/20,521.0
11/20/20,904.0
11/21/20,1099.0
11/22/20,1025.0
11/23/20,741.0
11/24/20,348.0
11/25/20,177.0
11/26/20,501.0
11/27/20,1452.0
11/28/20,903.0
11/29/20,121.0
11/30/20,843.0
12/1/20,775.0
12/2/20,388.0
12/3/20,397.0
12/4/20,492.0
12/5/20,935.0
12/6/20,1139.0
12/7/20,951.0
12/8/20,694.0
12/9/20,646.0
12/10/20,496.0
12/11/20,1544.0
12/12/20,721.0
12/13/20,708.0
12/14/20,554.0
12/15/20,434.0
12/16/20,267.0
12/17/20,1065.0
12/18/20,1381.0
12/19/20,1079.0
12/20/20,1222.0
12/21/20,416.0
12/22/20,1063.0
12/23/20,576.0
12/24/20,320.0
12/25/20,616.0
12/26/20,1019.0
12/27/20,784.0
12/28/20,431.0
12/29/20,2132.0
12/30/20,98.0
12/31/20,403.0
1/1/21,763.0
1/2/21,878.0
1/3/21,237.0
1/4/21,636.0
1/5/21,514.0
1/6/21,293.0
1/7/21,286.0
1/8/21,2169.0
1/9/21,563.0
1/10/21,489.0
1/11/21,349.0
1/12/21,959.0
1/13/21,212.0
1/14/21,177.0
1/15/21,1138.0
1/16/21,569.0
1/17/21,858.0
1/18/21,558.0
1/19/21,434.0
1/20/21,140.0
1/21/21,215.0
1/22/21,554.0
1/23/21,791.0
1/24/21,955.0
1/25/21,568.0
1/26/21,473.0
1/27/21,175.0
1/28/21,297.0
1/29/21,427.0
1/30/21,438.0
1/31/21,218.0
2/1/21,614.0
2/2/21,288.0
2/3/21,136.0
2/4/21,322.0
2/5/21,80.0
2/6/21,291.0
2/7/21,484.0
2/8/21,322.0
2/9/21,241.0
2/10/21,92.0
2/11/21,142.0
2/12/21,288.0
2/13/21,389.0
2/14/21,296.0
2/15/21,228.0
2/16/21,480.0
2/17/21,111.0
2/18/21,78.0
2/19/21,118.0
2/20/21,211.0
2/21/21,249.0
2/22/21,173.0
2/23/21,219.0
2/24/21,43.0
2/25/21,100.0
2/26/21,241.0
2/27/21,184.0
2/28/21,253.0
3/1/21,287.0
3/2/21,151.0
3/3/21,30.0
3/4/21,102.0
3/5/21,199.0
3/6/21,261.0
3/7/21,0.0
3/8/21,0.0
3/9/21,610.0
3/10/21,114.0
3/11/21,356.0
3/12/21,160.0
3/13/21,235.0
3/14/21,193.0
3/15/21,216.0
3/16/21,67.0
3/17/21,69.0
3/18/21,332.0
3/19/21,216.0
3/20/21,326.0
3/21/21,295.0
3/22/21,227.0
3/23/21,145.0
3/24/21,78.0
3/25/21,260.0
3/26/21,399.0
3/27/21,268.0
3/28/21,595.0
3/29/21,447.0
3/30/21,170.0
3/31/21,365.0
4/1/21,510.0
4/2/21,792.0
4/3/21,635.0
4/4/21,426.0
4/5/21,189.0
4/6/21,211.0
4/7/21,446.0
4/8/21,1081.0
4/9/21,1440.0
4/10/21,997.0
4/11/21,1102.0
4/12/21,1079.0
4/13/21,988.0
4/14/21,470.0
4/15/21,1100.0
4/16/21,1635.0
4/17/21,1130.0
4/18/21,1348.0
4/19/21,1091.0
4/20/21,555.0
4/21/21,517.0
4/22/21,1172.0
4/23/21,1066.0
4/24/21,1009.0
4/25/21,744.0
4/26/21,834.0
4/27/21,324.0
4/28/21,310.0
4/29/21,766.0
4/30/21,519.0
5/1/21,622.0
5/2/21,469.0
