State,Total Funds (in billions)
Alabama,2.120
Alaska,1.011
Arizona,4.182
Arkansas,1.573
California,27.017
Colorado,3.828
Connecticut,2.812
Delaware,.924
District of Columbia,1.802
Florida,8.816
Georgia,4.853
Hawaii,1.641
Idaho,1.094
Illinois,8.127
Indiana,3.071
Iowa,1.480
Kansas,1.583
Kentucky,2.183
Louisiana,3.011
Maine,.997
Maryland,3.717
Massachusetts,5.286
Michigan,6.540
Minnesota,2.833
Mississippi,1.806
Missouri,2.685
Montana,.906
Nebraska,1.040
Nevada,2.738
New Hampshire,.994
New Jersey,6.244
New Mexico,1.751
New York,12.744
North Carolina,5.439
North Dakota,1.007
Ohio,5.368
Oklahoma,1.870
Oregon,2.648
Pennsylvania,7.291
Rhode Island,1.131
South Carolina,2.499
South Dakota,.974
Tennessee,3.725
Texas,15.814
Utah,1.377
Vermont,1.049
Virginia,4.293
Washington,4.427
West Virginia,1.355
Wisconsin,2.533
Wyoming,1.068
TOTAL,195.300
