State,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
Alabama,2.12,1.901,4903185,32.377716,-86.300568,432.3720194118721,387.7071740103627,0.0507352879696106,0.0696212526860694
Alaska,1.011,1.25,731545,58.301598,-134.420212,1382.0065751252484,1708.712382696895,0.0241949887439982,0.0457793613138278
Arizona,4.182,2.822,7278717,33.448143,-112.096962,574.5518063142173,387.70569043967504,0.1000825350419395,0.1033514861020978
Arkansas,1.573,1.25,3017804,34.746613,-92.288986,521.2399479886699,414.2084774226557,0.0376446264038667,0.0457793613138278
California,27.017,15.321,39512223,38.576668,-121.493629,683.7630978140612,387.75343012211687,0.6465638089976282,0.5611084757513254
Colorado,3.828,2.233,5758736,39.739227,-104.984856,664.729204464313,387.7587026041826,0.0916106992205989,0.0817802510510221
Connecticut,2.812,1.382,3565287,41.764046,-72.682198,788.7163081120818,387.6265781688824,0.067296051778559,0.050613661868568
Delaware,0.924,1.25,973764,39.157307,-75.519722,948.895214856988,1283.6785915273106,0.0221129273980756,0.0457793613138278
Florida,8.816,8.328,21477737,30.438118,-84.281296,410.47155014515727,387.750348186124,0.2109822163868338,0.3050004168172467
Georgia,4.853,4.117,10617423,33.749027,-84.388229,457.0788975818332,387.75887519975424,0.1161407323191135,0.1507789044232234
Hawaii,1.641,1.25,1415872,21.307442,-157.857376,1159.0030737241784,882.8481670659495,0.0392719846972316,0.0457793613138278
Idaho,1.094,1.25,1787065,43.617775,-116.199722,612.1769493555075,699.4709201959638,0.0261813231314877,0.0457793613138278
Illinois,8.127,4.914,12671821,39.798363,-89.654961,641.3442866656655,387.7895686815652,0.1944932477967104,0.1799678251969201
Indiana,3.071,2.61,6732219,39.768623,-86.162643,456.164601894264,387.68792280821526,0.0734943723371105,0.0955873064232725
Iowa,1.48,1.25,3155070,41.591087,-93.603729,469.08626433010994,396.1877232517821,0.0354189746202942,0.0457793613138278
Kansas,1.583,1.25,2913314,39.048191,-95.677956,543.3674502645441,429.0646322366899,0.0378839437999498,0.0457793613138278
Kentucky,2.183,1.732,4467673,38.186722,-84.875374,488.6212576435205,387.6738516896828,0.052242987564934,0.0634318830364398
Louisiana,3.011,1.803,4648794,30.457069,-91.187393,647.6948645175502,387.84252431921055,0.0720584679606121,0.0660321507590653
Maine,0.997,1.25,1344212,44.307167,-69.781693,741.6984820846711,929.9128411292266,0.023859944389482,0.0457793613138278
Maryland,3.717,2.344,6045680,38.978764,-76.490936,614.8191766682987,387.71486416747166,0.0889542761240768,0.08584545833569
